FSC,SSC,CD40,Ly6G,Ly6C,PDL1,CD64,CD11c,CD103,CD69,Siglec_F,CD86,CD11b,F4_80,MHCII,PDL2
295,443,373,417,378,136,201,450,0,336,0,310,91,0,0,197
666,431,283,0,342,393,257,337,0,479,309,401,88,0,357,188
571,549,499,131,557,598,112,572,439,0,517,426,591,400,884,345
666,538,529,283,533,575,0,644,297,434,442,359,510,340,829,0
638,457,192,0,367,388,329,283,260,228,420,368,79,0,410,226
547,488,229,0,437,406,216,313,201,361,362,405,0,156,500,29
630,498,260,267,677,347,261,281,0,253,412,277,129,202,85,0
493,440,169,102,215,93,0,175,0,182,426,204,133,0,0,30
589,520,351,0,477,519,268,0,263,0,424,224,472,322,763,0
354,516,563,459,490,324,275,402,0,408,0,398,274,225,227,168
898,533,443,140,507,493,276,581,310,267,467,378,390,328,745,315
623,541,531,375,621,655,0,591,450,0,509,406,569,402,897,0
716,496,147,0,224,325,0,396,258,248,390,195,557,0,132,0
599,548,468,0,700,504,0,522,285,0,440,290,547,348,737,0
701,496,449,0,617,520,0,556,327,385,368,372,440,259,657,86
636,602,351,221,689,403,229,0,215,350,599,324,554,184,496,308
289,382,321,479,265,256,185,548,0,206,0,279,85,0,175,0
666,423,224,105,351,365,0,171,0,346,406,275,113,138,323,84
638,491,245,248,706,374,0,0,142,0,395,316,151,146,0,184
577,539,259,162,213,361,0,345,186,369,724,326,550,361,263,251
528,497,282,190,718,488,0,300,230,449,407,354,90,0,524,165
568,497,273,301,714,405,0,0,0,0,374,287,160,133,433,0
655,493,240,0,527,347,266,235,0,224,382,330,173,245,383,158
252,329,321,0,462,420,175,0,512,0,370,11,240,0,698,288
685,449,199,0,712,298,241,0,269,0,247,365,64,0,343,0
579,470,233,0,386,429,0,318,240,474,399,496,157,0,399,288
630,472,219,200,0,397,0,82,0,405,392,424,95,0,304,170
725,671,335,336,447,433,37,367,102,367,745,412,629,440,381,320
622,494,439,198,372,439,242,261,125,332,390,293,315,244,525,298
252,399,504,429,376,254,244,364,271,304,275,392,151,0,423,226
326,437,425,484,248,245,246,563,0,308,0,270,143,0,293,0
660,563,623,314,594,643,224,616,482,0,529,506,570,420,884,469
764,568,360,86,621,455,304,282,0,446,262,314,54,115,401,0
239,341,372,133,425,413,234,347,0,0,308,185,311,311,690,0
516,395,443,0,314,331,233,340,0,262,429,146,54,164,258,0
555,463,308,0,327,419,0,156,0,423,330,240,117,123,489,168
227,324,314,0,383,426,267,407,230,0,461,212,354,280,667,0
225,221,25,1,294,99,0,4,0,45,213,0,25,0,232,120
654,496,521,0,528,524,0,0,199,0,400,314,488,215,747,279
708,452,27,0,0,335,153,289,41,332,395,223,227,0,386,0
290,372,418,439,383,197,301,400,0,349,0,406,91,0,403,267
656,475,197,0,757,407,0,371,60,0,448,263,93,81,0,144
782,623,435,322,373,363,124,313,145,325,688,361,532,377,360,104
564,541,506,270,606,587,0,532,306,0,409,370,399,399,842,0
239,309,311,444,256,244,106,470,0,333,0,343,72,0,321,239
673,613,265,574,561,363,0,306,0,0,481,298,627,201,177,284
600,496,276,156,759,418,0,213,243,0,418,238,193,230,0,244
596,466,82,0,350,514,178,0,276,435,398,259,254,0,429,0
573,583,168,0,250,189,0,384,391,414,588,335,408,0,98,199
595,457,267,0,487,502,0,343,398,448,360,364,231,191,578,0
371,416,526,395,527,180,318,513,0,231,0,170,0,189,344,287
607,505,479,308,537,586,267,620,0,0,477,412,504,432,836,0
626,643,318,310,371,476,0,506,284,379,763,344,671,445,280,275
698,441,41,0,308,399,0,255,0,224,275,168,135,111,364,0
346,505,651,337,601,616,295,554,479,0,578,430,545,420,855,478
676,489,50,0,695,404,317,237,0,0,415,341,0,248,174,0
485,515,66,0,388,126,134,342,204,329,534,275,284,0,0,0
260,408,453,433,325,179,212,427,0,339,229,334,159,0,383,0
493,507,343,34,389,415,181,173,0,280,392,418,0,143,484,0
281,392,517,455,444,369,238,444,0,300,413,416,0,216,498,0
641,469,203,0,739,399,221,264,0,0,457,253,157,235,258,246
220,348,313,350,358,362,300,413,116,262,303,327,289,0,453,197
500,478,79,0,256,226,209,358,250,359,522,226,382,0,0,0
490,478,280,187,640,391,0,0,0,0,387,327,240,229,308,160
675,492,278,143,753,397,0,267,0,0,392,340,0,159,0,149
226,352,106,53,0,246,0,100,0,256,223,127,18,0,384,197
325,435,24,0,278,62,0,0,140,285,449,160,314,131,0,170
582,508,391,514,629,357,0,238,258,313,479,0,619,250,0,278
686,552,558,223,524,555,399,507,177,338,586,418,552,400,733,335
641,495,237,0,747,409,0,0,321,0,374,345,0,0,0,221
379,439,318,488,0,213,291,571,0,0,0,328,0,0,432,0
356,311,31,0,252,253,0,0,49,304,234,26,180,0,405,165
376,367,85,156,415,345,0,422,146,274,378,158,133,0,541,41
266,412,445,242,447,420,145,0,0,200,391,196,0,214,702,282
623,452,209,0,0,353,158,452,256,281,393,0,478,186,290,0
668,570,629,395,610,652,0,572,361,300,568,495,504,377,822,472
432,465,572,445,563,319,137,200,253,288,405,254,594,53,371,23
621,584,560,418,670,670,0,622,494,415,655,506,577,435,871,108
617,567,455,250,483,423,283,605,0,419,490,316,656,351,772,162
621,462,119,0,279,394,226,313,0,294,395,381,127,226,303,213
653,477,230,0,694,381,243,264,217,101,338,337,186,0,164,206
663,597,444,0,346,461,142,231,234,72,434,207,180,0,521,369
523,458,250,197,332,384,106,246,0,351,365,286,86,117,516,0
331,410,385,84,542,506,163,497,455,0,437,354,0,264,768,0
804,664,473,582,635,370,329,577,0,326,0,379,676,0,423,0
717,465,270,0,729,387,132,0,121,0,377,273,226,252,535,166
299,312,326,382,386,144,229,260,0,279,221,357,47,0,195,224
467,518,361,0,429,479,237,146,212,513,427,300,305,289,670,244
334,431,502,179,543,546,236,539,377,307,527,348,449,0,781,297
648,650,377,359,340,514,233,548,349,400,801,401,719,498,138,330
284,353,40,0,173,44,170,261,0,258,397,0,110,29,0,155
616,534,472,242,548,574,0,619,0,0,467,435,578,344,849,306
231,334,513,175,370,212,205,143,0,118,337,116,0,72,401,18
598,459,70,0,276,373,0,231,104,509,382,281,156,0,448,0
354,403,455,457,385,213,255,531,0,284,0,279,209,0,390,0
279,376,478,217,382,450,0,481,253,0,383,353,0,152,754,0
245,333,417,0,473,460,297,427,261,114,347,338,318,231,662,279
270,403,389,0,352,460,308,437,0,227,384,367,70,243,599,341
602,489,376,0,512,533,279,293,0,0,423,0,167,358,799,0
280,536,575,268,587,577,0,554,472,0,447,415,0,368,837,356
676,564,298,180,665,327,135,335,0,35,458,305,460,278,231,0
229,377,397,434,354,253,175,343,0,311,392,384,118,0,310,0
654,663,439,606,640,377,223,246,0,291,439,328,684,262,394,389
646,528,443,276,500,543,0,603,242,0,415,403,511,326,775,0
329,373,217,145,0,251,0,142,69,330,339,0,145,101,478,151
805,658,438,385,640,391,220,238,0,309,642,433,474,424,550,393
273,377,449,238,522,507,0,511,309,315,381,356,0,0,724,413
650,573,569,197,639,618,317,616,559,0,500,403,257,373,893,416
373,352,413,471,339,270,261,446,0,343,364,456,169,0,361,246
654,485,236,163,709,361,0,185,0,0,345,363,319,0,0,208
815,624,574,278,566,552,191,661,353,392,405,403,351,370,856,0
654,506,300,0,362,410,256,192,183,456,0,125,122,139,339,138
730,518,583,234,530,568,254,544,0,0,454,437,321,392,844,0
537,470,232,211,733,382,200,231,0,0,381,296,210,0,414,0
574,493,441,304,575,590,0,0,166,0,349,272,0,351,858,0
604,483,315,0,770,376,224,0,0,0,406,190,90,178,0,161
276,388,467,488,367,326,229,478,0,351,0,415,69,0,246,318
645,485,215,220,689,382,0,197,113,0,406,351,117,220,0,199
537,549,567,359,624,606,4,550,194,293,441,447,341,403,849,295
243,404,275,378,299,153,55,349,149,305,249,325,89,0,277,166
