mouse_id	Flow.date	RFID.x	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	RFID.y	Total_T_cells	Total_B_cells	CD4_T_cells	CD8_T_cells	Naive_CD4_T_cells	Central_Memory_CD4_T_cells	Effector_Memory_CD4_T_cells	Effector_CD4_T_cells	Naive_CD8_T_cells	Central_Memory_CD8_T_cells	Effector_Memory_CD8_T_cells	Effector_CD8_T_cells	Total_Dump_Myeloid_cells	Treg_cells	Total_Immune_cells
2-3	28-Jul	E1 AtgE PBMC02-3 lymph.fcs	AtgE	lab	12.97297297	2547302	F	N	N	blood	E1 AtgE PBMC02-3 lymph.fcs	25	26.8	14.6	4.98	68.5	0.7	19.9	11	81.8	7.39	3.64	7.16	21.3	0.89	5.09
2-4	28-Jul	E2 AtgE PBMC02-4 lymph.fcs	AtgE	lab	17.11229947	2547302	F	N	N	blood	E2 AtgE PBMC02-4 lymph.fcs	19.2	32.1	11.2	3.62	51.3	0.49	35.1	13.1	80.9	6.67	6.06	6.36	23	1.04	2.61
2-7	28-Jul	E3 AtgE PBMC02-7 lymph.fcs	AtgE	lab	28.49162011	2547302	F	N	N	blood	E3 AtgE PBMC02-7 lymph.fcs	15.2	32	7.22	3.85	29.7	0	42.4	28	46	4.76	27	22.2	19.4	0.98	0.68
2-8	28-Jul	E4 AtgE PBMC02-8 lymph.fcs	AtgE	lab	11.42857143	2547302	F	N	N	blood	E4 AtgE PBMC02-8 lymph.fcs	17.3	25.6	10.2	3.05	42.8	0.76	30.3	26.1	70.9	8.86	3.8	16.5	21.7	0.62	1.97
2-9	28-Jul	E5 AtgE PBMC02-9 lymph.fcs	AtgE	lab	15.90909091	2547302	F	N	N	blood	E5 AtgE PBMC02-9 lymph.fcs	15	37.8	8.94	2.8	46	0	22.7	31.3	70.6	0	5.88	23.5	24.3	0.33	2.41
30-10	28-Jul	E9 AtgH PBMC 30-10 lymph.fcs	AtgH	lab	18.56540084	2537330	M	N	N	blood	E9 AtgH PBMC 30-10 lymph.fcs	9.66	45.6	4.94	2.46	72.8	1.47	12.3	13.4	78.6	5.17	6.27	9.96	30.7	0.24	4.03
30-21	28-Jul	E7 AtgH PBMC 30-21 lymph.fcs	AtgH	lab	6.912442396	2537330	M	N	N	blood	E7 AtgH PBMC 30-21 lymph.fcs	9.66	57.5	4.98	2.14	71.5	1.74	6.94	19.8	74.2	8.87	2.42	14.5	19.2	0.31	3.36
30-33	28-Jul	E10 AtgH PBMC 30-33 lymph.fcs	AtgH	lab	14.79820628	2537330	M	N	N	blood	E10 AtgH PBMC 30-33 lymph.fcs	10.3	55	5.64	2.33	80.3	0.77	8.97	10	86.3	6.83	1.24	5.59	20.7	0.22	2.86
30-36	28-Jul	E11 AtgH PBMC 30-36 lymph.fcs	AtgH	lab	8.75	2537330	M	N	N	blood	E11 AtgH PBMC 30-36 lymph.fcs	11.7	53.1	6.54	2.57	76.2	1.26	7.11	15.5	86.2	6.38	4.26	3.19	18	0.33	2.68
30-9	28-Jul	E8 AtgH PBMC 30-9 lymph.fcs	AtgH	lab	23.65145228	2537330	M	N	N	blood	E8 AtgH PBMC 30-9 lymph.fcs	12.9	45.7	6.53	2.97	76.7	0.95	12.4	9.91	85.6	8.33	3.47	2.55	26.5	0.26	4.14
31-27	28-Jul	D7 AtgW PBMC31-27 lymph.fcs	B6	lab	12	2537331	F	N	N	blood	D7 AtgW PBMC31-27 lymph.fcs	16	36.1	8.25	3.34	67.3	1.03	13.2	18.5	67.4	8.27	3.18	21.1	30.4	0.28	10.3
31-29	28-Jul	D8 AtgW PBMC31-29 lymph.fcs	B6	lab	7.52688172	2537331	F	N	N	blood	D8 AtgW PBMC31-29 lymph.fcs	20.7	29.9	11.9	3.15	56.1	2.7	28.9	12.3	71.5	5.11	2.96	20.4	23	0.5	7.57
31-31	28-Jul	D9 AtgW PBMC31-31 lymph.fcs	B6	lab	9.497206704	2537331	F	N	N	blood	D9 AtgW PBMC31-31 lymph.fcs	22.6	27.2	13.6	3.64	64.4	1.82	16.7	17.2	75.9	5.54	2.66	15.9	24	0.71	5.53
31-80	28-Jul	D10 AtgW PBMC31-80 lymph.fcs	B6	lab	3.141361257	2537331	F	N	N	blood	D10 AtgW PBMC31-80 lymph.fcs	30.1	16.4	16.7	6.06	72.8	0.46	5.92	20.8	67.6	5.7	2.43	24.3	23	0.52	30.2
