mouse_id	Flow.date	RFID	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	Sample.	Eosinphils	Neutrophils	Ly6C_Monocyte	CD11c_MHCII	CD103_CD11c_MHCII_DC	CD103neg_CD11c_MHCII_DC
2-3	28-Jul	E1 AtgE PBMC02-3 lymph.fcs	AtgE	lab	12.97297297	2547302	F	N	N	blood	B1 AtgE MLN 02-3 Myeloid.fcs	0.084	0.022	2.56	2.29	0.37	1.4
2-4	28-Jul	E2 AtgE PBMC02-4 lymph.fcs	AtgE	lab	17.11229947	2547302	F	N	N	blood	B2 AtgE MLN 02-4 Myeloid.fcs	0.11	0.021	2.77	2.04	0.3	1.15
2-7	28-Jul	E3 AtgE PBMC02-7 lymph.fcs	AtgE	lab	28.49162011	2547302	F	N	N	blood	B3 AtgE MLN 02-7 Myeloid.fcs	0.15	0.021	2.47	2.74	0.3	1.8
2-8	28-Jul	E4 AtgE PBMC02-8 lymph.fcs	AtgE	lab	11.42857143	2547302	F	N	N	blood	B4 AtgE MLN 02-8 Myeloid.fcs	0.091	0.00907	2.3	1.72	0.23	1.08
2-9	28-Jul	E5 AtgE PBMC02-9 lymph.fcs	AtgE	lab	15.90909091	2547302	F	N	N	blood	B5 AtgE MLN 02-9 Myeloid.fcs	0.13	0.016	2.13	2.03	0.32	1.25
30-10	28-Jul	E9 AtgH PBMC 30-10 lymph.fcs	AtgH	lab	18.56540084	2537330	M	N	N	blood	B9 AtgH MLN 30-10 Myeloid.fcs	0.15	0.13	0.96	3.03	0.36	1.73
30-21	28-Jul	E7 AtgH PBMC 30-21 lymph.fcs	AtgH	lab	6.912442396	2537330	M	N	N	blood	B7 AtgH MLN 30-21 Myeloid.fcs	0.049	0.013	1.03	1.78	0.29	0.86
30-33	28-Jul	E10 AtgH PBMC 30-33 lymph.fcs	AtgH	lab	14.79820628	2537330	M	N	N	blood	B10 AtgH MLN 30-33 Myeloid.fcs	0.085	0.027	0.92	2.37	0.24	1.46
30-36	28-Jul	E11 AtgH PBMC 30-36 lymph.fcs	AtgH	lab	8.75	2537330	M	N	N	blood	B11 AtgH MLN 30-36 Myeloid.fcs	0.044	0.021	1.07	2.97	0.37	1.65
30-9	28-Jul	E8 AtgH PBMC 30-9 lymph.fcs	AtgH	lab	23.65145228	2537330	M	N	N	blood	B8 AtgH MLN 30-9 Myeloid.fcs	0.055	0.04	1.03	2.62	0.41	1.48
31-27	28-Jul	D7 AtgW PBMC31-27 lymph.fcs	B6	lab	12	2537331	F	N	N	blood	A7 AtgW MLN 31-27 Myeloid.fcs	0.11	0.011	1.03	1.78	0.21	1.19
31-29	28-Jul	D8 AtgW PBMC31-29 lymph.fcs	B6	lab	7.52688172	2537331	F	N	N	blood	A8 AtgW MLN 31-29 Myeloid.fcs	0.083	0.00286	0.82	1.53	0.2	0.97
31-31	28-Jul	D9 AtgW PBMC31-31 lymph.fcs	B6	lab	9.497206704	2537331	F	N	N	blood	A9 AtgW MLN 31-31 Myeloid.fcs	0.084	0.00969	0.6	1.38	0.15	0.93
31-80	28-Jul	D10 AtgW PBMC31-80 lymph.fcs	B6	lab	3.141361257	2537331	F	N	N	blood	A10 AtgW MLN 31-80 Myeloid.fcs	0.079	0.00369	0.81	1.86	0.21	1.18
31-90	28-Jul	D11 AtgW PBMC31-90 lymph.fcs	B6	lab	23.16384181	2537331	F	N	N	blood	A11 AtgW MLN 31-90 Myeloid.fcs	0.11	0.00456	0.87	1.32	0.18	0.87
32-1	28-Jul	D1 AtgW PBMC 32-1 lymph.fcs	B6	lab	1.976284585	2537332	M	N	N	blood	H1 AtgW MLN 32-1 Myeloid.fcs	0.087	0.024	1.92	2.69	0.27	1.39
32-2	28-Jul	D2 AtgW PBMC 32-2 lymph.fcs	B6	lab	5.603448276	2537332	M	N	N	blood	H2 AtgW MLN 32-2 Myeloid.fcs	0.036	0.019	1.28	2.24	0.29	1.19
32-5	28-Jul	D3 AtgW PBMC 32-5 lymph.fcs	B6	lab	6.694560669	2537332	M	N	N	blood	H3 AtgW MLN 32-5 Myeloid.fcs	0.051	0.01	1.49	2.18	0.31	1.09
32-8	28-Jul	D4 AtgW PBMC 32-8 lymph.fcs	B6	lab	3.8647343	2537332	M	N	N	blood	H4 AtgW MLN 32-8 Myeloid.fcs	0.032	0.021	1.31	2.62	0.37	1.41
504848	10-Aug	D4 NOD2 504848 PBMC lymph.fcs	NOD2	wild	71.05263158	4	F	Y	N	blood	A4 NOD2 504848 MLN Myeloid.fcs	0.29	0.14	0.21	0.96	0.13	0.61
504849	4-Aug	D2 B6 504849 PBMC lymph.fcs	B6	wild	-3.765690377	7	M	N	N	blood	A2 B6 504849 MLN Myeloid.fcs	0.12	0.038	0.65	1.88	0.34	0.99
504851	10-Aug	E7 NOD2 504851 PBMC lymph.fcs	NOD2	wild	-13.20754717	8	M	N	N	blood	B7 NOD2 504851 MLN Myeloid.fcs	0.27	0.06	0.27	1.5	0.27	0.96
504852	4-Aug	D5 AtgE 504852 PBMC lymph.fcs	AtgE	wild	25	8	M	N	N	blood	A5 AtgE 504852 MLN Myeloid.fcs	0.052	0.04	0.47	0.96	0.21	0.44
504857	10-Aug	E11 NOD2 504857 PBMC lymph.fcs	NOD2	wild	9.452736318	3	F	Y	N	blood	B11 NOD2 504857 MLN Myeloid.fcs	0.21	0.27	0.24	1.13	0.17	0.71
504949	4-Aug	E8 AtgW 504949 PBMC lymph.fcs	B6	wild	7.843137255	8	M	N	N	blood	B8 AtgW 504949 MLN Myeloid.fcs	0.051	0.029	0.4	0.99	0.21	0.5
504950	10-Aug	E3 AtgE 504950 PBMC lymph.fcs	AtgE	wild	20.93023256	4	F	Y	Y	blood	B3 AtgE 504950 MLN Myeloid.fcs	0.099	0.051	0.36	1.31	0.3	0.78
504951	10-Aug	E12 AtgH 504951 PBMC lymph.fcs	AtgH	wild	8.695652174	7	M	N	Y	blood	B12 AtgH 504951 MLN Myeloid.fcs	0.031	0.038	0.22	1.21	0.12	0.84
504954	4-Aug	C3 AtgW 504954 PBMC lymph.fcs	B6	wild	54.83870968	3	F	Y	N	blood	G3 AtgW 504954 MLN Myeloid.fcs	0.12	0.12	0.85	2.29	0.48	1.11
505048	4-Aug	E7 AtgW 505048 PBMC lymph.fcs	B6	wild	-4.867256637	8	M	N	N	blood	B7 AtgW 505048 MLN Myeloid.fcs	0.045	0.055	0.68	1.26	0.23	0.57
505049	4-Aug	E6 AtgW 505049 PBMC lymph.fcs	B6	wild	2.941176471	8	M	N	N	blood	B6 AtgW 505049 MLN Myeloid.fcs	0.015	0.018	0.16	0.053	0.011	0.031
505050	4-Aug	E3 NOD2 505050 PBMC lymph.fcs	NOD2	wild	0	7	M	N	N	blood	B3 NOD2 505050 MLN Myeloid.fcs	0.21	0.059	0.39	1.22	0.26	0.6
505054	4-Aug	D9 AtgE505054 PBMC lymph.fcs	AtgE	wild	51.78571429	3	F	N	N	blood	A9 AtgE505054 MLN Myeloid.fcs	0.1	0.06	0.47	1.85	0.29	1.06
505055	10-Aug	E11 AtgH 505055 PBMC lymph.fcs	AtgH	wild	10.59907834	7	M	N	N	blood	B11 AtgH 505055 MLN Myeloid.fcs	0.049	0.024	0.2	0.64	0.11	0.39
505057	4-Aug	D6 NOD2 505057 PBMC lymph.fcs	NOD2	wild	-0.462962963	7	M	N	N	blood	H6 NOD2 505057 MLN Myeloid.fcs	0.21	0.18	0.51	1.17	0.27	0.6
505148	10-Aug	D1 B6 505148 PBMC lymph.fcs	B6	wild	19.04761905	3	F	N	N	blood	A1 B6 505148 MLN Myeloid.fcs	0.21	0.045	0.27	1.35	0.27	0.77
