mouse_id	Flow.date	RFID	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	Sample.	Total_T_cells	Total_B_cells	CD4_T_cells	CD8_T_cells	Naive_CD4_T_cells	Central_Memory_CD4_T_cells	Effector_Memory_CD4_T_cells	Effector_CD4_T_cells	Naive_CD8_T_cells	Central_Memory_CD8_T_cells	Effector_Memory_CD8_T_cells	Effector_CD8_T_cells	Total_Dump_Myeloid_cells	Treg_cells	Total_Immune_cells
2-3	28-Jul	E1 AtgE PBMC02-3 lymph.fcs	AtgE	lab	12.97297297	2547302	F	N	N	blood	H1 AtgE MLN 02-3 lymph.fcs	37.6	32.2	15.2	9.23	62.1	5.71	18.2	13.9	57	4	5.07	33.9	4.86	2.27	96.5
2-4	28-Jul	E2 AtgE PBMC02-4 lymph.fcs	AtgE	lab	17.11229947	2547302	F	N	N	blood	H2 AtgE MLN 02-4 lymph.fcs	38.4	32.4	14.8	10.3	61.4	4.57	20.7	13.4	64.4	4.85	4.76	26	4.24	2.39	93.6
2-7	28-Jul	E3 AtgE PBMC02-7 lymph.fcs	AtgE	lab	28.49162011	2547302	F	N	N	blood	H3 AtgE MLN 02-7 lymph.fcs	41.4	29.4	17.3	10.9	65.1	4.66	17.7	12.5	64.7	3.81	4.39	27.1	5.35	2.68	93
2-8	28-Jul	E4 AtgE PBMC02-8 lymph.fcs	AtgE	lab	11.42857143	2547302	F	N	N	blood	H4 AtgE MLN 02-8 lymph.fcs	40.7	26.4	16.6	9.21	68.8	3.9	14.3	13.1	47.4	2.01	5.55	45	3.84	2.15	96
2-9	28-Jul	E5 AtgE PBMC02-9 lymph.fcs	AtgE	lab	15.90909091	2547302	F	N	N	blood	H5 AtgE MLN 02-9 lymph.fcs	36.2	35.1	14.2	9.76	58.2	3.99	18.2	19.7	38.3	2	5.64	54	4.57	2.28	94.1
30-10	28-Jul	E9 AtgH PBMC 30-10 lymph.fcs	AtgH	lab	18.56540084	2537330	M	N	N	blood	H9 AtgH MLN 30-10 Myeloid.fcs	32.5	33.1	12.1	6.84	41	4.28	17	37.7	21.8	1.94	8.3	67.9	6.21	1.78	91
30-21	28-Jul	E7 AtgH PBMC 30-21 lymph.fcs	AtgH	lab	6.912442396	2537330	M	N	N	blood	H7 AtgH MLN 30-21 Myeloid.fcs	36.5	30.9	14.2	8.44	51.6	3.12	15.2	30.1	42.1	2.92	6.14	48.8	3.8	2.11	91
30-33	28-Jul	E10 AtgH PBMC 30-33 lymph.fcs	AtgH	lab	14.79820628	2537330	M	N	N	blood	H10 AtgH MLN 30-33 Myeloid.fcs	32.5	37.8	12.3	6.88	45.8	3.49	13.2	37.5	36.8	2.66	5.14	55.4	4.76	1.52	94.5
30-36	28-Jul	E11 AtgH PBMC 30-36 lymph.fcs	AtgH	lab	8.75	2537330	M	N	N	blood	H11 AtgH MLN 30-36 Myeloid.fcs	38.1	29.2	15.4	7.49	51	3.65	11.2	34.2	28.5	2.21	6.82	62.5	5.42	2.24	86.1
30-9	28-Jul	E8 AtgH PBMC 30-9 lymph.fcs	AtgH	lab	23.65145228	2537330	M	N	N	blood	H8 AtgH MLN 30-9 Myeloid.fcs	34.2	29.7	12.3	7.18	49.7	4.25	14.1	31.9	36.3	2.32	6.01	55.3	5.31	1.85	92.3
31-27	28-Jul	D7 AtgW PBMC31-27 lymph.fcs	B6	lab	12	2537331	F	N	N	blood	G7 AtgW MLN31-27 lymph.fcs	55.1	10	23.5	12.5	47.4	2.83	18.2	31.6	21.3	1.44	6.03	71.2	1.36	2.98	96.1
31-29	28-Jul	D8 AtgW PBMC31-29 lymph.fcs	B6	lab	7.52688172	2537331	F	N	N	blood	G8 AtgW MLN31-29 lymph.fcs	52.6	8.28	24.1	10	52.8	2.7	14	30.5	21.8	0.92	4.15	73.1	1.08	3.23	95.6
31-31	28-Jul	D9 AtgW PBMC31-31 lymph.fcs	B6	lab	9.497206704	2537331	F	N	N	blood	G9 AtgW MLN31-31 lymph.fcs	53.5	11.2	24.3	10.9	48.1	2.4	13.6	35.9	19.6	0.98	4.34	75.1	0.96	3.52	96.7
31-80	28-Jul	D10 AtgW PBMC31-80 lymph.fcs	B6	lab	3.141361257	2537331	F	N	N	blood	G10 AtgW MLN31-80 lymph.fcs	52.1	9.65	22.8	11.1	61.2	2.11	13.4	23.4	37.6	1.55	3.81	57.1	1.15	2.59	95.1
31-90	28-Jul	D11 AtgW PBMC31-90 lymph.fcs	B6	lab	23.16384181	2537331	F	N	N	blood	G11 AtgW MLN31-90 lymph.fcs	52	14	22	12.4	58.7	4.74	13.1	23.4	26.9	1.22	4.8	67.1	1.14	2.12	95.7
32-1	28-Jul	D1 AtgW PBMC 32-1 lymph.fcs	B6	lab	1.976284585	2537332	M	N	N	blood	F1 AtgW MLN 32-1 lymph.fcs	29.6	42.6	13.2	7.08	52.9	3	15.5	28.7	41.9	3.74	7.15	47.2	5.65	2.19	90.8
32-2	28-Jul	D2 AtgW PBMC 32-2 lymph.fcs	B6	lab	5.603448276	2537332	M	N	N	blood	F2 AtgW MLN 32-2 lymph.fcs	33.8	38.2	15.2	8.59	60.8	3.25	12.5	23.5	47.9	4.19	4.74	43.1	4.85	2.28	90.4
32-5	28-Jul	D3 AtgW PBMC 32-5 lymph.fcs	B6	lab	6.694560669	2537332	M	N	N	blood	F3 AtgW MLN 32-5 lymph.fcs	30	44.4	13.9	7	38.4	2.71	16	42.9	23.3	3.11	8.89	64.7	4.7	2.35	90.9
32-8	28-Jul	D4 AtgW PBMC 32-8 lymph.fcs	B6	lab	3.8647343	2537332	M	N	N	blood	F4 AtgW MLN 32-8 lymph.fcs	34.9	38.4	16.4	8.88	55.2	3.75	14.3	26.7	41	4.05	6	49	5.88	2.71	91.1
504848	10-Aug	D4 NOD2 504848 PBMC lymph.fcs	NOD2	wild	71.05263158	4	F	Y	N	blood	G4 NOD2 504848 MLN lymph.fcs	57.1	24.7	28.7	12.2	27.9	5.01	27.4	39.7	13.7	1.23	9.33	75.8	4.5	4.01	81.5
504849	4-Aug	D2 B6 504849 PBMC lymph.fcs	B6	wild	-3.765690377	7	M	N	N	blood	G2 B6 504849 MLN lymph.fcs	65.8	21.9	35.9	27	26.7	2.38	18.6	52.2	15	1.56	9.12	74.3	5.07	4.82	86
504851	10-Aug	E7 NOD2 504851 PBMC lymph.fcs	NOD2	wild	-13.20754717	8	M	N	N	blood	H7 NOD2 504851 MLN lymph.fcs	53.6	27.6	26.9	12.9	21.6	5.27	22.4	50.7	13.5	2.08	9.54	74.8	5.82	4.56	90.3
504852	4-Aug	D5 AtgE 504852 PBMC lymph.fcs	AtgE	wild	25	8	M	N	N	blood	G5 AtgE 504852 MLN lymph.fcs	66.6	23.4	39.6	24.3	47.4	2.96	15.3	34.3	31.6	1.8	7.47	59.1	2.62	4.83	91.6
504857	10-Aug	E11 NOD2 504857 PBMC lymph.fcs	NOD2	wild	9.452736318	3	F	Y	N	blood	H11 NOD2 504857 MLN lymph.fcs	50.8	29.7	25.4	14.4	30.8	7.64	27.2	34.3	19.8	2.22	9.72	68.2	5.67	4.15	83.9
