mouse_id	MCP_1_CCL2-Bacillus_S	MCP_1_CCL2-Bacteroides_V	MCP_1_CCL2-Candida_A	MCP_1_CCL2-CD3_CD28	MCP_1_CCL2-Clostridium_P	MCP_1_CCL2-PBS	MCP_1_CCL2-Pseudomonas_A	MCP_1_CCL2-Staph_A	IL_1a-Bacillus_S	IL_1a-Bacteroides_V	IL_1a-Candida_A	IL_1a-CD3_CD28	IL_1a-Clostridium_P	IL_1a-PBS	IL_1a-Pseudomonas_A	IL_1a-Staph_A	IL_5-Bacillus_S	IL_5-Bacteroides_V	IL_5-Candida_A	IL_5-CD3_CD28	IL_5-Clostridium_P	IL_5-PBS	IL_5-Pseudomonas_A	IL_5-Staph_A	IFN_y-Bacillus_S	IFN_y-Bacteroides_V	IFN_y-Candida_A	IFN_y-CD3_CD28	IFN_y-Clostridium_P	IFN_y-PBS	IFN_y-Pseudomonas_A	IFN_y-Staph_A	TNF_a-Bacillus_S	TNF_a-Bacteroides_V	TNF_a-Candida_A	TNF_a-CD3_CD28	TNF_a-Clostridium_P	TNF_a-PBS	TNF_a-Pseudomonas_A	TNF_a-Staph_A	KC_CXCL1-Bacillus_S	KC_CXCL1-Bacteroides_V	KC_CXCL1-Candida_A	KC_CXCL1-CD3_CD28	KC_CXCL1-Clostridium_P	KC_CXCL1-PBS	KC_CXCL1-Pseudomonas_A	KC_CXCL1-Staph_A	IL_1b-Bacillus_S	IL_1b-Bacteroides_V	IL_1b-Candida_A	IL_1b-CD3_CD28	IL_1b-Clostridium_P	IL_1b-PBS	IL_1b-Pseudomonas_A	IL_1b-Staph_A	IL_10-Bacillus_S	IL_10-Bacteroides_V	IL_10-Candida_A	IL_10-CD3_CD28	IL_10-Clostridium_P	IL_10-PBS	IL_10-Pseudomonas_A	IL_10-Staph_A	MIP_1a_CCL3-Bacillus_S	MIP_1a_CCL3-Bacteroides_V	MIP_1a_CCL3-Candida_A	MIP_1a_CCL3-CD3_CD28	MIP_1a_CCL3-Clostridium_P	MIP_1a_CCL3-PBS	MIP_1a_CCL3-Pseudomonas_A	MIP_1a_CCL3-Staph_A	MIP_1b_CCL4-Bacillus_S	MIP_1b_CCL4-Bacteroides_V	MIP_1b_CCL4-Candida_A	MIP_1b_CCL4-CD3_CD28	MIP_1b_CCL4-Clostridium_P	MIP_1b_CCL4-PBS	MIP_1b_CCL4-Pseudomonas_A	MIP_1b_CCL4-Staph_A	IL_17-Bacillus_S	IL_17-Bacteroides_V	IL_17-Candida_A	IL_17-CD3_CD28	IL_17-Clostridium_P	IL_17-PBS	IL_17-Pseudomonas_A	IL_17-Staph_A	IL_6-Bacillus_S	IL_6-Bacteroides_V	IL_6-Candida_A	IL_6-CD3_CD28	IL_6-Clostridium_P	IL_6-PBS	IL_6-Pseudomonas_A	IL_6-Staph_A	IL_13-Bacillus_S	IL_13-Bacteroides_V	IL_13-Candida_A	IL_13-CD3_CD28	IL_13-Clostridium_P	IL_13-PBS	IL_13-Pseudomonas_A	IL_13-Staph_A
30-10	4.4755536	0	0	17.98121209	8.258134474	10.13254387	8.70242445	9.404586153	2.6244844	0	1.326990353	2.384245481	3.24297444	3.055878071	2.894192932	3.101562219	4.816186269	0	1.156878892	63.0288523	14.60786136	7.691960846	4.291536939	8.011208004	103.0871379	0	51.16471885	5769.040839	25.35226864	22.57898412	50.10676204	19.40262267	6.715615251	1.04286141	9.702475353	128.581516	4.932580147	9.926435304	29.98779917	4.100716993	37.84326218	0	2.363984104	48.50359083	18.08237541	285.6963756	23.35508122	21.55927521	5.13354325	0	0	3.945150682	7.559686186	6.421232328	7.714690827	8.565943891	1	1	1	118.2646336	22.75729565	103.9976679	147.5177185	35.348499	75.73651527	4.286304707	42.55805968	305.1358924	22.05788886	165.9483045	135.8574973	25.95838988	14.84900437	0	0	258.7486013	43.27599299	50.96375884	60.80314637	38.47013853	4.585544305	1.894307963	0	317.6288261	25.82107982	12.46944373	5.739439612	9.664664291	215.3728576	1	57.34053357	155.7454128	65.77969505	162.4830801	64.63018635	65.05846775	1.86079013	0	0	4.464669789	7.598879188	4.478352861	6.671845105	6.411735441
30-21	13.48047952	6.303463081	5.335198431	9.138022121	6.620552594	11.40050304	13.5965057	41.07486899	3.825977943	2.758208163	2.454791111	2.568868542	2.907191124	3.342454685	5.407190605	0	10.1168561	4.83760132	4.152511091	9.239999619	6.425913718	8.136914214	6.595776903	11.19970745	20.391538	5.447804969	90.90582	21.26443394	11.42162874	18.4865844	1133.882917	1946.089361	12.05723457	25.28037837	7.624262868	3.712195091	3.621944487	7.128618445	26.1714979	35.02788947	462.1451678	25.01979888	27.29847382	31.09753456	15.20193789	67.35046682	163.5625392	513.9943573	12.81395695	4.509955221	4.551397441	15.6139837	7.827815597	11.50212159	7.195903118	4.751750943	87.07033307	1	30.06495458	135.7825722	1	143.1616517	108.7562244	1	154.812653	42.51223783	116.7459471	13.49043526	8.873066926	115.2679255	388.5146429	284.554978	53.42216036	15.54244918	18.66113893	31.25822814	13.98239657	60.15414544	131.557557	0	12.78733296	4.392042488	7.626822934	7.261794631	6.928734442	10.95082455	9.971414922	30.12194808	107.643391	1	149.8184402	76.69825345	1	100.8178646	185.3682278	151.6917374	9.41919068	4.372540216	4.399795577	5.282346472	4.512598698	7.587662938	8.718291246	16.20941183
30-33	12.58957448	9.016941452	2.470952078	6.753508087	1.253076633	15.36912362	11.04586302	12.13850476	4.267842092	2.895636196	1.655825874	2.42078525	1.309590063	3.378877136	3.615677435	4.584893774	13.33312849	8.502001042	5.561836504	36.35642057	20.28296128	9.42313157	7.65231833	0	1256.078136	5.687646663	64.09641842	1908.746846	2845.384056	471.0192647	76.61829942	17.30322709	16.75081103	4.029144896	3.417302119	46.46423048	46.7674774	11.76994782	26.86552195	17.20501606	526.2748115	16.79139888	11.9140891	21.74521402	3.719360338	101.4124227	64.712039	37.60419678	9.024308772	8.676521658	4.882374128	3.017664757	0	8.83079339	10.91559234	2.792935405	275.1421212	80.80068705	1	1	1	171.9702715	190.1440099	1	329.4659237	15.59939141	54.71713383	246.7232793	240.5295447	241.5971122	144.5738042	17.63329784	98.03418126	11.99168219	18.83418976	146.2807956	134.9469831	64.10066306	71.11155432	0	11.77322945	8.090146372	0	35.20497127	71.25212371	4.04445756	5.08324706	4.93644294	179.4378516	48.864409	1	104.886428	92.50560499	185.7475813	96.3120272	1	10.05133542	4.16929239	2.415346949	9.587462816	0	7.759865112	9.358059714	0
30-36	9.152555586	7.776679213	1.379721879	12.02203299	3.642097797	9.254311276	9.394888837	1	4.254721549	4.3881626	1.474949809	3.862463608	1.604027228	3.754920793	2.93179726	9.346846131	8.116764015	3.189796234	0	6.076483216	3.061645845	5.837847674	4.975416099	23.80621141	13.50219317	7.686910522	64.4440298	70.30921439	1.492024392	10.10648558	6.033733772	0	5.406378748	7.731074968	3.743811237	14.35356282	5.123662027	9.108985377	7.685735527	1	36.60594266	28.25603934	9.083325475	181.6560482	14.23567615	86.59563026	40.27773694	938.0975217	15.99303208	6.530045161	0	5.271129988	1.864341396	10.16520789	7.024667097	21.74677706	53.70345924	17.43512547	1	1	1	105.415833	60.31997207	144.8682921	24.41316169	185.3862112	36.84600929	109.1207518	11.42413523	70.37117123	107.6174184	543.6410376	56.11135251	90.49218246	0	16.51756155	0	32.05791922	34.11176673	265.1096579	15.22239352	5.152620827	0	8.270327887	1.326530526	7.749838693	6.012024609	54.65713969	62.8695527	101.4395829	65.55241276	78.19495365	68.23161104	64.39627168	76.06528054	1	6.444620743	10.61677933	0	7.669962278	3.736456409	7.293055523	6.400779388	0
30-9	7.73343675	9.962591546	1.925551957	14.28683441	11.63363503	15.5465974	8.05571513	10.42883444	2.317095184	2.749695027	1.109747329	4.244889651	2.782377646	3.98221831	2.991430472	3.508922769	3.717958481	4.12003493	0	12.04037045	8.573506409	6.034964582	6.332138187	8.096627947	7.349276602	9.851683546	326.9676161	25.45411123	8.134612238	8.56696254	101.2390871	110.710043	4.01748184	4.918978678	5.985225272	8.119554139	4.763778006	6.661669698	13.41985805	43.51370203	25.95915521	6.592322039	6.129307482	67.95912341	12.47642837	277.1221248	81.09692265	98.09312352	4.52651959	5.180732927	0	10.66127752	5.79069867	5.535944277	8.412531724	9.184507237	1	26.98053778	1	59.7382077	1	1	101.6737685	123.014058	57.12397513	27.02089268	81.18461014	60.88486493	13.10668881	105.0463963	231.664804	144.5494398	11.97007475	49.12070013	0	1.581540702	15.21738999	32.62500929	67.93529851	60.34518732	5.538053744	10.5285362	1.450070189	39.57348807	4.413867167	6.08581503	7.382793951	14.27351008	78.49055818	78.6439659	62.24584234	1	85.30158355	91.11776256	129.9364107	83.89333168	2.710747868	9.847959592	0	20.45537107	4.557199076	7.081440239	6.459244642	7.917490753
32-1	9.399737459	3.052437107	4.381002573	1.697926126	22.3419414	4.507143243	7.086916672	2.367759813	2.799481888	1.59701092	1.951303884	1.553995782	6.010987308	1.171482818	3.077954747	1.308505435	7.776397126	5.733273207	2.586673588	2.019682455	8.374727549	2.056707071	6.795654709	1.979891304	197.5765539	689.3172629	0	577.297753	10001	41.86761458	17.62300202	305.9097054	17.58380644	14.68021981	1.34198153	4.956776279	84.28838209	9.137138339	2.894661501	14.00852728	104.2285781	1.273966412	5.301736701	18.51432049	170.6409274	48.17803439	13.49770115	6.966548245	8.06927459	0	4.472746743	5.74216774	9.643418543	2.200869258	11.05557478	3.338464084	21.83105312	1	1	1	282.5739986	1	102.274685	1	126.4093935	199.1370906	6.367445923	140.3009617	521.8275086	49.96229076	11.35261227	105.2918355	31.65830093	39.35520182	0	28.5302307	214.8074676	0	45.41865512	33.12830551	8.751525193	75.44920824	3.053805004	3.290658482	23.4419513	6.657051717	13.36634102	30.81894199	99.53188708	73.24434263	1	178.2788113	626	92.26498695	61.30115264	12.32031528	6.62043443	5.723894002	1.551683076	1.275837821	9.510946581	1.510829499	4.973014644	0
32-2	14.24344016	3.970901689	3.276337857	0	10.5114214	1	11.45879125	2.559113615	4.221976975	1.670057761	1.991677817	1.025508453	4.728291637	0	5.014038992	1.344477413	14.67195613	2.593479161	2.078434492	0	15.66982701	0	9.021518051	1.751130404	727.9349676	58.91057313	1059.48731	0	36.52730914	0	3453.157117	0	12.72535645	11.73921371	8.47119197	1.94595569	22.30650063	0	30.70630764	12.30580992	90.85356082	17.23954669	32.03746568	0	50.88363146	0	91.40417488	38.63697526	13.6167365	4.190368724	2.792935405	0	18.81136173	1	10.94556755	4.033097332	299.9255262	57.98772151	1	1	78.66324529	1	120.5018202	1	330.5050171	28.39608143	149.2114984	5.781871249	108.7710008	10.51373033	255.6935568	17.6523956	130.9790121	17.77380442	18.37986688	0	42.11733995	0	73.88797452	0	24.99879873	0	2.748558922	0	24.90367935	0	7.345895857	2.817217452	133.7689518	1	142.171742	1	41.60105084	1	140.0474711	33.92741615	14.96080312	3.156321358	1.85807422	0	9.071954028	0	9.377159679	2.169612067
32-5	11.02642885	3.63775044	5.288939332	2.246200128	9.685923319	2.076582118	12.64289638	2.068957112	4.23833911	1.534378365	1.495422214	1.59701092	3.825977943	1.358749252	4.215437815	1.573705487	9.665259768	2.252431711	1.877406683	16.42384307	25.00541353	1.234976454	9.099385591	2.878547158	5734.176784	1.636857523	23.64289506	1307.532092	12542.91651	300.7490011	38.07388288	0	28.8782641	1.870197699	9.660762182	27.41477787	83.17292898	5.407913697	19.38837381	1.528959142	180.1366772	3.003932673	15.6617463	3.83424167	22.06489836	41.41294555	50.02645967	1.103674715	14.73901549	5.20221957	0	2.273871726	8.835622211	1.471261398	15.39100329	1.089794668	187.1132268	1	1	1	92.48070365	1	135.7130289	1	384.9453877	7.134787039	69.7121571	198.1429337	677.873904	141.9352151	67.18306895	4.064288877	160.0530468	0	10.52470925	88.00087552	308.9536867	3.941545511	54.04805773	0	17.91873426	4.361559192	0	85.40883411	171.6692266	1.485173055	9.924923566	1.632412733	626	25.87870742	55.93177965	81.1579563	104.9142948	162.0623976	79.22690445	1	9.545373018	3.446630936	0	2.287190207	8.460558649	0	10.11278672	0
32-8	14.35914154	9.962591546	3.891509017	0	10.74462711	1.524086798	3.834353722	1.785064846	3.962977834	3.954969897	1.611054892	1.211243603	4.95715812	1.009757732	1.536681492	1.486310371	11.706791	7.691960846	1.719435219	1.785991051	14.43916922	1.069525011	1.156878892	1.464301139	439.9556424	702.6814391	276.7240948	0	24.10129537	78.56942785	1004.586513	307.5871969	11.10952425	16.35081893	6.761678395	1.673913662	7.125415607	3.938921388	7.284202648	7.457988743	112.1820615	25.06107236	18.28529428	1.060100275	31.01105285	14.93760646	156.4175099	7.671271226	9.638517077	6.376016783	5.527210331	0	13.52957133	2.549678122	3.743479109	0	110.6745714	16.49011847	1	1	175.6126399	1	1	1	207.1387236	52.62195312	95.84583096	6.83887128	32.77594137	67.35186059	98.54977233	33.54018597	70.76250308	30.3511414	0	0	58.08239491	0	4.823020175	0	11.15478646	14.49952657	2.071448151	0	17.35473851	13.68393813	3.228824721	0	127.3124794	94.64844808	137.9329539	1	82.72761978	65.12940483	134.8039178	83.78044659	11.26499513	5.734653135	2.943693075	0	16.06659482	0	1.001263862	1.85807422
504849	7.039202803	4.019561627	5.777192295	1.359467616	6.872421194	6.364865442	1	0	3.199582296	2.486222295	2.532939996	1.569059631	4.474519312	1.572543546	0	1.056295438	6.141245614	2.356300227	4.1240895	1.014577384	5.59329041	2.066007149	1.300144853	1.001053429	60.38144841	48.40654038	5.265782024	4.244868824	3133.329332	5.480226861	0	0	10.26353843	5.530938203	2.44385753	3.992718716	14.59105669	14.22625129	0	1.934732133	24.36159384	50.29121675	9.700965953	8.351622781	81.12923995	30.10594647	0	7.680839325	10.29384368	3.727794807	5.601557864	0	8.326464611	3.716044487	0	0	106.6807875	1	1	1	19.87585497	84.10394981	1	1	47.27334253	109.8202425	9.07939852	40.75941148	198.8573452	59.18334352	4.348499509	9.924461663	43.45852515	19.89338464	2.424350219	0	53.2262795	0	2.385350854	0	9.664664291	4.257679562	3.201926952	0	13.19568527	17.51059744	0	0	74.67169928	76.89826703	1	39.80134265	134.8487904	68.3626652	1	1	4.746878556	3.938218977	4.505745186	0	6.375226447	2.084746898	0	0
