CCL2_BacillusS	CCL2_BacteroidesV	CCL2_CandidaA	CCL2_CD3.CD28	CCL2_ClostridiumP	CCL2_PBS	CCL2_PseudomonasA	CCL2_StaphA	IL.1a_BacillusS	IL.1a_BacteroidesV	IL.1a_CandidaA	IL.1a_CD3.CD28	IL.1a_ClostridiumP	IL.1a_PBS	IL.1a_PseudomonasA	IL.1a_StaphA	IL.5_BacillusS	IL.5_BacteroidesV	IL.5_CandidaA	IL.5_CD3.CD28	IL.5_ClostridiumP	IL.5_PBS	IL.5_PseudomonasA	IL.5_StaphA	IFN.y_BacillusS	IFN.y_BacteroidesV	IFN.y_CandidaA	IFN.y_CD3.CD28	IFN.y_ClostridiumP	IFN.y_PBS	IFN.y_PseudomonasA	IFN.y_StaphA	TNF.a_BacillusS	TNF.a_BacteroidesV	TNF.a_CandidaA	TNF.a_CD3.CD28	TNF.a_ClostridiumP	TNF.a_PBS	TNF.a_PseudomonasA	TNF.a_StaphA	CXCL1_BacillusS	CXCL1_BacteroidesV	CXCL1_CandidaA	CXCL1_CD3.CD28	CXCL1_ClostridiumP	CXCL1_PBS	CXCL1_PseudomonasA	CXCL1_StaphA	IL.1b_BacillusS	IL.1b_BacteroidesV	IL.1b_CandidaA	IL.1b_CD3.CD28	IL.1b_ClostridiumP	IL.1b_PBS	IL.1b_PseudomonasA	IL.1b_StaphA	IL.10_BacillusS	IL.10_BacteroidesV	IL.10_CandidaA	IL.10_CD3.CD28	IL.10_ClostridiumP	IL.10_PBS	IL.10_PseudomonasA	IL.10_StaphA	CCL3_BacillusS	CCL3_BacteroidesV	CCL3_CandidaA	CCL3_CD3.CD28	CCL3_ClostridiumP	CCL3_PBS	CCL3_PseudomonasA	CCL3_StaphA	CCL4_BacillusS	CCL4_BacteroidesV	CCL4_CandidaA	CCL4_CD3.CD28	CCL4_ClostridiumP	CCL4_PBS	CCL4_PseudomonasA	CCL4_StaphA	IL.17_BacillusS	IL.17_BacteroidesV	IL.17_CandidaA	IL.17_CD3.CD28	IL.17_ClostridiumP	IL.17_PBS	IL.17_PseudomonasA	IL.17_StaphA	IL.6_BacillusS	IL.6_BacteroidesV	IL.6_CandidaA	IL.6_CD3.CD28	IL.6_ClostridiumP	IL.6_PBS	IL.6_PseudomonasA	IL.6_StaphA	IL.13_BacillusS	IL.13_BacteroidesV	IL.13_CandidaA	IL.13_CD3.CD28	IL.13_ClostridiumP	IL.13_PBS	IL.13_PseudomonasA	IL.13_StaphA
2.363813077	3.361688939	0	4.67015775	6.364865442	5.758494965	1.541565504	5.660454362	1.607539642	1.087435565	0	1.911228415	1.572543546	1.408588849	1.123013825	2.465707893	0	0	0	4.071490817	2.066007149	2.882095232	2.109638612	2.637888564	85.24759201	28.19282328	0	125.3705788	5.480226861	0	110.145808	335.584357	4.265169388	9.336178569	0	4.861621037	14.22625129	1.70523811	4.587044175	23.69438279	10.89109036	64.39275038	0	3.208086389	30.10594647	2.352372836	14.49621256	20.26925136	1.291031618	0	0	1.720390608	3.716044487	2.190979391	2.092952067	3.069184041	1	1	1	1	84.10394981	1	1	1	81.71517662	159.5478998	1.764876934	58.13490195	59.18334352	1.967485153	200.9812921	120.7676588	0	5.737179947	0	23.14714257	0	5.883560167	18.27166511	72.24746171	1.635254071	1.839881754	0	19.40581082	17.51059744	5.845977111	2.571396915	6.954559875	43.75021753	125.0393969	1	1	68.3626652	21.24899892	61.53460997	51.78636574	1.790578596	0	0	2.229608573	2.084746898	0	1.901675255	3.687221975
0	0	4.543289274	1.694323017	1	2.923100984	1.359467616	4.742896423	1.030450063	0	1.827070852	1.497703418	0	2.339850728	1.569059631	2.953567008	0	0	3.804266333	2.330154076	0	2.797412651	1.014577384	3.149304666	0	0	7.573612606	84.33966466	0	2.079766646	4.244868824	10.23492744	2.279297449	1.511375371	2.213446344	6.392926585	1	1.546596255	3.992718716	4.153447722	24.06130327	4.609331663	5.03133079	4.19539967	1	7.999064292	8.351622781	10.38592217	1.020070945	0	4.485140105	2.62292622	1	0	0	2.750101222	1	1	1	1	1	1	1	1	19.4760587	17.77187979	4.858967929	83.24673419	1	0	40.75941148	66.12284156	6.408185172	0	4.349869195	30.73113027	0	0	0	49.77606128	0	4.019164426	2.645179718	4.04445756	0	26.94473988	0	4.01495507	24.08223694	123.5275738	12.9729064	1	1	1	39.80134265	1	0	0	1.515916726	0	0	0	0	2.045490256
0	0	1	4.985035481	1	7.983492979	1.417098705	5.409323517	1.200730947	0	0	2.13270486	0	0	1.041354195	1.880128788	0	0	0	2.339944966	0	4.633358659	0	0	0	33.78492551	0	101.9717834	0	32.20742165	0	211.4932474	1.349923539	2.420190296	0	6.210519726	1.218902516	2.606942549	1.716115524	5.894850195	1.531117097	10.120569	1	3.972623563	0	24.55314494	2.613948015	29.29181072	0	1	0	2.044540442	0	12.33081991	0	3.161872408	1	1	1	1	193.7056819	90.78773986	1	1	17.27623001	29.80648748	0	102.6289518	3.44143094	6.977348896	28.96824577	26.05269866	0	0	0	60.03945652	0	0	0	11.19283661	0	0	0	8.160970763	1.460828285	16.89590317	1.008390522	2.144961817	1	131.0209279	1	1	31.3857342	40.19062713	33.53442457	1	0	0	0	0	0	2.181002869	0	0
0	1	0	2.960521488	2.530980088	7.139432544	0	2.423187906	1.056295438	0	0	1.891303409	1.174603295	1.349959848	0	1.244054997	1.001053429	0	0	4.769186901	1.217692629	2.265310461	0	0	0	77.17472722	0	233.4283351	1.469505014	0	7.042733723	5.233961386	1.934732133	2.316939792	0	14.25588867	2.98234692	1.695584071	2.539038371	4.899343414	7.680839325	14.15308181	0	0	16.05207048	2.220771348	22.92302322	8.391138618	0	0	0	3.653564145	0	3.802469349	0	0	1	1	1	1	210.2260528	1	1	1	9.924461663	28.33739197	0	103.0277476	4.961881506	2.50313503	47.45937737	14.55206365	0	0	0	29.20880998	0	0	0	4.514033556	0	0	0	11.96308969	1.285689381	12.4818677	0	0	1	120.2903876	1	54.86283848	1	1	49.723738	1	0	0	0	1.624021688	0	0	0	0
5.912960386	1.073872584	1	4.394489569	4.032850911	3.64644616	5.488226784	3.348857371	0	0	0	2.778107196	2.165233777	1.36535542	3.254979095	2.423499621	0	0	1.300144853	6.978045428	2.062905176	2.081546184	4.532374725	4.336859876	2.846411097	0	0	317.1087158	8.3823377	0	2.480833057	6.837656478	1.731858231	2.114886354	0	14.27855687	6.82051584	4.908404181	3.950541694	2.435962692	9.784391964	5.260394888	0	17.95586952	59.5237259	1	12.09312075	5.911443701	0	0	0	7.010821793	5.910237646	2.940914403	3.058120672	3.57204463	1	1	1	39.32356449	595.5496577	1	1	1	62.30315814	45.19298229	4.348499509	124.9643276	39.61793406	8.105455293	63.69429137	4.670996226	0	0	2.385350854	71.77169016	50.07345324	0	19.9797881	0	1.171748303	0	0	16.52697896	2.890275145	0	1.512448027	4.696926929	64.34209634	149.1802089	1	27.03921602	152.2144446	1	51.91147549	17.6465242	0	0	0	1.290282015	8.85503889	0	6.353336457	2.281412878
8.494626358	10.05970175	9.133177808	8.504286162	7.039202803	7.699814779	7.21109552	7.618202728	3.263992318	3.889503699	4.038508532	3.174236788	3.199582296	3.157872853	2.627275989	3.026526115	8.242933443	9.850562384	9.470376701	10.40648726	6.141245614	6.131980636	5.975152224	5.584297713	17.46283464	1586.256605	25.16930909	838.0807726	60.38144841	10.81409169	1115.543704	245.3813722	6.868276729	15.04618879	4.89330449	36.00307917	10.26353843	3.601947242	10.12081497	13.87284606	26.61298355	53.01040568	28.82260811	19.38647319	24.36159384	19.45102705	22.8691546	22.53318281	15.39100329	9.913614987	11.65316764	6.299318963	10.29384368	8.772884332	7.112489496	8.908110694	93.78429834	184.4368796	102.1996163	100.6954864	106.6807875	80.80068705	45.59220375	114.413105	147.5690795	374.3328615	15.01602042	258.3281926	47.27334253	10.60409359	222.1562003	60.08428757	76.11414996	103.7352728	48.56345003	114.4745208	43.45852515	34.59198263	73.70618252	36.92038668	9.780070778	12.24023061	11.7426887	69.39290952	9.664664291	7.277538389	7.621489463	6.708021396	107.1623439	626	62.24584234	102.7964602	74.67169928	62.16956794	149.1333367	79.50287601	8.01148811	9.3962628	6.106081127	7.25958796	4.746878556	6.05537103	5.502331397	8.710700096
6.383770717	12.07541893	8.402885135	10.42397654	10.30253546	8.094249205	6.872421194	5.187361654	2.981220381	4.745253462	3.202568564	3.723479978	3.238476524	3.262489535	4.474519312	2.776684211	5.383211882	8.293554175	8.451027586	25.17191223	10.30971223	6.90107203	5.59329041	4.646035409	23.56349104	4497.194274	13.5182518	1107.231958	129.1265751	14.66132729	3133.329332	75.67430819	4.79836026	24.52021824	4.857097704	49.68824592	21.81766725	3.187169553	14.59105669	11.15194381	33.94802978	99.6476781	26.08407208	26.30648057	38.74200968	17.81699818	81.12923995	28.90779891	10.05162275	15.14237199	9.589524836	9.800478034	6.11523207	8.772884332	8.326464611	8.763239456	61.23244102	158.4246914	125.2272721	155.7725303	180.675989	105.415833	19.87585497	1	89.18782539	236.0550621	20.84928193	228.5039852	69.25896007	8.780164151	198.8573452	33.68349124	53.83306375	90.47507784	38.88211098	126.4907184	29.6746287	14.63232237	53.2262795	16.7342159	11.19089477	19.09378048	12.09835509	302.7087115	20.70727583	5.320556475	13.19568527	4.550120819	85.88658889	190.2062499	85.57341383	90.75413691	92.69898196	60.15275214	134.8487904	63.0192869	6.937139373	13.16251812	9.652538407	9.484177186	6.430001888	6.422694357	6.375226447	5.064038819
9.10895757	8.920119749	14.35432172	4.15725561	9.268850766	3.75547718	6.720246234	7.829552382	2.894192932	3.819644148	5.812980399	2.60775641	4.658948957	2.141795318	2.895636196	2.776684211	6.987685108	9.031889945	11.73450404	11.56293659	7.259199396	3.772798279	4.927895001	4.662956221	33.62833489	609.149912	26.56294284	2017.421894	18.5774382	4.51740347	225.888299	43.98509656	5.467831972	12.40196178	4.282858675	34.75801313	9.710820668	2.768241808	5.360363477	11.30310927	16.15008943	43.62112366	37.20136016	11.5807712	29.51987245	7.661707577	17.52760521	18.06971376	9.379330271	11.01555443	9.034003831	7.988629385	8.623604413	5.210820634	8.140561608	4.933190297	114.0479958	176.2486506	199.3594078	54.88426808	81.8259214	1	59.48861632	44.81453417	64.61313847	227.4884607	8.320699147	216.3676057	28.74873342	13.91764264	105.991345	47.55824699	57.21454895	61.27937593	169.9318684	104.7285085	29.63230551	13.46265263	54.24336309	28.63633798	7.515084979	11.31150291	26.30053207	227.7701973	13.4994855	5.1063322	9.009480686	4.581110541	82.46029104	202.9572099	74.41836855	90.93633151	68.19878139	55.06988957	133.3477268	81.6599414	9.614254606	6.981496077	12.50738374	6.624104683	6.335103689	3.194235982	4.805820588	7.460689387
4.019561627	7.575020638	8.615411162	5.697779074	7.805516256	6.020895241	5.409323517	5.753821765	2.486222295	3.848173165	3.436813794	2.070742218	2.86681752	2.370761652	2.584121801	2.315759057	2.356300227	6.543729856	10.03677563	9.871798113	5.396542545	3.772798279	5.246098349	3.772798279	48.40654038	267.3980621	10.5228207	1663.783008	19.55072247	9.350484579	116.9145187	264.2889479	5.530938203	15.88478107	4.442649759	33.18741215	16.43923162	2.616293436	2.821109965	28.87640533	50.29121675	137.0831524	23.9523264	15.31047191	86.67655197	9.878543291	12.17172005	162.5731429	3.727794807	9.169923671	11.63805156	6.421232328	6.281303539	7.260921926	3.806411752	5.932438846	1	83.47676663	141.7916305	86.21379431	1	100.0923586	1	15.73147155	109.8202425	219.8179395	20.92402627	492.7428058	54.84727099	7.810406883	11.42834684	87.07746065	19.89338464	69.69420267	75.53673042	181.6325122	22.91073091	26.31675098	0	36.85823793	4.257679562	8.595693581	5.836262341	443.0236991	6.774485386	5.241001734	7.356431739	4.85458667	76.89826703	193.9884112	65.9362951	78.58011398	57.96216559	54.44527909	49.85616199	90.21263536	3.938218977	6.273173315	5.324796467	5.342502328	6.499486194	4.885794425	6.327812854	3.822154735
3.276337857	6.072593515	5.777192295	2.14939301	0	2.571193983	2.547047101	1.406873957	1.448944314	1.934987084	2.532939996	1.716619368	1.166289115	1.129157347	1.851680479	1.135313797	2.54261143	3.215665753	4.1240895	13.91832789	0	1.116347891	1.274899628	0	19.58781289	1048.930079	5.265782024	3421.65946	15.48332456	0	25.3319171	14.34739506	3.103795987	7.346891676	2.44385753	68.17136431	5.132791478	1.355604232	5.326660009	8.456432497	23.50405202	51.4456213	9.700965953	3.5638904	10.07833216	4.830364809	53.38673414	13.47447388	1.044755392	5.288393809	5.601557864	0	0	2.070309517	0	0	1	1	1	1	1	1	1	1	57.890928	88.48419183	9.07939852	413.191304	20.96890401	5.544521719	125.0500639	100.0585577	10.61084968	13.0080814	2.424350219	152.8481283	0	0	8.316063134	0	1.812943865	6.550461203	3.201926952	124.1202225	1.946380648	1.595687447	0	0	69.28441318	192.9928601	1	115.6821804	1	1	145.807557	1	1.89347635	2.848058007	4.505745186	0	0	0	0	0
