ID	02-3_AtgE_NYU	02-4_AtgE_NYU	02-7_AtgE_NYU	02-8_AtgE_NYU	02-9_AtgE_NYU	30-10_AtgH_NYU	30-21_AtgH_NYU	30-33_AtgH_NYU	30-36_AtgH_NYU	30-9_AtgH_NYU	31-27_AtgW_NYU	31-29_AtgW_NYU	31-31_AtgW_NYU	31-80_AtgW_NYU	31-90_AtgW_NYU	32-1_AtgW_NYU	32-2_AtgW_NYU	32-5_AtgW_NYU	32-8_AtgW_NYU	50_48_48_NOD2_SF	50_48_49_B6_SF	50_48_51_NOD2_SF	50_48_52_AtgE_SF	50_48_53_AtgH_SF	50_48_57_NOD2_SF	50_49_48_AtgH_SF	50_49_49_AtgW_SF	50_49_50_AtgE_SF	50_49_51_AtgH_SF	50_49_54_AtgW_SF	50_50_48_AtgW_SF	50_50_49_AtgW_SF	50_50_50_NOD2_SF	50_50_54_AtgE_SF	50_50_55_AtgH_SF	50_50_57_NOD2_SF	50_51_48_B6_SF	50_51_49_AtgH_SF	50_51_50_B6_SF	50_51_52_AtgH_SF	50_51_53_NOD2_SF	50_51_54_NOD2_SF	50_51_55_NOD2_SF	50_52_48_NOD2_SF	50_52_52_AtgE_SF	50_52_53_AtgE_SF	50_53_49_AtgE_SF	50_53_50_AtgE_SF	50_53_52_NOD2_SF	50_53_55_AtgH_SF	50_53_56_AtgE_SF	50_53_57_AtgE_SF	50_54_49_AtgE_SF	50_54_52_AtgW_SF	50_54_53_AtgW_SF	50_54_54_AtgE_SF	50_55_48_AtgH_SF	50_55_50_AtgE_SF	50_55_51_B6_SF	50_55_53_AtgH_SF	50_55_54_AtgH_SF	50_55_56_AtgE_SF	50_55_57_AtgE_SF	50_56_48_AtgH_SF	50_56_50_AtgW_SF	50_56_51_AtgE_SF	50_56_52_AtgW_SF	50_56_54_AtgW_SF	50_56_56_AtgH_SF	50_57_48_AtgE_SF	50_57_49_AtgW_SF	50_57_50_NOD2_SF	50_57_51_AtgH_SF	50_57_52_NOD2_SF	50_57_56_AtgH_SF	51_48_49_AtgW_SF	51_48_51_NOD2_SF	51_48_55_NOD2_SF	51_48_56_AtgE_SF	51_48_57_AtgW_SF	51_49_49_NOD2_SF	51_49_51_AtgH_SF	51_49_57_AtgH_SF	51_50_48_NOD2_SF	51_50_50_NOD2_SF	51_50_54_AtgH_SF	51_50_55_NOD2_SF	51_50_56_AtgH_SF	51_50_57_AtgE_SF	51_51_49_AtgH_SF	51_51_50_AtgE_SF	51_51_52_NOD2_SF	51_51_55_AtgH_SF	51_51_57_AtgW_SF	51_52_49_NOD2_SF	51_52_50_NOD2_SF	51_52_51_NOD2_SF	51_52_53_NOD2_SF	51_52_54_AtgE_SF	51_52_55_B6_SF	51_52_56_AtgE_SF	51_53_50_AtgH_SF	51_53_53_AtgW_SF	51_53_56_NOD2_SF	51_53_57_AtgE_SF	51_54_50_NOD2_SF	51_54_53_NOD2_SF	51_54_55_AtgW_SF	51_55_50_AtgE_SF	51_55_53_B6_SF	51_55_55_NOD2_SF	51_56_49_AtgE_SF	51_56_51_AtgW_SF	51_56_52_AtgH_SF	51_56_53_AtgE_SF	51_56_54_B6_SF	51_56_56_AtgH_SF	51_57_48_AtgW_SF	51_57_49_AtgE_SF	51_57_50_AtgW_SF	51_57_53_NOD2_SF	51_57_56_AtgE_SF	51_57_57_AtgH_SF	57-1_B6_NYU	57-2_B6_NYU	57-3_B6_NYU	57-4_B6_NYU	57-5_B6_NYU	59-1_B6_NYU	59-2_B6_NYU	59-3_B6_NYU	59-4_B6_NYU	59-5_B6_NYU	61-1_NOD2_NYU	61-2_NOD2_NYU	61-3_NOD2_NYU	61-4_NOD2_NYU	64-1_NOD2_NYU	64-2_NOD2_NYU	64-3_NOD2_NYU	64-4_NOD2_NYU	64-5_NOD2_NYU	65-1_NOD2_NYU	65-2_NOD2_NYU	65-3_NOD2_NYU	65-4_NOD2_NYU	65-5_NOD2_NYU	66-1_NOD2_NYU	66-2_NOD2_NYU	66-3_NOD2_NYU	66-4_NOD2_NYU	66-5_NOD2_NYU	70-1_AtgE_NYU	70-2_AtgE_NYU	70-3_AtgE_NYU	70-7_AtgE_NYU	70-9_AtgE_NYU	71-3_AtgE_NYU	71-6_AtgE_NYU	71-7_AtgE_NYU	71-8_AtgE_NYU	71-9_AtgE_NYU	76-1_AtgE_NYU	76-2_AtgE_NYU	76-3_AtgE_NYU	76-4_AtgE_NYU	76-5_AtgE_NYU	77-76_AtgH_NYU	77-77_AtgH_NYU	77-78_AtgH_NYU	77-79_AtgH_NYU	77-80_AtgH_NYU	78-84_AtgH_NYU	78-85_AtgH_NYU	82-5_AtgH_NYU	82-7_AtgH_NYU	82-8_AtgH_NYU	82-92_AtgH_NYU	82-94_AtgH_NYU	86-3_AtgH_NYU	86-6_AtgH_NYU	86-7_AtgH_NYU	86-8_AtgH_NYU	86-9_AtgH_NYU
D_0__Bacteria	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
D_0__Bacteria|D_1__Actinobacteria	0.001837592	0.003699908	0.000127646	0.006008229	0.015841668	0	0.000880699	0.025378217	0.036964981	0.001192403	0.001145173	0.000205804	0.000867303	0.002588095	0.001148873	0.000506614	0.000116681	0.000416734	0.002091394	8.25E-05	0.006849976	0.00015753	0.034137686	0.000108705	0.002281049	0	0.000257813	0.000136684	0.000279312	0	0	0	0.001491804	0.000296875	0	0.008774781	0.013019303	0.00058383	0.00089794	0.004875392	0.006316587	0	0.009012044	0	0.000999767	0.000237704	0	0.000192191	0.011236504	0.002485281	0.000232264	0	0.001690365	0.000402276	0.000323433	0	0.002306887	0.000148198	0.001154068	0.00126044	0.001134138	0.000243614	0.00092971	0.000121753	0.006650736	0	0.000149621	0.004323657	0	0.00023893	0.003887995	0	0.0004859	6.63E-05	0.004105186	7.55E-05	0.001349528	0.000153867	0	0.000713078	0.000109894	0.002323875	0.00156326	0.005300353	0.001273636	0	0.009986382	0.000247748	0	0.014199321	0.000359269	0.020683619	0.000459248	0.004329347	0.000179127	0.000711238	0.000517331	8.83E-05	0.002032614	0.001067979	0.00592866	0	0.000325583	0.003625408	0.00025466	0.005278044	0.00029843	0	0.000581463	0.001309648	0.000426591	0	0	0	9.59E-05	0.00010329	0.000852071	0.001842842	0	0.001525614	0	0.000121842	0.006032749	0.00847262	0.004254112	0.000837922	0.000620732	0.005047351	0	0.001449252	0.010167768	0.000330368	0.00013595	0.06425651	0.000604327	0.003638356	0.007012623	0.005153335	0.000766681	0.007750599	0.002463054	0.000422012	0.000366416	0.001041202	0.005210184	0.01051523	0.007087894	0.003615432	0.002910287	0.000860532	0.002625066	0.000805982	0.001359604	0.020784865	0.000192511	0.000805877	0.000817557	0.001984173	0	0.002477291	0.000646151	0.001258192	0.002119444	0.028790915	0.003827066	0	0.001907683	0.001152037	0.000430293	0.010701926	0.002424497	0.000397472	0.013305075	0.022019276	0.001932322	0.008643021	0.003388455	0.005679121	0.009576894	0.004986292	0.000385665	0.001312558	0	0.002523566
D_0__Bacteria|D_1__Bacteroidetes	0.712898145	0.880652984	0.520987129	0.859437926	0.64904287	0.567631899	0.600727141	0.834601115	0.694124157	0.779899497	0.832569885	0.880556699	0.818919589	0.852329285	0.554383473	0.549469932	0.810641308	0.878961869	0.66238628	0.798107863	0.830969609	0.619218652	0.679240596	0.843547028	0.887958461	0.559016112	0.591967687	0.656354648	0.714264229	0.753846154	0.813307701	0.682461889	0.619317045	0.438509686	0.768034532	0.830747652	0.846910176	0.533037187	0.681011114	0.817050252	0.684128521	0.834189536	0.734607934	0.843868655	0.803464311	0.938326562	0.806928374	0.854735898	0.79148957	0.755597915	0.654803995	0.473315242	0.763050612	0.664530774	0.63659641	0.859271482	0.651376147	0.711351992	0.713598769	0.708625664	0.530425817	0.585630264	0.702968584	0.721521299	0.860910373	0.784899166	0.827166827	0.59301839	0.723014507	0.773096528	0.719432314	0.719831564	0.852628359	0.772363926	0.795437822	0.789865647	0.770434963	0.747384258	0.700776658	0.727155081	0.739724952	0.723563741	0.521538248	0.754813586	0.673230789	0.892724719	0.75736436	0.659505565	0.665525406	0.66897523	0.801298501	0.761470426	0.896696113	0.72788376	0.807348693	0.431077694	0.745533049	0.680768891	0.591329053	0.543059683	0.854347684	0.801352343	0.678974988	0.747957516	0.698889681	0.721930401	0.865109859	0.77468056	0.600767531	0.886396454	0.402666193	0.797417084	0.798529155	0.772396213	0.798542526	0.881302828	0.803857988	0.814296771	0.623392587	0.501338258	0.846579111	0.483632524	0.740539552	0.562032505	0.83395727	0.602705291	0.529146211	0.664595959	0.67975316	0.753031352	0.777168101	0.632347736	0.846830108	0.592941683	0.754341082	0.815320548	0.83340346	0.641751214	0.806954247	0.778535806	0.806425128	0.799333221	0.690111757	0.67016213	0.826808763	0.702940644	0.771756801	0.850268779	0.625711755	0.765043949	0.615115378	0.72610039	0.583916552	0.741956016	0.900471653	0.834857267	0.732607751	0.754054865	0.756218767	0.76241123	0.660528229	0.487934499	0.656146389	0.661172345	0.806597368	0.76319112	0.648200793	0.528048898	0.865404475	0.785491273	0.821121759	0.599586629	0.812854283	0.649279861	0.718776511	0.725190655	0.809718981	0.635312808	0.796554345	0.785313437	0.751928326	0.823101025	0.742975278	0.64702244
D_0__Bacteria|D_1__Cyanobacteria	0.012163108	0.001949951	0.003233699	0.000478917	0.002398115	0.027149402	0.002484023	0	7.14E-05	0	0.000763448	0.002315291	0.010283732	0.001567788	0.005389259	0.00495356	0.017050012	0.001620633	0	0.001870136	0	0.023282924	0.002661462	0.008859418	0.011525302	0.033989749	0.003924489	0.017632184	0.002900544	0.011594747	0.030154153	0.037954125	0.002073972	0.0051211	0.001714759	0.00367754	0.002124678	0.005609849	0.037510165	0.010104862	0.003389902	0.001622279	0.039136416	0.04316793	0.019158335	0.0102645	0.041059634	0.006470419	0.013532659	0.000892771	0.000438721	0.020616614	0.009207517	0.016924315	0.04460676	0.015466837	0.006104378	0.021806326	0	0.048458618	0.003752964	0.002853762	0	0.036099655	0.01597904	0.079096045	0.04018382	0.001195481	0.001475289	0	0.011683138	0.013988233	0.001511689	0.006434708	0.038650711	0.002465657	0.02800789	0.040210627	0.081444165	0.005282062	0.037630695	0.007425916	0.015007295	0.002848489	0.002906502	0.000533708	0.048856822	0.004264807	0.017054908	0.044022865	0.058227263	0.000644924	0.000594322	0.000415143	0.012718031	0.002574003	0.005829918	0.053760593	0.008084261	0.037456662	0.015156464	0.003492071	0.034722488	0.032092525	0.022257309	0.007803424	0.005483642	0.064804595	0.001657169	0.005037107	0.066299325	0.021878424	0.075460729	0.027289694	0.082654138	0.005457143	0.011384615	0.006910659	0.053738023	0.002890638	0.004072166	0.023170335	0.000887937	9.23E-05	0.002968425	0	0.001711717	0.052448556	0.001266435	0.002850196	0.001139491	0.011232508	0.009561789	0.005638046	0.034849523	0.000372603	0.001776531	0	0.002300043	0.00993113	0.001112347	0.006963201	0.000199863	0.002528633	0.004973357	0.007125344	0.053018316	0.001236858	0	0	0.002900073	0	0	0.001316887	0	0.001704739	0.002171636	0.003529982	0.008578567	0.014467382	0.009396118	0.001145518	0.002224367	0	0	0.001472986	0	0.006656213	0.04070568	0.000432591	0	0	0	0	0.005537751	0.00343784	0.006188495	0.020853877	0	0.002483946	0.001779993	0.011834194	0.004481101	0.006630545
D_0__Bacteria|D_1__Deferribacteres	0.000408354	0.000599985	0.014721838	0.006204149	0.022344793	0.004939509	0.006074566	0.000203297	0	0.001873776	0.000822175	0.001517802	0.001208029	0.00094565	0.004303052	0.002589361	0.000583405	0	0	0.00745304	0	0.010396975	0.000674237	0.004647118	0.000540249	0.00304093	0.012117219	0.004009386	0.00167587	0.002326454	0.003631315	0.00390369	0.013426238	0.006778655	0.00375473	0	0	0.060388374	0.000576037	0	0.002800354	0.003345951	0.001193183	0.002574758	0.001883283	0.000324142	0.001452195	0.000832826	0	0.000506708	0.00975509	0.005352028	0.001073879	0.00252859	0.016414209	0.006181809	0.012031303	0.000254054	0	0.000379651	0.016228477	0.005446509	0	0.005250582	0.000143955	0.000411569	0.000983221	0.038653888	0.039095156	0	0.000861871	0.000519151	0.005650836	0.000530698	0	0.031424546	0.006540019	0.000581276	0.001532326	0.001162054	0.002511853	0.035207576	0.002119086	0.000252398	0.007021325	0.00255618	0.001839597	0.031110089	0.009983361	0.000447353	0.000205297	0.000829187	0.000594322	0.007195809	0.00322429	0.009686378	0.003382546	0.010262182	0.020695708	0.001114413	0.000555301	0.003558798	0.005994561	0.00122549	0.008964042	0.000505076	0.004364532	0.002432043	0.001482731	0.000167904	0.049502311	0.000365194	0.001104587	0.001320102	0.000926903	0.000912393	0.001065089	0.00023957	0.002332325	0.010625769	0	0.03206482	0.008122013	0	0	0	0	0.000607708	0.005111792	0.001642486	0.001121961	0.001840621	0.012960529	0.000172154	0.000423029	0	0	0	0	0.000906755	0.000397267	0.003671506	0.000516314	0.000644554	0.000947306	0.00042785	0.001235504	0	0	0	0	0	0	0	0	0.000185972	0.001737309	0.001292019	0.001554692	0.000990917	0.002853835	0.027623894	0	0	0	0	0	0.004000128	0.000839071	0	0	0	0	0	0.000589122	0.001137877	0.001988435	0.000529564	0	0.000662386	0.000385665	0.001122026	0.000281422	0.009970558
D_0__Bacteria|D_1__Firmicutes	0.256154474	0.099397515	0.449292628	0.109541328	0.259447869	0.388771566	0.364744936	0.113337964	0.238603506	0.207920961	0.154040404	0.10110105	0.15639326	0.131669321	0.423850605	0.434787504	0.132316264	0.100131966	0.321154449	0.183878331	0.146647371	0.334436043	0.271788502	0.127129929	0.083498409	0.393162812	0.371050445	0.302640272	0.269900952	0.228667917	0.146249421	0.259780596	0.319646333	0.540238985	0.213221381	0.140567538	0.111070928	0.388907222	0.227585389	0.153207136	0.274182002	0.139009058	0.100901204	0.105516174	0.154359451	0.038724177	0.115964773	0.129664627	0.109629195	0.199811794	0.327595551	0.490049751	0.136521826	0.267197288	0.280092717	0.108514149	0.307596756	0.249057882	0.273770597	0.223766135	0.430456748	0.3961335	0.284210071	0.159922078	0.09043273	0.13020541	0.103024474	0.353842475	0.223967298	0.216231284	0.237723129	0.066480157	0.113358648	0.142177187	0.123775222	0.161123132	0.161756462	0.101808794	0.21097817	0.254199239	0.19215674	0.184931507	0.436114778	0.222110045	0.300349433	0.089297753	0.128007263	0.277106302	0.29828491	0.216088145	0.102879286	0.174981574	0.074533323	0.252228922	0.172521887	0.538982592	0.23293804	0.232322564	0.370467039	0.24173477	0.092915006	0.179074268	0.264603363	0.163705065	0.216461241	0.240012122	0.119707539	0.149028118	0.385655309	0.089089627	0.46720583	0.107267355	0.115952561	0.190117444	0.10061687	0.082339169	0.170508876	0.142138434	0.308119012	0.476312831	0.123971845	0.453090732	0.211146222	0.413080617	0.142862545	0.383768255	0.452513966	0.217238643	0.302447673	0.224295905	0.192135757	0.340184534	0.079507862	0.325134495	0.191229201	0.167342466	0.140462833	0.344008098	0.179741583	0.180768151	0.176995604	0.175050641	0.301693843	0.315211463	0.144890468	0.232371769	0.152595643	0.124684839	0.3537897	0.230315324	0.360209005	0.228227287	0.401083226	0.225429086	0.087833285	0.147475436	0.244883881	0.221627483	0.21532482	0.207068538	0.3018873	0.471258756	0.303710077	0.296743487	0.169032863	0.208164554	0.333732326	0.450798426	0.067641997	0.179995486	0.167156657	0.388548829	0.137104506	0.315020034	0.257658592	0.24873502	0.163883535	0.278824732	0.180491513	0.186387974	0.235344725	0.143555763	0.230441183	0.316212672
D_0__Bacteria|D_1__Patescibacteria	0	0	0.00014892	0	0	8.95E-05	0.000180656	0	0	0.000170343	0	0	0	0	0	0	0	0	0.000146398	0	0	0	0	0	0	0	0	6.83E-05	0	0	0	0	0	0	0	0	0	0	6.78E-05	0	0.000126332	0	0	0	0	0	0	0	0	0.000168903	0	0	0	0	0	0	3.55E-05	0	0.000160287	0	6.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203512	0	0	0	0	0	0	0	0	0	0.000189107	0	0	0	0	0	0.000113443	0	0	0	0	6.44E-05	0	0.000117989	0	0	0	0	0	0.00023006	0	6.48E-05	0.000158907	0	0	0	0	0	0	0	0	0.000399533	7.50E-05	0	0	0.000219481	0	0	0	0	0	0	0	0	0	6.68E-05	0	0.00015782	0	0	0	0	0	0.000139115	0	0	4.71E-05	0	0	7.30E-05	0	0	0.000148333	0	6.49E-05	0
D_0__Bacteria|D_1__Proteobacteria	0.013913196	0.010149746	0.010722264	0.018329451	0.050924685	0.009556876	0.009077976	0.026479408	0.024006711	0.006881867	0.006401222	0.007254579	0.011956387	0.007714513	0.009378982	0.007599212	0.035587708	0.01146019	0.010645195	0.008168092	0.010387522	0.010901071	0.010432931	0.012093377	0.012755868	0.009833975	0.01876307	0.006993644	0.009582537	0.003564728	0.005233365	0.014588973	0.005476013	0.007248707	0.01297895	0.01407728	0.022286515	0.010153573	0.040136216	0.009805257	0.017623279	0.021326213	0.019947219	0.00453027	0.007393629	0.009572997	0.005246639	0.007495435	0.020958523	0.005018821	0.00572918	0.009573345	0.014994531	0.04186541	0.021966471	0.01022092	0.015491633	0.002095948	0.003526319	0.016735004	0.010599031	0.007586831	0.010875441	0.023772201	0.024242075	0.00538781	0.027936304	0.008826635	0.011095402	0.010433259	0.019957098	0.04049377	0.026328576	0.010497861	0.017311491	0.014869421	0.011875843	0.011061342	0.00493283	0.008055145	0.006562215	0.012283338	0.020357118	0.00840124	0.009699226	0.014410112	0.051126454	0.02450937	0.008927429	0.018855107	0.031410388	0.041321172	0.0269876	0.007373727	0.003851235	0.016426201	0.008078316	0.021804379	0.005936157	0.02374319	0.027209773	0.008808025	0.014593787	0.028645833	0.050753794	0.020102025	0.003916887	0.008549567	0.006337946	0.016185903	0.012264486	0.005311909	0.008575083	0.008603423	0.012561128	0.022981976	0.00956213	0.021137402	0.006587242	0.006798351	0.022626143	0.006031192	0.033271526	0.012882076	0.013934581	0.004877903	0.003047232	0.055048195	0.007045983	0.011143138	0.009098399	0.007905232	0.027416504	0.006714009	0.018552838	0.009117808	0.01598878	0.005176341	0.007103073	0.014983052	0.008422056	0.008820054	0.002464982	0.010412018	0.015393724	0.017146901	0.005982443	0.01674516	0.007866211	0.001721065	0.003950099	0.011059867	0.003945081	0.003006892	0.009481182	0.009546539	0.010985923	0.014119927	0.01238201	0.011725846	0.009611501	0.006760436	0.019830444	0.008700735	0.006864028	0.00220948	0.014139298	0.008544273	0.023020654	0.020256545	0.005001718	0.004749791	0.032665557	0.008266253	0.007823546	0.009490376	0.014243685	0.048555568	0.00924753	0.012530129	0.007090305	0.013887713	0.014958653	0.011974566
D_0__Bacteria|D_1__Tenericutes	0.002070937	0.002049949	0.000765876	0	0	0.001753884	0.015536436	0	0.000499768	0.0011413	0.004257693	0.006894423	0.000309751	0.002936492	0.001441313	0	0.003121217	0.007408608	0.00334623	0.00013751	0.004566651	0.001181474	0.000319375	0	0.001170538	9.81E-05	0.000945315	0.012050937	0.00128913	0	0	0.001111269	0.035021013	0.001558596	0.000295648	0.0010605	0.000655486	0.000863054	0.010707509	0.001988288	0.011096138	0.000506962	8.42E-05	3.26E-05	0.000906766	0	7.03E-05	0	0	0.026976161	0.001187127	0.00109302	0.007775679	0.00620654	0	0	0.00278601	0.014819833	0.007597615	0.000683371	0.006784205	0.001357277	0.000908088	0	0.001641091	0	0	0	0	0	0.000459664	0	0	0.018607582	0	0.000176118	0	0.000444505	0	0.003327699	0.009199661	0.000926055	0	0.00602149	0.005094543	0	0	0.000867119	0	0.000745589	0.005209403	6.91E-05	0	0.000434912	0	0.000372553	0.003720801	0	0.001016307	0	0	0	0.000114912	0.003191381	0.002062748	0.002979948	0.000335733	0	0.003314339	0.000503711	0.001421969	0	0	0.000136562	0.000319622	0	0.002769231	0.000257998	0.005641704	0.000187356	8.09E-05	0.000121842	0	0.003439837	0.001569295	0.00781063	0.012960141	0.004304597	0.004374957	0.004911354	0.008958154	0.005875829	0	0	0	0.00409863	0.00116877	0.003611935	0.003134372	0.00697338	0.004025637	0.005190749	0.004596859	0	0.001397276	0.000279748	0.000368484	0.003401361	0.009722046	0.001659598	0.014925373	0.003850804	0.009695538	0.007286774	0.001251324	0.005114218	0.005978386	0.001914957	0.005524708	0.000297275	0.006353822	0.004018704	0.015969279	0.002989312	0.013678675	0.02480404	0.001533628	0.000672022	0	0.001391815	0.003932649	0.006478795	0.003481859	0.005306285	0.007187294	0.002275754	0.000202901	0.009769548	0.001925513	0.007488638	0.002936988	0.003937675	0.001991601	0.005566689
D_0__Bacteria|D_1__Verrucomicrobia	0.000554194	0.001499963	0	0	0	0	0.000293566	0	0.005729483	0.000919854	0	0.000154353	6.20E-05	0.000248855	0.000104443	9.38E-05	0.000583405	0	0.000230053	0.000302522	0.000578871	0.000425331	0.000745209	0.003315488	0.000270124	0.000858327	0.000973961	0.000113903	0	0	0.001424045	0.000113976	0.003547583	0.000247396	0	0.001094709	0.003932914	0.000456911	0.001507861	0.002968814	0.000273719	0	0.095117774	0.000309623	0.011834457	0.002549918	0.029278119	0.000608604	0.053153549	0.008541647	0.000258071	0	0.065685592	0.000344808	0	0.000344802	0.002271396	0.000465766	0	9.11E-05	0.000556758	0.000748243	0.000108106	0.053312432	0	0	0.000555734	0.000139473	0.001198672	0	0.00599479	0.158687125	3.60E-05	0.049271949	0.020719569	0	0.020035295	0.098355331	0.000335852	0	0.012103991	0.033337993	0.003300215	0.000252398	0.000424545	0.000393258	0.002819122	0.002389	0.000223986	0.036666391	0.000410593	0	0.000135073	0.000138381	0.000156736	0.000169342	0	0.000993114	0.00043886	0.151823304	0.00388711	0.003714495	0.000670318	0.019556781	0.000356524	0.001388959	0.000783377	0.000505117	0	0.001309648	0.000213295	0.067760035	0.000377885	0.000136562	0.004187043	0.0069032	0	0.013176323	0	0.000321182	0.002669831	0.001766713	0	0	0.000340329	0	0	0.00065835	0	0.000611906	0.000210368	0.000165184	0.023587257	0.005143103	0	0.000109589	0.000187003	6.90E-05	0	8.64E-05	0	0.000548616	5.00E-05	0	0.000378922	0.029192516	0.007954915	4.76E-05	0	0	0.000200005	0.029955671	0	0	0.000770045	0.000309953	0.000817557	0.001476594	0.000416435	0.000561519	0.008723043	0	0	0.001536406	0	0	0.000486272	0.000128004	0.001957831	0.001730364	0.00036272	9.94E-05	0.00058872	0.000108292	0.000447733	0.001089456	0.000385513	0.000401738	0.002204206	0.000147197	0	0.001249047	0.004805819	9.90E-05
