item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
Blood_Total_T_cells	0.135452991397111	-0.00646730410004532	0.147148844261338	0.223118996989529	0.00592542599552758	0.258156183905174	-0.129858066617862	0.0219290728431173	-0.196392619286612	0.301012409915525	0.0204644607847006	-0.0415109537398291	0.202381268420405	0.154221449143543	0.127698875434888	0.343223170392599	-0.260532243805025	0.338735002518343	0.343406004744478	-0.291155026617653	-0.0723947782770671	0.245991157061047	0.255586690038863	-0.246229276349279	-0.063809116862922	0.235881776567604	0.211029382700924	-0.196876545366543	0.124191100354446	-0.156949172196897	0.0555226734488358	0.143955402287595	0.00746182284223027	-0.242104228919339	-0.114252953761538	-0.241510067317837
Blood_Total_B_cells	-0.00646730410004532	0.000308786257808369	-0.00702573131824225	-0.0106529829215655	-0.000282913883555679	-0.0123258595428672	0.00620017024356077	-0.00104701993839842	0.00937691208463068	-0.0143720620174707	-0.000977090943308127	0.0019819714466942	-0.00966284460407698	-0.00736341811335029	-0.00609707805012598	-0.0163874462587761	0.0124393062949379	-0.0161731553361801	-0.0163961758212711	0.0139014138999171	0.00345654268350942	-0.0117450312630728	-0.0122031771417978	0.0117564004460875	0.00304661387579107	-0.011262351351468	-0.01007575527048	0.00940001749624673	-0.00592959671268347	0.0074936552849682	-0.00265097145465325	-0.00687325804942018	-0.000356270296902406	0.011559446979934	0.00545509249137219	0.0115310782911228
Blood_CD4_T_cells	0.147148844261338	-0.00702573131824226	0.159854589729713	0.242384477456866	0.00643706409142152	0.280446992781393	-0.141070818914656	0.0238225652405653	-0.213350378248629	0.327003691616768	0.0222314894772002	-0.0450952673986645	0.219856124556887	0.167537887260459	0.138725189749609	0.372859191414361	-0.283028216455766	0.367983487240273	0.373057812820155	-0.316295160599757	-0.0786457932316543	0.267231561936655	0.277655632850067	-0.2674902419237	-0.0693187924671842	0.256249274720517	0.229250970756242	-0.213876089512996	0.13491453157446	-0.170501138869936	0.0603168460439784	0.156385406134687	0.00810612298770136	-0.263009012269204	-0.124118263657726	-0.262363547063425
Blood_CD8_T_cells	0.223118996989529	-0.0106529829215655	0.242384477456866	0.367522978297806	0.00976039798915798	0.425236447164911	-0.213903002627928	0.0361217030882864	-0.323499125264131	0.495829485115272	0.0337091851358797	-0.0683770972274515	0.33336366479384	0.254034515533873	0.210346369687711	0.565359308286168	-0.429150307583746	0.557966370676627	0.565660474150323	-0.479592342977048	-0.11924912214824	0.405198140444502	0.42100396113187	-0.405590371994402	-0.105106768085348	0.388545906982417	0.347608891600706	-0.324296251266721	0.204568341092399	-0.258527637652862	0.0914572877446664	0.237124220279991	0.0122911602844637	-0.39879556860461	-0.188198165159969	-0.397816861975768
Blood_CD4_T_cells_CD44lo_CD62Lhi	0.00592542599552759	-0.00028291388355568	0.00643706409142153	0.009760397989158	0.000259209286309073	0.0112931087548543	-0.00568067457004754	0.000959292939507551	-0.00859124571297925	0.0131678653995965	0.000895223107791079	-0.00181590736278397	0.00885322071175531	0.00674645701359223	0.0055862201956336	0.0150143859883414	-0.0113970501071441	0.0148180499287232	0.0150223841241546	-0.0127366516283934	-0.00316692822150947	0.0107609465223706	0.0111807055838815	-0.0107713631119636	-0.00279134625165082	0.0103187090689436	0.00923153469833867	-0.00861241518398435	0.00543277167128779	-0.00686578196110527	0.00242885365027043	0.00629736614978693	0.000326419362077787	-0.0105909118497062	-0.00499802488894216	-0.010564920097418
Blood_CD4_T_cells_CD44hi_CD62Lhi	0.258156183905174	-0.0123258595428672	0.280446992781393	0.425236447164911	0.0112931087548543	0.492012871779984	-0.247492968457884	0.0417940253911476	-0.374299368505898	0.573691391016037	0.0390026609775417	-0.0791146012886584	0.385712972525868	0.293926478674078	0.243377824522198	0.654139734992066	-0.496541339923426	0.645585857523633	0.654488194026311	-0.554904471441787	-0.137975245152596	0.468827876935707	0.487115743084245	-0.469281702031265	-0.121612065837644	0.449560682738561	0.402195179065622	-0.375221670101444	0.236692451099107	-0.299125172087496	0.105819157996612	0.274360698304166	0.0142212858502268	-0.461419885972739	-0.217751606950498	-0.460287489485331
Blood_CD4_T_cells_CD44hi_CD62Llo	-0.129858066617862	0.00620017024356078	-0.141070818914656	-0.213903002627928	-0.00568067457004753	-0.247492968457884	0.124494241816271	-0.0210232861803761	0.188280565645162	-0.288579005723216	-0.0196191703443986	0.0397963318529761	-0.19402185190356	-0.147851287817426	-0.122424236646305	-0.329046238594822	0.249770884519984	-0.324743455785851	-0.329221520921196	0.279128784478415	0.0694044911324807	-0.235830421547411	-0.245029608274961	0.236058705249937	0.0611734629331268	-0.226138611923701	-0.202312753335675	0.188744503019137	-0.119061351224742	0.1504663414853	-0.0532292934482548	-0.138009282980386	-0.00715361010297846	0.232104044090859	0.109533702636041	0.231534424505246
Blood_CD4_T_cells_CD44lo_CD62Llo	0.0219290728431173	-0.00104701993839842	0.0238225652405653	0.0361217030882863	0.000959292939507549	0.0417940253911475	-0.0210232861803761	0.00355019280710401	-0.0317948537700481	0.0487322058792171	0.00331308040238961	-0.0067203885197282	0.0327643821778911	0.0249675799504861	0.0206737253456888	0.0555658891498317	-0.0421786960439403	0.0548392801673977	0.0555954889968283	-0.0471363513015369	-0.0117203049554282	0.0398245763811862	0.041378038873736	-0.0398631265465473	-0.0103303349546538	0.0381879248834754	0.0341644629443404	-0.0318731986640812	0.0201058364089967	-0.0254091828779363	0.00898880665495666	0.023305565055186	0.00120802689524946	-0.039195304709322	-0.0184969067108511	-0.0390991133081168
Blood_CD8_T_cells_CD44lo_CD62Lhi	-0.196392619286612	0.00937691208463069	-0.213350378248629	-0.323499125264131	-0.00859124571297924	-0.374299368505898	0.188280565645162	-0.0317948537700481	0.28474868301121	-0.436436397685538	-0.0296713200228461	0.0601865255980188	-0.293431595638264	-0.223604912930136	-0.185149965075983	-0.497637569595199	0.377744405950258	-0.491130197291852	-0.497902660213655	0.422144226614133	0.104964829361532	-0.356661356521313	-0.370573872114562	0.357006604494328	0.0925165215313367	-0.342003815967989	-0.305970453569144	0.285450325030323	-0.180064059413725	0.227559825033673	-0.0805020483928913	-0.208720222596145	-0.0108188598680851	0.351025718719186	0.165654790042084	0.350164246765004
Blood_CD8_T_cells_CD44hi_CD62Lhi	0.301012409915525	-0.0143720620174707	0.327003691616768	0.495829485115272	0.0131678653995965	0.573691391016037	-0.288579005723216	0.0487322058792171	-0.436436397685538	0.668929271982728	0.0454774501093511	-0.0922483298023669	0.449744761637551	0.342720892233855	0.283780711239264	0.762732757638653	-0.578971625207847	0.752758860318259	0.763139063976423	-0.647023556417876	-0.160880364838845	0.546657480511232	0.567981295336469	-0.547186644615021	-0.141800752005387	0.524191760458119	0.468963161275342	-0.43751180956119	0.275985506279119	-0.348782615060374	0.123386080790116	0.319907018043693	0.0165821459750379	-0.538019697062996	-0.253900313289509	-0.536699312672052
Blood_CD8_T_cells_CD44hi_CD62Llo	0.0204644607847006	-0.000977090943308128	0.0222314894772002	0.0337091851358797	0.000895223107791077	0.0390026609775416	-0.0196191703443986	0.00331308040238961	-0.0296713200228461	0.0454774501093511	0.00309180440305492	-0.00627154318396524	0.0305760949863798	0.0233000302585052	0.0192929561882187	0.0518547212464867	-0.0393616400162552	0.0511766414602044	0.0518823441611639	-0.0439881804235481	-0.0109375222044726	0.0371647487082835	0.038614457616942	-0.0372007241620985	-0.00964038635307316	0.0356374068715931	0.0318826663195771	-0.0297444323711471	0.0187629957581475	-0.0237121391449988	0.00838845684938984	0.0217490190100232	0.00112734447103884	-0.0365775052099415	-0.0172615242208602	-0.0364877382976843
Blood_CD8_T_cells_CD44lo_CD62Llo	-0.0415109537398291	0.0019819714466942	-0.0450952673986645	-0.0683770972274516	-0.00181590736278396	-0.0791146012886584	0.0397963318529761	-0.0067203885197282	0.0601865255980188	-0.0922483298023669	-0.00627154318396525	0.0127214560757718	-0.0620218083377565	-0.0472627394571042	-0.0391346256448856	-0.105184248805808	0.079842769131749	-0.103808803885152	-0.105240280261774	0.0892274339339687	0.0221861197827236	-0.0753865044680436	-0.0783271536293706	0.0754594785578472	0.0195549560844369	-0.0722883814832855	-0.0646721113553025	0.0603348296916405	-0.0380596321169314	0.0480986780680935	-0.0170154908007106	-0.0441166044641987	-0.00228675188066189	0.0741953156089697	0.0350139855112509	0.0740132287129953
Blood_Total_myeloid_CD11b_CD11c	0.202381268420405	-0.00966284460407699	0.219856124556887	0.33336366479384	0.00885322071175529	0.385712972525868	-0.19402185190356	0.0327643821778911	-0.293431595638264	0.449744761637551	0.0305760949863798	-0.0620218083377564	0.302379278486172	0.230423353322627	0.190795789150236	0.512812156150053	-0.38926306035645	0.506106352919672	0.513085330242869	-0.43501677582821	-0.108165548088732	0.367537120241699	0.381873873643675	-0.367892895947284	-0.0953376509024035	0.352432623647679	0.315300486939996	-0.294154633002503	0.185554797697844	-0.234498863547565	0.0829568174373078	0.215084780413011	0.0111487620610136	-0.361729633530154	-0.170706142880585	-0.360841892496763
Blood_CD4_T_cells_CD25+	0.154221449143543	-0.0073634181133503	0.167537887260459	0.254034515533873	0.00674645701359222	0.293926478674078	-0.147851287817426	0.0249675799504861	-0.223604912930136	0.342720892233855	0.0233000302585052	-0.0472627394571042	0.230423353322627	0.175590477040153	0.145392917649431	0.390780404121196	-0.29663176703447	0.38567035268248	0.390988572124052	-0.331497663265037	-0.0824258475295137	0.280075857514511	0.291000954006512	-0.280346970771749	-0.0726505510854257	0.268565714448926	0.24026975614433	-0.224155892133737	0.141399102890558	-0.178696155237523	0.0632159324890763	0.163901959815323	0.00849573804248734	-0.275650353990757	-0.13008392001013	-0.274973864957447
Blood_Total_immune_cells_CD45+	0.127698875434888	-0.00609707805012599	0.138725189749609	0.210346369687711	0.00558622019563359	0.243377824522198	-0.122424236646305	0.0206737253456888	-0.185149965075983	0.283780711239264	0.0192929561882187	-0.0391346256448856	0.190795789150236	0.145392917649431	0.120388650107604	0.323575082619155	-0.245617864952811	0.319343843542086	0.323747450470799	-0.274487621814768	-0.0682504806869605	0.231909194471231	0.240955423408865	-0.232133682428367	-0.0601563123991833	0.222378533634282	0.198948835139579	-0.185606188416371	0.117081680446538	-0.147964489992119	0.0523442331352314	0.135714558942512	0.00703466476316957	-0.228244776672313	-0.1077124510871	-0.227684628331875
MLN_Total_T_cells	0.343223170392599	-0.0163874462587761	0.372859191414361	0.565359308286168	0.0150143859883413	0.654139734992066	-0.329046238594822	0.0555658891498317	-0.497637569595199	0.762732757638653	0.0518547212464868	-0.105184248805808	0.512812156150053	0.390780404121196	0.323575082619155	0.869690240719629	-0.660160412744976	0.858317710728467	0.870153523112003	-0.737755218845496	-0.183440506288104	0.62331487805619	0.647628916574524	-0.623918246473497	-0.161685372642948	0.597698805735631	0.534725538576399	-0.498863785728755	0.314686761499663	-0.397692158115469	0.140688424915723	0.364767356251566	0.0189074487495801	-0.613465824254389	-0.289504577287545	-0.611960283280433
MLN_Total_B_cells	-0.260532243805025	0.0124393062949379	-0.283028216455766	-0.429150307583746	-0.0113970501071441	-0.496541339923426	0.249770884519984	-0.0421786960439403	0.377744405950258	-0.578971625207847	-0.0393616400162552	0.0798427691317489	-0.38926306035645	-0.29663176703447	-0.245617864952811	-0.660160412744976	0.501111487918966	-0.651527805706972	-0.660512078983192	0.560011791525684	0.139245164169139	-0.473142951250288	-0.491599138237599	0.473600953335119	0.122731378761331	-0.453698422515491	-0.405896968511202	0.378675196375333	-0.238870959601776	0.301878309028405	-0.106793113584847	-0.276885903950897	-0.0143521780354222	0.465666777414458	0.219755784629206	0.464523958391965
