item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
Blood_Total_T_cells	0.744685714285714	0.894908485856905	0.734179028132992	0.661606299212599	0.911584579071597	0.658479784366577	0.661606299212599	0.835738317757009	0.661606299212599	0.658479784366577	0.816710059171598	0.744685714285714	0.660096	0.707969151670951	0.658479784366577	0.658479784366577	0.658479784366577	0.658479784366577	0.658479784366577	0.659337819650067	0.744685714285714	0.658479784366577	0.667482352941177	0.671625	0.75168	0.658479784366577	0.68069340232859	0.660096	0.661606299212599	0.658479784366577	0.660096	0.689752577319588	0.885818181818182	0.658479784366577	0.672373540856031	0.658479784366577
Blood_Total_B_cells	0.885818181818182	0.941538461538462	0.885818181818182	0.885818181818182	0.964232018561485	0.885818181818182	0.885818181818182	0.911584579071597	0.885818181818182	0.885818181818182	0.911584579071597	0.897396508728179	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.888500417014178	0.885818181818182	0.885818181818182	0.885818181818182	0.90687841191067	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.885818181818182	0.944372093023256	0.885818181818182	0.885818181818182	0.885818181818182
Blood_CD4_T_cells	0.74151724137931	0.893495420482931	0.721107692307692	0.660096	0.911584579071597	0.658479784366577	0.658479784366577	0.835738317757009	0.658479784366577	0.658479784366577	0.814482213438735	0.744685714285714	0.658479784366577	0.690532818532818	0.658479784366577	0.656903816793893	0.658479784366577	0.656903816793893	0.658479784366577	0.658479784366577	0.744685714285714	0.658479784366577	0.658479784366577	0.658479784366577	0.746638477801269	0.658479784366577	0.66413630406291	0.658479784366577	0.658479784366577	0.658479784366577	0.658479784366577	0.661606299212599	0.88781954887218	0.658479784366577	0.661606299212599	0.658479784366577
Blood_CD8_T_cells	0.676538860103627	0.887478260869565	0.661606299212599	0.638547811993517	0.911584579071597	0.638064735945485	0.638547811993517	0.835738317757009	0.638064735945485	0.638064735945485	0.805306693306693	0.744685714285714	0.638064735945485	0.658479784366577	0.638547811993517	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.642961119751166	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638547811993517	0.885818181818182	0.638064735945485	0.641905956112853	0.638064735945485
Blood_CD4_T_cells_CD44lo_CD62Lhi	0.911584579071597	0.966491499227203	0.911584579071597	0.911584579071597	0.982	0.911584579071597	0.911584579071597	0.942088440651668	0.911584579071597	0.911584579071597	0.940255054432348	0.916015637216575	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.9141065830721	0.911584579071597	0.911584579071597	0.911584579071597	0.9183375	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.911584579071597	0.96874749034749	0.911584579071597	0.911584579071597	0.911584579071597
Blood_CD4_T_cells_CD44hi_CD62Lhi	0.658479784366577	0.885818181818182	0.658479784366577	0.638064735945485	0.911584579071597	0.638064735945485	0.638064735945485	0.835738317757009	0.638064735945485	0.638064735945485	0.804637913741224	0.744685714285714	0.638064735945485	0.64188679245283	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.885818181818182	0.638064735945485	0.638064735945485	0.638064735945485
Blood_CD4_T_cells_CD44hi_CD62Llo	0.670810951760104	0.885818181818182	0.658479784366577	0.638064735945485	0.911584579071597	0.638064735945485	0.638064735945485	0.835738317757009	0.638064735945485	0.638064735945485	0.807259701492537	0.744685714285714	0.638064735945485	0.658479784366577	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.885818181818182	0.638064735945485	0.638547811993517	0.638064735945485
Blood_CD4_T_cells_CD44lo_CD62Llo	0.827521821631879	0.916015637216575	0.827521821631879	0.827521821631879	0.936952529182879	0.827234042553192	0.817653543307087	0.887478260869565	0.827234042553192	0.827234042553192	0.885818181818182	0.882765249537893	0.827521821631879	0.827521821631879	0.827521821631879	0.827234042553192	0.827521821631879	0.827234042553192	0.827234042553192	0.827234042553192	0.861197405004634	0.827234042553192	0.827234042553192	0.827521821631879	0.884723247232472	0.827234042553192	0.827521821631879	0.827234042553192	0.827234042553192	0.827234042553192	0.825769911504425	0.827234042553192	0.913507064364207	0.827521821631879	0.827234042553192	0.827521821631879
Blood_CD8_T_cells_CD44lo_CD62Lhi	0.658479784366577	0.885818181818182	0.658479784366577	0.638064735945485	0.911584579071597	0.638064735945485	0.638064735945485	0.827521821631879	0.638064735945485	0.638064735945485	0.804637913741224	0.744685714285714	0.638064735945485	0.64299227202473	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.885818181818182	0.638064735945485	0.638064735945485	0.638064735945485
Blood_CD8_T_cells_CD44hi_CD62Lhi	0.658479784366577	0.885818181818182	0.658479784366577	0.638064735945485	0.911584579071597	0.638064735945485	0.638064735945485	0.837025163094129	0.638064735945485	0.638064735945485	0.804231943031536	0.744685714285714	0.638064735945485	0.64188679245283	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.744685714285714	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.638064735945485	0.885818181818182	0.638064735945485	0.638064735945485	0.638064735945485
