item1	CCL2_BacillusS	CCL2_BacteroidesV	CCL2_CandidaA	CCL2_CD3.CD28	CCL2_ClostridiumP	CCL2_PBS	CCL2_PseudomonasA	CCL2_StaphA	IL.1a_BacillusS	IL.1a_BacteroidesV	IL.1a_CandidaA	IL.1a_CD3.CD28	IL.1a_ClostridiumP	IL.1a_PBS	IL.1a_PseudomonasA	IL.1a_StaphA	IL.5_BacillusS	IL.5_BacteroidesV	IL.5_CandidaA	IL.5_CD3.CD28	IL.5_ClostridiumP	IL.5_PBS	IL.5_PseudomonasA	IL.5_StaphA	IFN.y_BacillusS	IFN.y_BacteroidesV	IFN.y_CandidaA	IFN.y_CD3.CD28	IFN.y_ClostridiumP	IFN.y_PBS	IFN.y_PseudomonasA	IFN.y_StaphA	TNF.a_BacillusS	TNF.a_BacteroidesV	TNF.a_CandidaA	TNF.a_CD3.CD28	TNF.a_ClostridiumP	TNF.a_PBS	TNF.a_PseudomonasA	TNF.a_StaphA	CXCL1_BacillusS	CXCL1_BacteroidesV	CXCL1_CandidaA	CXCL1_CD3.CD28	CXCL1_ClostridiumP	CXCL1_PBS	CXCL1_PseudomonasA	CXCL1_StaphA	IL.1b_BacillusS	IL.1b_BacteroidesV	IL.1b_CandidaA	IL.1b_CD3.CD28	IL.1b_ClostridiumP	IL.1b_PBS	IL.1b_PseudomonasA	IL.1b_StaphA	IL.10_BacillusS	IL.10_BacteroidesV	IL.10_CandidaA	IL.10_CD3.CD28	IL.10_ClostridiumP	IL.10_PBS	IL.10_PseudomonasA	IL.10_StaphA	CCL3_BacillusS	CCL3_BacteroidesV	CCL3_CandidaA	CCL3_CD3.CD28	CCL3_ClostridiumP	CCL3_PBS	CCL3_PseudomonasA	CCL3_StaphA	CCL4_BacillusS	CCL4_BacteroidesV	CCL4_CandidaA	CCL4_CD3.CD28	CCL4_ClostridiumP	CCL4_PBS	CCL4_PseudomonasA	CCL4_StaphA	IL.17_BacillusS	IL.17_BacteroidesV	IL.17_CandidaA	IL.17_CD3.CD28	IL.17_ClostridiumP	IL.17_PBS	IL.17_PseudomonasA	IL.17_StaphA	IL.6_BacillusS	IL.6_BacteroidesV	IL.6_CandidaA	IL.6_CD3.CD28	IL.6_ClostridiumP	IL.6_PBS	IL.6_PseudomonasA	IL.6_StaphA	IL.13_BacillusS	IL.13_BacteroidesV	IL.13_CandidaA	IL.13_CD3.CD28	IL.13_ClostridiumP	IL.13_PBS	IL.13_PseudomonasA	IL.13_StaphA
CCL2_BacillusS	0.13452736318408	0.222166486486486	0.4608	0.398570418980313	0.292324324324324	0.547892003085626	0.235363006923838	0.116614555256065	0.490975117686617	0.568880931065354	0.568880931065354	0.637330508474576	0.542989473684211	0.614246041412911	0.453391374445788	0.379912719531666	0.65319119804401	0.624390243902439	0.629652641743689	0.616090895318891	0.629398827797935	0.669609407424487	0.591774647887324	0.621297105729474	0.254383275261324	0.753720654684205	0.648986762340715	0.572831820146995	0.183322033898305	0.629398827797935	0.754377793366069	0.476770856102004	0.472874397925157	0.428742342342342	0.610185341459603	0.582103680253265	0.402181457610312	0.356291764705882	0.534757541899441	0.35515223880597	0.166720616570328	0.205107458912769	0.211043902439024	0.259287671232877	0.202168224299065	0.192	0.213804651162791	0.166720616570328	0.635387771413348	0.705039538362898	0.707868468660211	0.659937432835821	0.66519220445793	0.716900840336134	0.631105766602897	0.662282208588957	0.666507601253336	0.648074432452549	0.739903232364302	0.660999169336656	0.6189782414307	0.691038684931507	0.614246041412911	0.638707070707071	0.603805825242718	0.529346307956497	0.641154639175258	0.658116402116402	0.548416901408451	0.669609407424487	0.598	0.718117054751416	0.626527267589715	0.588435233160622	0.686273100388242	0.594264580369844	0.62630258302583	0.665696800465387	0.563518422905421	0.41501468498342	0.467784881534411	0.560026723932236	0.494077457795432	0.5408	0.674845496982808	0.689319097413319	0.575463762044407	0.521559541311379	0.547504132231405	0.534757541899441	0.684496051607163	0.563831510356062	0.590070921985816	0.640586322580645	0.602295652173913	0.701101523932174	0.462893389377149	0.601295032105441	0.623391456992393	0.631806742186434	0.602677248677249	0.624390243902439	0.629652641743689	0.638707070707071
CCL2_BacteroidesV	0.116614555256065	0.0730810810810811	0.351211064341551	0.296328767123288	0.321267326732673	0.589384388807069	0.296328767123288	0	0.379912719531666	0.303394109396914	0.449368983957219	0.55631256181998	0.532536502546689	0.555975167618575	0.490463007159905	0.303394109396914	0.6464176044011	0.61934075063047	0.565996786779894	0.56453025404157	0.612194682009019	0.607813101815312	0.607736625514403	0.59798203178991	0.244659754948162	0.597029682346815	0.828557020498508	0.218015677491601	0.0730810810810811	0.548517838939857	0.692347083926031	0.574564232804233	0.484750700280112	0.275347653142403	0.629398827797935	0.377572502685285	0.510283071230342	0.279724137931035	0.560026723932236	0.311358464701851	0.166720616570328	0.147490909090909	0.116614555256065	0.183322033898305	0.205107458912769	0.157733333333333	0.213804651162791	0.13452736318408	0.59530657318142	0.565996786779894	0.571739830324124	0.589460131675201	0.609161451814768	0.642575699501725	0.5805197740113	0.547504132231405	0.629398827797935	0.588435233160622	0.588419517666854	0.589384388807069	0.689266593164278	0.60316236223063	0.607736625514403	0.554597298649325	0.701101523932174	0.563518422905421	0.736928811487932	0.537347765750763	0.638707070707071	0.814423103013858	0.619113886410943	0.662748209883789	0.711277047093763	0.622286050618011	0.756870958053859	0.517821663674446	0.697957557384149	0.746119381880618	0.646996144758115	0.462893389377149	0.46990861423221	0.36664406779661	0.456589406610912	0.38588037775446	0.826707277108434	0.602295652173913	0.568885745856354	0.575125683060109	0.529346307956497	0.497733681462141	0.59056807087326	0.356291764705882	0.566010968921389	0.624390243902439	0.714371808398396	0.638707070707071	0.341135435992579	0.431680709534368	0.547504132231405	0.58378802747792	0.463660091047041	0.588419517666854	0.537347765750763	0.574097664543524
CCL2_CandidaA	0.480022906227631	0.456589406610912	0	0.587124542829644	0.55631256181998	0.725032271453772	0.548517838939857	0.510283071230342	0.463660091047041	0.315742023082145	0.0730810810810811	0.629398827797935	0.478271837622327	0.679571091379117	0.584534168787938	0.547504132231405	0.578597253535561	0.560601046124584	0.09984	0.6189782414307	0.574097664543524	0.772418595450049	0.61934075063047	0.616090895318891	0.619113886410943	0.672670713549422	0.660999169336656	0.575125683060109	0.548416901408451	0.93201162681669	0.665444884642275	0.632617384240455	0.588435233160622	0.588419517666854	0.560026723932236	0.587510172744722	0.605308602494404	0.648074432452549	0.629518544242256	0.622251069479274	0.49262424648359	0.52452702307917	0.311358464701851	0.560601046124584	0.544419812583668	0.557822760290557	0.551585963140621	0.510283071230342	0.456589406610912	0.430704250559284	0	0.593502226973098	0.557822760290557	0.798723246512535	0.59530657318142	0.607195928753181	0.601595698201983	0.527912718920471	0	0.608729445055809	0.894687086405748	0.792136892539356	0.603254593175853	0.622286050618011	0.649974333662389	0.600378883041928	0.632609037861311	0.603805825242718	0.638158212877792	0.687452552319787	0.660391335396334	0.748825153683362	0.650345983242977	0.609161451814768	0.5018624	0.566010968921389	0.629652641743689	0.760930046901507	0.630216616397039	0.60149646107179	0.602677248677249	0.399792207792208	0.259287671232877	0.542854042322301	0.662748209883789	0.927636670732852	0.625014052193863	0.617266074386388	0.499470569105691	0.566010968921389	0.116614555256065	0.502589433481859	0.65319119804401	0.688757532281205	0.607736625514403	0.660892058963386	0.351211064341551	0.330259541984733	0	0.580017062766606	0.540203090507726	0.679118712726454	0.567603498542274	0.600378883041928
CCL2_CD3.CD28	0.227945205479452	0.202168224299065	0.547504132231405	0.147490909090909	0.294909358879882	0.406457784285017	0.205107458912769	0.183322033898305	0.399792207792208	0.502589433481859	0.600378883041928	0.268387096774194	0.438677714784126	0.449368983957219	0.476770856102004	0.183322033898305	0.582103680253265	0.569885439440315	0.6464176044011	0.467784881534411	0.547504132231405	0.438677714784126	0.541688013136289	0.428697949886105	0.525079069767442	0.700617466967451	0.625014052193863	0.398570418980313	0.330259541984733	0.542854042322301	0.701101523932174	0.581158208955224	0.506841611996251	0.462893389377149	0.59530657318142	0.268387096774194	0.41501468498342	0.307955555555556	0.51675	0.494077457795432	0.222166486486486	0.227945205479452	0.183322033898305	0.0730810810810811	0.238511984659636	0.13452736318408	0.254383275261324	0.247619047619048	0.568884154460719	0.58378802747792	0.712602368866328	0.419499065420561	0.547504132231405	0.467784881534411	0.497733681462141	0.440239931448158	0.572831820146995	0.554597298649325	0.648986762340715	0.392087001553599	0.453391374445788	0.500546278317152	0.480022906227631	0.396715231788079	0.616937980986872	0.563831510356062	0.614246041412911	0.440239931448158	0.55631256181998	0.614246041412911	0.624390243902439	0.696822559652928	0.618242106838246	0.588419517666854	0.632711159146177	0.472874397925157	0.5805197740113	0.578797385620915	0.575463762044407	0.462893389377149	0.569885439440315	0.540203090507726	0.547504132231405	0.358020905923345	0.641638913910694	0.41501468498342	0.600070796460177	0.440239931448158	0.575125683060109	0.684130066815145	0.575748135874068	0.406457784285017	0.458886597938144	0.462893389377149	0.626527267589715	0.631903036905897	0.521559541311379	0.573768556149733	0.635387771413348	0.438677714784126	0.43378404583517	0.413218720152818	0.254383275261324	0.481996434937611
CCL2_ClostridiumP	0.13452736318408	0.202168224299065	0.436243752740026	0.254383275261324	0.116614555256065	0.358020905923345	0.292324324324324	0.116614555256065	0.478271837622327	0.444744383213226	0.476770856102004	0.607195928753181	0.41501468498342	0.622686444411808	0.279724137931035	0.271055780113177	0.52452702307917	0.35515223880597	0.547504132231405	0.573768556149733	0.413218720152818	0.662177993145018	0.358020905923345	0.490463007159905	0.213804651162791	0.698484665226782	0.376208695652174	0.646996144758115	0.197760900140647	0.661838324062019	0.646880259707829	0.238511984659636	0.393611481291645	0.431680709534368	0.440239931448158	0.565996786779894	0.192	0.330259541984733	0.506841611996251	0.338423028785983	0.157733333333333	0.186775510204082	0.186775510204082	0.205107458912769	0.147490909090909	0.202168224299065	0.186775510204082	0.166720616570328	0.632609037861311	0.637665036351619	0.646996144758115	0.61934075063047	0.598	0.743401558862233	0.594727015558699	0.616090895318891	0.634186502079699	0.589460131675201	0.716900840336134	0.603254593175853	0.548517838939857	0.711277047093763	0.58378802747792	0.59530657318142	0.377572502685285	0.379912719531666	0.398570418980313	0.669609407424487	0.247619047619048	0.430704250559284	0.497733681462141	0.642438486209108	0.428742342342342	0.373578947368421	0.479584715212689	0.462893389377149	0.311358464701851	0.565996786779894	0.318117647058824	0.211043902439024	0.4108	0.440239931448158	0.294909358879882	0.497733681462141	0.358020905923345	0.704712100139082	0.51675	0.222166486486486	0.515203883495146	0.557822760290557	0.636572640509014	0.598	0.500546278317152	0.638707070707071	0.542854042322301	0.667932800370757	0.544835820895522	0.573171422441536	0.566819968375875	0.588435233160622	0.510283071230342	0.633840860215054	0.614246041412911	0.608655737704918
CCL2_PBS	0.568885745856354	0.603805825242718	0.707868468660211	0.514890448581019	0.516136514648143	0	0.588435233160622	0.565330877273774	0.609161451814768	0.679118712726454	0.762100059796691	0.589460131675201	0.603805825242718	0.213804651162791	0.547504132231405	0.58527681187732	0.53855601659751	0.542989473684211	0.772418595450049	0.580593486127865	0.566010968921389	0.13452736318408	0.484750700280112	0.511724731182796	0.547504132231405	0.59530657318142	0.259287671232877	0.712602368866328	0.557822760290557	0	0.59530657318142	0.351211064341551	0.56680943738657	0.595532249606712	0.514890448581019	0.619113886410943	0.408150943396226	0.186775510204082	0.563831510356062	0.5632	0.574097664543524	0.596276343335659	0.575748135874068	0.548517838939857	0.543269406392694	0.371107913669065	0.595532249606712	0.626638849732168	0.760154137965459	0.759055483354993	0.821560853199498	0.607813101815312	0.694314002828854	0.238511984659636	0.632617384240455	0.626527267589715	0.607370558375634	0.603805825242718	0.867175014282994	0.581690017860687	0.413218720152818	0.202168224299065	0.603805825242718	0.585499417927823	0.36664406779661	0.566957930258718	0.344627450980392	0.624390243902439	0.279724137931035	0.218015677491601	0.504266412940057	0.5408	0.327335479716677	0.4608	0.458886597938144	0.589384388807069	0.296328767123288	0	0.358020905923345	0.495362108731466	0.581158208955224	0.686273100388242	0.600378883041928	0.568884154460719	0.300658588738418	0.09984	0.580017062766606	0.38588037775446	0.621297105729474	0.617266074386388	0.749612974715422	0.642438486209108	0.603805825242718	0.25153488372093	0.548517838939857	0.589422385321101	0.760154137965459	0.720840697795884	0.77302965599051	0.597765765765766	0.688757532281205	0.247619047619048	0.629668042939719	0.624390243902439
CCL2_PseudomonasA	0.271055780113177	0.356291764705882	0.5408	0.393611481291645	0.44823870700373	0.581690017860687	0	0.247619047619048	0.557822760290557	0.578597253535561	0.592790655884995	0.537347765750763	0.358020905923345	0.582103680253265	0.472874397925157	0.247619047619048	0.674070996461591	0.714683528295922	0.684496051607163	0.575463762044407	0.640586322580645	0.458886597938144	0.632609037861311	0.546812069878242	0.990916157690172	0.990190132370638	0.774632026079225	0.626527267589715	0.517821663674446	0.588419517666854	0.704712100139082	0.776686525942	0.595532249606712	0.472874397925157	0.689319097413319	0.484750700280112	0.422382147838215	0.629668042939719	0.377572502685285	0.490463007159905	0.213804651162791	0.211043902439024	0.227945205479452	0.222166486486486	0.235363006923838	0.166720616570328	0.186775510204082	0.213804651162791	0.607813101815312	0.588419517666854	0.744611403154064	0.428742342342342	0.527912718920471	0.431680709534368	0.454090363854458	0.560601046124584	0.619113886410943	0.612194682009019	0.68038862771435	0.566819968375875	0.369002237136465	0.288536585365854	0.399792207792208	0.547504132231405	0.681218033337062	0.594727015558699	0.762100059796691	0.603805825242718	0.63057561242644	0.778275027069594	0.607736625514403	0.680022454249467	0.718648501362398	0.655831863751661	0.734337832310838	0.574097664543524	0.646880259707829	0.629398827797935	0.626638849732168	0.579114006514658	0.743401558862233	0.622286050618011	0.624390243902439	0.621297105729474	0.834638477801269	0.463660091047041	0.718648501362398	0.634704451276567	0.617266074386388	0.969287347773543	0.578797385620915	0.5408	0.589384388807069	0.489445320534796	0.547504132231405	0.571739830324124	0.598426229508197	0.568880931065354	0.709340136054422	0.545248076412842	0.589422385321101	0.361572334293948	0.292324324324324	0.568885745856354
CCL2_StaphA	0.09984	0.213804651162791	0.515203883495146	0.369002237136465	0.303394109396914	0.568884154460719	0.235363006923838	0	0.516136514648143	0.580017062766606	0.592948571428571	0.619113886410943	0.571739830324124	0.582103680253265	0.474770933234969	0.330259541984733	0.691038684931507	0.655831863751661	0.662748209883789	0.655831863751661	0.645812343201204	0.638707070707071	0.614246041412911	0.617871316897174	0.259287671232877	0.872805246649558	0.758125787421258	0.598	0.147490909090909	0.592948571428571	0.800130994152047	0.520521995866549	0.541688013136289	0.453391374445788	0.677222423146474	0.588419517666854	0.438677714784126	0.303394109396914	0.574097664543524	0.351211064341551	0.116614555256065	0.157733333333333	0.213804651162791	0.222166486486486	0.197760900140647	0.147490909090909	0.202168224299065	0.0446942148760331	0.658116402116402	0.701101523932174	0.769276063882551	0.658625030026423	0.682861795872839	0.678588871367425	0.623391456992393	0.629668042939719	0.705516814348244	0.709340136054422	0.772418595450049	0.677222423146474	0.682492740674559	0.625693472361091	0.634792583700147	0.623391456992393	0.66519220445793	0.573171422441536	0.734767596281541	0.669609407424487	0.590070921985816	0.787639713809664	0.622686444411808	0.689319097413319	0.689266593164278	0.633840860215054	0.795589332812347	0.612194682009019	0.688757532281205	0.713908543668814	0.615384615384615	0.422382147838215	0.547504132231405	0.575748135874068	0.560026723932236	0.574097664543524	0.796334732936237	0.593502226973098	0.624390243902439	0.545248076412842	0.573171422441536	0.556921409214092	0.680243946188341	0.58684997103688	0.603254593175853	0.649974333662389	0.680243946188341	0.6717318333142	0.419499065420561	0.590070921985816	0.643972637446162	0.641956834532374	0.601595698201983	0.616608498412218	0.623391456992393	0.616090895318891
IL.1a_BacillusS	0.489445320534796	0.408150943396226	0.392087001553599	0.476770856102004	0.542854042322301	0.605308602494404	0.548517838939857	0.490975117686617	0	0.311358464701851	0.36664406779661	0.575748135874068	0.481996434937611	0.427667126436782	0.547892003085626	0.575748135874068	0.392087001553599	0.602677248677249	0.443165172855314	0.644363268403744	0.574097664543524	0.63057561242644	0.603445026178011	0.486532871972318	0.5408	0.63857255313566	0.735549755301795	0.566957930258718	0.519039046199702	0.619113886410943	0.730480263157895	0.633323462107955	0.300658588738418	0.588435233160622	0.629518544242256	0.526539553752535	0.638707070707071	0.506841611996251	0.588419517666854	0.436243752740026	0.462893389377149	0.516136514648143	0.517821663674446	0.494077457795432	0.571375682165466	0.463660091047041	0.490975117686617	0.462893389377149	0.334797220467467	0.484750700280112	0.227945205479452	0.55631256181998	0.406457784285017	0.588419517666854	0.288536585365854	0.545248076412842	0	0.527838290499567	0.238511984659636	0.462893389377149	0.594285714285714	0.527838290499567	0.596276343335659	0.296328767123288	0.602391862597966	0.629683372236716	0.698484665226782	0.607736625514403	0.676612873980054	0.707222186666667	0.288536585365854	0.0730810810810811	0.480022906227631	0.638707070707071	0.646196392785571	0.588435233160622	0.65519620484126	0.614246041412911	0.679118712726454	0.588419517666854	0.554597298649325	0.575748135874068	0.520521995866549	0.622286050618011	0.721066666666667	0.646996144758115	0.616937980986872	0.624390243902439	0.227945205479452	0.598	0.456589406610912	0.563675625146062	0.571739830324124	0.637330508474576	0.754125200642054	0.09984	0.254383275261324	0.428742342342342	0.271055780113177	0.547504132231405	0.393611481291645	0.581158208955224	0.551585963140621	0.568884154460719
IL.1a_BacteroidesV	0.569885439440315	0.396715231788079	0.292324324324324	0.563855421686747	0.554597298649325	0.684130066815145	0.581158208955224	0.575748135874068	0.356291764705882	0.0730810810810811	0.157733333333333	0.603254593175853	0.376208695652174	0.629398827797935	0.576912962580112	0.499470569105691	0.563518422905421	0.531430843510366	0.178612844036697	0.617871316897174	0.497733681462141	0.669609407424487	0.605308602494404	0.569137824746808	0.575748135874068	0.483611071682044	0.722494372655273	0.485309217391304	0.541688013136289	0.709340136054422	0.588419517666854	0.636235294117647	0.572831820146995	0.530165859219151	0.594285714285714	0.427667126436782	0.604284837720006	0.638707070707071	0.575463762044407	0.580593486127865	0.588419517666854	0.578597253535561	0.566819968375875	0.572831820146995	0.602677248677249	0.622286050618011	0.588419517666854	0.588419517666854	0.474770933234969	0.213804651162791	0.0730810810810811	0.599147775694563	0.344627450980392	0.803408099688473	0.505771879936809	0.494077457795432	0.575125683060109	0.373578947368421	0.376208695652174	0.5805197740113	0.743401558862233	0.691038684931507	0.566819968375875	0.590320217588395	0.65391711360312	0.588419517666854	0.667220779220779	0.521559541311379	0.660892058963386	0.713908543668814	0.60316236223063	0.693620678372778	0.662177993145018	0.596809747606614	0.624896809427997	0.38588037775446	0.614246041412911	0.723466971809009	0.645812343201204	0.59530657318142	0.551585963140621	0.315742023082145	0.462893389377149	0.516136514648143	0.649974333662389	0.827755102040816	0.575748135874068	0.588419517666854	0.430704250559284	0.509777364341085	0.373578947368421	0.490975117686617	0.614246041412911	0.638707070707071	0.625693472361091	0.622286050618011	0.472191044776119	0.183322033898305	0.25153488372093	0.556921409214092	0.392087001553599	0.62630258302583	0.463660091047041	0.531430843510366
