item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
1.1.1.1.1.1.1.1	-0.341185994167668	-0.0104867723128611	-0.359794093930495	-0.506129831736776	-0.015740444067367	-0.504819398510577	0.279449621594908	-0.0527770156740554	0.393919524249308	-0.605708100174027	-0.0402147678162798	0.0849296492430028	-0.360377847481253	-0.369008187756915	-0.208609225190004	-0.693712478788515	0.526752054725895	-0.687092749820531	-0.694710369632147	0.547056623058263	0.0838964055386844	-0.478108202155448	-0.469595124791163	0.448349320910196	0.0642940411290179	-0.448543415190131	-0.372677218881938	0.413816673425581	-0.268991195324988	0.378539262139339	-0.103073956547478	-0.308691040984162	-0.07530236881704	0.523298921190234	0.272034184564845	0.518989489673245
1.1.1.1.1.1.1.2	0.103941651669018	0.00319477485450369	0.10961057318641	0.154191472009339	0.00479529576926859	0.153792251067503	-0.0851337854524665	0.016078415506784	-0.120006819374378	0.18452779843727	0.0122513510512276	-0.0258736529895476	0.109788412573931	0.11241762900735	0.0635523960253402	0.211338161768891	-0.160473992262859	0.209321474172403	0.211642167279802	-0.166659739641035	-0.0255588772981671	0.145654736882664	0.14306124436786	-0.136588751404569	-0.0195870549836866	0.136647881850662	0.113535392226471	-0.126068447296508	0.0819476461649906	-0.115321252340149	0.0314012810336534	0.0940421271793307	0.0229407206720984	-0.159422001825779	-0.0828746869374976	-0.158109141868783
1.1.1.1.1.1.2.1	-0.208646718354798	-0.00641301421106155	-0.220026197632087	-0.309515426361401	-0.00962581130598645	-0.308714052339773	0.170892848733451	-0.0322749213425798	0.240895046794069	-0.370410888906898	-0.0245926839838083	0.0519373388957705	-0.220383182575127	-0.225660926115552	-0.127571562134645	-0.424228528296112	0.322126609778696	-0.420180341239262	-0.424838772131907	0.334543536682435	0.0513054755958343	-0.292379256779291	-0.287173223455762	0.274180699335926	0.0393179700241318	-0.274299394520524	-0.227904662133043	0.253062823171797	-0.16449716908166	0.231489498877279	-0.063033193475426	-0.18877496083623	-0.0460499329005192	0.320014902403327	0.16635805941637	0.317379539992897
1.1.1.1.1.1.2.2	-0.239379595769954	-0.0073576271010427	-0.252435229575026	-0.35510588535098	-0.011043657132755	-0.35418647194793	0.196064723051269	-0.0370288959510786	0.276377981783016	-0.424971020653888	-0.0282150939030424	0.0595875137086755	-0.252844797058447	-0.258899932385982	-0.146362373759475	-0.486715796051583	0.369574648686521	-0.482071326256367	-0.487415926510789	0.383820542254172	0.0588625793195163	-0.335445622395704	-0.32947275993049	0.314566485840193	0.045109359232131	-0.314702664379366	-0.261474162285771	0.290338025888607	-0.188726983824925	0.265587032008826	-0.0723177459641546	-0.216580803056884	-0.0528329149381337	0.36715189475161	0.190861976311783	0.364128353363132
1.1.1.1.1.1.2.3	-0.283468295461024	-0.00871274766030912	-0.298928503124018	-0.420508939806869	-0.0130776670960983	-0.419420189742986	0.232175731873121	-0.043848841770721	0.327281008003202	-0.503241767359562	-0.0334117222866998	0.0705622836709575	-0.299413504345731	-0.306583868572312	-0.173319252527685	-0.576358635066318	0.437642545814359	-0.570858751369316	-0.57718771486835	0.454512234118211	0.0697038315754267	-0.397227668860102	-0.390154730431113	0.372503033366206	0.0534175568713036	-0.372664293135459	-0.309632217615892	0.343812199370805	-0.22348653501681	0.314502591659669	-0.085637157645394	-0.256470443417052	-0.0625636295089351	0.434773571430633	0.226014748330586	0.431193157148075
1.1.1.1.1.1.2.4	0.0736931657265773	0.00226505033383281	0.07771235116537	0.109319579956185	0.00339979709922195	0.109036537936399	-0.0603586537210043	0.011399369930499	-0.0850831431526262	0.130827607730343	0.00868603518315751	-0.0183440552184243	0.0778384367840498	0.0797025141702349	0.0450577528585921	0.14983577737612	-0.113773798248747	0.148405974300256	0.150051312997669	-0.118159405936935	-0.0181208836907535	0.103267155097119	0.101428405465617	-0.0968394991999484	-0.0138869458569384	0.0968814218526432	0.0804949925350398	-0.0893807518962398	0.0580997258824552	-0.0817611421796579	0.0222630655765268	0.0666745424209187	0.0162646475520648	-0.113027951859184	-0.0587569847213006	-0.112097152657583
1.1.1.1.1.1.2.5	-0.271238844042072	-0.00833686038845728	-0.286032064032833	-0.402367250831602	-0.0125134675119267	-0.401325471861936	0.22215915549027	-0.0419571054150195	0.313161378923656	-0.481530800579655	-0.0319702664305372	0.0675180701416779	-0.28649614122539	-0.293357160024742	-0.165841875294689	-0.551493244331974	0.418761675048199	-0.546230637824552	-0.552286555791219	0.434903567556655	0.0666966535748673	-0.380090385585839	-0.373322589418935	0.356432425743031	0.0511130049085726	-0.356586728407925	-0.296273996524826	0.32897937800498	-0.213844829871856	0.300934251822647	-0.0819425805944467	-0.245405739256522	-0.0598644956730736	0.416016474587025	0.216263970451951	0.41259052732328
1.1.1.1.1.2.1.1	-0.266463854854971	-0.00819009520683353	-0.280996649515622	-0.395283828548375	-0.0122931757897966	-0.394260389441987	0.218248183339405	-0.04121847697341	0.307648369887435	-0.473053753812463	-0.0314074500055754	0.0663294569988996	-0.2814525569212	-0.288192791801512	-0.162922333427088	-0.541784552762577	0.411389639241937	-0.53661459113151	-0.54256389847273	0.427247363889188	0.065522500953916	-0.373399133498761	-0.366750480125109	0.350157657153503	0.0502131926172299	-0.350309243417069	-0.291058279230272	0.323187903047547	-0.210080226192166	0.295636493665787	-0.0805000330209844	-0.241085525625098	-0.0588106188932205	0.408692766307614	0.212456779324462	0.405327130689857
1.1.1.1.1.2.1.2	-0.34124107366599	-0.0104884652491711	-0.359852177434893	-0.506211539009918	-0.0157429851322917	-0.504900894233404	0.27949473465707	-0.0527855357528274	0.393983116806288	-0.605805882905021	-0.0402212599035117	0.084943359895119	-0.36043602522414	-0.369067758742259	-0.208642902104253	-0.693824468541799	0.526837091155907	-0.687203670915205	-0.694822520480342	0.547144937364438	0.0839099493886871	-0.478185385745537	-0.469670934069181	0.448421700363312	0.0643044204634307	-0.448615825976935	-0.372737382178798	0.413883478086848	-0.269034620026894	0.378600371777513	-0.103090596333148	-0.308740874646635	-0.0753145252852648	0.523383400162244	0.272078100512944	0.519073272950443
1.1.1.1.1.2.1.3	0.113437646775194	0.00348664597543127	0.119624474734538	0.168278235497351	0.00523338872263671	0.167842542168852	-0.0929115145634213	0.0175473218837354	-0.130970510552921	0.201386055380247	0.0133706210239326	-0.0282374415018757	0.119818561333128	0.122687980091446	0.0693584731075487	0.230645784051978	-0.175134719899255	0.228444854092208	0.230977563172385	-0.181885590362238	-0.0278939082491433	0.15896159362796	0.156131162486215	-0.149067349676479	-0.0213765068086562	0.149131882215166	0.123907860930292	-0.137585922142712	0.0894342930909345	-0.125856875262009	0.0342700675714385	0.102633712603747	0.025036559710024	-0.17398662077156	-0.0904460272899707	-0.172553819371201
