item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
Blood_Total_T_cells	0.739349471990963	0.145453806705084	0.731281186929483	0.71591652813779	0.29916016478688	0.329878398233916	-0.264147175420893	-0.248279199006529	-0.139480556696491	0.417499875143163	-0.0396328700336667	-0.227285547073545	-0.0464560063408562	0.675042847575518	-0.140617102293243	0.455410520269327	-0.420694618012323	0.436433443011188	0.464961847583754	0.0477066556278324	0.528939194404758	0.18553521149808	-0.164995604626979	0.215945746509014	0.572083168854209	0.0604358992006357	-0.314391852928233	-0.167214021151477	0.304871214517871	-0.114882092044922	0.0740107713780156	0.442506071854027	-0.112408436600017	-0.300534236066409	-0.143798194614209	-0.28683676271569
Blood_Total_B_cells	0.145453806705084	0.0385272966315869	0.139923352187065	0.113319172472432	0.0734856022038816	0.00571716408845319	-0.0275826902863189	-0.0690228107026782	0.0236941734775102	0.0149324722544531	-0.0160956643209365	-0.0447529963591716	-0.0722623735072379	0.123658649283133	-0.0735968279131112	0.0118353160179573	-0.0278524433354493	0.00840465904188376	0.0141834007492643	0.099148215016236	0.154733008154625	-0.0269538206828566	-0.118008280241211	0.128024908568493	0.163016849674418	-0.0553989433540572	-0.142254995127765	0.0168621633653622	0.0395237624741636	0.0180763921453187	0.00200004484422133	0.0682325768240432	-0.0305118077973981	-0.00313968089278604	-0.00197754862110625	0.000128326105522767
Blood_CD4_T_cells	0.731281186929483	0.139923352187065	0.72486962908785	0.719053882861648	0.290074906712123	0.34982190458084	-0.270964955146074	-0.237542413552874	-0.158300916105462	0.439678790978139	-0.0358989944171826	-0.22478988708834	-0.0208372805553866	0.67131400345607	-0.120809425341213	0.481374908274942	-0.437948845834167	0.462484483278518	0.490635413492514	0.0114763609296883	0.50300790649377	0.208754199930526	-0.129161974078712	0.179558859206079	0.545762206473698	0.0865453359642314	-0.278974440582205	-0.185184351249912	0.309681402638262	-0.129810817154171	0.0781998712012536	0.44516520138617	-0.107841059541634	-0.319526740147617	-0.15269655697216	-0.306206804341754
Blood_CD8_T_cells	0.71591652813779	0.113319172472432	0.719053882861648	0.769660454686162	0.249048686573291	0.483763912194901	-0.323486918754011	-0.184376302020802	-0.277057185563825	0.590886729392385	-0.0153320283958972	-0.219974703583595	0.130305030407655	0.67904030305572	-0.00860746700633438	0.656907530244593	-0.559847579597296	0.63769121064351	0.664853665653832	-0.203071108332479	0.371457326151926	0.355864286590333	0.0777962705485716	-0.0284417752696988	0.413800293882413	0.245376840768351	-0.0811505002015081	-0.300090747226632	0.352008700572163	-0.224199646171402	0.106544126810474	0.480750466851788	-0.0855265449175137	-0.4464761963154	-0.212307962479966	-0.434804796671473
Blood_CD4_T_cells_CD44lo_CD62Lhi	0.29916016478688	0.0734856022038816	0.290074906712123	0.249048686573291	0.142645553299237	0.0461193504371116	-0.0708875982859415	-0.130246061887494	0.019043612816549	0.0697308236816239	-0.0282863099378261	-0.0920226995876906	-0.111974993412653	0.259642328464879	-0.124700291103926	0.0694893320990495	-0.0891672863547469	0.0622575989224011	0.0740464006054001	0.15180482207243	0.288823530527848	-0.0185947195151396	-0.193041943959179	0.213647517373095	0.30597963403016	-0.0748727561489551	-0.245897885220844	0.00579085229580538	0.0931658315318177	0.0135607806311275	0.011406141548489	0.151264973048583	-0.0578791263662789	-0.0389628405393706	-0.0193443429457075	-0.0325742579763117
Blood_CD4_T_cells_CD44hi_CD62Lhi	0.329878398233916	0.00571716408845319	0.34982190458084	0.483763912194901	0.0461193504371116	0.50053101386811	-0.263441914267463	0.00970253916830733	-0.367540165095794	0.587526111396346	0.0318651568190448	-0.101178258932123	0.356159628654983	0.355782219129131	0.211511078017037	0.667463748976913	-0.515563143327545	0.657189085417461	0.668924864040443	-0.514659311910621	-0.0665573689804611	0.461647781630548	0.437164974284873	-0.414391141956735	-0.04608984593441	0.428723722723106	0.339793135527284	-0.371698778368092	0.258151059137735	-0.294129044049331	0.108014910687377	0.309818290455683	-1.51945990456009e-05	-0.468359369196272	-0.221260569438151	-0.465670748150693
Blood_CD4_T_cells_CD44hi_CD62Llo	-0.264147175420893	-0.0275826902863189	-0.270964955146074	-0.323486918754011	-0.0708875982859415	-0.263441914267463	0.154356255129179	0.0390632173578021	0.175624969179599	-0.314482448440353	-0.00625526236284651	0.0811072276417668	-0.13868763993431	-0.263666901401066	-0.0627585245837146	-0.353993460044274	0.285386363641381	-0.346468762898633	-0.356252024209831	0.203775748356242	-0.064314790034746	-0.222386768020052	-0.151504271824135	0.133284349172174	-0.0802305874095782	-0.187124523794545	-0.0854742690155784	0.182148415660303	-0.159239382210411	0.141111839703804	-0.057340511635735	-0.204398315930535	0.0195020681958219	0.245097187517393	0.11610370956765	0.241613770428869
Blood_CD4_T_cells_CD44lo_CD62Llo	-0.248279199006529	-0.0690228107026782	-0.237542413552874	-0.184376302020802	-0.130246061887494	0.00970253916830733	0.0390632173578021	0.124452553596115	-0.0572596653297263	-0.0033891057739878	0.0302031127589928	0.0764028510277374	0.144104474636944	-0.208069462878825	0.140729395450391	0.0053686270234281	0.0294845769516777	0.0111249555831295	0.00120637549424795	-0.198757088460952	-0.280782004740556	0.0668750678123362	0.229563959249462	-0.246659354429518	-0.294854853854287	0.116689669553116	0.269259663255573	-0.045145439295405	-0.0607379223717907	-0.0442317350783531	0.000716466689805462	-0.110278357149115	0.054842940644386	-0.0130513019493677	-0.00527714350850346	-0.0188180743789522
Blood_CD8_T_cells_CD44lo_CD62Lhi	-0.139480556696491	0.0236941734775102	-0.158300916105462	-0.277057185563825	0.0190436128165489	-0.367540165095794	0.175624969179599	-0.0572596653297263	0.290112156673247	-0.425458453410254	-0.0353349778896228	0.0426788638990043	-0.316882374059826	-0.174521964149434	-0.210436444148317	-0.487064874301917	0.362650476181858	-0.481922957410576	-0.48644706482906	0.454079033139887	0.161635397564181	-0.362358810751285	-0.410210145296317	0.400562635492614	0.152443914268781	-0.358538084795105	-0.355486897544607	0.288245763468793	-0.163036508672004	0.231524286453018	-0.0787597037687215	-0.180584383195361	-0.0221156034777888	0.345519191804796	0.162870404554369	0.345892594572315
Blood_CD8_T_cells_CD44hi_CD62Lhi	0.417499875143163	0.0149324722544531	0.439678790978139	0.590886729392385	0.0697308236816239	0.587526111396346	-0.314482448440353	-0.00338910577398781	-0.425458453410254	0.691398900455834	0.0338850895658781	-0.128082967321465	0.401745767898445	0.443183747192033	0.232024410068425	0.784372923524196	-0.609865842339071	0.771604215532969	0.786586347527458	-0.581659475493388	-0.0448871897104043	0.534995945657369	0.486853872012077	-0.458036270942788	-0.0191415166871812	0.490349460998086	0.367613029453036	-0.431790113262068	0.310837453909681	-0.340668165491778	0.126952307343602	0.377495382701174	-0.00654000016642595	-0.54929044237203	-0.259599386437084	-0.545442519535667
