item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
Blood_Total_T_cells	0.0034	0.277	0.003	0.0084	0.2136	0.3518	0.2198	0.2424	0.686	0.2996	0.7684	0.2414	0.892	0.0044	0.5532	0.3222	0.2232	0.3406	0.3122	0.9248	0.081	0.6206	0.7118	0.623	0.0632	0.8712	0.4358	0.6028	0.0984	0.6612	0.4598	0.0502	0.3918	0.4088	0.5144	0.4326
Blood_Total_B_cells	0.2726	0.3856	0.289	0.4006	0.3734	0.9598	0.691	0.3614	0.81	0.9042	0.6996	0.474	0.4788	0.3034	0.348	0.932	0.8014	0.949	0.9184	0.4762	0.2274	0.7956	0.3928	0.3626	0.2216	0.5988	0.3096	0.8502	0.5552	0.8092	0.939	0.4364	0.4904	0.9758	0.9754	0.9986
Blood_CD4_T_cells	0.003	0.2896	0.003	0.0058	0.2242	0.3266	0.2082	0.2626	0.6504	0.2756	0.7856	0.2444	0.9474	0.005	0.6264	0.297	0.2032	0.316	0.2892	0.9822	0.1002	0.5844	0.7836	0.694	0.08	0.8196	0.5048	0.5726	0.0912	0.6268	0.4412	0.0464	0.4088	0.3852	0.493	0.4066
Blood_CD8_T_cells	0.0068	0.3878	0.006	0.0012	0.3018	0.1888	0.1608	0.38	0.4908	0.1438	0.912	0.2704	0.7812	0.0048	0.979	0.1568	0.0946	0.168	0.1496	0.7596	0.2754	0.4148	0.8982	0.964	0.231	0.6214	0.8908	0.4184	0.0606	0.4622	0.3538	0.0294	0.5264	0.2564	0.394	0.2702
Blood_CD4_T_cells_CD44lo_CD62Lhi	0.2158	0.3744	0.2246	0.309	0.3488	0.8034	0.5792	0.336	0.9096	0.752	0.7114	0.4266	0.539	0.2392	0.3754	0.7818	0.659	0.8006	0.7702	0.5316	0.2038	0.9172	0.4258	0.3908	0.1972	0.6812	0.3216	0.9714	0.4444	0.919	0.8358	0.3504	0.4608	0.8392	0.8582	0.8622
Blood_CD4_T_cells_CD44hi_CD62Lhi	0.349	0.956	0.3208	0.1842	0.8112	0.0694	0.2462	0.9538	0.2754	0.0516	0.8036	0.5512	0.308	0.2852	0.4312	0.0338	0.0766	0.032	0.0358	0.2578	0.8268	0.1244	0.3606	0.3972	0.8814	0.1882	0.4708	0.2094	0.2036	0.2456	0.316	0.2182	0.9998	0.1546	0.3294	0.152
Blood_CD4_T_cells_CD44hi_CD62Llo	0.2164	0.7056	0.2072	0.1566	0.582	0.2416	0.2806	0.7334	0.4174	0.2226	0.9314	0.4644	0.5622	0.1906	0.7132	0.2198	0.2122	0.2266	0.2236	0.5372	0.743	0.3396	0.6366	0.6746	0.6892	0.4452	0.778	0.3706	0.2226	0.4004	0.3862	0.2012	0.7964	0.2926	0.4198	0.2978
Blood_CD4_T_cells_CD44lo_CD62Llo	0.2424	0.3544	0.261	0.3946	0.3384	0.9546	0.727	0.3136	0.7126	0.9882	0.6668	0.4558	0.3868	0.2852	0.2694	0.9806	0.871	0.961	0.997	0.3738	0.1678	0.6968	0.2984	0.2776	0.1644	0.4978	0.2292	0.7544	0.5726	0.7018	0.9842	0.437	0.4424	0.9332	0.9558	0.9062
Blood_CD8_T_cells_CD44lo_CD62Lhi	0.687	0.8082	0.6532	0.4902	0.9158	0.2652	0.42	0.7198	0.3312	0.2704	0.7502	0.7734	0.2914	0.6108	0.3328	0.2628	0.2978	0.258	0.2672	0.2464	0.563	0.2464	0.28	0.2956	0.5924	0.2454	0.3368	0.307	0.4138	0.3114	0.4114	0.4842	0.828	0.3116	0.4174	0.3048
Blood_CD8_T_cells_CD44hi_CD62Lhi	0.2954	0.909	0.2708	0.1354	0.7522	0.0488	0.2304	0.9824	0.2734	0.024	0.823	0.5128	0.3378	0.2312	0.4698	0.011	0.0494	0.01	0.0132	0.2914	0.8986	0.1216	0.4	0.4388	0.9576	0.2084	0.512	0.2078	0.1698	0.246	0.3052	0.1864	0.9664	0.1426	0.3272	0.1412
Blood_CD8_T_cells_CD44hi_CD62Llo	0.7702	0.7076	0.7964	0.916	0.7124	0.797	0.9384	0.6672	0.7616	0.8206	0.8432	0.8304	0.6424	0.8194	0.6034	0.8066	0.8556	0.7998	0.8148	0.6424	0.5738	0.7294	0.6144	0.6054	0.5762	0.668	0.591	0.7696	0.992	0.7532	0.8486	0.9356	0.7588	0.808	0.8474	0.8006
Blood_CD8_T_cells_CD44lo_CD62Llo	0.2444	0.4738	0.2482	0.278	0.4202	0.5482	0.4632	0.4514	0.7748	0.5204	0.8306	0.4442	0.923	0.2486	0.6866	0.5336	0.4674	0.5458	0.5292	0.9376	0.3458	0.7252	0.7932	0.733	0.3298	0.9078	0.6216	0.7184	0.3682	0.7604	0.6224	0.3116	0.5696	0.593	0.668	0.6068
Blood_Total_myeloid_CD11b_CD11c	0.893	0.4978	0.9524	0.7866	0.5364	0.311	0.5638	0.3942	0.2904	0.3474	0.6452	0.925	0.1098	0.9642	0.0866	0.3236	0.419	0.3114	0.332	0.0582	0.1906	0.1804	0.0614	0.064	0.2052	0.0998	0.0726	0.2654	0.643	0.2582	0.4404	0.7604	0.5924	0.334	0.4466	0.316
Blood_CD4_T_cells_CD25+	0.004	0.3038	0.0044	0.0058	0.2394	0.2846	0.1884	0.2834	0.6054	0.2378	0.8124	0.2444	0.964	0.0054	0.7258	0.2592	0.1672	0.2732	0.2488	0.939	0.1238	0.532	0.8818	0.8	0.1008	0.761	0.6002	0.5308	0.0792	0.5764	0.4104	0.0408	0.4306	0.3516	0.4582	0.371
Blood_Total_immune_cells_CD45+	0.571	0.3558	0.638	0.9782	0.3776	0.427	0.7284	0.274	0.3232	0.4716	0.6038	0.7056	0.0856	0.7386	0.0498	0.442	0.56	0.4232	0.454	0.0478	0.0746	0.2426	0.0326	0.0324	0.076	0.106	0.0294	0.3202	0.8306	0.2982	0.5258	0.9892	0.4686	0.433	0.5252	0.4148
MLN_Total_T_cells	0.3218	0.938	0.293	0.158	0.7756	0.0346	0.2292	0.9786	0.2624	0.0134	0.8122	0.5306	0.3104	0.258	0.4428	0.0018	0.0404	0.0018	0.0046	0.2668	0.8568	0.0976	0.371	0.411	0.913	0.1762	0.4906	0.1926	0.1784	0.2372	0.301	0.2032	0.9866	0.1332	0.3192	0.13
MLN_Total_B_cells	0.2168	0.81	0.197	0.0918	0.6478	0.0738	0.2106	0.8626	0.3084	0.0522	0.8596	0.4632	0.416	0.1642	0.56	0.0414	0.0632	0.0422	0.043	0.3936	0.9478	0.1758	0.492	0.524	0.8824	0.2918	0.6086	0.2452	0.1446	0.2796	0.3086	0.1464	0.896	0.1626	0.3286	0.1654
MLN_CD4_T_cells	0.3356	0.9526	0.3084	0.1716	0.7972	0.0334	0.2354	0.9576	0.2602	0.013	0.8042	0.5404	0.299	0.2716	0.4244	0.002	0.042	0.0016	0.004	0.2482	0.8346	0.0924	0.3532	0.3924	0.8896	0.1596	0.471	0.1894	0.1846	0.2304	0.3004	0.2126	0.9974	0.1294	0.3178	0.1282
MLN_CD8_T_cells	0.311	0.926	0.2816	0.1478	0.763	0.0386	0.2288	0.995	0.264	0.0166	0.8234	0.5196	0.3244	0.2442	0.453	0.0036	0.042	0.0028	0.006	0.281	0.8736	0.1056	0.386	0.4238	0.9316	0.1892	0.499	0.1994	0.1732	0.2386	0.3014	0.1952	0.9766	0.1368	0.3208	0.1344
