item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
CCL2_BacillusS	0.357725081076914	-0.0913734961891321	0.360556623878565	0.532282748998645	-0.0829331942034745	0.493352405878084	-0.215754062186485	0.131119789310102	-0.490848456331772	0.61740329285368	0.145349926326505	-0.00509219002037244	0.40745352865482	0.40717435994709	0.218256671694223	0.713720279488603	-0.575393233171455	0.703443365705407	0.725641626675733	-0.453823481020202	0.0616168636482665	0.470413368865324	0.353891629393058	-0.330683832272483	0.0750027865754565	0.404407217253585	0.242325753892752	-0.292653453873283	0.344935514668568	-0.317143821064566	0.102348309266963	0.405101622613437	-0.0180746795032301	-0.439511294123398	-0.155175392920742	-0.436669989000553
CCL2_BacteroidesV	0.358417500897952	-0.107888226614069	0.368554997443767	0.570063440497057	-0.079851424302331	0.577574194853494	-0.266333911903623	0.141580805562003	-0.534099258154672	0.70748888831857	0.135049005320876	-0.0326489231433664	0.498624176858096	0.419682347112937	0.282868283533802	0.825439231636317	-0.660340537998851	0.815208103381304	0.831875184068447	-0.592058858495151	-0.0338102286961686	0.545778785800052	0.493704079785967	-0.472322937669863	-0.0205513701897057	0.503799623667916	0.379510113294187	-0.366811504395733	0.372522517357022	-0.377159968186551	0.116344038574906	0.426835148361578	-0.00276246102116012	-0.518357368032237	-0.192511264540457	-0.517224082598883
CCL2_CandidaA	0.321570900164052	-0.10321797927482	0.333535430897317	0.525902385455544	-0.0703681366632855	0.550922732557029	-0.258668409621835	0.131037395896641	-0.495816812661113	0.669691933418431	0.117006482410575	-0.0401188694139393	0.482885419746202	0.381143594458721	0.279015796556648	0.783945550859534	-0.625403128304877	0.774792031593543	0.787554945726657	-0.585176614116366	-0.0678856956500092	0.518932756838663	0.497628894952317	-0.479181370819651	-0.0560500166784336	0.490762414771345	0.394226465418265	-0.358024664552136	0.344805610141216	-0.361732639733313	0.109806146084476	0.391188426265365	0.00355323170717958	-0.495721822042963	-0.187275978755013	-0.495378483500165
CCL2_CD3.CD28	0.43766548334926	-0.0992777185786069	0.435537580844342	0.623080321214439	-0.103949796700834	0.539818374193132	-0.225543792441677	0.152602182683693	-0.568135183612813	0.687282984966527	0.185937181281954	0.014870939863447	0.429273545548394	0.489187655874146	0.217860952331473	0.788695340717683	-0.639758660568674	0.776071547582662	0.807500258914828	-0.450022619223327	0.148575405829761	0.518503201015077	0.326402898377019	-0.296575243178342	0.165069844563529	0.41924404480289	0.191753243544764	-0.301680773313782	0.401397469937718	-0.342513070102993	0.114650902749988	0.479581834270029	-0.033869858910845	-0.477983453159136	-0.161482827609813	-0.473194638628536
CCL2_ClostridiumP	0.487872618724091	-0.0929477209721383	0.477583114210752	0.654700980722409	-0.119390809406526	0.511439622018834	-0.19701535477847	0.159038143430475	-0.587433353649287	0.669721752906227	0.218743769555924	0.0464519687019621	0.380497070915353	0.532594800486491	0.173238719526429	0.759508120159368	-0.622230021884873	0.745364950092381	0.7864442967377	-0.352681161315848	0.269241143476996	0.497236007607087	0.212960165035388	-0.177681047907151	0.287793658198624	0.360393984414471	0.0654800830928763	-0.256476881756821	0.418249571128513	-0.317381853656509	0.112839393717802	0.511877421161469	-0.0543995930118049	-0.448228298425747	-0.139841758329102	-0.441031787847443
CCL2_PBS	0.462789500602476	-0.0361624301655617	0.429790214091086	0.504057153895413	-0.123573389965836	0.22009058258007	-0.0272101959178735	0.118369951481195	-0.422580273807361	0.352333632076656	0.241182804659612	0.131750688078073	0.0732314071687921	0.467905842538783	-0.039994362639559	0.369234138660078	-0.323380922490649	0.355609050221945	0.412319950083512	0.102684706774599	0.55954087930946	0.234667407169804	-0.240858041218985	0.280280929367356	0.577626495879292	0.0279716903230048	-0.373077384541183	-0.00903451033091698	0.311056607300844	-0.111975433521311	0.063117489428301	0.418874189768135	-0.100455813353335	-0.176909346669088	-0.0147609379363934	-0.164628372861855
CCL2_PseudomonasA	0.327911874516016	-0.0921886845051356	0.334274485627219	0.506884956782262	-0.0743484205399554	0.495201653166112	-0.223656646356686	0.125459056107483	-0.471767811098362	0.61181583202526	0.127775841922407	-0.0188820204726007	0.420133097436195	0.37928745238637	0.23318859104718	0.711172290403664	-0.570697532650595	0.701785755839237	0.719257722563011	-0.486877666002313	0.00717961702954673	0.469627394223402	0.396187827697431	-0.37587992979435	0.0193710072317711	0.421586148086908	0.292675308579452	-0.30623672946678	0.330078613753753	-0.321364343617411	0.100938075590349	0.382149917767916	-0.0086491409960304	-0.443127620142831	-0.161353268162143	-0.441407290474405
CCL2_StaphA	0.302251166637289	-0.0892736678343334	0.310036942303804	0.476889347191923	-0.0676771045215422	0.478360808340364	-0.219354271381174	0.118327231691797	-0.445980816732872	0.587329193597926	0.114992106519855	-0.0246531839482168	0.411039031640229	0.352690354011109	0.231831383217779	0.684554135818991	-0.548097893504083	0.67591942613948	0.690557326824451	-0.484921657588151	-0.0185246001419731	0.452469049830179	0.401794638532	-0.383568425628079	-0.00732750004486227	0.414543425560768	0.305747741492767	-0.301637334559501	0.311331989490771	-0.311847318807251	0.0966699282317233	0.35775751118489	-0.00393379061760266	-0.428974663797242	-0.15847222959389	-0.427839859352546
IL.1a_BacillusS	0.345622813538055	-0.0958074548372896	0.351721165176156	0.531202245888891	-0.0786340605543968	0.515014475458178	-0.231559605702749	0.131385302285021	-0.493726202502035	0.637458848834618	0.135558366016024	-0.0176080271506567	0.435298892782237	0.398797336907918	0.240438357897041	0.74039578565483	-0.594540793204113	0.730496803372838	0.749376614010112	-0.501736802735234	0.0155235667251188	0.488792693164854	0.406001260238489	-0.384440660195131	0.0283861677017699	0.436145305672041	0.297098757457684	-0.316648976426431	0.345665001017164	-0.333775199539947	0.105240938479849	0.401045860693426	-0.0103942577061811	-0.46056681648459	-0.166984207853641	-0.458610884423843
IL.1a_BacteroidesV	0.336048629743756	-0.100148017440403	0.345103519679302	0.532220817376009	-0.0750677102617472	0.53639603937504	-0.246620513482863	0.132115667988382	-0.498159100269735	0.657856158917885	0.127272763281304	-0.0289136005700018	0.461934798021417	0.392767642353583	0.261258501491199	0.767123446740823	-0.613962000560029	0.75752679651187	0.773497214977277	-0.546643168096318	-0.0258116551413319	0.507128062209975	0.454317605503054	-0.434155518235936	-0.0133708555461234	0.466280178484679	0.347399154671502	-0.339383350450285	0.347614325500837	-0.349960445463142	0.108232655319725	0.398905224033767	-0.00353589600733532	-0.481199820316357	-0.178214137912514	-0.480031660003076
