item1	Blood_Total_T_cells	Blood_Total_B_cells	Blood_CD4_T_cells	Blood_CD8_T_cells	Blood_CD4_T_cells_CD44lo_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Lhi	Blood_CD4_T_cells_CD44hi_CD62Llo	Blood_CD4_T_cells_CD44lo_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Lhi	Blood_CD8_T_cells_CD44hi_CD62Llo	Blood_CD8_T_cells_CD44lo_CD62Llo	Blood_Total_myeloid_CD11b_CD11c	Blood_CD4_T_cells_CD25.	Blood_Total_immune_cells_CD45.	MLN_Total_T_cells	MLN_Total_B_cells	MLN_CD4_T_cells	MLN_CD8_T_cells	MLN_CD4_T_cells_CD44lo_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Lhi	MLN_CD4_T_cells_CD44hi_CD62Llo	MLN_CD4_T_cells_CD44lo_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Lhi	MLN_CD8_T_cells_CD44hi_CD62Llo	MLN_CD8_T_cells_CD44lo_CD62Llo	MLN_Total_myeloid_CD11b_CD11c	MLN_CD4_T_cells_CD25.	MLN_Total_immune_cells_CD45.	MLN_Eosinphils	MLN_Neutrophils	MLN_Ly6C_Monocyte	MLN_CD11c_MHCII	MLN_CD103_CD11c_MHCII_DC	MLN_CD103neg_CD11c_MHCII_DC
CCL2_BacillusS	0.3666	0.4764	0.3762	0.2098	0.6948	0.248	0.487	0.5186	0.144	0.1228	0.3578	0.9792	0.3134	0.2674	0.5054	0.0746	0.072	0.0724	0.0636	0.5468	0.8554	0.274	0.6294	0.6516	0.8258	0.4304	0.718	0.5726	0.071	0.284	0.4544	0.0936	0.8726	0.39	0.635	0.3918
CCL2_BacteroidesV	0.4054	0.433	0.404	0.2052	0.7278	0.1016	0.3884	0.514	0.1298	0.035	0.4098	0.8808	0.1648	0.3032	0.3556	0.0082	0.0188	0.0074	0.0082	0.3284	0.9254	0.1386	0.4322	0.4524	0.954	0.2182	0.5346	0.439	0.0638	0.1768	0.4108	0.1084	0.9848	0.2664	0.5562	0.2614
CCL2_CandidaA	0.412	0.3978	0.408	0.185	0.7238	0.0388	0.327	0.4866	0.097	0.008	0.421	0.8376	0.09	0.3002	0.2638	6e-04	0.0062	4e-04	8e-04	0.1606	0.8278	0.0612	0.2894	0.3186	0.8588	0.0954	0.4152	0.3336	0.0512	0.1162	0.3558	0.0972	0.9786	0.1686	0.4988	0.1602
CCL2_CD3.CD28	0.3096	0.4816	0.3304	0.1668	0.6636	0.3086	0.5512	0.4982	0.1148	0.1252	0.2808	0.9414	0.3878	0.2136	0.5774	0.0748	0.073	0.0758	0.0438	0.649	0.6872	0.3122	0.7308	0.7424	0.6576	0.5432	0.8122	0.645	0.0508	0.3368	0.4568	0.057	0.8028	0.4376	0.6692	0.4426
CCL2_ClostridiumP	0.245	0.5124	0.2694	0.1336	0.6216	0.44	0.6386	0.4794	0.1128	0.2424	0.22	0.8362	0.5256	0.1622	0.6996	0.232	0.1524	0.2422	0.1696	0.7618	0.4676	0.4172	0.84	0.8616	0.4354	0.671	0.9384	0.7362	0.0418	0.4476	0.492	0.0402	0.6824	0.5384	0.7352	0.5502
CCL2_PBS	0.1562	0.7576	0.2012	0.1844	0.553	0.81	0.948	0.5442	0.2094	0.699	0.119	0.46	0.9102	0.1158	0.9176	0.7418	0.6554	0.7516	0.685	0.9198	0.0256	0.7578	0.7616	0.6946	0.0234	0.975	0.4612	0.9898	0.0852	0.8294	0.6756	0.044	0.3842	0.8278	0.963	0.843
CCL2_PseudomonasA	0.4068	0.4818	0.4166	0.2374	0.7312	0.2006	0.4494	0.5456	0.1584	0.1088	0.4132	0.9242	0.2466	0.3082	0.4392	0.0616	0.0684	0.0582	0.0578	0.4454	0.9826	0.2334	0.5364	0.5546	0.9538	0.339	0.6304	0.5064	0.0816	0.2436	0.44	0.1222	0.9478	0.3396	0.5962	0.3374
CCL2_StaphA	0.4354	0.4738	0.431	0.2626	0.7392	0.198	0.4284	0.5438	0.1784	0.1178	0.443	0.896	0.2394	0.336	0.4168	0.0752	0.0766	0.0696	0.074	0.4076	0.954	0.239	0.4984	0.516	0.9832	0.3128	0.5932	0.484	0.0954	0.2382	0.45	0.1504	0.9716	0.3346	0.5826	0.332
IL.1a_BacillusS	0.3884	0.4546	0.3964	0.2092	0.7088	0.1492	0.4398	0.511	0.127	0.0462	0.3702	0.9312	0.2236	0.2892	0.4262	0.0104	0.03	0.0092	0.008	0.4426	0.9622	0.1864	0.5378	0.5522	0.9298	0.331	0.6196	0.5098	0.0648	0.2184	0.4174	0.0994	0.9334	0.314	0.6008	0.3104
IL.1a_BacteroidesV	0.3882	0.4064	0.3918	0.1698	0.7116	0.049	0.368	0.4796	0.087	0.006	0.38	0.8814	0.1172	0.2758	0.316	0	0.0056	0	0	0.2658	0.9316	0.0724	0.3924	0.4174	0.964	0.1544	0.5018	0.397	0.0472	0.1388	0.3654	0.0798	0.9744	0.2056	0.5326	0.1994
IL.1a_CandidaA	0.4204	0.4014	0.4152	0.1928	0.735	0.0456	0.3204	0.4916	0.0978	0.014	0.4282	0.8332	0.0906	0.3018	0.2602	0.0036	0.0106	0.0026	0.0036	0.1586	0.8308	0.0646	0.2778	0.3096	0.8578	0.0938	0.405	0.3198	0.059	0.116	0.3504	0.1032	0.9752	0.166	0.4914	0.1578
