item1	CCL2_BacillusS	CCL2_BacteroidesV	CCL2_CandidaA	CCL2_CD3.CD28	CCL2_ClostridiumP	CCL2_PBS	CCL2_PseudomonasA	CCL2_StaphA	IL.1a_BacillusS	IL.1a_BacteroidesV	IL.1a_CandidaA	IL.1a_CD3.CD28	IL.1a_ClostridiumP	IL.1a_PBS	IL.1a_PseudomonasA	IL.1a_StaphA	IL.5_BacillusS	IL.5_BacteroidesV	IL.5_CandidaA	IL.5_CD3.CD28	IL.5_ClostridiumP	IL.5_PBS	IL.5_PseudomonasA	IL.5_StaphA	IFN.y_BacillusS	IFN.y_BacteroidesV	IFN.y_CandidaA	IFN.y_CD3.CD28	IFN.y_ClostridiumP	IFN.y_PBS	IFN.y_PseudomonasA	IFN.y_StaphA	TNF.a_BacillusS	TNF.a_BacteroidesV	TNF.a_CandidaA	TNF.a_CD3.CD28	TNF.a_ClostridiumP	TNF.a_PBS	TNF.a_PseudomonasA	TNF.a_StaphA	CXCL1_BacillusS	CXCL1_BacteroidesV	CXCL1_CandidaA	CXCL1_CD3.CD28	CXCL1_ClostridiumP	CXCL1_PBS	CXCL1_PseudomonasA	CXCL1_StaphA	IL.1b_BacillusS	IL.1b_BacteroidesV	IL.1b_CandidaA	IL.1b_CD3.CD28	IL.1b_ClostridiumP	IL.1b_PBS	IL.1b_PseudomonasA	IL.1b_StaphA	IL.10_BacillusS	IL.10_BacteroidesV	IL.10_CandidaA	IL.10_CD3.CD28	IL.10_ClostridiumP	IL.10_PBS	IL.10_PseudomonasA	IL.10_StaphA	CCL3_BacillusS	CCL3_BacteroidesV	CCL3_CandidaA	CCL3_CD3.CD28	CCL3_ClostridiumP	CCL3_PBS	CCL3_PseudomonasA	CCL3_StaphA	CCL4_BacillusS	CCL4_BacteroidesV	CCL4_CandidaA	CCL4_CD3.CD28	CCL4_ClostridiumP	CCL4_PBS	CCL4_PseudomonasA	CCL4_StaphA	IL.17_BacillusS	IL.17_BacteroidesV	IL.17_CandidaA	IL.17_CD3.CD28	IL.17_ClostridiumP	IL.17_PBS	IL.17_PseudomonasA	IL.17_StaphA	IL.6_BacillusS	IL.6_BacteroidesV	IL.6_CandidaA	IL.6_CD3.CD28	IL.6_ClostridiumP	IL.6_PBS	IL.6_PseudomonasA	IL.6_StaphA	IL.13_BacillusS	IL.13_BacteroidesV	IL.13_CandidaA	IL.13_CD3.CD28	IL.13_ClostridiumP	IL.13_PBS	IL.13_PseudomonasA	IL.13_StaphA
CCL2_BacillusS	0.2502	0.2032	0.2856	0.1706	0.2924	0.368	0.187	0.2384	0.2224	0.2634	0.3188	0.247	0.2376	0.2834	0.288	0.1864	0.4026	0.4934	0.3906	0.3038	0.399	0.2986	0.4298	0.2526	0.5062	0.5148	0.6112	0.2852	0.2794	0.3206	0.4476	0.5596	0.295	0.261	0.5384	0.2276	0.35	0.2614	0.2566	0.2926	0.2394	0.2292	0.2168	0.1826	0.2712	0.2176	0.2352	0.2592	0.2998	0.2932	0.3874	0.261	0.286	0.3162	0.2458	0.2532	0.2996	0.2998	0.3632	0.2466	0.3116	0.3218	0.2372	0.2358	0.558	0.4318	0.5922	0.2662	0.5428	0.588	0.426	0.3946	0.551	0.4986	0.5594	0.2494	0.5634	0.4228	0.5222	0.4268	0.466	0.3786	0.3626	0.334	0.6074	0.3408	0.519	0.5048	0.264	0.5642	0.3012	0.2296	0.2172	0.276	0.5406	0.2846	0.2536	0.263	0.3546	0.2384	0.2446	0.275	0.2414	0.2586
CCL2_BacteroidesV	0.2064	0.093	0.2126	0.072	0.3796	0.4796	0.0684	0.162	0.0846	0.1594	0.2666	0.0746	0.1614	0.1072	0.379	0.0594	0.561	0.6934	0.4154	0.3326	0.5808	0.1494	0.6322	0.1936	0.662	0.6598	0.8292	0.213	0.2022	0.1602	0.5954	0.764	0.3544	0.2418	0.7408	0.0866	0.5198	0.161	0.2762	0.2912	0.1664	0.1398	0.1548	0.0744	0.271	0.116	0.145	0.1662	0.14	0.133	0.2826	0.0808	0.1244	0.1402	0.0734	0.0704	0.1666	0.2606	0.2098	0.0956	0.1916	0.1376	0.1146	0.06	0.772	0.6268	0.8054	0.142	0.7644	0.8064	0.5824	0.3864	0.7518	0.7042	0.75	0.1916	0.7724	0.5876	0.7384	0.6038	0.6384	0.4868	0.4834	0.417	0.8152	0.1836	0.698	0.7166	0.2166	0.7406	0.1826	0.1158	0.1152	0.1404	0.7434	0.1994	0.1002	0.1062	0.3012	0.0868	0.1	0.1046	0.0624	0.097
CCL2_CandidaA	0.2824	0.2064	0.2944	0.1824	0.3468	0.4162	0.191	0.2646	0.1976	0.267	0.3372	0.2134	0.2462	0.2474	0.3334	0.1812	0.4592	0.558	0.4194	0.34	0.4698	0.275	0.492	0.262	0.539	0.5466	0.6704	0.2996	0.2916	0.2874	0.4878	0.6144	0.3324	0.2832	0.5994	0.2196	0.4234	0.2592	0.297	0.3194	0.2688	0.2516	0.252	0.197	0.3172	0.229	0.2548	0.2772	0.2714	0.2646	0.3748	0.2266	0.2534	0.28	0.2054	0.2136	0.2738	0.308	0.3308	0.2192	0.2972	0.282	0.2256	0.1924	0.6166	0.4984	0.6514	0.2622	0.6124	0.6512	0.4668	0.413	0.6082	0.5656	0.6168	0.2714	0.6256	0.487	0.588	0.483	0.5058	0.4264	0.4128	0.3778	0.6632	0.3096	0.5672	0.5676	0.2776	0.6148	0.2912	0.231	0.2248	0.2608	0.6016	0.2932	0.2336	0.236	0.3602	0.2062	0.2234	0.2444	0.2016	0.233
CCL2_CD3.CD28	0.1778	0.067	0.1814	0.0314	0.3016	0.424	0.0576	0.15	0.0436	0.1256	0.242	0.0648	0.0922	0.109	0.2932	0.0284	0.5078	0.646	0.3932	0.284	0.5282	0.1548	0.5822	0.1258	0.607	0.6158	0.7772	0.1998	0.1948	0.1696	0.5418	0.7248	0.275	0.188	0.6998	0.0802	0.4504	0.1474	0.1998	0.2438	0.1492	0.1196	0.1216	0.0564	0.2356	0.1078	0.1268	0.1578	0.1424	0.129	0.2918	0.0744	0.12	0.152	0.0592	0.065	0.1518	0.2146	0.2218	0.0672	0.1842	0.1478	0.0664	0.0412	0.7234	0.5762	0.7552	0.1348	0.7184	0.7544	0.5274	0.38	0.7036	0.659	0.7108	0.1472	0.7206	0.5342	0.6886	0.5514	0.5864	0.4358	0.4288	0.3598	0.7638	0.1924	0.6572	0.6706	0.1562	0.7022	0.1712	0.086	0.0664	0.1338	0.7032	0.1862	0.0848	0.0898	0.2856	0.0558	0.0752	0.1122	0.047	0.0884
CCL2_ClostridiumP	0.2936	0.37	0.3414	0.2972	0.1354	0.2178	0.4282	0.366	0.3814	0.3538	0.3568	0.5006	0.2486	0.5438	0.1004	0.3894	0.1382	0.1204	0.3248	0.217	0.1106	0.5274	0.0784	0.2202	0.2756	0.2702	0.2052	0.3606	0.3898	0.5522	0.2184	0.2024	0.131	0.2256	0.1442	0.4654	0.1164	0.3892	0.1492	0.259	0.3404	0.348	0.2874	0.3792	0.2456	0.4188	0.3604	0.3944	0.497	0.4896	0.5036	0.5014	0.4782	0.5868	0.4662	0.5034	0.4366	0.276	0.5354	0.4348	0.4432	0.5936	0.3408	0.4656	0.159	0.1064	0.1852	0.4232	0.1576	0.19	0.1868	0.4046	0.1634	0.1024	0.1608	0.2566	0.1536	0.214	0.132	0.1396	0.179	0.22	0.1656	0.1954	0.1934	0.5724	0.1828	0.124	0.2382	0.2612	0.4294	0.3474	0.2782	0.4774	0.1482	0.3752	0.443	0.4544	0.3826	0.4234	0.4086	0.5224	0.4786	0.481
CCL2_PBS	0.3716	0.4696	0.403	0.418	0.2118	0.241	0.5326	0.455	0.4782	0.43	0.4088	0.5896	0.3556	0.641	0.1952	0.4992	0.1744	0.1238	0.3454	0.2736	0.1456	0.6174	0.1154	0.3194	0.2438	0.2444	0.147	0.416	0.448	0.6542	0.2116	0.1566	0.2144	0.309	0.1182	0.5556	0.1568	0.4744	0.2414	0.327	0.4336	0.444	0.3886	0.4864	0.3154	0.5262	0.4522	0.4802	0.5832	0.5716	0.569	0.5944	0.5664	0.6846	0.5588	0.6036	0.513	0.3406	0.6134	0.5222	0.514	0.697	0.4296	0.5594	0.1234	0.1322	0.132	0.5154	0.1178	0.1362	0.1914	0.4324	0.1306	0.1084	0.133	0.3342	0.118	0.2108	0.1108	0.1536	0.186	0.246	0.2128	0.2408	0.1416	0.6848	0.1724	0.1084	0.3166	0.2156	0.5034	0.4396	0.382	0.562	0.1192	0.4426	0.5344	0.535	0.4248	0.5142	0.4952	0.618	0.573	0.579
CCL2_PseudomonasA	0.1846	0.0652	0.1876	0.0542	0.436	0.5502	0.036	0.1218	0.0572	0.1336	0.2594	0.032	0.1498	0.0524	0.4474	0.033	0.6368	0.77	0.4596	0.3828	0.665	0.0894	0.717	0.2134	0.736	0.7466	0.9106	0.2012	0.1668	0.105	0.6746	0.852	0.419	0.253	0.8256	0.0496	0.6022	0.1286	0.318	0.3006	0.135	0.1088	0.126	0.0464	0.2748	0.0722	0.1118	0.1256	0.0932	0.0858	0.2316	0.0368	0.0758	0.078	0.0408	0.0308	0.1242	0.2808	0.147	0.0576	0.1498	0.0696	0.0964	0.0306	0.847	0.7114	0.8842	0.1028	0.8416	0.8798	0.6648	0.3684	0.8332	0.7848	0.8268	0.1982	0.8464	0.664	0.8104	0.6946	0.7126	0.5518	0.5576	0.474	0.894	0.1188	0.78	0.7944	0.2316	0.8206	0.1404	0.0978	0.1104	0.0862	0.8232	0.1682	0.0672	0.0692	0.2972	0.0522	0.072	0.0528	0.027	0.051
CCL2_StaphA	0.243	0.1624	0.2712	0.1462	0.3674	0.4498	0.127	0.2038	0.1724	0.2346	0.3156	0.15	0.2356	0.1804	0.3718	0.1296	0.5164	0.6394	0.4186	0.3502	0.53	0.2136	0.5728	0.2644	0.619	0.6238	0.7684	0.2646	0.2448	0.2264	0.5566	0.706	0.3574	0.28	0.689	0.1534	0.4698	0.2148	0.3004	0.3146	0.2134	0.1952	0.1996	0.1334	0.289	0.155	0.197	0.2134	0.213	0.213	0.334	0.1626	0.205	0.2104	0.1634	0.1552	0.244	0.314	0.2726	0.1814	0.2512	0.2072	0.2042	0.1546	0.7114	0.5758	0.7518	0.2042	0.7028	0.748	0.5472	0.3978	0.6968	0.6502	0.7056	0.2538	0.7136	0.5444	0.6784	0.5572	0.5908	0.459	0.4514	0.4004	0.7638	0.2518	0.6484	0.6588	0.2798	0.688	0.2488	0.1936	0.2062	0.2054	0.6838	0.255	0.192	0.1908	0.344	0.1706	0.1934	0.178	0.1458	0.1792
IL.1a_BacillusS	0.2148	0.0786	0.2028	0.049	0.3806	0.4846	0.0564	0.1666	0.0688	0.1426	0.2644	0.0538	0.1424	0.0966	0.3806	0.0382	0.5696	0.6984	0.4192	0.339	0.5932	0.138	0.637	0.1812	0.6604	0.6612	0.8114	0.2176	0.2084	0.1558	0.5982	0.7658	0.3628	0.2462	0.743	0.076	0.5312	0.1516	0.2778	0.297	0.1792	0.1484	0.16	0.0636	0.285	0.1146	0.1516	0.1766	0.1254	0.114	0.2696	0.0662	0.1106	0.137	0.058	0.056	0.1552	0.253	0.1962	0.0722	0.1846	0.132	0.0888	0.0458	0.76	0.6364	0.7938	0.1324	0.7546	0.7878	0.5856	0.397	0.7448	0.7064	0.7542	0.189	0.7606	0.592	0.7298	0.6104	0.6362	0.4938	0.4908	0.4224	0.8018	0.1752	0.701	0.7158	0.207	0.7422	0.1676	0.102	0.0994	0.127	0.7452	0.2126	0.0882	0.0844	0.2962	0.0616	0.0808	0.0976	0.0474	0.0806
IL.1a_BacteroidesV	0.263	0.1652	0.273	0.1348	0.36	0.4436	0.1448	0.2358	0.1468	0.227	0.3194	0.1524	0.215	0.187	0.3522	0.1216	0.503	0.6138	0.4248	0.3506	0.5242	0.226	0.5532	0.237	0.5834	0.5894	0.7246	0.2734	0.2674	0.2374	0.5308	0.6702	0.3444	0.2716	0.6508	0.1666	0.464	0.2178	0.2912	0.3054	0.2402	0.2184	0.2264	0.1504	0.3054	0.191	0.2212	0.2392	0.229	0.2144	0.3438	0.1664	0.2084	0.223	0.1476	0.1594	0.2346	0.2954	0.2888	0.1696	0.259	0.2232	0.1786	0.133	0.6704	0.548	0.7026	0.219	0.6606	0.7024	0.5068	0.408	0.6612	0.6192	0.671	0.2496	0.6742	0.5266	0.6402	0.5296	0.5558	0.4548	0.4398	0.393	0.7118	0.2552	0.6258	0.6218	0.2516	0.6656	0.2546	0.186	0.179	0.2126	0.6538	0.2716	0.1804	0.1846	0.3428	0.153	0.173	0.1844	0.146	0.1834
