item1	CCL2_BacillusS	CCL2_BacteroidesV	CCL2_CandidaA	CCL2_CD3.CD28	CCL2_ClostridiumP	CCL2_PBS	CCL2_PseudomonasA	CCL2_StaphA	IL.1a_BacillusS	IL.1a_BacteroidesV	IL.1a_CandidaA	IL.1a_CD3.CD28	IL.1a_ClostridiumP	IL.1a_PBS	IL.1a_PseudomonasA	IL.1a_StaphA	IL.5_BacillusS	IL.5_BacteroidesV	IL.5_CandidaA	IL.5_CD3.CD28	IL.5_ClostridiumP	IL.5_PBS	IL.5_PseudomonasA	IL.5_StaphA	IFN.y_BacillusS	IFN.y_BacteroidesV	IFN.y_CandidaA	IFN.y_CD3.CD28	IFN.y_ClostridiumP	IFN.y_PBS	IFN.y_PseudomonasA	IFN.y_StaphA	TNF.a_BacillusS	TNF.a_BacteroidesV	TNF.a_CandidaA	TNF.a_CD3.CD28	TNF.a_ClostridiumP	TNF.a_PBS	TNF.a_PseudomonasA	TNF.a_StaphA	CXCL1_BacillusS	CXCL1_BacteroidesV	CXCL1_CandidaA	CXCL1_CD3.CD28	CXCL1_ClostridiumP	CXCL1_PBS	CXCL1_PseudomonasA	CXCL1_StaphA	IL.1b_BacillusS	IL.1b_BacteroidesV	IL.1b_CandidaA	IL.1b_CD3.CD28	IL.1b_ClostridiumP	IL.1b_PBS	IL.1b_PseudomonasA	IL.1b_StaphA	IL.10_BacillusS	IL.10_BacteroidesV	IL.10_CandidaA	IL.10_CD3.CD28	IL.10_ClostridiumP	IL.10_PBS	IL.10_PseudomonasA	IL.10_StaphA	CCL3_BacillusS	CCL3_BacteroidesV	CCL3_CandidaA	CCL3_CD3.CD28	CCL3_ClostridiumP	CCL3_PBS	CCL3_PseudomonasA	CCL3_StaphA	CCL4_BacillusS	CCL4_BacteroidesV	CCL4_CandidaA	CCL4_CD3.CD28	CCL4_ClostridiumP	CCL4_PBS	CCL4_PseudomonasA	CCL4_StaphA	IL.17_BacillusS	IL.17_BacteroidesV	IL.17_CandidaA	IL.17_CD3.CD28	IL.17_ClostridiumP	IL.17_PBS	IL.17_PseudomonasA	IL.17_StaphA	IL.6_BacillusS	IL.6_BacteroidesV	IL.6_CandidaA	IL.6_CD3.CD28	IL.6_ClostridiumP	IL.6_PBS	IL.6_PseudomonasA	IL.6_StaphA	IL.13_BacillusS	IL.13_BacteroidesV	IL.13_CandidaA	IL.13_CD3.CD28	IL.13_ClostridiumP	IL.13_PBS	IL.13_PseudomonasA	IL.13_StaphA
1.1.1.1.1.1.1.1	-0.396215015938041	-0.426863370514818	-0.406518484153808	-0.459549214746299	-0.485066923796652	-0.353451557054708	-0.377207121203455	-0.355948397896832	-0.409896234543499	-0.407790019344792	-0.390233848376578	-0.32829411264696	-0.462061865657554	-0.227939153781885	-0.482377626238444	-0.413780311967208	-0.473711751397519	-0.464421141658375	-0.380802597121106	-0.319396154267337	-0.491420244249896	-0.200972566231314	-0.471404255040984	-0.454656106824388	-0.204148744820219	-0.183243103773027	-0.333107811751923	-0.252783893279726	-0.248457134184043	-0.125786268581008	-0.186771109235284	-0.370708539434715	-0.457096596674299	-0.409564880065206	-0.417068525968748	-0.265187427287156	-0.461020151360315	-0.256060114041273	-0.425934126988963	-0.374967533398047	-0.377419716699806	-0.391383269422568	-0.385923073375522	-0.391238533898235	-0.41218553822133	-0.304420989044172	-0.363226010093587	-0.332590056255199	-0.285248226468815	-0.342820517903	-0.223572669499189	-0.353131783710834	-0.346996552461789	-0.163294483802036	-0.322664108264883	-0.346173889570062	-0.299614603694661	-0.45446433580669	-0.210193733355279	-0.397086371795503	-0.1707098358799	-0.146413373366024	-0.381884453582793	-0.375220241023425	-0.418462189421415	-0.455737391504902	-0.379606559106072	-0.241798258784877	-0.418008894739254	-0.357322675106496	-0.334403988728218	-0.118471495853765	-0.387985486889237	-0.471613248333903	-0.388839837498022	-0.367146479417172	-0.397634958098663	-0.346499785305333	-0.426094630899318	-0.471642932709583	-0.336416682511761	-0.34090081709332	-0.439626013794152	-0.326824899854946	-0.353115977667654	-0.0902591354079469	-0.328672558631173	-0.430670624042912	-0.418620256972323	-0.228535846697111	-0.346752771272293	-0.314497547130652	-0.314185968871643	-0.273726166766403	-0.355844200988042	-0.234061351958373	-0.293296117095899	-0.356100072084185	-0.35003765559346	-0.41537807050869	-0.358603744025724	-0.264821399397182	-0.358533595548131	-0.244286571446491
1.1.1.1.1.1.1.2	0.156483602688029	0.171286485467414	0.251052315806426	0.0881171204606505	0.158988263295668	-0.131972517170772	0.0961428023256072	0.136548753901084	0.110222846767675	0.23233533422408	0.270572607572694	-0.0030499772726124	0.172519237954494	-0.188702820341771	0.116803845205937	0.113551124694143	0.0689525933782821	0.138624731520251	0.248726003261632	0.0777241321284995	0.134919418368815	-0.224084521445883	0.0855150426393339	0.0266677797152376	0.0713012076466094	-0.00287733646962395	0.041754212761019	0.129071257185674	0.0532294569282225	-0.238419317715496	-0.000340705262092289	0.0756676977839452	0.0866936911473835	0.114457288072421	0.127277963666473	0.127976672036505	0.0951300206863464	-0.0814996020856044	0.0623917843670585	0.0671225028387063	0.146437601399787	0.155375113224417	0.159135805552446	0.103072456070992	0.146162791870438	0.0102532221814641	0.133697543866625	0.154116470914229	0.0703948220516928	0.113790369883976	0.230073677317368	-0.00270365854723859	0.0893202475053409	-0.238558805528781	0.0424173382300082	0.023685240686977	-0.00721434326471343	0.110230641758498	0.117542417659259	0.0274934494122218	-0.059397881662411	-0.208642549966404	0.0669088530464402	-0.00670213029760677	0.043663213326616	0.12269591324339	0.0672888286712295	0.0877956817418941	0.0767271405609617	0.0058192328308788	0.0126857033480251	-0.0645846880519159	0.00807273346424128	0.0902282551123665	0.0930302307308394	0.160030673213627	0.0765699574755282	-0.149022500682863	0.0577970537678513	0.123572811638834	0.0870905112485486	0.178707467143774	0.183178862607781	0.11630032433018	0.060914467860027	-0.241132035215407	0.0813366135198784	0.112808334177613	0.110525157519634	0.0927227541419578	0.145185921709085	0.131351503828548	0.0301046614893001	-0.142446086454011	0.10393053406068	-0.0406907767014449	0.131133179435094	0.164155354688692	0.197477056984803	0.0576397787188174	0.123452389224983	-0.158680332142042	0.086095471490277	0.0511056301830585
1.1.1.1.1.1.2.1	-0.248467190562872	-0.267702100455375	-0.255440583379238	-0.287655819252681	-0.304002005324105	-0.220113550736264	-0.236248357245626	-0.223193105372225	-0.256754380349176	-0.25612921863632	-0.245375299345403	-0.205122964985389	-0.289703460736646	-0.141363972617642	-0.30208286147557	-0.259200245159686	-0.29639708615607	-0.290985911304555	-0.239358406227062	-0.200019962826578	-0.307835799317465	-0.124313238058119	-0.2950489218633	-0.284250580831922	-0.12796929440962	-0.114486324245676	-0.208384401004037	-0.15868668081447	-0.155553899052888	-0.0772506769919533	-0.116705212031425	-0.232071753383842	-0.286115204548501	-0.256571287335391	-0.261332612128994	-0.166431048926477	-0.288614640042377	-0.159542420973926	-0.266505293128273	-0.234684708154996	-0.236665781784324	-0.245441718541507	-0.242051100073522	-0.245055336508871	-0.258388248347989	-0.190280705954108	-0.227724513657466	-0.20869664641279	-0.178640571766959	-0.214861151131246	-0.141005042263106	-0.220645170483677	-0.217332160058497	-0.100687541108585	-0.201862225392171	-0.216446725672889	-0.187178517538923	-0.284603569043207	-0.132008253824678	-0.248281813620334	-0.106334888827344	-0.0903083625959467	-0.239005655810413	-0.234424898572426	-0.2617303534797	-0.285469591423335	-0.237584424267172	-0.151588570604422	-0.261634188493759	-0.223312145707016	-0.209029862563984	-0.0736635153787772	-0.242485081881908	-0.295206183454978	-0.24349964837929	-0.230323285791159	-0.248902294397203	-0.215673143514559	-0.26657958861909	-0.295413404110857	-0.21070852995321	-0.214028910280596	-0.27574434766174	-0.204880216041692	-0.220995261119554	-0.0550355875720854	-0.205836923961156	-0.269750244256693	-0.262207446355782	-0.143329202926327	-0.21749593118454	-0.19726242102563	-0.196494845966413	-0.170236507359354	-0.222943434073638	-0.146027022704503	-0.184013107497061	-0.223444086667421	-0.219844424005703	-0.259882271646354	-0.22477824155365	-0.164580352884774	-0.224523033261797	-0.152935834053691
1.1.1.1.1.1.2.2	-0.247107518840114	-0.265770212126917	-0.238382003891854	-0.302240942491401	-0.307977562258394	-0.265903161832966	-0.244098321515793	-0.222669417833919	-0.26428973297364	-0.242392711300485	-0.223880882131178	-0.226965431733977	-0.289843480115084	-0.18882348571122	-0.313185054109068	-0.266411717324707	-0.315218693877133	-0.297145536278081	-0.221032852136284	-0.207304421172465	-0.316389660043293	-0.176145769765634	-0.310854101796775	-0.309153611339474	-0.128882958770222	-0.126881436484076	-0.222784731728552	-0.152759209351148	-0.1624721384298	-0.12668277194393	-0.128890343209375	-0.243043607219054	-0.300787456723164	-0.263352233604327	-0.26638174417524	-0.161498329852569	-0.302081478105392	-0.190273063395515	-0.283360464909058	-0.247412072495565	-0.235824572796894	-0.2439602007393	-0.239564180582841	-0.252616915960504	-0.259851783024027	-0.208270698889866	-0.228166811685987	-0.203615808762222	-0.184976517160256	-0.217424132112056	-0.115699621607109	-0.24404028888883	-0.224401536705356	-0.152579008985142	-0.215469722858969	-0.234822735387669	-0.2078797243155	-0.295031167938788	-0.125311005889994	-0.269304208168493	-0.127698797731319	-0.135925942931159	-0.252219081273627	-0.259946167435952	-0.281341931090047	-0.293822366432771	-0.250584191026067	-0.152091791411667	-0.275493662695016	-0.245504224864112	-0.228545497923666	-0.0925335641660644	-0.266277918218794	-0.310209173991476	-0.252643590679061	-0.226462408270202	-0.261466190628728	-0.263962404004372	-0.284240432767434	-0.304647077726181	-0.217476926460839	-0.205231464630689	-0.272582755880913	-0.205970256880009	-0.23337838839261	-0.102630588848015	-0.213098410393185	-0.278186885748498	-0.270256884719047	-0.142118585209321	-0.214880302421727	-0.194947061464083	-0.211682964456556	-0.212662682444219	-0.228058512047105	-0.168266237093684	-0.18035902702419	-0.218152122359565	-0.208391567151808	-0.276874561375226	-0.226693659409413	-0.209238191492411	-0.232899596565185	-0.159950888490492
1.1.1.1.1.1.2.3	-0.327139490219037	-0.35327577851653	-0.363520623056061	-0.350670890036468	-0.390464225742575	-0.208188332946782	-0.295172539478243	-0.292651122793925	-0.322522922279762	-0.358650946538575	-0.358068235140426	-0.230185395708814	-0.378435824010272	-0.102352385397861	-0.3755780466973	-0.326282495466612	-0.354738859153269	-0.369657234711291	-0.344699681212464	-0.248799629148473	-0.387523832616424	-0.07246981730244	-0.358215601587949	-0.328299563753497	-0.165685167763116	-0.128120123791741	-0.247374084419121	-0.217718427710097	-0.191312920924901	-0.0151222099898179	-0.13138518767003	-0.284291060196105	-0.348505785596805	-0.323593857460921	-0.332825343408147	-0.226113598516296	-0.353866439329056	-0.155168791346713	-0.319081837070665	-0.284657533018584	-0.310813086973841	-0.32339643973589	-0.320710665383399	-0.307185243427008	-0.335204191223543	-0.217475705599116	-0.296896511846692	-0.281617326241378	-0.222501452182333	-0.276399248050413	-0.228262118508922	-0.247778216976053	-0.271802413517443	-0.0414856866370941	-0.240225778300248	-0.251007560003831	-0.208711888905255	-0.353902045431867	-0.184183310148168	-0.288023771602035	-0.101888068065528	-0.03881534319791	-0.289461361258368	-0.262097341467355	-0.308053033335268	-0.358637621951903	-0.287974716817083	-0.197271407404358	-0.317917647107836	-0.253353741606053	-0.239333469434013	-0.0635138191708012	-0.275634978757331	-0.359814413311112	-0.302403498169356	-0.307767235681042	-0.303525626967026	-0.198042742615725	-0.317779650438857	-0.370105487041876	-0.263667237905613	-0.295042312321592	-0.365923773165443	-0.265911123245348	-0.267361571392154	0.0107250339534228	-0.256443029862572	-0.337944789751508	-0.328757898737485	-0.189451983467602	-0.288837502077085	-0.26186823821908	-0.230464696342434	-0.148834389012905	-0.282531303769506	-0.152250460190325	-0.24687481664703	-0.301260780168344	-0.307255869268426	-0.310186563651691	-0.290486832136526	-0.137565104151572	-0.278931457461285	-0.187722629911907
1.1.1.1.1.1.2.4	0.148975170944217	0.163744892505191	0.261715159207062	0.0604573261067504	0.143182625062114	-0.193784089004199	0.078272165737104	0.128985170954931	0.0919701055444859	0.239073619630502	0.286810885908619	-0.0362039934456121	0.161739540234633	-0.249588909860542	0.0927035481000229	0.0955889206631825	0.035999872316263	0.120732452561411	0.261465259428635	0.0618447504718806	0.113599458811732	-0.289478722825422	0.0561522921061675	-0.0129780159335298	0.0655397164566148	-0.0216212802901067	0.0172159935998694	0.130214087135271	0.0394092602212886	-0.299271503681359	-0.01891948585696	0.054285742750517	0.0589880794682461	0.0970967499333372	0.111775699737092	0.12766812852304	0.0687476947251127	-0.123416061201332	0.0328424913810241	0.0435842505624874	0.138753045952201	0.14812055958493	0.153185594522963	0.0852176085078601	0.134977056721066	-0.0178350514798616	0.12483408253628	0.152433082508075	0.0564121558334839	0.102909070484584	0.254609517183888	-0.0382488860572173	0.0730589652002786	-0.303156488437748	0.0190487036316712	-0.00581490349864468	-0.0383712683113297	0.0875626360165041	0.120566336698024	-0.00627942805335298	-0.0883703801383558	-0.265495861557731	0.0426417516017172	-0.0452478726821486	0.011053517423722	0.102431525845559	0.0433245888131526	0.0816504936673449	0.0508725737483117	-0.0284116354983089	-0.0178803215368305	-0.0894328378256229	-0.0287395811803469	0.061801322309782	0.073375068117744	0.156122895049837	0.0527026155340854	-0.213605362238015	0.0272993701279277	0.101910095815572	0.0714252120861457	0.181191109768937	0.176785964933122	0.107513629972336	0.0382818785950591	-0.299013900926062	0.0652710496709217	0.0930214975785858	0.0914691896607219	0.0888918468097994	0.140286538221377	0.126841074152993	0.00507742476961589	-0.198482181512831	0.0897575260135131	-0.0721450800780982	0.128679573557144	0.162179401478801	0.202864429948029	0.0281722233062227	0.112967792187339	-0.217128617505132	0.0680363732056724	0.037267726998281
1.1.1.1.1.1.2.5	-0.335351605094161	-0.359995226691459	-0.300581379315471	-0.433832222384648	-0.426215028452787	-0.429662997161483	-0.344653648439092	-0.303207925872085	-0.371759246853044	-0.310893675710798	-0.274326678607844	-0.341639389914044	-0.395874985718609	-0.326871505787019	-0.443700824607718	-0.374184414376708	-0.457717065764347	-0.414608189922483	-0.275052891529408	-0.293602141034541	-0.444364923138894	-0.315932364325456	-0.447366716728623	-0.458292533465674	-0.177271061078866	-0.191256639500853	-0.325095894323114	-0.199903771271726	-0.231867455317975	-0.244914215227648	-0.1936932890408	-0.347759555114049	-0.4319749066419	-0.369380972464279	-0.370994959168358	-0.213282156861413	-0.431986222697924	-0.304491794111595	-0.411363476715296	-0.356279196219005	-0.320703953526274	-0.330877720951115	-0.32341268190568	-0.355862640239861	-0.356859865757968	-0.310509331213926	-0.312119079090177	-0.270561893651813	-0.261740764755385	-0.300541915417719	-0.121097163146056	-0.367209401066514	-0.31662857793957	-0.283846725617765	-0.313955602109313	-0.347318115940272	-0.313923345860067	-0.417936331247772	-0.161312826708713	-0.398242806731192	-0.205431713038748	-0.251978016974064	-0.363549083069551	-0.392018675865553	-0.412621480937124	-0.413265064533298	-0.361006157861659	-0.208356262398833	-0.396262375708537	-0.36745612890632	-0.340408319167257	-0.153795694838102	-0.398145540458192	-0.445318261719707	-0.358203099909265	-0.30352660004376	-0.37522673024765	-0.430653317254377	-0.413737861061764	-0.429324751528763	-0.306737403711574	-0.26735578240097	-0.367504620327335	-0.282761284890103	-0.336620298192747	-0.20940514741069	-0.301478182173057	-0.392042874730744	-0.380653674028529	-0.192246155548435	-0.289528817410208	-0.262754768953435	-0.311087732052792	-0.352085929659252	-0.318775174337286	-0.262085646369016	-0.240891069097942	-0.290098287694407	-0.267803212510749	-0.402709095225068	-0.312253028582006	-0.350660567493442	-0.3301328158552	-0.228566617205341
1.1.1.1.1.2.1.1	-0.310962169768438	-0.335930485653066	-0.349719302343959	-0.329021948420028	-0.369652080886385	-0.185364847483446	-0.278138594156458	-0.277993283292094	-0.304190435974133	-0.344203782923311	-0.34573379568278	-0.21268019551582	-0.35926188852964	-0.0844322737335288	-0.353604910120235	-0.307846871843184	-0.331746575095436	-0.349310740085701	-0.332190302688242	-0.234262476516076	-0.365630946725254	-0.0548864734554189	-0.335857521092565	-0.305011168152802	-0.157061629023187	-0.11831298107347	-0.230998167503367	-0.208300800806078	-0.179781036344764	-0.00108335579180602	-0.121469327651101	-0.266969026064134	-0.326942929619287	-0.305409800591813	-0.314639528722058	-0.216004329365121	-0.332356205580277	-0.139070177696233	-0.298420672752187	-0.266845554206504	-0.295322117934867	-0.307441113582017	-0.305161134552386	-0.289621293583882	-0.317860938320333	-0.201647713390724	-0.281764596650581	-0.268741179093293	-0.209548824915933	-0.261734342146818	-0.223514956968506	-0.228966463033067	-0.256159837462161	-0.0254532886419258	-0.224424231480388	-0.233380306644367	-0.192599004368633	-0.333206148543624	-0.176668161713744	-0.267814079454157	-0.0909989778883619	-0.0246027248666798	-0.271275943962428	-0.241990570944165	-0.287209374556169	-0.338259421122734	-0.26992184906486	-0.187160867501128	-0.298119797274073	-0.234583106801132	-0.221990511330635	-0.0552348815639577	-0.255307793490507	-0.337590900503748	-0.284656429135298	-0.293241167955228	-0.284803443333874	-0.175061048995951	-0.2969679837198	-0.348910840815135	-0.248516855890615	-0.282485338456033	-0.348269126615826	-0.252172103237722	-0.250516635323391	0.0229635514421167	-0.241525542693359	-0.318590440842847	-0.309972079638054	-0.180197070737431	-0.274934261820021	-0.249248118359121	-0.214732287810908	-0.129915444974223	-0.266870995282506	-0.138579649958469	-0.235372359330779	-0.287448018543945	-0.294794360103423	-0.289938385194752	-0.275283452791715	-0.118616736900393	-0.262577364250983	-0.176346297223803
1.1.1.1.1.2.1.2	-0.365820096492102	-0.393164632512807	-0.343382213943492	-0.457263694786405	-0.459360797748277	-0.422214216817607	-0.366923371478119	-0.33006585744901	-0.396691868067798	-0.35134156025758	-0.319184489013838	-0.349962536659375	-0.430135661486629	-0.308857998983647	-0.471396086832257	-0.399644513707071	-0.47908061273049	-0.444609421437353	-0.316874654585944	-0.31198905857727	-0.474610157491597	-0.292691542393149	-0.470780987197905	-0.473758451535642	-0.191780596514759	-0.195752527412143	-0.339259984034091	-0.223070495694646	-0.245248402359289	-0.217850246734493	-0.1986062591317	-0.3672459427565	-0.455159784606947	-0.394844754591414	-0.398292695020019	-0.236638462652729	-0.456350978888325	-0.300894547171916	-0.430622530274532	-0.374788967045822	-0.349392652560097	-0.361076641598142	-0.353946247435553	-0.379388353975558	-0.386436116156436	-0.319895303529171	-0.338806567746658	-0.299040101120888	-0.278286889963423	-0.324149435358279	-0.156368007826109	-0.376235835201415	-0.33722661464567	-0.257760339950563	-0.32792710168974	-0.359524882619396	-0.320954395157721	-0.444052666882149	-0.181879221701917	-0.412286260276115	-0.202387791498953	-0.229258418081966	-0.382215167281848	-0.401121415122407	-0.429294077766457	-0.441004691074525	-0.379660245271319	-0.225968207684372	-0.41713908534265	-0.377680573602057	-0.350900139102046	-0.148704109957767	-0.409471050524811	-0.469339082951671	-0.380384625578215	-0.333675992972134	-0.395542725893777	-0.420845928870146	-0.432415277543946	-0.457598286967094	-0.326770353928271	-0.299190253096031	-0.402529168014323	-0.306264379596854	-0.353758569366097	-0.18105247024844	-0.320571916201771	-0.417856481787649	-0.40585635701636	-0.210134426171052	-0.317244088434426	-0.287849977119181	-0.32326419481167	-0.341185910967391	-0.341471033061684	-0.263108341677636	-0.265395807347366	-0.320480496143784	-0.302273552543695	-0.421082067413277	-0.337511444966832	-0.337454132077464	-0.350625808544405	-0.241566068986567
1.1.1.1.1.2.1.3	0.111289425516081	0.121320208486132	0.161881909209846	0.0798621049724087	0.119071002619588	-0.04385351687801	0.0781040348458193	0.0978543408533764	0.0879022478570709	0.152109442818632	0.170985986107787	0.0222666424857543	0.124529640458094	-0.0828811717369845	0.0966417970763645	0.0899389006703863	0.0707912137071674	0.106836840775874	0.15878570053358	0.064192206606184	0.10684735072211	-0.103490440505317	0.0793527795929291	0.0471189027331381	0.0524259473177828	0.0118092555297347	0.0462311102026138	0.0864109521104025	0.0461232749512589	-0.11651339664874	0.0134027703962416	0.0668398783606042	0.0789335162322873	0.0901099472895501	0.0974128659282998	0.0867360502777931	0.083665279348242	-0.0243338499916287	0.0638588093096683	0.0626457869916153	0.104627771159658	0.110353813704189	0.111938841069472	0.0827767546393888	0.107011165688384	0.0275421022492666	0.0968808292791926	0.105414884592518	0.0578459344204665	0.0849046687900059	0.137520790758833	0.0242554140930505	0.0723111841305662	-0.113859247766181	0.0458211302752552	0.0376579034417531	0.0179861529559297	0.0911474313396974	0.0772373495574134	0.0433675005313492	-0.0188917922243353	-0.0993192717751522	0.0630361924384098	0.0237543012138838	0.0534443930294982	0.0978099313135074	0.0630708089139213	0.0638574343249364	0.0708380358038707	0.0290522415402914	0.031004580300946	-0.025424409076093	0.0324698236689209	0.0818521142907275	0.0773094818274232	0.11104501945118	0.0692735607025736	-0.0533453927564788	0.0614487919534113	0.0994287881110318	0.0703665960233043	0.118980139726141	0.128516304056018	0.085064329306326	0.0577847068179329	-0.120526755181221	0.0667707911546249	0.0907757018430346	0.0886960102642765	0.0654898199964373	0.101737906162406	0.0921007058223505	0.0387150895179236	-0.0551714737106091	0.080655069901	-0.00442502311589376	0.0904438288498436	0.112415650550366	0.129537249980044	0.0605865707130473	0.091144898841814	-0.0643754339142966	0.0714505353420117	0.0447006040190918
