condition	cor	iteration
IFN_y_Bacillus.S.	0.134392516918057	1
IFN_y_Bacteroides.V.	0.476403097228931	1
IFN_y_Candida.A.	0.49368001060675	1
IFN_y_CD3_CD28	0.730855369434286	1
IFN_y_Clostridium.P.	0.431924248028528	1
IFN_y_PBS	0.631844584507949	1
IFN_y_Pseudomonas.A.	0.664793427149754	1
IFN_y_Staph.A.	0.414024712631192	1
IFN_y_Bacillus.S.	0.662321154957861	2
IFN_y_Bacteroides.V.	0.705658490401323	2
IFN_y_Candida.A.	0.729907413290762	2
IFN_y_CD3_CD28	0.872582559416687	2
IFN_y_Clostridium.P.	0.700289927310623	2
IFN_y_PBS	0.336676025705518	2
IFN_y_Pseudomonas.A.	0.497897795302386	2
IFN_y_Staph.A.	0.51911115097505	2
IFN_y_Bacillus.S.	0.550823577733075	3
IFN_y_Bacteroides.V.	0.753044419525054	3
IFN_y_Candida.A.	0.0189915137113728	3
IFN_y_CD3_CD28	0.858917089577293	3
IFN_y_Clostridium.P.	0.321813548180663	3
IFN_y_PBS	0.867479550184199	3
IFN_y_Pseudomonas.A.	0.280920150125278	3
IFN_y_Staph.A.	0.640141182227661	3
IFN_y_Bacillus.S.	0.562547349133206	4
IFN_y_Bacteroides.V.	0.906200900863582	4
IFN_y_Candida.A.	-0.00352902825177871	4
IFN_y_CD3_CD28	0.9638304152718	4
IFN_y_Clostridium.P.	0.480641899074394	4
IFN_y_PBS	0.585235825358798	4
IFN_y_Pseudomonas.A.	0.727577862019879	4
IFN_y_Staph.A.	0.677517485233191	4
IFN_y_Bacillus.S.	0.397804104533048	5
IFN_y_Bacteroides.V.	0.688695303932991	5
IFN_y_Candida.A.	0.844578951110575	5
IFN_y_CD3_CD28	0.838010137393647	5
IFN_y_Clostridium.P.	0.514341960871254	5
IFN_y_PBS	0.0277537425373665	5
IFN_y_Pseudomonas.A.	0.81690866005265	5
IFN_y_Staph.A.	0.728796607193823	5
IFN_y_Bacillus.S.	0.659710369196653	6
IFN_y_Bacteroides.V.	0.809078485184432	6
IFN_y_Candida.A.	0.908118366863115	6
IFN_y_CD3_CD28	0.921652776898366	6
IFN_y_Clostridium.P.	0.808419861232224	6
IFN_y_PBS	0.362351722526647	6
IFN_y_Pseudomonas.A.	0.538372002713958	6
IFN_y_Staph.A.	0.931366597685677	6
IFN_y_Bacillus.S.	0.333878713742716	7
IFN_y_Bacteroides.V.	0.553261242356876	7
IFN_y_Candida.A.	-0.533546120724546	7
IFN_y_CD3_CD28	0.903971958403407	7
IFN_y_Clostridium.P.	0.196688281737836	7
IFN_y_PBS	0.808227543337709	7
IFN_y_Pseudomonas.A.	0.614000884571663	7
IFN_y_Staph.A.	0.234374744301005	7
IFN_y_Bacillus.S.	0.681091974115165	8
IFN_y_Bacteroides.V.	0.730423825769131	8
IFN_y_Candida.A.	0.692401815497653	8
IFN_y_CD3_CD28	0.908280440300137	8
IFN_y_Clostridium.P.	0.602323600262389	8
IFN_y_PBS	0.684318109249507	8
IFN_y_Pseudomonas.A.	0.184833678297616	8
IFN_y_Staph.A.	0.683029572496769	8
IFN_y_Bacillus.S.	0.235476364939492	9
IFN_y_Bacteroides.V.	0.899492711502084	9
IFN_y_Candida.A.	0.415204850068574	9
IFN_y_CD3_CD28	0.750984408665129	9
IFN_y_Clostridium.P.	0.788892830539724	9
IFN_y_PBS	0.865388961192156	9
IFN_y_Pseudomonas.A.	0.831650743515432	9
IFN_y_Staph.A.	0.160127482305203	9
IFN_y_Bacillus.S.	0.402430153255111	10
IFN_y_Bacteroides.V.	0.7251373111709	10
IFN_y_Candida.A.	0.901037777517053	10
IFN_y_CD3_CD28	0.759756664437801	10
IFN_y_Clostridium.P.	0.824509636259114	10
IFN_y_PBS	0.56192108958351	10
IFN_y_Pseudomonas.A.	0.763443205614984	10
IFN_y_Staph.A.	0.723023085663608	10
