alpha	lambda	MSE	num	Log2_MSE	combo
1	0.353628282828283	53.3648975278457	8	5.76460352378273	1;0.354
1	0.404132323232323	53.3800104762611	8	5.76500452418399	1;0.404
0.375	0.707156565656566	53.693165653482	1	5.77328866293556	0.375;0.707
0.375	0.757660606060606	53.7058482758546	1	5.77362316606914	0.375;0.758
0.375	0.656652525252525	53.7161335110139	1	5.77389438136902	0.375;0.657
0.375	0.808164646464646	53.7645712263058	1	5.77517096899003	0.375;0.808
0.375	0.606148484848485	53.7787427056235	1	5.77554424824029	0.375;0.606
0.531	0.505140404040404	53.8392351798303	9	5.77713654547277	0.531;0.505
0.375	0.555644444444444	53.8568608091492	1	5.7776001610281	0.375;0.556
0.531	0.555644444444444	53.8993134679102	9	5.7787162029041	0.531;0.556
1	0.454636363636364	53.9016267404785	8	5.77877699194391	1;0.455
0.375	0.858668686868687	53.9025970686823	1	5.77880248982804	0.375;0.859
0.531	0.454636363636364	53.9387090293327	9	5.77975110470299	0.531;0.455
1	0.303124242424242	53.9501505992993	8	5.78005152999389	1;0.303
0.375	0.505140404040404	53.9914868266014	1	5.78113638873065	0.375;0.505
0.531	0.606148484848485	54.0438051993729	9	5.78250830243658	0.531;0.606
0.375	0.909172727272727	54.090536162113	1	5.78373259871717	0.375;0.909
0.114	1.01018080808081	54.1144229140391	3	5.78435800249891	0.114;1.01
0.114	0.505140404040404	54.1168216536052	2	5.78442079140582	0.114;0.505
0.114	0.959676767676768	54.1184005185172	3	5.78446211795343	0.114;0.96
0.114	0.454636363636364	54.1190315837175	2	5.7844786356574	0.114;0.455
0.114	0.909172727272727	54.1232704714073	3	5.784589580769	0.114;0.909
0.792	0.303124242424242	54.1235188712268	7	5.78459608191411	0.792;0.303
0.114	0.404132323232323	54.124297361694	2	5.7846164564553	0.114;0.404
0.114	0.555644444444444	54.1251987473595	2	5.78464004703259	0.114;0.556
0.114	1.06068484848485	54.1282009035642	3	5.78471861505649	0.114;1.061
0.114	0.353628282828283	54.129942508754	2	5.7847641918292	0.114;0.354
0.531	0.404132323232323	54.1318372305587	9	5.78481377393749	0.531;0.404
0.114	0.606148484848485	54.1321539265686	2	5.78482206124431	0.114;0.606
0.114	0.858668686868687	54.1372330915382	3	5.78495496641984	0.114;0.859
0.114	0.808164646464646	54.1405765943161	3	5.7850424482966	0.114;0.808
1	0.505140404040404	54.1423182763223	8	5.78508801685003	1;0.505
0.114	1.11118888888889	54.1431541018616	3	5.78510988448744	0.114;1.111
0.114	0.303124242424242	54.147508681711	2	5.78522380765371	0.114;0.303
0.114	1e-04	54.1536967294927	2	5.78538568196548	0.114;0
0.114	0.757660606060606	54.1541107160091	3	5.78539651086885	0.114;0.758
0.114	0.656652525252525	54.1560415120397	2	5.78544701483068	0.114;0.657
0.114	1.16169292929293	54.1596255518412	3	5.78554075811461	0.114;1.162
0.114	0.707156565656566	54.1688002624214	3	5.78578070188955	0.114;0.707
0.114	0.252620202020202	54.1715100146386	2	5.78585156168823	0.114;0.253
0.114	0.707156565656566	54.1753804274608	2	5.78595276663138	0.114;0.707
0.114	1.21219696969697	54.1828580141677	3	5.78614827314596	0.114;1.212
0.114	0.656652525252525	54.190481424184	3	5.78634756503835	0.114;0.657
0.114	0.202116161616162	54.1945946642646	2	5.78645508230932	0.114;0.202
0.375	0.454636363636364	54.1957401770161	1	5.78648502379955	0.375;0.455
0.114	1.26270101010101	54.1986658085449	3	5.78656149133541	0.114;1.263
0.114	0.757660606060606	54.2023286962468	2	5.78665722289921	0.114;0.758
0.792	0.353628282828283	54.21602453264	7	5.78701511476717	0.792;0.354
0.114	1.31320505050505	54.2180622922267	3	5.787068356764	0.114;1.313
0.114	0.606148484848485	54.2199975649633	3	5.78711891919481	0.114;0.606
0.114	0.808164646464646	54.2299367713718	2	5.78737857066352	0.114;0.808
0.114	0.151612121212121	54.2307880979395	2	5.78740080851537	0.114;0.152
0.531	0.353628282828283	54.2352893143411	9	5.7875183809455	0.531;0.354
0.114	1.36370909090909	54.236298000524	3	5.78754472666188	0.114;1.364
0.218	0.252620202020202	54.2397067656038	6	5.78763375610295	0.218;0.253
0.218	0.202116161616162	54.2409887884489	6	5.78766723829623	0.218;0.202
0.114	0.555644444444444	54.2462718066815	3	5.78780520504769	0.114;0.556
