Feature	IL_17_Bacillus.S.	IL_17_Bacteroides.V.	IL_17_Candida.A.	IL_17_CD3_CD28	IL_17_Clostridium.P.	IL_17_PBS	IL_17_Pseudomonas.A.	IL_17_Staph.A.
1500012F01Rik	0.00968490445162494	0.00589384929667554	0.00777405528349374	0.0187974395047103	0.00672418301472569	0.0229490728454065	0.0132328669963455	0.0105625576963109
1700123M08Rik	0.0247485918407829	0.0940417512661081	0.017927737426455	0.0779720588732913	0.0201797265793601	0.0191455608465117	0.0255207244318152	0.0156453504819069
2410006H16Rik	0.0154847035402302	0.0102241663654516	0.0157161821250783	0.0266554634647971	0.0146371093284477	0.0213639521930779	0.00948727293051967	0.00492656365855489
4632428C04Rik	0.0247609541713701	0.00588784171295076	0.0108142474974502	0.0259428417098311	0.0357015138620282	0.00463940100661755	0.016745917541729	0.0455163896188218
4930413G21Rik	0.00662817066912865	0.0335599131059323	0.0138135737162784	0.0205327797183498	0.0522134599241715	0.00564059494950786	0.0100877009407985	0.00997661550801061
4930573O16Rik	0.0236538288046495	0.142676551309291	0.0336124437192345	0.0219056229456671	0.0171686556895915	0.00502179887427355	0.185189321249616	0.0154729655455252
5031425F14Rik	0.0367656948835637	0.00970168058706491	0.0474175222089842	0.00944432768564862	0.092107621707432	0.0208551369037076	0.0247135004323373	0.044935672841667
9330020H09Rik	0.00470192327060136	0.0164737814914052	0.0127096605482955	0.0110199831421222	0.00426372054558411	0.00260011030572817	0.00603214669144497	0.00117327376559954
9430008C03Rik	0.00230739802477627	0.00432313373736741	0.00966517499438011	0.0288653837319863	0.0114762439618176	0.00546632327490669	0.0188686524818343	0.00280234455568477
A230050P20Rik	0.00326111580649861	0.00725041907486879	0.00634278869246076	0.0049790778626863	0.00854696035051526	0.0329236090234966	0.0160429569817384	0.00520776165819225
A2m	0.00960469329547355	0.0220819206115603	0.0179738181546942	0.0806389171586559	0.00828038979729935	0.0158951127230058	0.00528988762905667	0.00317346587465174
A430035B10Rik	0.0126640807349233	0.0128145286098218	0.0219378386522099	0.0592608362634222	0.0106036358963773	0.0163671501450556	0.0219268297628751	0.0218233730003783
A430105I19Rik	0.0576926141248858	0.0571054027171132	0.0465594122310271	0.283929001369284	0.0275026508293618	0.0227211311219409	0.0813004238981723	0.0414376695555689
A830010M20Rik	0.0543641029186462	0.00707948626761674	0.0319515913761634	0.024147700382534	0.0165884218566716	0.0206295834993713	0.00678609783040159	0.0261341283434429
Adamts10	0.04575494812653	0.00217246052039909	0.00915898412447253	0.019798960913082	0.039748878326286	0.0440759268399718	0.031882414003131	0.00437937685194414
Adprhl2	0.175406791407489	0.0909478048137511	0.204309283701742	0.0930334344259711	0.0470343677889888	0.0320519793160419	0.0443632064834319	0.139959107738122
Aes	0.0420185327692351	0.0484098862919341	0.0162052198363973	0.171028562245345	0.0164997240123686	0.0230197657431999	0.0458752172379279	0.0629399935170198
Ahcy	0.00374801504107029	0.0251147245982078	0.00623494375347731	0.0143088143356816	0.0101497490923826	0.0161988782769894	0.0584697673970353	0.00445613382598619
Arhgdia	0.126445991032656	0.0992395307809396	0.0644880218148253	0.0335784134370105	0.0408051733824737	0.0593984307815189	0.125054123876222	0.0842602944595404
Arih2	0.0245368918050442	0.00805969261858179	0.0130821890566929	0.00625653751699338	0.0319362863187781	0.00825601831677375	0.0137790114524215	0.0235102721809945
Arl5b	0.00494129769049313	0.0420587453908638	0.0203298849191992	0.00488810378194084	0.0174699863049761	0.0176022808190681	0.0311964650543082	0.00959930401878614
Armcx5	0.014852190576283	0.0220354953810179	0.010170675539842	0.00361525371532918	0.00960926414930884	0.0146685959868737	0.00531358610749201	0.00498112770110653
Art2a-ps	0.0203056618234081	0.0266230027417691	0.0116712757699171	0.00468873138621919	0.0118302275885468	0.00244423750477824	0.0131625094637538	0.024442786711262
Art2b	0.0314875777641886	0.0389027937744915	0.0200753285936901	0.00403241021715612	0.0196980270095036	0.00243829260055315	0.0264998882587795	0.0192486664606487
Atf3	0.000894716171599878	0.000968099739460987	0.00275517706021568	0.00278127694978534	0.000947517966310589	0.000440015892479079	0.00325161932384947	0.000309884811356663
Atf4	0.00207559896208852	0.0127340485763021	0.0062368897342599	0.00982224266162446	0.00195564463569293	0.00699028202165096	0.00386389699354098	0.00525365854277096
Atp5e	0.00941294385327824	0.0105063871913313	0.00613037320368716	0.0123428383634837	0.013605651858904	0.0070222656092554	0.0212693896162091	0.00449569892216267
Atp6v0b	0.00709444947911025	0.00524505962259075	0.0284994670185042	0.0185678657887142	0.00711906512234227	0.0261489463227043	0.0207650446398925	0.0171058321961448
Bambi	0.00499440833733799	0.0141062443660538	0.00396713445160484	0.0046436601975585	0.00486251436667024	0.00535686142432072	0.00922926775486844	0.00480732940704312
Bola2	0.028361597949446	0.0279097964450988	0.010911554855274	0.0148354992932036	0.0154202569992096	0.021689444615086	0.0272853046620975	0.00475783724020604
Brd4	0.00403172530799222	0.00364561935801328	0.0115071249924667	0.0438131432236691	0.00521191618480835	0.00454522618803773	0.00477598112988758	0.00310945352853789
Btg2	0.00230984067591733	0.00206419046204887	0.00111044825791443	0.00200572316652874	0.00116066409692303	0.00176428544633514	0.00453060504494407	0.00193684695884004
Btk	0.00737098004491674	0.0234980408101405	0.00697731594895592	0.0170466050273611	0.0570259812949184	0.0166523819020714	0.0154687573833096	0.0329661088844707
Bysl	0.0206299923272469	0.0268361620994196	0.0140791196866491	0.0180469034328524	0.00818574100057049	0.013968400854636	0.0171593310545346	0.0077009177959749
