alpha	lambda	MSE	num	Log2_MSE	combo
0.792	0.555644444444444	13.7852645914513	8	3.88608815649636	0.792;0.556
0.792	0.505140404040404	13.7882313804417	8	3.88637761647649	0.792;0.505
0.792	0.606148484848485	13.8023802835051	8	3.8877572806802	0.792;0.606
0.792	0.454636363636364	13.8131545728234	8	3.88880700100636	0.792;0.455
0.792	0.404132323232323	13.8583780855375	8	3.89320473730099	0.792;0.404
0.792	0.656652525252525	13.8687092115473	8	3.89420750388302	0.792;0.657
0.792	0.707156565656566	13.9324357943099	8	3.90037761345717	0.792;0.707
0.792	0.353628282828283	13.9340016186387	8	3.90052888740826	0.792;0.354
0.792	0.757660606060606	13.9745397266214	8	3.90443975437382	0.792;0.758
0.479	1.16169292929293	14.0200437619137	2	3.90881711113528	0.479;1.162
0.479	1.11118888888889	14.0232705361182	2	3.90912701377216	0.479;1.111
0.479	1.06068484848485	14.0299690094961	2	3.90977012943157	0.479;1.061
0.792	0.808164646464646	14.0372803363387	8	3.91047175764269	0.792;0.808
0.479	1.01018080808081	14.0440005298014	2	3.91111635718531	0.479;1.01
0.479	1.21219696969697	14.0462443337382	2	3.91133151826712	0.479;1.212
0.479	0.959676767676768	14.0531539517565	2	3.9119938884401	0.479;0.96
0.583	0.757660606060606	14.0585699665496	2	3.91251286621691	0.583;0.758
0.583	0.858668686868687	14.0652288718089	2	3.91315068549086	0.583;0.859
0.583	0.808164646464646	14.0658657663319	2	3.91321167528105	0.583;0.808
0.792	0.606148484848485	14.0670124684459	5	3.91332147836333	0.792;0.606
0.583	0.707156565656566	14.0685142182665	2	3.91346526659329	0.583;0.707
0.479	0.909172727272727	14.0735004723269	2	3.91394258333174	0.479;0.909
0.792	0.303124242424242	14.0747233730165	8	3.91405962324563	0.792;0.303
0.792	0.656652525252525	14.086782302635	5	3.91521323666753	0.792;0.657
0.583	0.656652525252525	14.088508058843	2	3.91537825512441	0.583;0.657
0.479	1.26270101010101	14.0893687577396	2	3.91546054892114	0.479;1.263
0.792	0.555644444444444	14.0900834509321	5	3.91552887914248	0.792;0.556
0.479	0.858668686868687	14.0927603011066	2	3.91578477805737	0.479;0.859
0.583	0.909172727272727	14.0978097778098	2	3.91626736947896	0.583;0.909
0.896	0.606148484848485	14.1020722780603	1	3.91667462193132	0.896;0.606
0.531	0.808164646464646	14.1028948584546	9	3.91675320057374	0.531;0.808
0.531	0.858668686868687	14.1094032066618	9	3.91737477274331	0.531;0.859
0.01	1e-04	14.1094618216767	7	3.91738036948504	0.01;0
0.948	0.656652525252525	14.1136032847403	4	3.9177757541517	0.948;0.657
0.531	0.757660606060606	14.1145600433848	9	3.91786708030586	0.531;0.758
0.01	0.0506040404040404	14.1160797022935	7	3.91801212549127	0.01;0.051
0.479	0.808164646464646	14.1187212339441	2	3.91826421411128	0.479;0.808
0.01	0.101108080808081	14.1188747713301	7	3.91827886525123	0.01;0.101
