Feature	IL_1a_Bacillus.S.	IL_1a_Bacteroides.V.	IL_1a_Candida.A.	IL_1a_CD3_CD28	IL_1a_Clostridium.P.	IL_1a_PBS	IL_1a_Pseudomonas.A.	IL_1a_Staph.A.
1700001G11Rik	0.014175198865695	0.0171555143687823	0.0356820256604493	0.00153587791760955	0.0209999711499889	0.00389956971092629	0.00332603239603085	0.00251708608878223
2410006H16Rik	0.00160695314258588	0.00334044224400241	0.00388578363439168	0.00100488648899304	0.00218526212337957	0.000759858039156465	0.00317056265211011	0.000267148194013942
4930413G21Rik	0.0148001884075001	0.0190997446828694	0.024885897915401	0.00858664032851565	0.0213620920695092	0.00240480541406559	0.00224420558242654	0.00998845944712196
4930573O16Rik	0.0380643141554331	0.0489081383441492	0.0430862999357483	0.0248946639164437	0.0430068288542704	0.00596676075074311	0.0373017268123612	0.0343634590522728
4933438K21Rik	0.0101257932847311	0.00530273139861487	0.00977812404528526	0.00652253933738938	0.0106657961072467	0.00496064473843536	0.00578688329131323	0.006570621843767
9030612E09Rik	0.0138165526555926	0.0128049823264059	0.0138864499137943	0.00533542345675722	0.00508478063845458	0.0222436871685342	0.0135935875752259	0.0102615453887853
9330020H09Rik	0.00759587997920168	0.00973480443764633	0.00959232886057572	0.00423874000500807	0.00669294476884935	0.00400098823042717	0.000973435477338245	0.00528062179971076
Agpat6	0.00210830071025946	0.00168963820745072	0.00158815650535834	0.000369875807657022	0.00302344774649507	0.000278221302260623	0.00245353793180506	0.0021052317534475
Akap5	0.00119138861291008	0.00148860397087921	0.00235164812675912	0.00143642183556871	0.000703609091269258	0.0113954616975227	0.000706345608234318	0.00177887030251199
Apol7c	0.00331933131055992	0.00294655826885469	0.004810735424322	0.0013404066907359	0.00763276360814501	0.00136425227958858	0.00944322761152679	0.00440932411971752
Arhgdia	0.0270736569138569	0.0256641820965407	0.0345467152969598	0.00634068731681154	0.0160707810216801	0.00617855720968981	0.0236485893625029	0.00432843763030295
Arrb1	0.0167692305628848	0.0161452888994555	0.0140696314010055	0.0111913595993572	0.0200399855452956	0.0147032635567949	0.0156192866454247	0.0190119735340213
Asb11	0.00256649834727128	0.00295065396362915	0.0013091401205422	0.0012000915445983	0.00362534522736121	0.000228661881476354	0.00193754211136585	0.00159148499120599
Atp6v1c1	0.00619646313690483	0.00436426901956259	0.00711357834336238	0.00494581602826452	0.00741322754892134	0.00553916209661949	0.00837082198967093	0.010760029906584
Bmp4	0.0249131973390272	0.0249899494735259	0.02448276708072	0.0160948954484915	0.0297231840091896	0.00648433483291355	0.0105925776455307	0.0204020269906999
C1rl	0.0315416246361907	0.028561672011811	0.0299714979901106	0.0173226729118168	0.0240548881533373	0.0369786874716772	0.0250573214188834	0.0311224376254611
C230024C17Rik	0.0268217836343388	0.0326817290160686	0.0571671718529184	0.020770479351747	0.0413995632627068	0.00607031984231109	0.0182148090088419	0.0102662537812406
