condition	cor	iteration
IL_1a_Bacillus.S.	0.66678603672116	1
IL_1a_Bacteroides.V.	0.681565460376119	1
IL_1a_Candida.A.	0.765185254347865	1
IL_1a_CD3_CD28	0.772369751705289	1
IL_1a_Clostridium.P.	0.894413473077248	1
IL_1a_PBS	0.430061035725705	1
IL_1a_Pseudomonas.A.	0.63795745071985	1
IL_1a_Staph.A.	0.761984516443089	1
IL_1a_Bacillus.S.	0.62367625800677	2
IL_1a_Bacteroides.V.	0.676877391547596	2
IL_1a_Candida.A.	0.588348128203607	2
IL_1a_CD3_CD28	0.61599497607678	2
IL_1a_Clostridium.P.	0.485243531550192	2
IL_1a_PBS	0.837148793738227	2
IL_1a_Pseudomonas.A.	0.598986228167116	2
IL_1a_Staph.A.	0.7189772076423	2
IL_1a_Bacillus.S.	0.0651612474545439	3
IL_1a_Bacteroides.V.	-0.100351520780115	3
IL_1a_Candida.A.	-0.240965406504288	3
IL_1a_CD3_CD28	0.207268984260716	3
IL_1a_Clostridium.P.	-0.20818027225599	3
IL_1a_PBS	0.39137323813817	3
IL_1a_Pseudomonas.A.	0.0296738794079563	3
IL_1a_Staph.A.	0.561252979965142	3
IL_1a_Bacillus.S.	0.85718776607976	4
IL_1a_Bacteroides.V.	0.733326337934981	4
IL_1a_Candida.A.	0.879451788601962	4
IL_1a_CD3_CD28	0.753024044211754	4
IL_1a_Clostridium.P.	0.866061010623396	4
IL_1a_PBS	0.44085133990886	4
IL_1a_Pseudomonas.A.	0.607514278501449	4
IL_1a_Staph.A.	0.807129075506447	4
IL_1a_Bacillus.S.	0.776069284535865	5
IL_1a_Bacteroides.V.	0.792117217141787	5
IL_1a_Candida.A.	0.761290408884097	5
IL_1a_CD3_CD28	0.82536258534548	5
IL_1a_Clostridium.P.	0.839685772858807	5
IL_1a_PBS	0.78968008234781	5
IL_1a_Pseudomonas.A.	0.813674266316173	5
IL_1a_Staph.A.	0.820031195395843	5
IL_1a_Bacillus.S.	0.487660006211223	6
IL_1a_Bacteroides.V.	0.792384495629363	6
IL_1a_Candida.A.	0.652939216985871	6
IL_1a_CD3_CD28	0.615963254868693	6
IL_1a_Clostridium.P.	0.657736918891632	6
IL_1a_PBS	0.54250557454438	6
IL_1a_Pseudomonas.A.	0.604300209623269	6
IL_1a_Staph.A.	0.752208976101083	6
IL_1a_Bacillus.S.	0.824173059970274	7
IL_1a_Bacteroides.V.	0.597476892832234	7
IL_1a_Candida.A.	0.78626725180843	7
IL_1a_CD3_CD28	0.0649124553772051	7
IL_1a_Clostridium.P.	0.851045044513636	7
IL_1a_PBS	0.353227772355222	7
IL_1a_Pseudomonas.A.	0.822581739098631	7
IL_1a_Staph.A.	0.730910192026781	7
IL_1a_Bacillus.S.	0.68324816155823	8
IL_1a_Bacteroides.V.	0.517651081105092	8
IL_1a_Candida.A.	0.614271441068213	8
IL_1a_CD3_CD28	0.78778969765471	8
IL_1a_Clostridium.P.	0.818149764033543	8
IL_1a_PBS	0.68882497160879	8
IL_1a_Pseudomonas.A.	0.175638986033567	8
IL_1a_Staph.A.	0.864311669519614	8
IL_1a_Bacillus.S.	0.721344523852845	9
IL_1a_Bacteroides.V.	0.758303661528594	9
IL_1a_Candida.A.	0.734734045816375	9
IL_1a_CD3_CD28	0.65571992319563	9
IL_1a_Clostridium.P.	0.740582077095566	9
IL_1a_PBS	0.61773668453721	9
IL_1a_Pseudomonas.A.	0.594683315620269	9
IL_1a_Staph.A.	0.652398468057723	9
IL_1a_Bacillus.S.	0.544805955528088	10
IL_1a_Bacteroides.V.	0.496135423139341	10
IL_1a_Candida.A.	0.406675551381274	10
IL_1a_CD3_CD28	0.710296577866502	10
IL_1a_Clostridium.P.	0.548113287903404	10
IL_1a_PBS	0.842515719957039	10
IL_1a_Pseudomonas.A.	0.483465665771458	10
IL_1a_Staph.A.	0.749057462916945	10
