alpha	lambda	MSE	num	Log2_MSE	combo
0.01	5	4.31202048208511	4	2.40926070943816	0.01;5
0.01	4.94949595959596	4.31628539225307	4	2.41041855437642	0.01;4.949
0.01	4.54546363636364	4.31803351192983	4	2.41089286845971	0.01;4.545
0.01	4.59596767676768	4.31814603608445	4	2.41092339408954	0.01;4.596
0.01	4.4949595959596	4.31818783684134	4	2.41093473366301	0.01;4.495
0.01	4.64647171717172	4.31848482968222	4	2.4110152983494	0.01;4.646
0.01	4.89899191919192	4.31848567780138	4	2.41101552841064	0.01;4.899
0.01	4.44445555555556	4.31860280040638	4	2.41104729879626	0.01;4.444
0.01	4.69697575757576	4.31894566604473	4	2.41114029965221	0.01;4.697
0.01	4.39395151515151	4.31922959492732	4	2.41121730962449	0.01;4.394
0.01	4.7474797979798	4.31938584202625	4	2.41125968673947	0.01;4.747
0.01	4.84848787878788	4.31943481203197	4	2.41127296805828	0.01;4.848
0.01	4.79798383838384	4.31960720190559	4	2.41131972151887	0.01;4.798
0.114	2.77782222222222	4.31987856771119	7	2.41139331494445	0.114;2.778
0.01	4.34344747474747	4.31998075853377	4	2.41142102775314	0.01;4.343
0.114	2.82832626262626	4.32012159690308	7	2.41145922039644	0.114;2.828
0.114	2.8788303030303	4.32051613145714	7	2.41156620515795	0.114;2.879
0.114	2.72731818181818	4.32051950112424	7	2.41156711886639	0.114;2.727
0.01	4.29294343434343	4.32077294105098	4	2.41163583918914	0.01;4.293
0.114	2.92933434343434	4.32128128691537	7	2.41177366747726	0.114;2.929
0.01	4.24243939393939	4.32153479248063	4	2.41184239575729	0.01;4.242
0.114	2.97983838383838	4.32159468725223	7	2.41185863344192	0.114;2.98
0.114	3.03034242424242	4.32189691789568	7	2.41194056645165	0.114;3.03
0.01	4.19193535353535	4.32221052886377	4	2.41202557968377	0.01;4.192
0.114	2.67681414141414	4.32228067068841	7	2.41204459294813	0.114;2.677
0.114	3.08084646464647	4.32269359502734	7	2.4121565187981	0.114;3.081
0.01	4.14143131313131	4.32278468813386	4	2.41218120901296	0.01;4.141
0.01	4.09092727272727	4.32325717768216	4	2.4123092675604	0.01;4.091
0.01	4.04042323232323	4.32365775047157	4	2.41241782565089	0.01;4.04
0.114	3.13135050505051	4.32367340548831	7	2.41242206810652	0.114;3.131
0.01	3.98991919191919	4.32402168635162	4	2.4125164477953	0.01;3.99
0.01	3.93941515151515	4.32438247275903	4	2.41261420981733	0.01;3.939
0.114	2.6263101010101	4.3244594329253	7	2.41263506279857	0.114;2.626
0.01	3.88891111111111	4.32475780092012	4	2.41271590517733	0.01;3.889
0.114	3.18185454545455	4.32501272768081	7	2.41278497362769	0.114;3.182
0.01	3.83840707070707	4.32516076387901	4	2.4128250802211	0.01;3.838
0.01	3.78790303030303	4.32561313812049	4	2.4129476324565	0.01;3.788
0.01	3.73739898989899	4.32610422088327	4	2.4130806593935	0.01;3.737
0.114	3.23235858585859	4.32662167302977	7	2.41322081612966	0.114;3.232
0.01	3.68689494949495	4.32662922043119	4	2.41322286031293	0.01;3.687
0.114	2.57580606060606	4.32666040477499	7	2.41323130643609	0.114;2.576
0.01	3.63639090909091	4.32717642700244	4	2.41337106129077	0.01;3.636
0.01	3.58588686868687	4.32773956234798	4	2.41352356039484	0.01;3.586
0.114	3.28286262626263	4.32810320255175	7	2.41362202692262	0.114;3.283
0.01	3.53538282828283	4.32831582835394	4	2.41367959864339	0.01;3.535
0.01	3.48487878787879	4.32889539823968	4	2.4138365144787	0.01;3.485
0.114	2.52530202020202	4.32899010517266	7	2.41386215431551	0.114;2.525
0.114	3.33336666666667	4.32946666407712	7	2.41399116533155	0.114;3.333
0.01	3.43437474747475	4.32947310919447	4	2.41399291003394	0.01;3.434
0.01	3.38387070707071	4.33003932781946	4	2.41414617798272	0.01;3.384
0.01	3.33336666666667	4.33059679047259	4	2.41429705989951	0.01;3.333
0.114	3.38387070707071	4.33083880288564	7	2.41436255766577	0.114;3.384
0.01	3.28286262626263	4.33114481792642	4	2.41444537272112	0.01;3.283
0.114	2.47479797979798	4.3312487691134	7	2.4144735033394	0.114;2.475
0.01	3.23235858585859	4.33168375730561	4	2.41459121116631	0.01;3.232
0.01	3.18185454545455	4.33221647772684	4	2.41473535225796	0.01;3.182
0.114	3.43437474747475	4.33246009787351	7	2.41480126510117	0.114;3.434
0.01	3.13135050505051	4.33274976543827	4	2.41487963242158	0.01;3.131
0.114	2.42429393939394	4.33325101630219	7	2.41501523191214	0.114;2.424
0.01	3.08084646464647	4.33329597272722	4	2.41502739300073	0.01;3.081
0.114	3.48487878787879	4.3338017379295	7	2.41516419965039	0.114;3.485
