Feature	IL_1b_Bacillus.S.	IL_1b_Bacteroides.V.	IL_1b_Candida.A.	IL_1b_CD3_CD28	IL_1b_Clostridium.P.	IL_1b_PBS	IL_1b_Pseudomonas.A.	IL_1b_Staph.A.
2410006H16Rik	0.00104000252120682	0.00238604329031546	0.00142431557113335	0.0010928558633672	0.00141812528214135	0.00108133496376363	0.000897338688012597	0.00131260577384834
4933438K21Rik	0.0299432394792628	0.0396904768362167	0.0300303366139748	0.022786543819852	0.0494511651239621	0.00769070687862023	0.0384473541755851	0.0292414075498087
A430093F15Rik	0.00767788601692714	0.0105156949396469	0.0101051790915568	0.00478480289806152	0.00906779484915516	0.00250795559620281	0.00714004035735511	0.0099476345779217
Ak3	0.0186307416484161	0.0251097249487923	0.0160707677783491	0.0160146770689088	0.0180311819354167	0.00606550338860113	0.00976554421164372	0.0176759694014365
Alkbh8	0.00606842251788029	0.00436673076272611	0.00773005707893641	0.00367693924280124	0.003882883051435	0.000957280121410913	0.00483351963766305	0.00762377357421964
Ano7	0.16657742557068	0.147425415791049	0.106251476124797	0.111109223674998	0.13430764928215	0.0643828420911835	0.113494303095699	0.0787190425460123
Arhgdia	0.0271808430557894	0.0379185253675319	0.0409920484861886	0.0235451347303567	0.0297097745881658	0.00796351890475538	0.0260849301117915	0.0319876513861164
Arrb1	0.00834623762083177	0.0155377363791385	0.00911857649921383	0.00642128617433756	0.0145151344044315	0.0107095887682549	0.019375838815181	0.00795542018425037
C430049B03Rik	0.0136531591295991	0.0334027479003679	0.0337874795366941	0.0157390017370522	0.0402799948567891	0.00727484145952494	0.0346118139925958	0.0354878299416894
Cep152	0.010174008593012	0.00748047279255063	0.00661359471861435	0.00399153766689335	0.00521147182795114	0.00323697723641996	0.00233788576498571	0.00513267474383206
Clk2	0.020652522039209	0.0274420224044536	0.0208904201696799	0.0112838486349098	0.00845795504961407	0.00824443746368187	0.0136587129213277	0.0209254601728686
Cnp	0.0156530700659079	0.0193148169964226	0.0211155429166032	0.00850031932637738	0.0160137257020028	0.00667815544099077	0.00961807999883737	0.0173826309778265
D4Wsu53e	0.0172213440304234	0.0234221656608978	0.0217621029612011	0.0174872189637437	0.00991781926184929	0.00157016403468456	0.00625970366109409	0.0140265908710762
Eef2	0.0299928663029681	0.0343184419349818	0.0315564104825648	0.0168329149713313	0.0223507373679704	0.0164505013312872	0.0167367484415731	0.0267873171457009
Egr1	0.000748173152887405	0.00231427861632254	0.00187485552342057	0.000342768839600153	0.00252253685348586	0.00042149124799743	0.00177052600561153	0.00177173184743692
Eif2s3y	0.00179188679839263	0.00258542630309511	0.00304594110645282	0.000500342589578908	0.00304362004212738	0.000601868278280314	0.00150721880556418	0.00308485946960785
Eps8l3	0.0543155606948071	0.0947044055462783	0.090666529708861	0.0410430063105571	0.0372501173036373	0.0340935995894979	0.0790425267494828	0.0597053969529517
F12	0.000151255833346964	0.00180210108248313	0.00227361692941298	0.00162105271636204	0.0011573906877427	0.000922058030809502	0.00335664098092432	0.00354622743087748
F730043M19Rik	0.0106492662179575	0.0309669288948522	0.0302661599498662	0.0170359148697278	0.012071913711057	0.00124645297750038	0.0224950396808782	0.0306494192430297
Fbxo2	0.00913087251155788	0.0044184960714614	0.00966221925867378	0.012303900125973	0.00213011474615646	0.0235182549290286	0.00751892659181054	0.0110352085100623
Foxo1	0.00759206960894491	0.0194728471603998	0.0223675453970617	0.00517308410402979	0.018628746108638	0.00447916459884016	0.0190525778306393	0.0198434041869792
Gimap1	0.00116798370449606	0.00262954053164777	0.00218977296369156	0.000669316046906665	0.00316922578073441	0.00087984864796842	0.0028911168326406	0.00209255216460983
Gltscr2	0.00428145685608304	0.00791265237055442	0.00596167681478227	0.00323589981036225	0.00428203780719589	0.00185318558533102	0.00158405438761886	0.00461696476209362
