condition	cor	iteration
IL_1b_Bacillus.S.	0.438915400867478	1
IL_1b_Bacteroides.V.	0.70616059102827	1
IL_1b_Candida.A.	0.605009720814335	1
IL_1b_CD3_CD28	0.846063624511891	1
IL_1b_Clostridium.P.	0.236556027602504	1
IL_1b_PBS	-0.0138623451073501	1
IL_1b_Pseudomonas.A.	0.691004229281416	1
IL_1b_Staph.A.	0.656442422588789	1
IL_1b_Bacillus.S.	0.317595194239224	2
IL_1b_Bacteroides.V.	0.315759757803762	2
IL_1b_Candida.A.	0.173325981587485	2
IL_1b_CD3_CD28	0.333976797929233	2
IL_1b_Clostridium.P.	-0.0373527219546761	2
IL_1b_PBS	0.0857475698099349	2
IL_1b_Pseudomonas.A.	0.235616669471334	2
IL_1b_Staph.A.	0.221875902306202	2
IL_1b_Bacillus.S.	0.694138994729279	3
IL_1b_Bacteroides.V.	0.766555741944076	3
IL_1b_Candida.A.	0.729240904078559	3
IL_1b_CD3_CD28	0.360728964583113	3
IL_1b_Clostridium.P.	0.686163851302697	3
IL_1b_PBS	-0.121413912989632	3
IL_1b_Pseudomonas.A.	0.763557189708686	3
IL_1b_Staph.A.	0.447452610244568	3
IL_1b_Bacillus.S.	-0.00484404902462128	4
IL_1b_Bacteroides.V.	0.595526857410653	4
IL_1b_Candida.A.	0.315939349230163	4
IL_1b_CD3_CD28	0.612316767550304	4
IL_1b_Clostridium.P.	0.259458566421387	4
IL_1b_PBS	-0.287694753988736	4
IL_1b_Pseudomonas.A.	-0.0725486497040225	4
IL_1b_Staph.A.	0.40295656327499	4
IL_1b_Bacillus.S.	0.747268731000951	5
IL_1b_Bacteroides.V.	0.707815807629417	5
IL_1b_Candida.A.	0.702457108494664	5
IL_1b_CD3_CD28	0.346384267726081	5
IL_1b_Clostridium.P.	0.491525681652065	5
IL_1b_PBS	-0.0230971199673541	5
IL_1b_Pseudomonas.A.	0.532324251149206	5
IL_1b_Staph.A.	0.672280774433673	5
IL_1b_Bacillus.S.	0.184544756170453	6
IL_1b_Bacteroides.V.	0.722349732157349	6
IL_1b_Candida.A.	0.800976331746739	6
IL_1b_CD3_CD28	0.438553274545535	6
IL_1b_Clostridium.P.	0.398460286513482	6
IL_1b_PBS	-0.275832508524825	6
IL_1b_Pseudomonas.A.	0.560219294502629	6
IL_1b_Staph.A.	0.81309850420226	6
IL_1b_Bacillus.S.	-0.189158497668974	7
IL_1b_Bacteroides.V.	-0.130488825117679	7
IL_1b_Candida.A.	0.351899965024908	7
IL_1b_CD3_CD28	0.363205846659039	7
IL_1b_Clostridium.P.	0.589911416651555	7
IL_1b_PBS	-0.648843914820396	7
IL_1b_Pseudomonas.A.	0.59305184156056	7
IL_1b_Staph.A.	0.493321560676979	7
IL_1b_Bacillus.S.	0.525502443038418	8
IL_1b_Bacteroides.V.	0.401903366513064	8
IL_1b_Candida.A.	0.659027280216357	8
IL_1b_CD3_CD28	0.696935082252477	8
IL_1b_Clostridium.P.	0.614057062391383	8
IL_1b_PBS	0.448438829762822	8
IL_1b_Pseudomonas.A.	0.48873232501329	8
IL_1b_Staph.A.	0.620980357300453	8
IL_1b_Bacillus.S.	-0.241368625919519	9
IL_1b_Bacteroides.V.	-0.350358879418423	9
IL_1b_Candida.A.	-0.189293258369724	9
IL_1b_CD3_CD28	0.192502660151946	9
IL_1b_Clostridium.P.	0.214398690797909	9
IL_1b_PBS	-0.0670190594653925	9
IL_1b_Pseudomonas.A.	-0.291287323894967	9
IL_1b_Staph.A.	-0.472571923693341	9
IL_1b_Bacillus.S.	0.166487012246506	10
IL_1b_Bacteroides.V.	0.443126580831157	10
IL_1b_Candida.A.	0.221190228153729	10
IL_1b_CD3_CD28	0.21930707579301	10
IL_1b_Clostridium.P.	0.265128654396794	10
IL_1b_PBS	-0.0818911052905986	10
IL_1b_Pseudomonas.A.	0.119223790120868	10
IL_1b_Staph.A.	0.165591789333023	10
