alpha	lambda	MSE	num	Log2_MSE	combo
0.166	3.73739898989899	12.4579626609184	9	3.75038811839734	0.166;3.737
0.166	3.68689494949495	12.4586464120213	9	3.75046141472697	0.166;3.687
0.166	3.78790303030303	12.4589716959227	9	3.75049628300317	0.166;3.788
0.166	3.63639090909091	12.4604714615289	9	3.75065703702711	0.166;3.636
0.166	3.83840707070707	12.4617960180343	9	3.75079899617707	0.166;3.838
0.166	3.58588686868687	12.4628777435214	9	3.75091491958699	0.166;3.586
0.166	3.53538282828283	12.464543777661	9	3.75109344237592	0.166;3.535
0.166	3.88891111111111	12.4646761650842	9	3.75110762731549	0.166;3.889
0.166	3.48487878787879	12.4664162695953	9	3.75129406165034	0.166;3.485
0.166	3.43437474747475	12.4684084557468	9	3.75150747436906	0.166;3.434
0.166	3.93941515151515	12.4686399453005	9	3.75153227061446	0.166;3.939
0.166	3.38387070707071	12.4697855856663	9	3.75165498080577	0.166;3.384
0.166	3.33336666666667	12.4724255000392	9	3.7519377038068	0.166;3.333
0.166	3.98991919191919	12.4736525290174	9	3.75206909425414	0.166;3.99
0.166	3.28286262626263	12.4763107801227	9	3.75235369914622	0.166;3.283
0.166	4.04042323232323	12.4801155458393	9	3.75276095763079	0.166;4.04
0.166	3.23235858585859	12.4804850867042	9	3.75280050680705	0.166;3.232
0.166	3.18185454545455	12.4838232074084	9	3.75315771160963	0.166;3.182
0.166	3.13135050505051	12.4876841711603	9	3.75357075439718	0.166;3.131
0.166	4.09092727272727	12.488237616531	9	3.75362995184726	0.166;4.091
0.166	3.08084646464647	12.4908093512486	9	3.75390499706582	0.166;3.081
0.166	3.03034242424242	12.4925376810926	9	3.75408981126959	0.166;3.03
0.166	2.97983838383838	12.4950693980229	9	3.75436049073074	0.166;2.98
0.166	4.14143131313131	12.4968621899821	9	3.75455213704284	0.166;4.141
0.166	2.92933434343434	12.496917800443	9	3.75455808129638	0.166;2.929
0.166	2.8788303030303	12.5024717480115	9	3.75515162454765	0.166;2.879
0.166	4.19193535353535	12.5056736240358	9	3.7554936939952	0.166;4.192
0.166	2.82832626262626	12.506666182149	9	3.7555997165522	0.166;2.828
0.166	2.77782222222222	12.5118833107296	9	3.75615686900974	0.166;2.778
0.166	4.24243939393939	12.5149239152826	9	3.75648148486923	0.166;4.242
0.166	2.72731818181818	12.5153339962913	9	3.75652525965225	0.166;2.727
0.166	4.29294343434343	12.5253378688916	9	3.75759272854655	0.166;4.293
0.166	2.67681414141414	12.5265366253048	9	3.75772058955183	0.166;2.677
0.166	4.34344747474747	12.5373090273765	9	3.75886908057321	0.166;4.343
0.166	4.39395151515151	12.5488050091157	9	3.76009370783564	0.166;4.394
0.166	2.6263101010101	12.5526467974737	9	3.76050272865776	0.166;2.626
0.166	4.44445555555556	12.5602284791598	9	3.76130958184052	0.166;4.444
0.166	4.4949595959596	12.5708466499639	9	3.76243882445782	0.166;4.495
0.114	4.54546363636364	12.5711454697806	1	3.76247059116571	0.114;4.545
0.114	4.4949595959596	12.5714530128019	1	3.76250328448297	0.114;4.495
0.114	4.59596767676768	12.5717778921467	1	3.76253781993097	0.114;4.596
0.114	4.69697575757576	12.5718130398315	1	3.76254155616399	0.114;4.697
0.114	4.64647171717172	12.5718178575064	1	3.76254206828677	0.114;4.646
0.114	4.44445555555556	12.5724002210162	1	3.76260397266326	0.114;4.444
0.114	4.34344747474747	12.5725533689917	1	3.76262025162457	0.114;4.343
0.114	4.29294343434343	12.5726967670009	1	3.76263549404052	0.114;4.293
0.114	4.39395151515151	12.5727031649968	1	3.76263617410837	0.114;4.394
0.114	5	12.5727530226853	1	3.76264147366491	0.114;5
0.114	4.7474797979798	12.573303291434	1	3.76269996245502	0.114;4.747
0.114	4.79798383838384	12.5736913483459	1	3.76274120810965	0.114;4.798
0.114	4.84848787878788	12.574347044691	1	3.76281089784943	0.114;4.848
0.114	4.94949595959596	12.5743624600861	1	3.76281253621194	0.114;4.949
0.114	4.89899191919192	12.5744643995477	1	3.76282337038585	0.114;4.899
0.114	4.24243939393939	12.5751028572298	1	3.76289122411797	0.114;4.242
0.114	4.19193535353535	12.5776329885673	1	3.76316008895463	0.114;4.192
0.114	4.14143131313131	12.5801049937113	1	3.76342272861737	0.114;4.141
0.166	4.54546363636364	12.5820637239148	9	3.76363080113066	0.166;4.545
0.166	2.57580606060606	12.5824393809662	9	3.76367070309854	0.166;2.576
0.114	4.09092727272727	12.5829293764173	1	3.76372274833406	0.114;4.091
0.635	1.16169292929293	12.5840632023569	9	3.76384317131106	0.635;1.162
0.114	4.04042323232323	12.5850629121806	1	3.76394934155736	0.114;4.04
0.635	1.31320505050505	12.5891639470032	9	3.76438479406731	0.635;1.313
0.114	3.98991919191919	12.5894355783262	1	3.7644136315475	0.114;3.99
0.114	3.93941515151515	12.5918246641905	1	3.76466724174121	0.114;3.939
0.583	1.21219696969697	12.5927976815328	1	3.76477051831258	0.583;1.212
0.635	1.36370909090909	12.5930222471066	9	3.76479435277044	0.635;1.364
0.166	4.59596767676768	12.5939985678823	9	3.76489797082786	0.166;4.596
0.635	1.26270101010101	12.5946193774179	9	3.76496385419422	0.635;1.263
0.114	3.88891111111111	12.5948264194666	1	3.76498582584743	0.114;3.889
0.583	1.16169292929293	12.5962048955304	1	3.76513210353435	0.583;1.162
0.114	3.83840707070707	12.5967067433462	1	3.76518535368754	0.114;3.838
0.635	1.11118888888889	12.5981283145761	9	3.76533618334039	0.635;1.111
0.114	3.78790303030303	12.5986183679373	1	3.7653881746732	0.114;3.788
0.635	1.21219696969697	12.5986274368655	9	3.76538913680722	0.635;1.212
0.114	3.73739898989899	12.5992425466726	1	3.7654543930842	0.114;3.737
0.114	3.68689494949495	12.6012075748606	1	3.76566284084255	0.114;3.687
0.114	3.63639090909091	12.6025831516557	1	3.76580874240769	0.114;3.636
0.114	3.58588686868687	12.604413840616	1	3.76600289289693	0.114;3.586
0.166	4.64647171717172	12.6070497690292	9	3.7662823957503	0.166;4.646
0.114	3.53538282828283	12.607068758901	1	3.76628440916066	0.114;3.535
0.114	3.48487878787879	12.6093630599405	1	3.76652764286313	0.114;3.485
0.635	1.41421313131313	12.6104057702066	9	3.7666381737747	0.635;1.414
0.114	3.43437474747475	12.6115121219214	1	3.76675544164242	0.114;3.434
0.114	5	12.611919328005	6	3.76679860109487	0.114;5
0.166	2.52530202020202	12.6121368453882	9	3.76682165506215	0.166;2.525
0.583	1.11118888888889	12.614735340429	1	3.76709703270339	0.583;1.111
0.114	4.94949595959596	12.6152588800776	6	3.76715250888519	0.114;4.949
0.218	3.28286262626263	12.6152810546449	9	3.7671548585366	0.218;3.283
0.218	3.33336666666667	12.6155805645453	9	3.76718659469347	0.218;3.333
0.114	3.38387070707071	12.6162275471021	1	3.76725514677217	0.114;3.384
0.114	4.89899191919192	12.616831953717	6	3.76731918470562	0.114;4.899
0.218	3.23235858585859	12.6170602971675	9	3.76734337735211	0.218;3.232
0.583	1.26270101010101	12.6176653154953	1	3.76740747617607	0.583;1.263
0.218	3.38387070707071	12.6177264487954	9	3.76741395280101	0.218;3.384
0.114	4.84848787878788	12.6184360743441	6	3.7674891302978	0.114;4.848
0.375	1.91925353535354	12.6191805353072	7	3.76756799403651	0.375;1.919
0.166	4.69697575757576	12.6200637795207	9	3.76766155405106	0.166;4.697
0.114	4.79798383838384	12.620518904502	6	3.76770976201791	0.114;4.798
0.114	3.33336666666667	12.6216107205074	1	3.76782540331021	0.114;3.333
0.218	3.43437474747475	12.6216536292541	9	3.7678299478637	0.218;3.434
0.218	3.18185454545455	12.6217701306235	9	3.76784228669082	0.218;3.182
0.114	4.7474797979798	12.6219063331971	6	3.76785671196693	0.114;4.747
0.375	1.96975757575758	12.6228750367051	7	3.76795930363237	0.375;1.97
0.218	3.13135050505051	12.6241094565448	8	3.76809002572256	0.218;3.131
0.375	1.86874949494949	12.6242956639688	7	3.76810974361254	0.375;1.869
0.114	4.69697575757576	12.6244612897355	6	3.76812728184173	0.114;4.697
0.218	3.48487878787879	12.6248193315234	9	3.76816519441044	0.218;3.485
