condition	cor	iteration
IL_6_Bacillus.S.	0.597273586514631	1
IL_6_Bacteroides.V.	0.382658720230664	1
IL_6_Candida.A.	0.319038756843709	1
IL_6_CD3_CD28	0.240012088291689	1
IL_6_Clostridium.P.	0.666428080739355	1
IL_6_PBS	0.799510302543513	1
IL_6_Pseudomonas.A.	0.356253354801971	1
IL_6_Staph.A.	0.39490973939385	1
IL_6_Bacillus.S.	0.308836241493084	2
IL_6_Bacteroides.V.	0.10244218162898	2
IL_6_Candida.A.	0.0724929531195358	2
IL_6_CD3_CD28	0.62178073213571	2
IL_6_Clostridium.P.	0.520108442900558	2
IL_6_PBS	0.632427386669446	2
IL_6_Pseudomonas.A.	0.436842104900728	2
IL_6_Staph.A.	0.341423603470764	2
IL_6_Bacillus.S.	0.341335167782417	3
IL_6_Bacteroides.V.	0.554775736096652	3
IL_6_Candida.A.	-0.0703760102582432	3
IL_6_CD3_CD28	0.268364451780944	3
IL_6_Clostridium.P.	0.202473920573404	3
IL_6_PBS	0.6154761102579	3
IL_6_Pseudomonas.A.	0.299102073854436	3
IL_6_Staph.A.	0.594138725802895	3
IL_6_Bacillus.S.	0.342524517913493	4
IL_6_Bacteroides.V.	0.0809065073381597	4
IL_6_Candida.A.	0.113180165485707	4
IL_6_CD3_CD28	-0.0798359769757547	4
IL_6_Clostridium.P.	0.209191733385445	4
IL_6_PBS	0.0358065126417396	4
IL_6_Pseudomonas.A.	-0.139172390231059	4
IL_6_Staph.A.	0.703424636406572	4
IL_6_Bacillus.S.	0.544598029596744	5
IL_6_Bacteroides.V.	0.492350525896892	5
IL_6_Candida.A.	0.28730959034316	5
IL_6_CD3_CD28	0.558800187480498	5
IL_6_Clostridium.P.	0.376313879349383	5
IL_6_PBS	0.710943741238636	5
IL_6_Pseudomonas.A.	0.354339491058446	5
IL_6_Staph.A.	0.413245003594228	5
IL_6_Bacillus.S.	0.858256433004431	6
IL_6_Bacteroides.V.	0.567139866015266	6
IL_6_Candida.A.	0.292524714499902	6
IL_6_CD3_CD28	0.51572157377378	6
IL_6_Clostridium.P.	0.890810838314109	6
IL_6_PBS	0.324872751692675	6
IL_6_Pseudomonas.A.	0.421461030144828	6
IL_6_Staph.A.	0.384044835127491	6
IL_6_Bacillus.S.	0.64626636932345	7
IL_6_Bacteroides.V.	0.84050819895343	7
IL_6_Candida.A.	0.432269251607694	7
IL_6_CD3_CD28	0.729869896810585	7
IL_6_Clostridium.P.	0.709336281882805	7
IL_6_PBS	0.71373638529161	7
IL_6_Pseudomonas.A.	0.744724970299761	7
IL_6_Staph.A.	0.736579225225189	7
IL_6_Bacillus.S.	-0.0130033000534524	8
IL_6_Bacteroides.V.	0.0990321523444084	8
IL_6_Candida.A.	0.119609988874712	8
IL_6_CD3_CD28	0.214532338363684	8
IL_6_Clostridium.P.	0.153060223521285	8
IL_6_PBS	-0.0322249218042522	8
IL_6_Pseudomonas.A.	0.282958078928958	8
IL_6_Staph.A.	0.584730000894731	8
IL_6_Bacillus.S.	0.795395321175596	9
IL_6_Bacteroides.V.	0.796151383627665	9
IL_6_Candida.A.	0.384181012030956	9
IL_6_CD3_CD28	0.741716327772399	9
IL_6_Clostridium.P.	0.631630257441491	9
IL_6_PBS	0.687964507866537	9
IL_6_Pseudomonas.A.	0.711205903484337	9
IL_6_Staph.A.	0.71719200828895	9
IL_6_Bacillus.S.	-0.291194628856366	10
IL_6_Bacteroides.V.	0.394154261239027	10
IL_6_Candida.A.	-0.1245677288956	10
IL_6_CD3_CD28	-0.0349294882754032	10
IL_6_Clostridium.P.	0.0128295635551943	10
IL_6_PBS	0.349082353208009	10
IL_6_Pseudomonas.A.	0.26304072818409	10
IL_6_Staph.A.	0.482783828071832	10
