Feature	KC_CXCL1_Bacillus.S.	KC_CXCL1_Bacteroides.V.	KC_CXCL1_Candida.A.	KC_CXCL1_CD3_CD28	KC_CXCL1_Clostridium.P.	KC_CXCL1_PBS	KC_CXCL1_Pseudomonas.A.	KC_CXCL1_Staph.A.
1700123M08Rik	0.0216939138642506	0.0170222879063591	0.0233222917415152	0.0149321801851773	0.0247575748038915	0.00775274409351417	0.00567835541144079	0.024274939718477
Aebp1	0.0031966543570782	0.00378748928500645	0.00180078731705433	0.00170988867168576	0.00266838048612504	0.0013888801208573	0.00329070255577912	0.00285660070143647
Agfg2	0.00304686592852405	0.00166433456310912	0.00207283395608046	0.0020787278415664	0.00179014196780046	0.00280632166678805	0.0044221614111305	0.00484093548560581
Ahcy	0.0407077129601481	0.0190631131155895	0.0338215822862657	0.033137600793049	0.0464468984299272	0.00207399110809056	0.0435659551410966	0.0361923143632018
Alas2	0.0587326406407383	0.056277858308498	0.00904316417148435	0.0352643450894968	0.0626063893083421	0.0365437214351427	0.0716924298571547	0.0687949146550006
Alg2	0.0106817964237834	0.0102496299614749	0.00845667323370621	0.00612668477411978	0.0126595809245473	0.0032213644174397	0.0119176116422516	0.0126955864632198
Beta-s	0.187132283561389	0.185747753792767	0.0586441623268449	0.134058217271001	0.203126753611397	0.104223844229202	0.230582040992976	0.228906309009955
Blm	0.00777311315209576	0.00519350429562046	0.00805529043439254	0.00609916110148667	0.00713654480856735	0.000631055295548387	0.0114561369508719	0.00439057468177336
C1rl	0.0170282595198858	0.016234057154799	0.0192251926059445	0.020220723433184	0.0209371536716059	0.0313329207590627	0.0221126727010272	0.0219357782435617
Capza1	0.0114008302352493	0.00704258134821499	0.00978512180590712	0.00671878659694844	0.00967375715544534	0.00377261638333279	0.0119097860728787	0.0105005420739754
Car5a	0.176328244168602	0.132044519890368	0.287016047363635	0.27188839072087	0.166972001967902	0.292571764391427	0.146594446905205	0.131996446514144
Ccl4	0.00212008686590127	0.00333188121772374	0.0030097654322044	0.00121336643434441	0.00212934630326807	1.93296686000201e-05	0.00303656055228075	0.00222342050935126
Ccni	0.0684640568685986	0.0406245346218882	0.085662760154009	0.0813276051583636	0.0978723394118704	0.0603577987580669	0.0774688794362182	0.0979409127663072
Cd209f	0.119823847712025	0.101768780617214	0.0963600391452702	0.0742379435569184	0.115714070785497	0.0999331862456858	0.119635746091872	0.115942133907184
Cd40lg	0.00800997794963672	0.00347253606482894	0.000993572271333104	0.0106133135257963	0.00764398564957565	0.0175094951709764	0.0102209476908924	0.00766102972435492
Col6a1	0.00227108314920269	0.00222372113449799	0.00282698700197509	0.00169076169657736	0.00252487167874115	0.000972619909569967	0.00243274623342729	0.0026908898733981
Crip1	0.0670718081873732	0.0877456168630934	0.0222652851477591	0.0279016089895363	0.0872365897828545	0.00417119899479708	0.0805992693759499	0.0432869108042758
Crybb1	0.0883420194948268	0.167678012370145	0.0504193803409848	0.0431896101100407	0.103038713175735	0.0557550936794699	0.118349148974127	0.0967474663075931
Cxcl1	0.0418161119208797	0.0458876189423021	0.0359595654971277	0.0428362889223122	0.0473446284009369	0.0448668354856039	0.0370948944899786	0.0424122788994008
D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__[Eubacterium] xylanophilum group; D_6__uncultured bacterium	0.0021486505972496	0.00226551790024656	0.00169145382637955	0.000890375656037768	0.00185259360684368	0.000615174750660354	0.00223108805652232	0.00243493860842033
Ddx3y	0.010760413653214	0.0134036018066241	0.0110383079140171	0.00361239508791211	0.00749906330222026	0.00498160878564707	0.00971502415335434	0.00999743430658835
Dock8	0.00741452643425846	0.00275048429178758	0.00576498797448714	0.0045527543227705	0.00565828919353776	0.00286906496417974	0.00801769844800133	0.00598261063309772
Dusp6	0.00704174185557701	0.00382364726512006	0.00568924742028035	0.00339704895314628	0.00524608445928246	0.000238483937666017	0.00521454161921298	0.00653738586759351
Eif2ak1	0.0122147280448202	0.00801958329921075	0.00913107281909056	0.00257394454640432	0.00751424382324619	0.00475537692640593	0.00974447534306298	0.0085641560931475
Eif3c	0.0156326282804065	0.0165044450020544	0.0143501820573503	0.00963854198638579	0.0116906647188307	0.00996382029293348	0.0123592833367728	0.0158653822913403
Erdr1	0.0568645798352861	0.0646624362102851	0.0787575781715122	0.0275936277451665	0.062132854596353	0.0185037012152512	0.0583714034451247	0.051155205825939
Extl3	0.00872992370394176	0.00572811702184773	0.0106774490922693	0.00673894829281121	0.00684393945066355	0.00200235008489887	0.0082831234722541	0.00823684870362696
Fgf1	0.0229694437735407	0.0288304566898676	0.0129905569001838	0.01455979810159	0.0265002334917712	0.00976013061051855	0.0262109386817943	0.0277056065626766
Fos	0.00324329142645867	0.00342707281393057	0.00249670677210036	0.00199853316751505	0.00381392578383678	0.000286077113680792	0.00406201592971837	0.0032216572000434
Gpkow	0.0413640286087845	0.0279660777482713	0.0271096096636206	0.0121154422988615	0.0302151305719634	0.00223432460435721	0.0407485714428238	0.030538896458181
Gpm6a	0.0161036757210831	0.00983727442515936	0.00831325562344772	0.00939438658142233	0.0141499710293445	0.00632836043135348	0.0165809190215263	0.0116338552841249
Ide	0.0170096054504644	0.0138995917479472	0.012274628439026	0.00416752793546623	0.0105019451883567	0.00128813680437484	0.0182874536725755	0.0137978362297637
Ier2	0.0359648146837597	0.026643471480488	0.0354247522106827	0.0234567092458365	0.0377924681602566	0.00374358833578818	0.0356008732827021	0.0329323527697724
Igfbp5	0.0350661024902668	0.0161968818372989	0.0268432573470752	0.0166436117372307	0.0182235778398299	0.0106922044016933	0.0284344091846835	0.0257586146034254
Insig1	0.015048482944705	0.0120657415562043	0.01370989594213	0.0071491909930359	0.0119794533744409	0.000948315826123238	0.0136895662728124	0.0163950249583477
Jun	0.0411419928401237	0.0337171359719414	0.0432452206664442	0.0265680479583614	0.0401811386896995	0.00142919206833422	0.0490203689307103	0.03558797738737
Katnal1	0.00261171149074217	0.000112486330647016	0.000643667192350499	0.00790479785103741	0.00136346146424966	0.0125756906550182	0.00152349764108214	0.0033678561359424
Klf4	0.0118700149641503	0.012190735592147	0.0170246112876538	0.015320194495167	0.0169808129770249	0.00686182767302125	0.0170904075402242	0.0169609692587819
Lrp2	0.0491552987268438	0.041887759983265	0.0170149157591053	0.0390696657723133	0.0496474465125365	0.0354922559754034	0.0462726983182271	0.0485371569863634
Lrrn4	0.11961166619107	0.103777682262527	0.0684638621711315	0.029349748081378	0.109915448385955	0.00925977731427705	0.0715165753997483	0.0936854100609501
Ly86	0.00301482233753964	0.00174248041729208	0.00149861026619821	0.000707506696157728	0.00195907704822091	0.00019580444270023	0.00300842240687275	0.00211771803998995
Mcm5	0.0396929555987904	0.0240616843525812	0.0380626393463793	0.0289865691205474	0.0409944783431691	0.0159818263933798	0.0618229949973346	0.043775604717961
Meg3	0.0338198059751119	0.0369470668433621	0.019550987949608	0.0169555396945503	0.031720405385706	0.00734677580621265	0.0301353764426222	0.0316751828822314
Mrpl54	0.0204887706768941	0.0179486065109477	0.0267837563598997	0.00629650459892787	0.0172154848070796	0.00924330557967891	0.0212384411334649	0.0207220793516705
Msln	0.0541845008224919	0.0455607351683933	0.0299734228015846	0.0268498977634308	0.0555550732822993	0.0370455809080091	0.054785016252137	0.053422447597484
Ndufv3	0.00329359621337469	0.00446184501632541	0.00159326868473418	0.0012482610699098	0.00296742762824987	0.000102235237046757	0.00356150758513233	0.00402905121546882
Phldb1	0.00510373121122271	0.00526802199215853	0.00290361689935776	0.0028441096097581	0.00378805764524739	0.00185457366635085	0.0053263930346432	0.00563713528368176
Plin4	0.0112633758380817	0.00875025132983565	0.00740709777899508	0.0110086144809128	0.00896450021090039	0.00441704590954042	0.0136306003007455	0.0111319384346125
Ppp1cc	0.0240963672252543	0.0145541360239556	0.0112004525429431	0.0170060697533076	0.0188684703044837	0.0142357484974274	0.0216182483471838	0.0218401203881559
Rp2h	0.00424572167364293	0.00383802678460486	0.00397316472771705	0.00374921444376016	0.0038294528311201	0.00237320733187683	0.00581344032832086	0.00555248073610941
Rtp4	0.0558832252830342	0.0593930454940222	0.0491205707366606	0.0320493586734734	0.0579182919604986	0.0288001929245536	0.0657819693713574	0.0534471745363688
Saa3	0.166242012733787	0.18065581450716	0.128077270451579	0.088513741200122	0.148004759400668	0.0424603929159947	0.154895424671932	0.204957195245616
Scoc	0.0440698894633464	0.0399818502727818	0.0238904848886352	0.00376905010518123	0.0488059314998165	0.00531524805122596	0.0453989948317086	0.0309946547024301
Sec16a	0.0500286635293897	0.0402072564355671	0.0483109179198584	0.0272549816844878	0.0401434815962772	0.0109953445196631	0.0485705368158256	0.0558450626658768
Sell	0.069701888917341	0.0423571484137622	0.0814686520301439	0.0437931535409395	0.0718777769847119	0.0191710089616109	0.0845590451604103	0.0513757790033506
Slc35b4	0.0257965365114774	0.0196172320550045	0.0152319214041048	0.00989054211205008	0.0215946982737505	0.00841850971373264	0.0214795861386637	0.0239500976216193
Slc38a6	0.00388698685008919	0.0025296960341089	0.00250678384847573	0.0015922281141598	0.00347973993527473	0.000179636503755626	0.00280659090556058	0.0039248683341151
Slc7a11	0.0316902224418253	0.0444027434444132	0.0351387669090393	0.00649675698564635	0.0358022232451582	0.0029382738181891	0.0286358032091228	0.024290486087826
Srf	0.00806908961278477	0.00600533234007772	0.00532883584235565	0.00222260878022967	0.00750825154482207	0.00219608553288654	0.008029240181683	0.00904618727623745
Sri	0.00294300018807985	0.00253679036128717	0.00299557225813399	0.00313650860404989	0.00499676896179536	0.00474396780234173	0.0042718003944376	0.00338490501718768
Sspo	0.00878966465548021	0.00726720397185802	0.0103716497742714	0.00523475425397474	0.00540497743945473	0.002108579156669	0.00574658539006034	0.00537270391086158
Tff1	0.0160045660336825	0.00267837445510941	0.0170659229892404	0.0148469139356993	0.0092580545014565	0.0123508703286028	0.0106251248553162	0.00918460362910717
Tln1	0.0321305648436959	0.0192301189109762	0.0407041556664686	0.0161943033435425	0.0242252320466499	0.000512907017618143	0.0295787895132426	0.0289506278366044
Tmbim6	0.0103406168690493	0.00875261331717625	0.00763683504966521	0.00405067298225835	0.00971179166875124	0.00404333592604032	0.012103949572953	0.0103741993231193
Tmem181b-ps	0.0434887473428143	0.0350988749688178	0.0560218706334047	0.0270334936402753	0.037920484093624	0.00296307288132992	0.0361895538027774	0.0324772435222603
Tmem231	0.00713769121931249	0.00674754987499472	0.00678383753487618	0.00441044772435871	0.011043220702069	0.00245921290108108	0.010332114703574	0.00516132561910908
Tpcn1	0.24327079511657	0.171251875869277	0.0860737719647747	0.0972639901180769	0.158089429461287	0.14483379023533	0.210644097541231	0.245958334365269
Ubc	0.00345093425484089	0.00275415107897399	0.00360494092687298	0.00187967978418028	0.00281088293402275	0.000123222673433244	0.00426556216412149	0.00316982363197514
Wt1	0.00339056021360717	0.00292806844507202	0.00268957763953075	0.00301451495445513	0.00301939297329603	0.00197812978073264	0.00271770787678782	0.00318084056749457
Ywhaq	0.0121788308245917	0.00603341422223875	0.0119627394647236	0.00614463609343704	0.0106079731595831	0.00356571141206393	0.0142400149264243	0.00879093315963802
