condition	cor	iteration
KC_CXCL1_Bacillus.S.	0.83900124487183	1
KC_CXCL1_Bacteroides.V.	0.598045864505155	1
KC_CXCL1_Candida.A.	0.697806801018203	1
KC_CXCL1_CD3_CD28	0.651498508997	1
KC_CXCL1_Clostridium.P.	0.728014983635877	1
KC_CXCL1_PBS	0.545393821468386	1
KC_CXCL1_Pseudomonas.A.	0.788207509434086	1
KC_CXCL1_Staph.A.	0.836744582909074	1
KC_CXCL1_Bacillus.S.	0.873381875187651	2
KC_CXCL1_Bacteroides.V.	0.585582026832483	2
KC_CXCL1_Candida.A.	0.553709561120381	2
KC_CXCL1_CD3_CD28	0.50383076840501	2
KC_CXCL1_Clostridium.P.	0.610334284862549	2
KC_CXCL1_PBS	0.25080685177373	2
KC_CXCL1_Pseudomonas.A.	0.807233406512947	2
KC_CXCL1_Staph.A.	0.824798266205431	2
KC_CXCL1_Bacillus.S.	0.401742302728899	3
KC_CXCL1_Bacteroides.V.	0.506309079059154	3
KC_CXCL1_Candida.A.	0.221982524647971	3
KC_CXCL1_CD3_CD28	0.569163958567793	3
KC_CXCL1_Clostridium.P.	0.440038152527963	3
KC_CXCL1_PBS	0.700587156122671	3
KC_CXCL1_Pseudomonas.A.	0.300963924424741	3
KC_CXCL1_Staph.A.	0.246045949961852	3
KC_CXCL1_Bacillus.S.	0.647413824267374	4
KC_CXCL1_Bacteroides.V.	0.75778169482849	4
KC_CXCL1_Candida.A.	0.471152612359222	4
KC_CXCL1_CD3_CD28	0.247866163461784	4
KC_CXCL1_Clostridium.P.	0.751948654901451	4
KC_CXCL1_PBS	0.265756159669721	4
KC_CXCL1_Pseudomonas.A.	0.784164721619069	4
KC_CXCL1_Staph.A.	0.673508031332939	4
KC_CXCL1_Bacillus.S.	0.910431647025942	5
KC_CXCL1_Bacteroides.V.	0.79027427130578	5
KC_CXCL1_Candida.A.	0.812456567727996	5
KC_CXCL1_CD3_CD28	0.753087351135139	5
KC_CXCL1_Clostridium.P.	0.774107180631597	5
KC_CXCL1_PBS	0.607758327824919	5
KC_CXCL1_Pseudomonas.A.	0.868830306436427	5
KC_CXCL1_Staph.A.	0.86470505269657	5
KC_CXCL1_Bacillus.S.	0.722477872090627	6
KC_CXCL1_Bacteroides.V.	0.547235450303992	6
KC_CXCL1_Candida.A.	0.774570100116033	6
KC_CXCL1_CD3_CD28	0.665621575507558	6
KC_CXCL1_Clostridium.P.	0.453539759734682	6
KC_CXCL1_PBS	0.559919619372639	6
KC_CXCL1_Pseudomonas.A.	0.670248300027998	6
KC_CXCL1_Staph.A.	0.6840321738676	6
KC_CXCL1_Bacillus.S.	0.793359691031528	7
KC_CXCL1_Bacteroides.V.	0.916226710892538	7
KC_CXCL1_Candida.A.	0.418539404187388	7
KC_CXCL1_CD3_CD28	0.448236655119829	7
KC_CXCL1_Clostridium.P.	0.897732113241693	7
KC_CXCL1_PBS	0.26175496077328	7
KC_CXCL1_Pseudomonas.A.	0.843641631943254	7
KC_CXCL1_Staph.A.	0.671903556609696	7
KC_CXCL1_Bacillus.S.	0.675588795763015	8
KC_CXCL1_Bacteroides.V.	0.705199179601888	8
KC_CXCL1_Candida.A.	0.672916053944154	8
KC_CXCL1_CD3_CD28	0.597990253522206	8
KC_CXCL1_Clostridium.P.	0.689081262901727	8
KC_CXCL1_PBS	0.30636412477355	8
KC_CXCL1_Pseudomonas.A.	0.738415381290695	8
KC_CXCL1_Staph.A.	0.745702553841687	8
KC_CXCL1_Bacillus.S.	0.909271927700775	9
KC_CXCL1_Bacteroides.V.	0.835549716313505	9
KC_CXCL1_Candida.A.	0.666010262962928	9
KC_CXCL1_CD3_CD28	0.798520597787929	9
KC_CXCL1_Clostridium.P.	0.821090677835855	9
KC_CXCL1_PBS	0.603751091556117	9
KC_CXCL1_Pseudomonas.A.	0.883034809550855	9
KC_CXCL1_Staph.A.	0.923898789121463	9
KC_CXCL1_Bacillus.S.	0.796822285243052	10
KC_CXCL1_Bacteroides.V.	0.709743802785097	10
KC_CXCL1_Candida.A.	0.557948868655524	10
KC_CXCL1_CD3_CD28	0.77060794546196	10
KC_CXCL1_Clostridium.P.	0.805008468751482	10
KC_CXCL1_PBS	0.807411801666159	10
KC_CXCL1_Pseudomonas.A.	0.737615501970406	10
KC_CXCL1_Staph.A.	0.784842660318311	10
