alpha	lambda	MSE	num	Log2_MSE	combo
0.844	0.505140404040404	23.2886748104876	6	4.6022118736017	0.844;0.505
0.844	0.454636363636364	23.317572302421	6	4.60392730220171	0.844;0.455
0.844	0.555644444444444	23.3847453953537	6	4.60790700395263	0.844;0.556
0.739	0.505140404040404	23.4941776460902	10	4.61436695107954	0.739;0.505
0.844	0.404132323232323	23.5068694501883	6	4.61511429850686	0.844;0.404
0.739	0.454636363636364	23.5481315577411	10	4.61754131515181	0.739;0.455
0.739	0.555644444444444	23.5741778419269	10	4.61907124519824	0.739;0.556
0.844	0.606148484848485	23.6208088555491	6	4.62180625365209	0.844;0.606
0.739	0.606148484848485	23.6238607583846	10	4.62198507361885	0.739;0.606
0.739	0.656652525252525	23.6312768588547	10	4.62241951241933	0.739;0.657
0.739	0.707156565656566	23.6506082515375	10	4.62355134029989	0.739;0.707
0.739	0.404132323232323	23.6750887811859	10	4.62498337040778	0.739;0.404
0.583	0.808164646464646	23.7273752933886	10	4.6280372067473	0.583;0.808
0.583	0.757660606060606	23.7635986038391	10	4.63014907465242	0.583;0.758
0.792	0.404132323232323	23.7645098068593	10	4.63020215917839	0.792;0.404
0.583	0.858668686868687	23.7821215941954	10	4.63122779658714	0.583;0.859
0.792	0.505140404040404	23.7896099527577	10	4.6316636666892	0.792;0.505
0.739	0.757660606060606	23.7899337667212	10	4.63168251175167	0.739;0.758
0.583	0.707156565656566	23.7926294538335	10	4.63183938361064	0.583;0.707
0.792	0.454636363636364	23.7961654322205	10	4.63204512922329	0.792;0.455
0.583	0.656652525252525	23.7970660347208	10	4.63209752729145	0.583;0.657
0.792	0.555644444444444	23.8031987550967	10	4.63245428527877	0.792;0.556
0.792	0.353628282828283	23.8295018092063	10	4.63398340978117	0.792;0.354
0.583	0.606148484848485	23.8434397105724	10	4.63479303132134	0.583;0.606
1	0.505140404040404	23.8439285006555	7	4.63482141580031	1;0.505
0.739	0.353628282828283	23.8563346084246	10	4.63554166271279	0.739;0.354
0.583	0.909172727272727	23.8774054162713	10	4.636764122628	0.583;0.909
1	0.555644444444444	23.8844489289044	7	4.63717253348599	1;0.556
0.792	0.606148484848485	23.9091599666513	10	4.63860446402206	0.792;0.606
0.844	0.353628282828283	23.9111505489106	6	4.6387197504635	0.844;0.354
0.792	0.656652525252525	23.9324673897042	3	4.63995375809166	0.792;0.657
0.844	0.656652525252525	23.9347584621613	6	4.64008632287014	0.844;0.657
0.792	0.606148484848485	23.941302236271	3	4.64046488807272	0.792;0.606
0.583	0.555644444444444	23.9461768636212	10	4.64074682658128	0.583;0.556
0.583	0.959676767676768	23.9556702149517	10	4.64129574458143	0.583;0.96
0.792	0.656652525252525	23.9696284661748	10	4.64210244983411	0.792;0.657
0.792	0.555644444444444	23.996520086743	3	4.64365535765289	0.792;0.556
0.739	0.808164646464646	24.023203149906	10	4.64519457154939	0.739;0.808
0.792	0.505140404040404	24.0280184934923	3	4.6454721700617	0.792;0.505
0.583	1.01018080808081	24.0373548972621	10	4.64601024988263	0.583;1.01
1	0.454636363636364	24.0389563324491	7	4.64610252435519	1;0.455
0.583	0.555644444444444	24.0450785757767	5	4.64645523276409	0.583;0.556
0.479	0.808164646464646	24.055541568604	2	4.64705781644632	0.479;0.808
0.583	0.606148484848485	24.0692287789641	5	4.64784570917337	0.583;0.606
0.792	0.707156565656566	24.0716362148564	3	4.64798424670463	0.792;0.707
0.479	0.757660606060606	24.0732179306632	2	4.64807526037254	0.479;0.758
0.792	0.303124242424242	24.0770510578821	10	4.64829579891609	0.792;0.303
0.479	0.858668686868687	24.0897338051563	2	4.64902525913711	0.479;0.859
0.583	0.505140404040404	24.0927480797247	5	4.64919857376061	0.583;0.505
0.479	0.707156565656566	24.1129797005366	2	4.65036131203311	0.479;0.707
0.583	0.656652525252525	24.1340360534605	5	4.65157045439768	0.583;0.657
0.583	0.505140404040404	24.1482496204372	10	4.65238608331597	0.583;0.505
0.479	0.909172727272727	24.154967680762	2	4.65277143092961	0.479;0.909
0.739	0.303124242424242	24.1569385127168	10	4.65288445823086	0.739;0.303
0.583	1.06068484848485	24.1664578085364	10	4.65343026563019	0.583;1.061
0.479	0.656652525252525	24.1739587342684	2	4.65386020042926	0.479;0.657
1	0.606148484848485	24.1750281225207	7	4.65392148472611	1;0.606
0.531	0.707156565656566	24.1794535110892	9	4.65417506637173	0.531;0.707
0.427	1.01018080808081	24.1827748405322	5	4.65436535443801	0.427;1.01
0.792	0.454636363636364	24.1955998310252	3	4.65509989780921	0.792;0.455
0.427	1.06068484848485	24.2027731219799	5	4.65551058056545	0.427;1.061
0.844	0.707156565656566	24.2075145454256	6	4.65578197072919	0.844;0.707
0.531	0.656652525252525	24.2087220537985	9	4.65585107808266	0.531;0.657
0.792	0.707156565656566	24.2124399407185	10	4.65606383704416	0.792;0.707
1	0.404132323232323	24.2146385364815	7	4.65618963862942	1;0.404
0.427	0.959676767676768	24.2184411224973	5	4.65640719314066	0.427;0.96
0.583	0.454636363636364	24.2201799840389	5	4.65650666639623	0.583;0.455
0.479	0.959676767676768	24.2282643593442	2	4.65696905085281	0.479;0.96
0.635	0.555644444444444	24.2308517458805	4	4.65711700468221	0.635;0.556
0.531	0.757660606060606	24.2351570944999	9	4.65736316265112	0.531;0.758
0.635	0.505140404040404	24.23729881029	4	4.65748559944148	0.635;0.505
0.479	0.606148484848485	24.2419778239871	2	4.65775305136736	0.479;0.606
0.427	1.11118888888889	24.255000308107	5	4.65849715425713	0.427;1.111
0.375	0.858668686868687	24.2603444780297	2	4.65880240833414	0.375;0.859
0.635	0.606148484848485	24.2632775405209	4	4.6589699147221	0.635;0.606
0.375	0.909172727272727	24.2704487010297	2	4.65937937583025	0.375;0.909
0.792	0.757660606060606	24.2739817983436	3	4.65958106697334	0.792;0.758
0.375	0.959676767676768	24.2795285228609	2	4.65989765159567	0.375;0.96
0.635	0.707156565656566	24.2805404733544	4	4.65995540214815	0.635;0.707
0.635	0.757660606060606	24.2810698658709	4	4.65998561289314	0.635;0.758
0.844	0.606148484848485	24.2831950027403	10	4.66010688131986	0.844;0.606
0.583	0.707156565656566	24.2845938626236	5	4.66018670004488	0.583;0.707
0.635	0.656652525252525	24.2895449442055	4	4.66046917251151	0.635;0.657
0.375	0.808164646464646	24.2896000977783	2	4.66047231885911	0.375;0.808
0.427	1.16169292929293	24.2951367805684	5	4.6607881352626	0.427;1.162
0.531	0.808164646464646	24.2965780893294	9	4.66087033722028	0.531;0.808
0.844	0.303124242424242	24.3003106557006	6	4.66108319437956	0.844;0.303
0.479	1.01018080808081	24.3027659354437	2	4.66122319455942	0.479;1.01
0.427	0.909172727272727	24.3030915305201	5	4.66124175898756	0.427;0.909
