Feature	MCP_1_CCL2_Bacillus.S.	MCP_1_CCL2_Bacteroides.V.	MCP_1_CCL2_Candida.A.	MCP_1_CCL2_CD3_CD28	MCP_1_CCL2_Clostridium.P.	MCP_1_CCL2_PBS	MCP_1_CCL2_Pseudomonas.A.	MCP_1_CCL2_Staph.A.
9030612E09Rik	0.0083341161096269	0.00613856577154708	0.00214916788678297	0.00414849495974303	0.00621945674719774	0.00554448952087488	0.00340536603900596	0.00645381731508939
9330159M07Rik	0.0201751284439584	0.0135839406275369	0.0150968656779591	0.00788637622602046	0.0127299442326501	0.00273126360828558	0.011911788038836	0.0155031575493404
9430008C03Rik	0.00405945740631391	0.00521449521886285	0.00422623920094126	0.00327472926466503	0.00519113169926866	0.0013212602711947	0.00386843810692072	0.00404861139584608
Art2a-ps	0.0221484242552662	0.0286939316155125	0.0158749872607893	0.0175125349030535	0.0227421412646904	0.00538689237105951	0.0148580364777396	0.0214078461482133
Art2b	0.0617688886233383	0.067455612378593	0.0423521627170003	0.0335324727212175	0.0594940352667686	0.0120605472717575	0.0386396458964116	0.0450470110533964
Car5a	0.0245996468501588	0.0232486853310194	0.0152637636909219	0.0160774784829672	0.0196206905604334	0.00515177385243773	0.0210382986393818	0.019684429327084
Ccni	0.184405057999624	0.160799724118525	0.133029265369225	0.13120796765904	0.202860682299143	0.0966058855018804	0.0912562025375777	0.167326265661196
Cxcl1	0.00366667956655302	0.00373367457653527	0.00178250273295043	0.00239793328560872	0.00245175122812574	0.000650027106035789	0.00266933665995619	0.00323344063612261
Eif2s3y	0.00615024175943529	0.00660977732498425	0.00621409083893846	0.0041643120755663	0.00501224987996649	0.00134209625757174	0.00357673459833307	0.00536123194398984
Erdr1	0.00278399090551782	0.00330614262276372	0.00311976796699254	0.000238398325500352	0.00192433184445242	0.00202389505769193	0.000789127267680313	0.000999501078674519
Farp1	0.0109123470519072	0.0110287659495627	0.00767505108841369	0.00621909072748793	0.00754691810265877	0.00101520458299777	0.00622856449027066	0.00934508580261886
Farp2	0.0221621636401709	0.0210974187721444	0.0159482217691786	0.0196553052887739	0.0193300060523523	0.0147187290935962	0.0112406623946782	0.0241746702952321
Gimap1	0.00342493848948792	0.00336526398786414	0.00298459211248048	0.000872774900631399	0.002841568373091	0.000164120600483139	0.00305906401455193	0.00261479056688845
Gm2518	0.0661717043931571	0.0393600650745435	0.0454237725373858	0.0722149326281745	0.0745753224813457	0.075799322251182	0.0574127177953964	0.0878601650171816
H2-T23	0.00135014328449537	0.0016709561327088	0.000862190457342282	0.000968717158913964	0.0012385943863	0.000913306403323654	0.00229898836257174	0.0018113402181051
Hfe	0.0177315408498731	0.0130278796212019	0.0148952150768011	0.0202291971296497	0.0189634894373497	0.0134691740207065	0.00987802797900324	0.0217404127853438
Jak1	0.226160320192562	0.239262101353885	0.194185884968649	0.152574134178188	0.217365630895213	0.0472789165187355	0.213883141264951	0.186438873974098
Klf4	0.00153546531400771	0.00158466980961982	0.00161680089812869	0.000988376375543241	0.00160824136783243	0.000601327588961053	0.00160480683000967	0.00157169747341712
Magi2	0.018340221050288	0.0132814762925	0.0112830762373116	0.00994109582488999	0.0129163714980793	0.00266444847188797	0.0191946339582432	0.0196734053270131
MLN_Effector_Memory_CD4_T_cells	0.0252106358012764	0.0174135666857899	0.0142892929417199	0.0124149665094106	0.0198623959331771	0.00576699610060783	0.0179719885055488	0.0188873348294588
Naca	0.0228526973176221	0.0222693192495777	0.0160481045115223	0.0239316142515969	0.0203212112209202	0.0198746954913615	0.0159202491527215	0.0190453414738243
Nck2	0.00226456361479371	0.00311042385115751	0.00262860132821405	0.00224361070176273	0.00306265110460622	0.000682408853725273	0.00257606023794386	0.00250087943799281
P2ry12	0.00691961279483959	0.00304282687433015	0.00514995019894259	0.00681219564757236	0.00709790966361116	0.00454047000588723	0.00445276975330274	0.00717483739377914
Plk2	0.0126704599097307	0.0132934076194075	0.0133489219010216	0.00677066893460458	0.0129465976601432	0.00756630187391531	0.0095744517136053	0.0118093978196276
Pnldc1	0.0161294103786362	0.0183077507627523	0.0154818029376727	0.00856071551823509	0.0123087597634612	0.00069208057062923	0.0125539559842392	0.00891996797165996
Rpp38	0.00275872740262371	0.00325467300003706	0.00129499292658548	0.00257462886984986	0.00449033413803801	0.00266041597807262	0.00160826197775396	0.00334056740938038
Rrp1	0.00421613359177542	0.00455687323712277	0.00311784752548065	0.00373796652235847	0.00556081102608191	0.00112495575035266	0.00275481188879616	0.00436268241270597
Saa3	0.0284869192656396	0.0273578145639815	0.0142340171448378	0.010464637649347	0.0172522258253564	0.00448462159207915	0.0214854125363893	0.0234805210116653
Sell	0.00932812937631168	0.00649532690363776	0.00711126571448773	0.00259732027156444	0.00688959242209125	0.000151837639045602	0.00753333698330744	0.0068495141121993
Snord47	0.0261071536761128	0.0242411889178833	0.0241855010378016	0.0196296237188297	0.0215649806037134	0.00725497411446452	0.011992718962098	0.0257876325076328
Sspo	0.0131166561682559	0.0128403088612039	0.00944226166562329	0.00645920750701658	0.0095702480881751	0.000293296310670035	0.00366281180189087	0.00925160519382567
Tpcn1	0.0152862305967378	0.00886503524967658	0.00453677100646123	0.00565065039340021	0.0122168522025975	0.00558947611998097	0.0155929205958245	0.0158394482454654
