alpha	lambda	MSE	num	Log2_MSE	combo
0.948	0.707156565656566	13.9063139147019	7	3.89785164194938	0.948;0.707
0.948	0.757660606060606	13.9227440360914	7	3.899440941691	0.948;0.758
0.635	1.01018080808081	13.9469885612415	2	3.90178294216054	0.635;1.01
0.896	0.707156565656566	13.9483249384115	4	3.90191192456557	0.896;0.707
0.635	1.06068484848485	13.9550573327455	2	3.90256153617104	0.635;1.061
0.218	1.71723737373737	13.955917535574	6	3.90264451643903	0.218;1.717
0.218	1.66673333333333	13.9580061212267	6	3.9028459739411	0.218;1.667
0.218	1.76774141414141	13.9585909245739	6	3.90290237693959	0.218;1.768
0.635	0.959676767676768	13.9601821215325	2	3.90305583323006	0.635;0.96
0.218	1.81824545454545	13.9642011283455	6	3.90344335675459	0.218;1.818
0.218	1.86874949494949	13.9681032794875	6	3.90381951316784	0.218;1.869
0.948	0.808164646464646	13.9699492219824	7	3.90399742267524	0.948;0.808
0.896	0.757660606060606	13.9702848202248	4	3.90402976483526	0.896;0.758
0.218	1.61622929292929	13.971672992706	6	3.90416353762116	0.218;1.616
0.218	1.91925353535354	13.97248899686	6	3.90424216698116	0.218;1.919
0.896	0.808164646464646	13.976548255085	4	3.9046332494522	0.896;0.808
0.948	0.656652525252525	13.976696821665	7	3.90464756084101	0.948;0.657
0.896	0.656652525252525	13.977319000945	4	3.90470749370392	0.896;0.657
0.218	1.96975757575758	13.9788829813931	6	3.90485813675538	0.218;1.97
0.583	1.01018080808081	13.9859464789746	7	3.90553829901924	0.583;1.01
0.218	2.02026161616162	13.9868417749616	6	3.90562448646834	0.218;2.02
0.583	1.06068484848485	13.988483222094	7	3.90578249026915	0.583;1.061
0.218	1.56572525252525	13.9900945946856	6	3.90593758229944	0.218;1.566
0.635	1.11118888888889	13.9903822982506	2	3.90596527155254	0.635;1.111
0.583	0.959676767676768	13.9910914537462	7	3.90603352003995	0.583;0.96
0.218	2.07076565656566	13.9964321126061	6	3.90654739656041	0.218;2.071
0.583	0.858668686868687	13.9964661525069	7	3.90655067128202	0.583;0.859
0.583	0.808164646464646	13.9987297484032	7	3.90676841805662	0.583;0.808
0.583	0.909172727272727	14.0008494855585	7	3.90697229653525	0.583;0.909
0.583	1.11118888888889	14.0012114444738	7	3.90700710723265	0.583;1.111
0.583	1.16169292929293	14.0036488871676	7	3.90724150169112	0.583;1.162
0.218	2.1212696969697	14.0065242297515	6	3.90751795744385	0.218;2.121
0.218	1.51522121212121	14.0117361986961	6	3.90801893796157	0.218;1.515
0.583	0.909172727272727	14.0133959274002	5	3.90817843650186	0.583;0.909
0.583	1.21219696969697	14.0147596274541	7	3.90830947374141	0.583;1.212
0.635	0.909172727272727	14.0158951105938	2	3.9084185726545	0.635;0.909
0.218	2.17177373737374	14.0196816896744	6	3.90878233319932	0.218;2.172
0.583	0.858668686868687	14.0222676567514	5	3.90903070335959	0.583;0.859
0.635	1.16169292929293	14.0224145168478	2	3.9090448073086	0.635;1.162
0.218	2.22227777777778	14.0310653125397	6	3.90987535741195	0.218;2.222
0.583	1.26270101010101	14.0310775618089	7	3.90987653310725	0.583;1.263
0.218	1.46471717171717	14.0384449396205	6	3.91058348677739	0.218;1.465
0.218	2.27278181818182	14.0425607908203	6	3.9109782819651	0.218;2.273
0.583	0.757660606060606	14.0451668954494	7	3.91122820540718	0.583;0.758
0.948	0.858668686868687	14.0455307074708	7	3.91126309125835	0.948;0.859
0.583	0.808164646464646	14.0469165223675	5	3.9113959690044	0.583;0.808
0.583	0.757660606060606	14.0484399898657	5	3.91154203133834	0.583;0.758
0.218	2.32328585858586	14.0501913296846	6	3.91170992264527	0.218;2.323
0.583	0.959676767676768	14.0504052010977	5	3.91173042398163	0.583;0.96
0.583	0.707156565656566	14.0518882610683	5	3.91187257948014	0.583;0.707
0.218	2.3737898989899	14.0563872878541	6	3.91230373826041	0.218;2.374
0.635	1.21219696969697	14.0590286388104	2	3.91255680891001	0.635;1.212
0.218	2.42429393939394	14.0622161400249	6	3.91286214769969	0.218;2.424
0.218	2.47479797979798	14.0670633745937	6	3.91332635271537	0.218;2.475
0.218	1.41421313131313	14.0708184422808	6	3.9136858615615	0.218;1.414
0.218	2.52530202020202	14.073317400263	6	3.91392506127288	0.218;2.525
0.583	1.31320505050505	14.0747202175302	7	3.91405932125635	0.583;1.313
0.635	0.858668686868687	14.0761906947201	2	3.91420004338295	0.635;0.859
0.583	0.656652525252525	14.0804918588073	5	3.91461157857948	0.583;0.657
0.896	0.858668686868687	14.0809066991776	4	3.91465126428198	0.896;0.859
0.218	2.57580606060606	14.0842111670945	6	3.91496734721702	0.218;2.576
0.218	2.6263101010101	14.0948669865973	6	3.91598613901138	0.218;2.626
0.583	0.707156565656566	14.1003193858976	7	3.91650715911173	0.583;0.707
0.896	0.606148484848485	14.1028134599848	4	3.91674542501241	0.896;0.606
0.271	1.86874949494949	14.1053799636558	7	3.91699056924037	0.271;1.869
