Feature	MIP_1a_CCL3_Bacillus.S.	MIP_1a_CCL3_Bacteroides.V.	MIP_1a_CCL3_Candida.A.	MIP_1a_CCL3_CD3_CD28	MIP_1a_CCL3_Clostridium.P.	MIP_1a_CCL3_PBS	MIP_1a_CCL3_Pseudomonas.A.	MIP_1a_CCL3_Staph.A.
1110019D14Rik	0.0500418615477737	0.0770262328773413	0.0390460408472059	0.0110472188668824	0.053127091466043	0.107994185654099	0.0339253947366649	0.0360507592646901
1110046J04Rik	0.0193899550475468	0.00346441214519517	0.00717704431792444	0.0146835739179465	0.0190075734402984	0.00743967208438297	0.0329596823941008	0.0575037592953126
1500012F01Rik	0.000112629762897193	0.000235988484230706	0.00310983500727662	0.00187965738111714	0.0011057181588451	0.00085789388376109	0.00145122582258461	0.00230027669467028
1700008O03Rik	0.019016796257856	0.107005486232002	0.0223366300372391	0.0875157373560239	0.165257458457815	0.0652961583340846	0.0433365049996632	0.0895063705267154
2410006H16Rik	0.000170968381390592	0.00105860732329748	0.00230519222156824	0.000680194956182535	0.00320332154956002	0.000406604709617658	0.00118884102237711	0.0012995574993158
2700060E02Rik	0.0100334148358679	0.0125020712202579	0.0343709288573314	0.00555911191600577	0.0136790689277179	0.00743237008195332	0.00301608150221235	0.00322612843085549
2810008D09Rik	0.00105177661499995	0.000777714111586793	0.00120486590514006	0.00269830882530807	0.000353196550667057	0.000744337195420438	0.00147556869479776	0.00281354859924874
2900055J20Rik	0.00695290625832918	0.0163417769811553	0.00393952581369354	0.00149360242775099	0.0212160849713535	0.00510112944577529	0.00506296406618418	0.0109645689263422
4930412O13Rik	0.0644424967690296	0.196329686654312	0.065430251603343	0.0732341967302137	0.0496630952988051	0.0170510469516163	0.113143392079437	0.223611585784385
5530601H04Rik	0.0464175300345196	0.0300342411360017	0.0196043569167111	0.040714345906896	0.0208699744540502	0.0395906829661573	0.030325494158886	0.0583861291810032
9430008C03Rik	0.000158277816969046	0.00257348243012331	0.00166253943580494	0.00426372911049294	0.00564318192030338	0.0016630260647091	0.00376406036377709	0.00138108866133419
A430035B10Rik	0.00707867737007188	0.00824290325452907	0.0277678734686609	0.0230183195832241	0.0199355666304004	0.0138937208244721	0.00582968783611784	0.00872710670656282
A430105I19Rik	0.0270622275346675	0.0805009732967916	0.106811977901689	0.482280741577177	0.162997147206705	0.103161791917825	0.0573964027528851	0.0467077408963907
A730020E08Rik	0.00693133072825226	0.0101204109978324	0.00361624407300745	0.00530396850023561	0.00974023612916415	0.0089468752504579	0.0070758949776766	0.00374883235134191
A930013F10Rik	0.000718054545286042	0.0118807480366209	0.00837018785106381	0.0159147820062525	0.00721496759890354	0.00656292104764902	0.00762095675375254	0.00198412507619847
Acap2	0.00328666693657213	0.00515869994028626	0.00160985274160674	0.00142202539328686	0.0021597406393503	0.00381032222303212	0.00882265203997386	0.00523841438416169
Adam11	0.0299057396593722	0.0688924842154834	0.030558433116004	0.0085942452067612	0.0580616512353721	0.0453158272749725	0.0205725951601163	0.00840894707036191
Aes	0.0682689687564805	0.0571745449570561	0.0834684644931141	0.135851961678085	0.115073622329966	0.0658900143931684	0.0352261407260384	0.0983892046394409
Akap13	0.0190193514652011	0.0163917190702205	0.0145189081883766	0.0739815723444446	0.0129495080775295	0.0265860966118528	0.0604254847461584	0.0423421047149101
Alas2	0.00159267741752877	0.00164518974239402	0.000369121189053545	0.000690417976826997	0.00258818658369964	0.00119367065099228	0.00346580317033704	0.00609064542266432
Anxa11	0.00206693042346141	0.000364381595372538	0.00283401142109719	0.000947506803437559	0.00423141212575253	0.000363271609180957	0.00202237351542815	0.00362678832234878
Ap2m1	0.048612666224451	0.0444846851740461	0.170821981956873	0.0558848244192477	0.0618166091294125	0.0834308779520184	0.0297130751342994	0.0654527977129139
Art2b	0.00724990261396624	0.00361928750302139	0.0184276669774734	0.00449907130305092	0.00894603280891015	0.0130006838190814	0.0085872969043214	0.00761959997667167
Beta-s	0.00511010230113417	0.00576934986315133	0.00204974455686866	0.00127200165114329	0.0152678314615011	0.00173781478890349	0.0102695839834025	0.0181234615153377
Blood_Effector_Memory_CD8_T_cells	0.00683488623745366	0.00878919033316989	0.00703967963279046	0.00254505090796039	0.00418862615715095	0.00122831829528223	0.00585326473265751	0.00219751856333977
Blood_Naive_CD8_T_cells	0.00121696323387995	0.00310173497962745	0.00267878491217904	0.00135571004916775	0.00164606699703345	0.00183644061647839	0.00116126680509599	0.00137763328586804
Bola2	0.0022570692394476	0.000853965143086498	0.0205539886166511	0.00626084287866634	0.00553591701704136	0.0134507726725806	0.00579225092520577	0.0030079523467341
C530008M17Rik	0.0736422196282253	0.0219058087149645	0.129846419709877	0.273102929639938	0.106238054422277	0.0780330529039879	0.040902841365175	0.234026883977915
Capn2	0.0194516273453521	0.0230844255649442	0.0481385999897529	0.0127656215354565	0.021926847685058	0.0163587753107156	0.0688209240223176	0.0552248503921142
Caskin1	0.00834069072751997	0.0259824983903057	0.0196604305065141	0.00324764314592173	0.0198971919580916	0.0220482482708584	0.0109128331526363	0.00328105614366294
Casp7	0.00711359282664377	0.00738336965404914	0.0286282974610924	0.00157132001069149	0.00227416625010494	0.00456731761447215	0.00349414309944535	0.00338543682135815
Ccl4	0.0029493167686857	0.00390197517043534	0.0189886117441289	0.0150371662802323	0.00315273573091051	0.0120010327789362	0.0140087839075268	0.00824366513488331
Ccni	0.112966052655861	0.0317369729164637	0.0752773215428205	0.0335253657998422	0.196547442345056	0.122174499885693	0.141266192514756	0.0754763457497786
Ccrl2	0.000440460842558688	0.000313183048972052	0.00283780197002759	0.000449055659221733	0.000221421847306465	0.00328177444442255	0.0009405327356969	0.00168533048263107
Cd300lf	0.00481039621078706	0.00148427390944659	0.00442565070824897	0.00329878092630298	0.00359889154471283	0.00129018189616657	0.00331343357832448	0.00106459137910454
Cd4	0.0106171976266152	0.0019348256477725	0.0077200650384006	0.0100789087670489	0.0119932548021055	0.00658266921231672	0.0112880467544961	0.0114383613347056
Cd83	0.00133601880312919	0.00293441921954254	0.00403398002802395	0.00403604852787918	0.00201170785177366	0.00269589714391377	0.00234126378603223	0.000846653882708136
Cdc73	0.0134407987231861	0.0183559572285656	0.0042150215238121	0.00328658851829924	0.00709779337684822	0.0122935956753431	0.0148669331294272	0.0149043142337171
