condition	cor	iteration
MIP_1a_CCL3_Bacillus.S.	0.869803919700481	1
MIP_1a_CCL3_Bacteroides.V.	0.586204762042952	1
MIP_1a_CCL3_Candida.A.	0.837685873227245	1
MIP_1a_CCL3_CD3_CD28	0.357188389546706	1
MIP_1a_CCL3_Clostridium.P.	0.880331240142914	1
MIP_1a_CCL3_PBS	0.849159050062697	1
MIP_1a_CCL3_Pseudomonas.A.	0.65777723828266	1
MIP_1a_CCL3_Staph.A.	0.700962985708246	1
MIP_1a_CCL3_Bacillus.S.	0.7720427089414	2
MIP_1a_CCL3_Bacteroides.V.	0.860937748720798	2
MIP_1a_CCL3_Candida.A.	0.704311232706504	2
MIP_1a_CCL3_CD3_CD28	0.873387679436045	2
MIP_1a_CCL3_Clostridium.P.	0.51678518261338	2
MIP_1a_CCL3_PBS	0.818176676790633	2
MIP_1a_CCL3_Pseudomonas.A.	0.743644307223432	2
MIP_1a_CCL3_Staph.A.	0.698152197122782	2
MIP_1a_CCL3_Bacillus.S.	0.614443366555203	3
MIP_1a_CCL3_Bacteroides.V.	0.532987492249776	3
MIP_1a_CCL3_Candida.A.	0.887545030940859	3
MIP_1a_CCL3_CD3_CD28	0.621989439949388	3
MIP_1a_CCL3_Clostridium.P.	0.630832740274058	3
MIP_1a_CCL3_PBS	0.68126117939783	3
MIP_1a_CCL3_Pseudomonas.A.	0.778488213042286	3
MIP_1a_CCL3_Staph.A.	0.671547469230332	3
MIP_1a_CCL3_Bacillus.S.	0.812976623803147	4
MIP_1a_CCL3_Bacteroides.V.	0.555795223800507	4
MIP_1a_CCL3_Candida.A.	0.776603901623153	4
MIP_1a_CCL3_CD3_CD28	0.94784285205695	4
MIP_1a_CCL3_Clostridium.P.	0.845253518622162	4
MIP_1a_CCL3_PBS	0.737018297066429	4
MIP_1a_CCL3_Pseudomonas.A.	0.846274465900638	4
MIP_1a_CCL3_Staph.A.	0.790828044847597	4
MIP_1a_CCL3_Bacillus.S.	0.325783598037704	5
MIP_1a_CCL3_Bacteroides.V.	0.700398547902251	5
MIP_1a_CCL3_Candida.A.	0.705762837384538	5
MIP_1a_CCL3_CD3_CD28	0.558166133282617	5
MIP_1a_CCL3_Clostridium.P.	0.269618168268871	5
MIP_1a_CCL3_PBS	0.355934000978318	5
MIP_1a_CCL3_Pseudomonas.A.	0.744377307402969	5
MIP_1a_CCL3_Staph.A.	0.752045652035684	5
MIP_1a_CCL3_Bacillus.S.	0.517159139395671	6
MIP_1a_CCL3_Bacteroides.V.	0.524775050032603	6
MIP_1a_CCL3_Candida.A.	0.692659156355696	6
MIP_1a_CCL3_CD3_CD28	0.705932008417138	6
MIP_1a_CCL3_Clostridium.P.	0.540224228469074	6
MIP_1a_CCL3_PBS	0.307110936024731	6
MIP_1a_CCL3_Pseudomonas.A.	0.633112696192558	6
MIP_1a_CCL3_Staph.A.	0.662599720467968	6
MIP_1a_CCL3_Bacillus.S.	0.79457862651075	7
MIP_1a_CCL3_Bacteroides.V.	0.694544088094513	7
MIP_1a_CCL3_Candida.A.	0.850334980713244	7
MIP_1a_CCL3_CD3_CD28	0.818441604292584	7
MIP_1a_CCL3_Clostridium.P.	0.584822365077727	7
MIP_1a_CCL3_PBS	0.495743729843814	7
MIP_1a_CCL3_Pseudomonas.A.	0.830897472091599	7
MIP_1a_CCL3_Staph.A.	0.836266431730523	7
MIP_1a_CCL3_Bacillus.S.	0.716846785293373	8
MIP_1a_CCL3_Bacteroides.V.	0.686931588742471	8
MIP_1a_CCL3_Candida.A.	0.798536925957763	8
MIP_1a_CCL3_CD3_CD28	0.167289025445442	8
MIP_1a_CCL3_Clostridium.P.	0.759734114142368	8
MIP_1a_CCL3_PBS	0.752676945725756	8
MIP_1a_CCL3_Pseudomonas.A.	0.62676658281837	8
MIP_1a_CCL3_Staph.A.	0.662554713964153	8
MIP_1a_CCL3_Bacillus.S.	0.552845341833785	9
MIP_1a_CCL3_Bacteroides.V.	0.571875380061038	9
MIP_1a_CCL3_Candida.A.	0.862237362284386	9
MIP_1a_CCL3_CD3_CD28	0.697152316473391	9
MIP_1a_CCL3_Clostridium.P.	0.695115258790982	9
MIP_1a_CCL3_PBS	0.599993916648316	9
MIP_1a_CCL3_Pseudomonas.A.	0.760342457549616	9
MIP_1a_CCL3_Staph.A.	0.941147671588377	9
MIP_1a_CCL3_Bacillus.S.	0.655783379019718	10
MIP_1a_CCL3_Bacteroides.V.	0.650808500301942	10
MIP_1a_CCL3_Candida.A.	0.817857866216637	10
MIP_1a_CCL3_CD3_CD28	0.477396073812487	10
MIP_1a_CCL3_Clostridium.P.	0.721773836080407	10
MIP_1a_CCL3_PBS	0.523052824359698	10
MIP_1a_CCL3_Pseudomonas.A.	0.484804824585134	10
MIP_1a_CCL3_Staph.A.	0.821822837057686	10
