alpha	lambda	MSE	num	Log2_MSE	combo
0.323	0.505140404040404	15.5827554482883	8	4.05161184486278	0.323;0.505
0.323	0.555644444444444	15.592015425349	8	4.0524172354038	0.323;0.556
0.323	0.454636363636364	15.5955440852339	8	4.05272402386377	0.323;0.455
0.323	0.606148484848485	15.6096876729377	8	4.05395304013585	0.323;0.606
0.323	0.404132323232323	15.6133643901639	8	4.05427235948801	0.323;0.404
0.323	0.656652525252525	15.6324181979899	8	4.055926033123	0.323;0.657
0.323	0.353628282828283	15.6358385992526	8	4.05622268803864	0.323;0.354
0.323	0.707156565656566	15.6749937117785	8	4.05961431224999	0.323;0.707
0.323	0.303124242424242	15.6804132668501	8	4.06008312771366	0.323;0.303
0.323	0.757660606060606	15.7083468659934	8	4.06249709422216	0.323;0.758
0.323	0.252620202020202	15.73440151435	8	4.06474505058949	0.323;0.253
0.218	0.606148484848485	15.7346900715426	8	4.06476992727488	0.218;0.606
0.218	0.555644444444444	15.734771626179	8	4.06477695807033	0.218;0.556
0.218	0.505140404040404	15.7386957389904	8	4.06511521392276	0.218;0.505
0.323	0.808164646464646	15.7418388777983	8	4.0653860931567	0.323;0.808
0.218	0.656652525252525	15.7428164821295	8	4.06547033382789	0.218;0.657
0.218	0.707156565656566	15.7522715307858	8	4.06628482651796	0.218;0.707
0.218	0.454636363636364	15.7524190552104	8	4.06629753117227	0.218;0.455
0.218	0.757660606060606	15.7530072199586	8	4.06634818221361	0.218;0.758
0.218	0.808164646464646	15.7568127296777	8	4.06667585869958	0.218;0.808
0.218	0.858668686868687	15.763175830397	8	4.06722359241651	0.218;0.859
0.218	0.404132323232323	15.766603472565	8	4.06751855662312	0.218;0.404
0.218	0.909172727272727	15.7710655172504	8	4.06790244554395	0.218;0.909
0.271	0.858668686868687	15.7712965426138	9	4.06792231886983	0.271;0.859
0.271	0.909172727272727	15.7724082291911	9	4.06801794484338	0.271;0.909
0.271	0.959676767676768	15.7760651715586	9	4.06833246601854	0.271;0.96
0.271	0.808164646464646	15.7765456651132	9	4.06837378653883	0.271;0.808
0.271	1.01018080808081	15.7814422141038	9	4.06879480266303	0.271;1.01
0.218	0.353628282828283	15.7820257824922	8	4.06884497097222	0.218;0.354
0.323	0.858668686868687	15.7822855867422	8	4.06886730530818	0.323;0.859
0.218	0.959676767676768	15.7855233851715	8	4.06914561693439	0.218;0.96
0.271	0.757660606060606	15.7861840107319	9	4.06920239576955	0.271;0.758
0.271	0.707156565656566	15.7961995431709	9	4.07006292786292	0.271;0.707
0.271	1.06068484848485	15.7974163818664	9	4.07016744338493	0.271;1.061
0.323	0.202116161616162	15.798329255544	8	4.07024584606973	0.323;0.202
0.218	1.01018080808081	15.8014841084271	8	4.07051676963548	0.218;1.01
0.218	0.303124242424242	15.804255032714	8	4.07075468130407	0.218;0.303
0.218	1.06068484848485	15.8120966381444	8	4.07142774931472	0.218;1.061
0.271	0.656652525252525	15.8128538906116	9	4.07149272989384	0.271;0.657
0.271	1.11118888888889	15.8139526763169	9	4.07158701257189	0.271;1.111
0.114	1.51522121212121	15.8256881717166	9	4.07259360724862	0.114;1.515
0.114	1.56572525252525	15.8258602867848	9	4.07260836493833	0.114;1.566
0.375	0.757660606060606	15.8265053995907	6	4.07266367760519	0.375;0.758
0.323	0.909172727272727	15.8269615070515	8	4.07270278347049	0.323;0.909
0.271	0.606148484848485	15.8270221977781	9	4.07270798690857	0.271;0.606
0.218	1.11118888888889	15.8272745294232	8	4.07272962085422	0.218;1.111
0.114	1.46471717171717	15.8275562575366	9	4.0727537747568	0.114;1.465
0.114	1.41421313131313	15.8289086207938	9	4.07286971371669	0.114;1.414
0.114	1.61622929292929	15.8296205277094	9	4.07293074220502	0.114;1.616
0.114	1.36370909090909	15.8311246195282	9	4.07305967255401	0.114;1.364
0.375	0.808164646464646	15.8318493737912	6	4.07312179418245	0.375;0.808
0.271	1.16169292929293	15.8334035450314	9	4.07325499948751	0.271;1.162
0.375	0.707156565656566	15.8340330464264	6	4.07330894945417	0.375;0.707
0.218	0.252620202020202	15.8343092860157	8	4.07333262329482	0.218;0.253
0.114	1.66673333333333	15.8354273211418	9	4.07342843537386	0.114;1.667
0.114	1.31320505050505	15.8370167828199	9	4.07356463626711	0.114;1.313
0.375	0.656652525252525	15.8395918354996	6	4.07378526511845	0.375;0.657
0.114	1.26270101010101	15.8421025433839	9	4.07400034846787	0.114;1.263
0.114	1.71723737373737	15.8448667953327	9	4.07423711494853	0.114;1.717
0.375	0.606148484848485	15.8475510921175	6	4.07446699584819	0.375;0.606
0.114	1.21219696969697	15.84848604316	9	4.07454705566219	0.114;1.212
0.271	0.555644444444444	15.849897361583	9	4.0746678983784	0.271;0.556
0.218	1.16169292929293	15.8517514593957	8	4.07482663825114	0.218;1.162
0.323	0.555644444444444	15.8532203852011	6	4.07495238895557	0.323;0.556
0.375	0.858668686868687	15.8533698197044	6	4.07496518101882	0.375;0.859
0.114	1.16169292929293	15.8555788410794	9	4.07515426696271	0.114;1.162
0.114	1.76774141414141	15.8556015648955	9	4.07515621192794	0.114;1.768
0.375	0.555644444444444	15.85562173884	4	4.07515793864366	0.375;0.556
0.271	1.21219696969697	15.8595782685495	9	4.07549654353498	0.271;1.212
0.375	0.555644444444444	15.8597422519909	6	4.07551057573338	0.375;0.556
0.427	0.353628282828283	15.8599160979894	3	4.07552545172988	0.427;0.354
0.323	0.606148484848485	15.8600457624906	6	4.07553654701722	0.323;0.606
0.375	0.606148484848485	15.8617457171721	4	4.07568200288319	0.375;0.606
0.114	1.11118888888889	15.8619658646991	9	4.07570083863587	0.114;1.111
0.427	0.303124242424242	15.8622951426872	3	4.07572901109725	0.427;0.303
