Feature	MIP_1b_CCL4_Bacillus.S.	MIP_1b_CCL4_Bacteroides.V.	MIP_1b_CCL4_Candida.A.	MIP_1b_CCL4_CD3_CD28	MIP_1b_CCL4_Clostridium.P.	MIP_1b_CCL4_PBS	MIP_1b_CCL4_Pseudomonas.A.	MIP_1b_CCL4_Staph.A.
1110038F14Rik	0.137366319813205	0.0555120544189638	0.0416709068338618	0.0458123220344053	0.0476956023475515	0.0144502650648727	0.0380022672360137	0.0998495947284455
1500012F01Rik	0.0132822020614993	0.0116429581733827	0.0200117611401818	0.00391629790451268	0.00888921696536289	0.0118176394019454	0.00668426118244741	0.00469113107714864
1700021F05Rik	0.00346981057145133	0.0117707276826828	0.00351915943797445	0.0235741831048176	0.0116750705413892	0.0122174998481405	0.00668077873927156	0.00835594642716056
2310050B05Rik	0.0165155385239202	0.0927442138241193	0.172818088024947	0.0819752819041783	0.0943818921231995	0.313943549935867	0.0932390396409234	0.0484984277424106
2410006H16Rik	0.00360300618799473	0.0231547039739999	0.0332979105533435	0.00758543733975104	0.00866888292058858	0.00646334049263633	0.0358375227031233	0.00480840039774862
2610019E17Rik	0.0100420001973397	0.00896496583644811	0.00482988809197356	0.00261799642628154	0.00984061154043291	0.00207411973392924	0.00362196698414485	0.00426186756271453
2700060E02Rik	0.0119699347136909	0.0669052916617974	0.0181427130818716	0.0173557711289807	0.00445288561845016	0.00826024299956479	0.0140408263400188	0.00801732778626345
4933439C10Rik	0.010822355239676	0.00542487637578462	0.00373049703398215	0.00335554280021722	0.00476833529337641	0.0212566197165565	0.00996934793898631	0.0185885952502502
5330426P16Rik	0.0269853492297826	0.0716848985721706	0.0604039154871194	0.0216018143026567	0.118177478782799	0.0631627484373825	0.0470265546745284	0.0772782993049323
5730408K05Rik	0.00174394194328027	0.00820298177768889	0.00234275071065821	0.0047203453327466	0.00282112211658944	0.00166894369738772	0.00236616780572535	0.0074543974667665
9030404E10Rik	0.0169727662440549	0.041734272061748	0.0175255934261667	0.0732096474039807	0.0123626154267722	0.0578271900001504	0.012454382777367	0.0318399452575175
9430008C03Rik	0.00519017224056442	0.0178870976710833	0.0201068561036087	0.00780307879450054	0.0102360326906898	0.0124269597767524	0.0284016734644595	0.00772752988505166
A230050P20Rik	0.00964660634089781	0.0112337408353251	0.00410859606822413	0.0175517922008813	0.00374015781808074	0.0149846732031902	0.00280326904327777	0.0234365561333519
A430035B10Rik	0.0169007651637465	0.0125925939120936	0.053509563996536	0.0137241721432641	0.0598924782238692	0.0141797095184437	0.0449502536568873	0.0177895976277835
A930013F10Rik	0.0155179218246527	0.0253200597876483	0.0144192187278091	0.0173896686131827	0.0259682707314956	0.00744202213368307	0.0212738839326715	0.0163736395012595
Abca7	0.0126565494624211	0.0040543720361755	0.00968717547530443	0.00990514971872513	0.00990877370073648	0.00358102310469271	0.0119454546338934	0.00228192486562366
Abhd11	0.0346369254585375	0.00823492597800315	0.0138303730204464	0.0100102373095927	0.0253971806625607	0.00504291050388527	0.00411594043363302	0.0185019647662133
Add3	0.0144312355684902	0.0201971311037088	0.0226748507177626	0.0420924262182977	0.0197845984380847	0.00859962209291911	0.00748132994141121	0.0100432430864486
Aes	0.0916882140850958	0.0845046820670043	0.0230141356899354	0.0778467720287825	0.0663887865365681	0.0261975359770067	0.0717113676773302	0.0946017598171453
Arf4	0.00320899772943913	0.00632037222362638	0.0159032254623198	0.00727071939351658	0.0391892192083383	0.00548907580648796	0.0230553265273454	0.0181376440339461
Arhgdib	0.012997270381552	0.0472396597230167	0.0430851546639583	0.0142143141435507	0.0152845330099694	0.00686486296406115	0.00614446442709988	0.00645395540425388
Arrdc1	0.0156392056415574	0.0142016312675501	0.00562965126260865	0.0168503848937547	0.0103435545420664	0.011592485643571	0.0221404541515691	0.0133424468567964
Atf3	0.00420315637734073	0.00498702636303444	0.00216715425507646	0.0027584618892175	0.00488452161175244	0.00134694367681891	0.00521579252857692	0.00188629056497024
Atf4	0.00171443609797951	0.00111174320503842	0.00353678648751897	0.00162220194310524	0.00179540514429066	0.000249745194349637	0.00109853391124291	0.00307662238189216
Atp5e	0.00455762281059372	0.00301023577435643	0.00408760684374159	0.00273743169569806	0.00128352437572117	0.00201931595826413	0.00610902680592752	0.00202074451517131
Bambi	0.00369910250754376	0.00667759374035827	0.0108311507330029	0.0152964474798612	0.00320493404493139	0.00837431907982146	0.00583888004549641	0.00565049481046852
Bbc3	0.0182735094552104	0.0191525485648508	0.0272166665901363	0.00642741132119581	0.00326740210597363	0.00458449903524753	0.00378545083724884	0.0288673905207004
BC051226	0.0549333347565088	0.0115689365606537	0.0405573763836659	0.0116887569158483	0.0849409879601959	0.0125170267719688	0.0751612404402033	0.0404312238859341
Blood_CD8_T_cells	0.00793082232319531	0.00712276854267348	0.00311001291006782	0.00570468413534288	0.00143716644563932	0.00368300843360462	0.00283241504500242	0.004374631138843
Blood_Treg_cells	0.0395560175309153	0.0518597605786453	0.031192221563259	0.0539418741838153	0.0352616858342296	0.0216391626498169	0.0372790677439077	0.0584999462958191
Bola2	0.0273433618989789	0.0736712102454056	0.0163114678284744	0.0284891811593831	0.0104800804509513	0.0147122946572308	0.015164218491827	0.042551848042176
Btg1	0.00523951288137976	0.0104712295066861	0.00454461925591218	0.00819632375985403	0.00804025074869561	0.0152121416191881	0.0194085712960571	0.00660065356368367
Btg2	0.00450316530900588	0.00381611048169308	0.00194654683880057	0.00457381258118949	0.000642635057503169	0.0107421585954351	0.00150773618796181	0.00138669087041156
