condition	cor	iteration
MIP_1b_CCL4_Bacillus.S.	0.820367493484781	1
MIP_1b_CCL4_Bacteroides.V.	0.272014774220412	1
MIP_1b_CCL4_Candida.A.	0.512074064564528	1
MIP_1b_CCL4_CD3_CD28	0.894197003049474	1
MIP_1b_CCL4_Clostridium.P.	0.55756666452889	1
MIP_1b_CCL4_PBS	0.0198077335291008	1
MIP_1b_CCL4_Pseudomonas.A.	0.663314481131646	1
MIP_1b_CCL4_Staph.A.	0.462998789894995	1
MIP_1b_CCL4_Bacillus.S.	0.444843439707754	2
MIP_1b_CCL4_Bacteroides.V.	0.0905798792419702	2
MIP_1b_CCL4_Candida.A.	0.594311601512453	2
MIP_1b_CCL4_CD3_CD28	0.868601926562129	2
MIP_1b_CCL4_Clostridium.P.	0.475324868001957	2
MIP_1b_CCL4_PBS	0.490866460645277	2
MIP_1b_CCL4_Pseudomonas.A.	0.475714393754838	2
MIP_1b_CCL4_Staph.A.	0.364594954304891	2
MIP_1b_CCL4_Bacillus.S.	0.170050021059433	3
MIP_1b_CCL4_Bacteroides.V.	0.223010489514926	3
MIP_1b_CCL4_Candida.A.	0.820420511544606	3
MIP_1b_CCL4_CD3_CD28	0.675007695555086	3
MIP_1b_CCL4_Clostridium.P.	0.374707982614516	3
MIP_1b_CCL4_PBS	0.788103071793123	3
MIP_1b_CCL4_Pseudomonas.A.	0.434283599516184	3
MIP_1b_CCL4_Staph.A.	0.540725976747716	3
MIP_1b_CCL4_Bacillus.S.	0.787487296396311	4
MIP_1b_CCL4_Bacteroides.V.	0.580750533957949	4
MIP_1b_CCL4_Candida.A.	0.401274391715461	4
MIP_1b_CCL4_CD3_CD28	0.54806740857116	4
MIP_1b_CCL4_Clostridium.P.	0.767522867707769	4
MIP_1b_CCL4_PBS	0.583243834479416	4
MIP_1b_CCL4_Pseudomonas.A.	0.699417910036676	4
MIP_1b_CCL4_Staph.A.	0.613184736560739	4
MIP_1b_CCL4_Bacillus.S.	0.445123210519899	5
MIP_1b_CCL4_Bacteroides.V.	0.471103380659547	5
MIP_1b_CCL4_Candida.A.	0.696399121555048	5
MIP_1b_CCL4_CD3_CD28	0.855422526043195	5
MIP_1b_CCL4_Clostridium.P.	0.652570794970975	5
MIP_1b_CCL4_PBS	0.74740395960847	5
MIP_1b_CCL4_Pseudomonas.A.	0.763194551894621	5
MIP_1b_CCL4_Staph.A.	0.562160396823542	5
MIP_1b_CCL4_Bacillus.S.	0.671343161524946	6
MIP_1b_CCL4_Bacteroides.V.	0.716768035995302	6
MIP_1b_CCL4_Candida.A.	0.801592303142905	6
MIP_1b_CCL4_CD3_CD28	0.759834123365763	6
MIP_1b_CCL4_Clostridium.P.	0.860904381569926	6
MIP_1b_CCL4_PBS	0.720178146700301	6
MIP_1b_CCL4_Pseudomonas.A.	0.811239053130207	6
MIP_1b_CCL4_Staph.A.	0.677024169631866	6
MIP_1b_CCL4_Bacillus.S.	0.0256384534069776	7
MIP_1b_CCL4_Bacteroides.V.	0.589977314049065	7
MIP_1b_CCL4_Candida.A.	0.640461408073714	7
MIP_1b_CCL4_CD3_CD28	0.853562261153041	7
MIP_1b_CCL4_Clostridium.P.	0.547731292947817	7
MIP_1b_CCL4_PBS	0.582536306508927	7
MIP_1b_CCL4_Pseudomonas.A.	0.777478175026979	7
MIP_1b_CCL4_Staph.A.	0.479397666227298	7
MIP_1b_CCL4_Bacillus.S.	0.732977544819081	8
MIP_1b_CCL4_Bacteroides.V.	0.754986797695133	8
MIP_1b_CCL4_Candida.A.	0.636795652723196	8
MIP_1b_CCL4_CD3_CD28	0.602131145333098	8
MIP_1b_CCL4_Clostridium.P.	0.673964242926021	8
MIP_1b_CCL4_PBS	0.706874551106668	8
MIP_1b_CCL4_Pseudomonas.A.	0.682737000935016	8
MIP_1b_CCL4_Staph.A.	0.710719729389026	8
MIP_1b_CCL4_Bacillus.S.	0.804577397102966	9
MIP_1b_CCL4_Bacteroides.V.	0.394427065959858	9
MIP_1b_CCL4_Candida.A.	0.696163394233601	9
MIP_1b_CCL4_CD3_CD28	0.823573238882895	9
MIP_1b_CCL4_Clostridium.P.	0.952428359450921	9
MIP_1b_CCL4_PBS	0.492747169580535	9
MIP_1b_CCL4_Pseudomonas.A.	0.822629953881805	9
MIP_1b_CCL4_Staph.A.	0.8115965671368	9
MIP_1b_CCL4_Bacillus.S.	0.554610355228596	10
MIP_1b_CCL4_Bacteroides.V.	-0.00861960804619561	10
MIP_1b_CCL4_Candida.A.	0.693103188692623	10
MIP_1b_CCL4_CD3_CD28	0.407625100718137	10
MIP_1b_CCL4_Clostridium.P.	0.68039618524656	10
MIP_1b_CCL4_PBS	0.30046884376829	10
MIP_1b_CCL4_Pseudomonas.A.	0.821107241513521	10
MIP_1b_CCL4_Staph.A.	0.907771988486936	10
