alpha	lambda	MSE	num	Log2_MSE	combo
0.062	3.28286262626263	22.9685493016219	9	4.58307068728318	0.062;3.283
0.062	3.23235858585859	22.9688643275899	9	4.58308964894037	0.062;3.232
0.062	3.33336666666667	22.9693779835326	9	4.58312056575524	0.062;3.333
0.062	3.18185454545455	22.9700711403224	9	4.58316228562819	0.062;3.182
0.062	3.38387070707071	22.9704184386887	9	4.58318318844479	0.062;3.384
0.062	3.13135050505051	22.972119489718	9	4.58328556508113	0.062;3.131
0.062	3.43437474747475	22.9724045692309	9	4.58330272169317	0.062;3.434
0.062	3.48487878787879	22.9744451318727	9	4.58342552056835	0.062;3.485
0.062	3.08084646464647	22.9747542557569	9	4.58344412240114	0.062;3.081
0.062	3.53538282828283	22.9764660780018	9	4.58354712864154	0.062;3.535
0.062	3.03034242424242	22.9770581016949	9	4.58358275103471	0.062;3.03
0.062	3.58588686868687	22.979213677216	9	4.58371244577542	0.062;3.586
0.062	2.97983838383838	22.9802980691981	9	4.58377768609493	0.062;2.98
0.062	3.63639090909091	22.9816804022525	9	4.58386084717822	0.062;3.636
0.062	3.68689494949495	22.9836483134035	9	4.58397922833961	0.062;3.687
0.062	2.92933434343434	22.9850626851615	9	4.58406430492722	0.062;2.929
0.062	3.73739898989899	22.9853427456788	9	4.58408115039333	0.062;3.737
0.062	3.78790303030303	22.9882518320395	9	4.58425611849852	0.062;3.788
0.062	2.8788303030303	22.9894486986561	9	4.58432809833555	0.062;2.879
0.062	3.83840707070707	22.9919603771171	9	4.58447913958812	0.062;3.838
0.062	2.82832626262626	22.9936211712013	9	4.58457900372701	0.062;2.828
0.062	3.88891111111111	22.9953509135923	9	4.58468300640355	0.062;3.889
0.062	2.77782222222222	22.9979732533247	9	4.5848406631859	0.062;2.778
0.062	3.93941515151515	22.9986288244065	9	4.58488007385698	0.062;3.939
0.062	3.98991919191919	23.0028807752402	9	4.58513566033536	0.062;3.99
0.062	2.72731818181818	23.0034272071492	9	4.58516850329448	0.062;2.727
0.062	4.04042323232323	23.00792624787	9	4.58543888699703	0.062;4.04
0.062	2.67681414141414	23.0093344897293	9	4.5855235092148	0.062;2.677
0.062	4.09092727272727	23.0130885161234	9	4.58574906698278	0.062;4.091
0.062	2.6263101010101	23.0145547391916	9	4.58583715428445	0.062;2.626
0.062	4.14143131313131	23.0182151209218	9	4.58605703810941	0.062;4.141
0.062	2.57580606060606	23.0207172756465	9	4.58620732647079	0.062;2.576
0.062	4.19193535353535	23.0234519195576	9	4.58637156106073	0.062;4.192
0.062	2.52530202020202	23.0267748178734	9	4.58657109930455	0.062;2.525
0.062	4.24243939393939	23.0302777849924	9	4.5867814207049	0.062;4.242
0.062	2.47479797979798	23.0333973252848	9	4.58696869499492	0.062;2.475
0.062	4.29294343434343	23.0378652473849	9	4.58723687389143	0.062;4.293
0.062	2.42429393939394	23.0381721570299	9	4.58725529375492	0.062;2.424
0.062	2.3737898989899	23.0422026664229	9	4.58749717189952	0.062;2.374
0.062	2.32328585858586	23.0461021005048	9	4.58773114538858	0.062;2.323
0.062	4.34344747474747	23.0464192295391	9	4.58775017206768	0.062;4.343
0.062	2.27278181818182	23.0510654499617	9	4.58802890095456	0.062;2.273
0.062	4.39395151515151	23.0551368652564	9	4.58827310275751	0.062;4.394
0.062	2.22227777777778	23.055655467757	9	4.58830420535298	0.062;2.222
0.062	2.17177373737374	23.0607078460623	9	4.58860718091682	0.062;2.172
0.062	4.44445555555556	23.0638452084352	9	4.58879528685676	0.062;4.444
0.062	2.1212696969697	23.0658859860014	9	4.58891763201029	0.062;2.121
0.062	2.07076565656566	23.0722867565396	9	4.58930129260401	0.062;2.071
0.062	4.4949595959596	23.073022087886	9	4.58934536164884	0.062;4.495
0.114	1.36370909090909	23.0731444555793	9	4.58935269512011	0.114;1.364
0.114	1.46471717171717	23.0731952226354	9	4.58935573756863	0.114;1.465
0.114	1.41421313131313	23.0737415272387	9	4.58938847696994	0.114;1.414
0.114	1.51522121212121	23.0739559400549	9	4.58940132627833	0.114;1.515
0.114	1.56572525252525	23.0739800061257	9	4.58940276850012	0.114;1.566
0.114	1.31320505050505	23.0766649954659	9	4.58956366440545	0.114;1.313
0.062	2.02026161616162	23.0768745217147	9	4.58957621934879	0.062;2.02
0.114	1.26270101010101	23.0823208627687	9	4.58990252917188	0.114;1.263
0.114	1.61622929292929	23.0823998947876	9	4.58990726372032	0.114;1.616
0.062	1.96975757575758	23.0828280186523	9	4.58993291094357	0.062;1.97
0.062	4.54546363636364	23.0833047948195	9	4.58996147219904	0.062;4.545
0.062	1.91925353535354	23.0874914865649	9	4.59021225150518	0.062;1.919
0.114	1.21219696969697	23.0888398683883	9	4.59029300916006	0.114;1.212
0.114	1.66673333333333	23.0919062498629	9	4.59047664489463	0.114;1.667
0.062	1.86874949494949	23.0931190882684	9	4.59054927143954	0.062;1.869
0.062	4.59596767676768	23.094473093232	9	4.59063034692634	0.062;4.596
0.114	1.16169292929293	23.0957079971034	9	4.59070428687225	0.114;1.162
0.062	1.81824545454545	23.0993530000121	9	4.59092250954991	0.062;1.818
0.114	1.11118888888889	23.1052781522886	9	4.59127717206447	0.114;1.111
0.062	1.76774141414141	23.1056589563975	9	4.59129996291785	0.062;1.768
0.062	4.64647171717172	23.1058103150267	9	4.59130902152349	0.062;4.646
0.114	1.71723737373737	23.1068602028692	9	4.59137185430034	0.114;1.717
0.062	1.71723737373737	23.1119883236261	9	4.59167871830224	0.062;1.717
0.114	1.06068484848485	23.1141480623731	9	4.59180793638254	0.114;1.061
0.062	4.69697575757576	23.1171873050236	9	4.59198975595159	0.062;4.697
0.114	1.76774141414141	23.1181687263981	9	4.59204846358295	0.114;1.768
0.062	1.66673333333333	23.1181988215934	9	4.59205026380927	0.062;1.667
0.062	1.61622929292929	23.1256380670418	9	4.59249519370264	0.062;1.616
0.114	1.01018080808081	23.1284119045133	9	4.59266105756572	0.114;1.01
0.062	4.7474797979798	23.1290391356619	9	4.59269856071801	0.062;4.747
0.114	1.81824545454545	23.1308330412137	9	4.59280581581537	0.114;1.818
0.062	1.56572525252525	23.1322358055397	9	4.59288967957231	0.062;1.566
0.114	0.959676767676768	23.1382466343541	9	4.59324897960531	0.114;0.96
0.062	1.51522121212121	23.1409879099713	9	4.59341281089967	0.062;1.515
0.062	4.79798383838384	23.1413282707134	9	4.5934331511316	0.062;4.798
0.114	1.86874949494949	23.1419895644547	9	4.59347266975807	0.114;1.869
0.062	1.46471717171717	23.1495024592496	9	4.59392156109261	0.062;1.465
0.114	1.91925353535354	23.1529560739473	9	4.5941278658215	0.114;1.919
0.114	0.909172727272727	23.1532953361341	9	4.59414813035705	0.114;0.909
0.062	4.84848787878788	23.1533156742293	9	4.59414934516671	0.062;4.848
0.062	1.41421313131313	23.1597083833411	9	4.59453113579015	0.062;1.414
0.114	0.858668686868687	23.1629085504115	9	4.59472222085391	0.114;0.859
0.062	4.89899191919192	23.1655620178943	9	4.59488064276702	0.062;4.899
0.114	1.96975757575758	23.1670081216877	9	4.59496697323801	0.114;1.97
0.062	1.36370909090909	23.1706735455196	9	4.59518577102113	0.062;1.364
0.062	4.94949595959596	23.1778709000725	9	4.59561530154441	0.062;4.949
0.114	0.808164646464646	23.1788541655949	9	4.5956739718655	0.114;0.808
0.062	1.31320505050505	23.1817310928879	9	4.59584562110098	0.062;1.313
0.114	2.02026161616162	23.1856706076591	9	4.59608063552129	0.114;2.02
0.062	5	23.1896624452741	9	4.59631873225287	0.062;5
0.114	0.757660606060606	23.1916355681368	9	4.59643640642399	0.114;0.758
0.062	1.26270101010101	23.1945852201034	9	4.59661230147016	0.062;1.263
0.114	2.07076565656566	23.2064130064359	9	4.59731740630897	0.114;2.071
0.114	0.707156565656566	23.2066067282264	9	4.59732895202406	0.114;0.707
0.062	1.21219696969697	23.2087300964047	9	4.59745549757527	0.062;1.212
0.114	0.656652525252525	23.2190120412101	9	4.59806810970005	0.114;0.657
0.062	1.16169292929293	23.222202247177	9	4.59825813360436	0.062;1.162
0.01	4.64647171717172	23.2240475740577	10	4.59836803866206	0.01;4.646
0.01	4.59596767676768	23.224106626302	10	4.59837155559192	0.01;4.596
0.114	2.1212696969697	23.2245985994432	9	4.598400855331	0.114;2.121
0.01	4.54546363636364	23.2253543122972	10	4.59844586107905	0.01;4.545
0.01	4.69697575757576	23.2254209081179	10	4.59844982706142	0.01;4.697
0.01	4.4949595959596	23.2272321928074	10	4.59855769035778	0.01;4.495
0.01	4.7474797979798	23.2285395996926	10	4.59863554236015	0.01;4.747
0.01	4.44445555555556	23.2295370634542	10	4.59869493539106	0.01;4.444
0.01	5	23.2296177638319	10	4.59869974051138	0.01;5
0.01	4.39395151515151	23.2319754310828	10	4.59884011537854	0.01;4.394
0.01	4.79798383838384	23.2323300016516	10	4.59886122523235	0.01;4.798
0.01	4.94949595959596	23.2343010491833	10	4.59897856866799	0.01;4.949
0.01	4.34344747474747	23.2343653600478	10	4.59898239716059	0.01;4.343
0.114	0.606148484848485	23.235049225593	9	4.59902310775878	0.114;0.606
0.01	4.84848787878788	23.2357467344579	10	4.59906462936207	0.01;4.848
0.01	4.29294343434343	23.2363872790099	10	4.59910275891702	0.01;4.293
0.062	1.11118888888889	23.2364843229152	9	4.59910853554036	0.062;1.111
0.01	4.89899191919192	23.2372367189448	10	4.59915332178732	0.01;4.899
0.01	4.24243939393939	23.2380465833968	10	4.59920152727883	0.01;4.242
0.01	4.19193535353535	23.2393203331528	10	4.59927734131634	0.01;4.192
0.01	4.14143131313131	23.2403019128829	10	4.59933576257226	0.01;4.141
0.01	4.09092727272727	23.2409600913501	10	4.59937493444078	0.01;4.091
0.01	4.04042323232323	23.2414136488755	10	4.59940192755775	0.01;4.04
0.01	3.98991919191919	23.2418012746742	10	4.59942499639997	0.01;3.99
0.01	3.93941515151515	23.2422498611077	10	4.59945169274269	0.01;3.939
0.01	3.88891111111111	23.242826117434	10	4.59948598627024	0.01;3.889
0.01	3.83840707070707	23.2435901376038	10	4.59953145253462	0.01;3.838
0.114	2.17177373737374	23.2437624664386	9	4.59954170749564	0.114;2.172
0.01	3.78790303030303	23.2445299884631	10	4.59958738038543	0.01;3.788
0.01	3.73739898989899	23.2456349689098	10	4.59965313185533	0.01;3.737
0.062	2.02026161616162	23.2458764853665	2	4.59966750280744	0.062;2.02
0.062	1.96975757575758	23.245942544762	2	4.59967143351428	0.062;1.97
0.062	2.07076565656566	23.2463151586787	2	4.59969360481647	0.062;2.071
0.062	1.91925353535354	23.2466442418665	2	4.59971318566652	0.062;1.919
0.01	3.68689494949495	23.2468626281228	10	4.59972617976776	0.01;3.687
