Feature	TNF_a_Bacillus.S.	TNF_a_Bacteroides.V.	TNF_a_Candida.A.	TNF_a_CD3_CD28	TNF_a_Clostridium.P.	TNF_a_PBS	TNF_a_Pseudomonas.A.	TNF_a_Staph.A.
0610039K10Rik	0.0418126862395593	0.0237368819602534	0.0239768807959088	0.0256422720167818	0.0229259249382043	0.00433485183296542	0.00762468772423024	0.0367478412842704
1700001O22Rik	0.0109993513217678	0.0214638473388887	0.00549098723768729	0.0389097688399366	0.00912251087680897	0.0593284779221088	0.0206478673708378	0.0179829310756643
1810044D09Rik	0.00201666252649813	0.00511285174456505	0.0045696640780379	0.00845157219085495	0.000674229070639445	0.00039263571640823	0.00176858060211045	0.00138915433719892
2700054A10Rik	0.000602275942063462	0.000341191804075237	0.000389718516897142	0.00567790575779814	0.00129105884384362	0.000353501708296592	0.00344188719604115	0.00106978929015488
5530601H04Rik	0.0266832488741573	0.0183597458686873	0.0179021586657153	0.0107192470965289	0.0236427319594718	0.0057282107549882	0.0147078458143853	0.044940216735014
5730409E04Rik	0.00195139499897706	0.0122577148661788	0.00256584300005654	0.0128488157248247	0.0172322868229425	0.00288196822916866	0.0035299360906888	0.0113481194908733
9030612E09Rik	0.0484223420002672	0.0434099317895789	0.0059097912966091	0.00598072174333351	0.0577433365934531	0.0555522172789051	0.0253221061978437	0.0517611959286478
9430008C03Rik	0.00376601110534275	0.00979049506229475	0.000462889613683882	0.0133486430873324	0.0107311370707816	0.0015898084116407	0.00616381150367306	0.00558707458264917
A430035B10Rik	0.00584888589348335	0.0153956928489648	0.00308651933608285	0.00825156137512603	0.0177794165610599	0.00371772197056927	0.0179366459181708	0.011699788031199
Adam11	0.00919548426989452	0.0108963619905318	0.00791490244141682	0.00181769339923919	0.0122013263494303	0.00499784133419411	0.00300196720364635	0.00253359043563618
Aes	0.0988086320456512	0.0890368761527833	0.0862093921497739	0.103866784200753	0.122852221697883	0.0212249236115295	0.152838204704299	0.155301814253583
Akap5	0.00422988874238815	0.0312788848020803	0.0029823361444353	0.0278136908121539	0.0334342008487221	0.0317447194188649	0.0141953881408122	0.020085497774095
Alas2	0.0103962194291845	0.0201710992792254	0.00200159762615865	0.00848007479321369	0.0271133499338644	0.00122075211047604	0.0325932774444368	0.0394759439651667
Alg11	0.00240883866244213	0.0105434056264906	0.00173645932747105	0.00193777804462473	0.0209194573056339	0.0100349830906537	0.0261299288632752	0.00778803030265805
Ap2m1	0.00345931647406486	0.00609897698013672	0.00739277896741117	0.00746016557940424	0.00828904792964668	0.00106286485938895	0.00292986491956639	0.00716129797582067
