condition	cor	iteration
TNF_a_Bacillus.S.	0.618437673133415	1
TNF_a_Bacteroides.V.	0.60912102833018	1
TNF_a_Candida.A.	0.758161314425099	1
TNF_a_CD3_CD28	0.72040116591302	1
TNF_a_Clostridium.P.	0.570546427656612	1
TNF_a_PBS	0.455285877133906	1
TNF_a_Pseudomonas.A.	0.663199346533275	1
TNF_a_Staph.A.	0.623387451849924	1
TNF_a_Bacillus.S.	0.442710233931179	2
TNF_a_Bacteroides.V.	0.429139234500362	2
TNF_a_Candida.A.	0.745167241539611	2
TNF_a_CD3_CD28	0.785647964714703	2
TNF_a_Clostridium.P.	0.595280264032364	2
TNF_a_PBS	-0.122713212970585	2
TNF_a_Pseudomonas.A.	0.51927050715031	2
TNF_a_Staph.A.	0.427665560013449	2
TNF_a_Bacillus.S.	0.748378623884538	3
TNF_a_Bacteroides.V.	0.648651086838229	3
TNF_a_Candida.A.	0.808752360034724	3
TNF_a_CD3_CD28	0.776959363589593	3
TNF_a_Clostridium.P.	0.508899873445643	3
TNF_a_PBS	0.651515624768131	3
TNF_a_Pseudomonas.A.	0.578875187574638	3
TNF_a_Staph.A.	0.534311467882655	3
TNF_a_Bacillus.S.	0.876400940668946	4
TNF_a_Bacteroides.V.	0.792193748020205	4
TNF_a_Candida.A.	0.841821486045279	4
TNF_a_CD3_CD28	0.804249701268072	4
TNF_a_Clostridium.P.	0.891589370144901	4
TNF_a_PBS	0.60217262043407	4
TNF_a_Pseudomonas.A.	0.847828990028617	4
TNF_a_Staph.A.	0.597361102683525	4
TNF_a_Bacillus.S.	0.877989044436146	5
TNF_a_Bacteroides.V.	0.756665412426185	5
TNF_a_Candida.A.	0.749421586959861	5
TNF_a_CD3_CD28	0.864084764790121	5
TNF_a_Clostridium.P.	0.73155165024738	5
TNF_a_PBS	0.143159610781769	5
TNF_a_Pseudomonas.A.	0.855671849982155	5
TNF_a_Staph.A.	0.66095856306959	5
TNF_a_Bacillus.S.	0.704183680519022	6
TNF_a_Bacteroides.V.	0.592175529884265	6
TNF_a_Candida.A.	0.724404513179589	6
TNF_a_CD3_CD28	0.775515737696298	6
TNF_a_Clostridium.P.	0.631936456495747	6
TNF_a_PBS	0.555680600516487	6
TNF_a_Pseudomonas.A.	0.444846534317147	6
TNF_a_Staph.A.	0.72245242967713	6
TNF_a_Bacillus.S.	0.641819109883249	7
TNF_a_Bacteroides.V.	0.331044319983583	7
TNF_a_Candida.A.	0.408255500711649	7
TNF_a_CD3_CD28	0.771118979980114	7
TNF_a_Clostridium.P.	0.419134778047315	7
TNF_a_PBS	0.613458604260653	7
TNF_a_Pseudomonas.A.	0.0796815802283122	7
TNF_a_Staph.A.	0.678855062475884	7
TNF_a_Bacillus.S.	0.763588899820463	8
TNF_a_Bacteroides.V.	0.806130299212788	8
TNF_a_Candida.A.	0.650726838538959	8
TNF_a_CD3_CD28	0.471175944598653	8
TNF_a_Clostridium.P.	0.528957832163829	8
TNF_a_PBS	-0.114653949255207	8
TNF_a_Pseudomonas.A.	0.502546100230777	8
TNF_a_Staph.A.	0.614362190681534	8
TNF_a_Bacillus.S.	0.271345410343074	9
TNF_a_Bacteroides.V.	0.187370439842566	9
TNF_a_Candida.A.	0.130758056588264	9
TNF_a_CD3_CD28	0.63864071406707	9
TNF_a_Clostridium.P.	0.548590086554377	9
TNF_a_PBS	0.389686297447341	9
TNF_a_Pseudomonas.A.	0.0411431956991833	9
TNF_a_Staph.A.	0.299703554699754	9
TNF_a_Bacillus.S.	0.898968484415005	10
TNF_a_Bacteroides.V.	0.857248075716217	10
TNF_a_Candida.A.	0.605600747052835	10
TNF_a_CD3_CD28	0.889965705587184	10
TNF_a_Clostridium.P.	0.875016641150921	10
TNF_a_PBS	0.331273656275906	10
TNF_a_Pseudomonas.A.	0.643585431799484	10
TNF_a_Staph.A.	0.777377151666965	10
