alpha	lambda	MSE	num	Log2_MSE	combo
0.427	0.858668686868687	10.0123317631109	2	3.46104807395317	0.427;0.859
0.427	0.909172727272727	10.017076062465	2	3.46166947760693	0.427;0.909
0.427	0.808164646464646	10.0211658725089	2	3.46220494216474	0.427;0.808
0.427	0.959676767676768	10.0302739718308	2	3.46339672016778	0.427;0.96
0.427	0.757660606060606	10.0361230177343	2	3.46416153825027	0.427;0.758
0.427	1.01018080808081	10.0429140069641	2	3.465049015977	0.427;1.01
0.427	1.06068484848485	10.0608831032617	2	3.46739467013763	0.427;1.061
0.427	0.707156565656566	10.0716774784257	2	3.46880191740989	0.427;0.707
0.427	1.11118888888889	10.0815392069755	2	3.4700863780835	0.427;1.111
0.687	0.404132323232323	10.0851831218301	4	3.47056069790937	0.687;0.404
0.687	0.454636363636364	10.0938858879305	4	3.47169288593167	0.687;0.455
0.427	1.16169292929293	10.1121254655739	2	3.47406288869471	0.427;1.162
0.427	0.656652525252525	10.1198472393305	2	3.4750650638324	0.427;0.657
0.687	0.505140404040404	10.1266101658086	4	3.47594222288877	0.687;0.505
0.687	0.353628282828283	10.1424919644361	4	3.4780000154186	0.687;0.354
0.427	1.21219696969697	10.1432904325242	2	3.47810339486752	0.427;1.212
0.427	0.606148484848485	10.1729598925722	2	3.48193952391906	0.427;0.606
0.687	0.555644444444444	10.1770342155149	4	3.48246552008185	0.687;0.556
0.427	1.26270101010101	10.1819696253167	2	3.48310242603814	0.427;1.263
0.635	0.808164646464646	10.2023104307588	3	3.48572440781668	0.635;0.808
0.687	0.303124242424242	10.2098928995056	4	3.48670058943657	0.687;0.303
0.635	0.858668686868687	10.2151234770643	3	3.48737359928549	0.635;0.859
0.166	1.26270101010101	10.2189263087404	4	3.48786270637987	0.166;1.263
0.166	1.21219696969697	10.2193062497851	4	3.48791156397679	0.166;1.212
0.166	1.16169292929293	10.2198592452015	4	3.48798267212431	0.166;1.162
0.166	1.31320505050505	10.2202943073964	4	3.48803861310258	0.166;1.313
0.166	1.01018080808081	10.2205681950363	4	3.48807382889162	0.166;1.01
0.166	0.959676767676768	10.2208601991425	4	3.48811137310391	0.166;0.96
0.166	1.11118888888889	10.2211406360708	4	3.48814742915514	0.166;1.111
0.166	1.06068484848485	10.2214605420281	4	3.48818855867791	0.166;1.061
0.635	0.757660606060606	10.2216553936872	3	3.4882136097023	0.635;0.758
0.166	1.36370909090909	10.2223440025051	4	3.4883021369304	0.166;1.364
0.166	0.909172727272727	10.2229293059772	4	3.48837737900077	0.166;0.909
0.166	1.41421313131313	10.223715649716	4	3.48847845906997	0.166;1.414
