Features	lab	wild
Ctrb1	36.7741935483871	36.7741935483871
Amy2a5	31.1827956989247	31.1827956989247
Cela2a	23.2258064516129	23.2258064516129
Cela1	37.4193548387097	37.4193548387097
2210010C04Rik	40.6451612903226	40.6451612903226
Cpa1	46.6666666666667	46.6666666666667
Pnlip	26.0215053763441	26.0215053763441
Cpb1	36.7741935483871	36.7741935483871
Amy2b	33.9784946236559	33.9784946236559
Try4	27.5268817204301	27.5268817204301
Clps	41.2903225806452	41.2903225806452
Actb	13.1182795698925	13.1182795698925
Cel	19.3548387096774	19.3548387096774
Rn4.5s	89.6774193548387	89.6774193548387
Prss2	23.2258064516129	23.2258064516129
Cela3b	17.8494623655914	17.8494623655914
Ctrl	20.5376344086021	20.5376344086021
Malat1	36.7741935483871	36.7741935483871
Try5	26.6666666666667	26.6666666666667
Beta-s	14.4086021505376	14.4086021505376
Rn45s	37.2043010752688	37.2043010752688
Rpl4	5.16129032258066	5.16129032258066
Rnase1	20.1075268817204	20.1075268817204
Gm13011	15.0537634408602	15.0537634408602
Rplp1	55.2688172043011	55.2688172043011
Zg16	21.9354838709677	21.9354838709677
Rps15	57.6344086021505	57.6344086021505
Cd74	63.010752688172	63.010752688172
Rps20	12.4731182795699	12.4731182795699
Pnliprp1	19.5698924731183	19.5698924731183
Jund	94.6236559139785	94.6236559139785
Reg1	11.2903225806452	11.2903225806452
Tpt1	27.5268817204301	27.5268817204301
Rps24	56.989247311828	56.989247311828
Tmsb4x	50.3225806451613	50.3225806451613
Nfkbia	99.7849462365591	99.7849462365591
Rps9	29.0322580645161	29.0322580645161
Rps5	16.3440860215054	16.3440860215054
Jun	99.7849462365591	99.7849462365591
Klf2	94.1935483870968	94.1935483870968
Fau	47.3118279569892	47.3118279569892
Cpa2	36.989247311828	36.989247311828
Hspa1b	73.5483870967742	73.5483870967742
Fos	92.6881720430108	92.6881720430108
Rpl32	66.2365591397849	66.2365591397849
Rpl23	39.5698924731183	39.5698924731183
Rplp2	60.6451612903226	60.6451612903226
Rpl13a	9.46236559139786	9.46236559139786
Rps14	60	60
H2-Ab1	28.1720430107527	28.1720430107527
Ubc	94.4086021505376	94.4086021505376
Rpl8	17.4193548387097	17.4193548387097
B2m	2.79569892473119	2.79569892473119
Hsp90aa1	84.9462365591398	84.9462365591398
Rpl35	82.1505376344086	82.1505376344086
Rps26	64.3010752688172	64.3010752688172
Lrrc58	6.88172043010753	6.88172043010753
Rpl13	8.1720430107527	8.1720430107527
H2-Aa	82.1505376344086	82.1505376344086
Rps21	74.4086021505376	74.4086021505376
Xist	75.1612903225807	75.1612903225807
Hsp90ab1	60.4301075268817	60.4301075268817
H2-K1	42.5806451612903	42.5806451612903
Chd3	34.6236559139785	34.6236559139785
Tnnt2	58.7096774193548	58.7096774193548
Ly6e	63.010752688172	63.010752688172
Rpl18a	3.2258064516129	3.2258064516129
Rpl41	72.258064516129	72.258064516129
H2-Eb1	72.4731182795699	72.4731182795699
H3f3b	94.8387096774194	94.8387096774194
Hspa1a	77.2043010752688	77.2043010752688
Naa15	47.0967741935484	47.0967741935484
Eef2	71.1827956989247	71.1827956989247
Sycn	20	20
Junb	86.0215053763441	86.0215053763441
Prss3	15.6989247311828	15.6989247311828
Rps16	44.5161290322581	44.5161290322581
Pla2g1b	27.0967741935484	27.0967741935484
Rpl14	26.236559139785	26.236559139785
Rps19	6.66666666666667	6.66666666666667
Eef1b2	5.3763440860215	5.3763440860215
Rps3	36.989247311828	36.989247311828
Try10	15.2688172043011	15.2688172043011
Mb	60	60
Cfl1	59.1397849462366	59.1397849462366
Cd79a	74.1935483870968	74.1935483870968
Rps3a1	23.8709677419355	23.8709677419355
Rps7	18.0645161290323	18.0645161290323
Rps23	13.7634408602151	13.7634408602151
Rps13	59.7849462365591	59.7849462365591
Rps18	42.5806451612903	42.5806451612903
Rps29	44.3010752688172	44.3010752688172
Eef1a1	61.0752688172043	61.0752688172043
Rps4x	63.6559139784946	63.6559139784946
Rpl38	82.7956989247312	82.7956989247312
Myl6	73.3333333333333	73.3333333333333
Gm6654	65.5913978494624	65.5913978494624
Gm10334	33.3333333333333	33.3333333333333
Fosb	100	100
Atf4	100	100
Cd52	16.7741935483871	16.7741935483871
Apoe	12.4731182795699	12.4731182795699
Fth1	5.80645161290323	5.80645161290323
Pnliprp2	21.505376344086	21.505376344086
Actc1	57.2043010752688	57.2043010752688
Rps8	58.494623655914	58.494623655914
Egr1	99.5698924731183	99.5698924731183
Gp2	16.7741935483871	16.7741935483871
Cd69	98.0645161290323	98.0645161290323
Hspa8	31.1827956989247	31.1827956989247
Gm5771	15.6989247311828	15.6989247311828
Rpsa	6.66666666666667	6.66666666666667
Gm5409	18.7096774193548	18.7096774193548
Rpl22	53.5483870967742	53.5483870967742
Chchd2	81.9354838709677	81.9354838709677
Eif1	98.0645161290323	98.0645161290323
Hspe1	88.1720430107527	88.1720430107527
Rps15a	69.6774193548387	69.6774193548387
Dmbt1	11.9354838709677	11.9354838709677
Rpl17	61.7204301075269	61.7204301075269
Ptprc	49.0322580645161	49.0322580645161
Rps28	29.247311827957	29.247311827957
H2-D1	3.87096774193549	3.87096774193549
Zfp36	90.9677419354839	90.9677419354839
Dnajb1	96.3440860215054	96.3440860215054
Uba52	3.87096774193547	3.87096774193547
Gnb2l1	2.79569892473117	2.79569892473117
Serinc3	63.8709677419355	63.8709677419355
Clu	61.2903225806452	61.2903225806452
Rps11	5.3763440860215	5.3763440860215
Cd79b	82.3655913978495	82.3655913978495
Ppp1r15a	93.5483870967742	93.5483870967742
Klf6	99.1397849462366	99.1397849462366
Gm13826	24.7311827956989	24.7311827956989
Tmsb10	65.8064516129032	65.8064516129032
Ucp2	39.3548387096774	39.3548387096774
Rpl19	32.6881720430108	32.6881720430108
Nppa	66.6666666666667	66.6666666666667
Pabpn1	32.6881720430108	32.6881720430108
Rpl39	59.1397849462366	59.1397849462366
Shisa5	52.258064516129	52.258064516129
Rps25	29.8924731182796	29.8924731182796
Gm1821	62.1505376344086	62.1505376344086
Rplp0	32.0430107526882	32.0430107526882
Rpl37	36.3440860215054	36.3440860215054
Klk1	16.989247311828	16.989247311828
Rpl27a	18.2795698924731	18.2795698924731
Ptma	61.0752688172043	61.0752688172043
Rpl12	11.1827956989247	11.1827956989247
Gnai2	54.8387096774194	54.8387096774194
Gnas	63.6559139784946	63.6559139784946
Lars2	11.1827956989247	11.1827956989247
Rpl24	56.989247311828	56.989247311828
Rpl23a	11.8279569892473	11.8279569892473
Lcp1	71.3978494623656	71.3978494623656
