Features	lab	wild
CCL2_BacillusS	64.163372859025	64.163372859025
CCL2_BacteroidesV	58.8932806324111	58.8932806324111
CCL2_CandidaA	68.5111989459815	68.5111989459815
CCL2_CD3.CD28	42.6877470355731	42.6877470355731
CCL2_ClostridiumP	60.3425559947299	60.3425559947299
CCL2_PBS	6.98287220026352	6.98287220026352
CCL2_PseudomonasA	46.1133069828722	46.1133069828722
CCL2_StaphA	37.2859025032938	37.2859025032938
IL.1a_BacillusS	58.3662714097497	58.3662714097497
IL.1a_BacteroidesV	60.3425559947299	60.3425559947299
IL.1a_CandidaA	61.5283267457181	61.5283267457181
IL.1a_CD3.CD28	29.1172595520422	29.1172595520422
IL.1a_ClostridiumP	62.8458498023715	62.8458498023715
IL.1a_PBS	18.0500658761528	18.0500658761528
IL.1a_PseudomonasA	45.4545454545455	45.4545454545455
IL.1a_StaphA	52.3056653491436	52.3056653491436
IL.5_BacillusS	47.8260869565217	47.8260869565217
IL.5_BacteroidesV	56.6534914361001	56.6534914361001
IL.5_CandidaA	52.3056653491436	52.3056653491436
IL.5_CD3.CD28	96.5744400527009	96.5744400527009
IL.5_ClostridiumP	55.3359683794466	55.3359683794466
IL.5_PBS	1.97628458498024	1.97628458498024
IL.5_PseudomonasA	49.0118577075099	49.0118577075099
IL.5_StaphA	39.1304347826087	39.1304347826087
IFN.y_BacillusS	21.7391304347826	21.7391304347826
IFN.y_BacteroidesV	16.7325428194994	16.7325428194994
IFN.y_CandidaA	51.6469038208169	51.6469038208169
IFN.y_CD3.CD28	84.7167325428195	84.7167325428195
IFN.y_ClostridiumP	16.99604743083	16.99604743083
IFN.y_PBS	8.30039525691701	8.30039525691701
IFN.y_PseudomonasA	26.8774703557312	26.8774703557312
IFN.y_StaphA	1.71277997364953	1.71277997364953
TNF.a_BacillusS	55.2042160737813	55.2042160737813
TNF.a_BacteroidesV	49.4071146245059	49.4071146245059
TNF.a_CandidaA	63.8998682476943	63.8998682476943
TNF.a_CD3.CD28	100	100
TNF.a_ClostridiumP	43.3465085638999	43.3465085638999
TNF.a_PBS	3.82081686429513	3.82081686429513
TNF.a_PseudomonasA	47.8260869565217	47.8260869565217
TNF.a_StaphA	41.2384716732543	41.2384716732543
CXCL1_BacillusS	63.1093544137022	63.1093544137022
CXCL1_BacteroidesV	54.6772068511199	54.6772068511199
CXCL1_CandidaA	69.6969696969697	69.6969696969697
CXCL1_CD3.CD28	42.0289855072464	42.0289855072464
CXCL1_ClostridiumP	48.6166007905138	48.6166007905138
CXCL1_PBS	8.69565217391305	8.69565217391305
CXCL1_PseudomonasA	54.6772068511199	54.6772068511199
CXCL1_StaphA	44.9275362318841	44.9275362318841
IL.1b_BacillusS	35.1778656126482	35.1778656126482
IL.1b_BacteroidesV	38.2081686429512	38.2081686429512
IL.1b_CandidaA	46.5085638998683	46.5085638998683
IL.1b_CD3.CD28	20.8168642951252	20.8168642951252
IL.1b_ClostridiumP	39.3939393939394	39.3939393939394
IL.1b_PBS	17.2595520421607	17.2595520421607
IL.1b_PseudomonasA	32.0158102766798	32.0158102766798
IL.1b_StaphA	38.6034255599473	38.6034255599473
IL.10_BacillusS	30.9617918313571	30.9617918313571
IL.10_BacteroidesV	50.197628458498	50.197628458498
IL.10_CandidaA	24.7694334650856	24.7694334650856
IL.10_CD3.CD28	29.7760210803689	29.7760210803689
IL.10_ClostridiumP	6.98287220026349	6.98287220026349
IL.10_PBS	0	0
IL.10_PseudomonasA	50.7246376811594	50.7246376811594
IL.10_StaphA	20.6851119894598	20.6851119894598
CCL3_BacillusS	40.4479578392622	40.4479578392622
CCL3_BacteroidesV	30.9617918313571	30.9617918313571
CCL3_CandidaA	73.9130434782609	73.9130434782609
CCL3_CD3.CD28	71.0144927536232	71.0144927536232
CCL3_ClostridiumP	43.7417654808959	43.7417654808959
CCL3_PBS	13.0434782608696	13.0434782608696
CCL3_PseudomonasA	61.7918313570488	61.7918313570488
CCL3_StaphA	70.2239789196311	70.2239789196311
CCL4_BacillusS	44.6640316205534	44.6640316205534
CCL4_BacteroidesV	53.8866930171278	53.8866930171278
CCL4_CandidaA	44.4005270092226	44.4005270092226
CCL4_CD3.CD28	84.7167325428195	84.7167325428195
CCL4_ClostridiumP	46.1133069828722	46.1133069828722
CCL4_PBS	6.06060606060604	6.06060606060604
CCL4_PseudomonasA	49.6706192358366	49.6706192358366
CCL4_StaphA	52.3056653491436	52.3056653491436
IL.17_BacillusS	34.6508563899868	34.6508563899868
IL.17_BacteroidesV	51.3833992094862	51.3833992094862
IL.17_CandidaA	45.1910408432148	45.1910408432148
IL.17_CD3.CD28	51.7786561264822	51.7786561264822
IL.17_ClostridiumP	39.6574440052701	39.6574440052701
IL.17_PBS	24.901185770751	24.901185770751
IL.17_PseudomonasA	39.7891963109354	39.7891963109354
IL.17_StaphA	53.4914361001318	53.4914361001318
IL.6_BacillusS	49.4071146245059	49.4071146245059
IL.6_BacteroidesV	33.8603425559947	33.8603425559947
IL.6_CandidaA	60.3425559947299	60.3425559947299
IL.6_CD3.CD28	75.4940711462451	75.4940711462451
IL.6_ClostridiumP	28.1949934123847	28.1949934123847
IL.6_PBS	13.0434782608696	13.0434782608696
IL.6_PseudomonasA	66.403162055336	66.403162055336
IL.6_StaphA	17.6548089591568	17.6548089591568
IL.13_BacillusS	48.8801054018445	48.8801054018445
IL.13_BacteroidesV	46.6403162055336	46.6403162055336
IL.13_CandidaA	49.9341238471673	49.9341238471673
IL.13_CD3.CD28	39.5256916996047	39.5256916996047
IL.13_ClostridiumP	37.4176548089592	37.4176548089592
IL.13_PBS	4.61133069828722	4.61133069828722
IL.13_PseudomonasA	55.2042160737813	55.2042160737813
IL.13_StaphA	25.5599472990777	25.5599472990777
