Features	lab	wild
Blood_Total_T_cells	47.5215517241379	47.5215517241379
Blood_Total_B_cells	5.60344827586207	5.60344827586207
Blood_CD4_T_cells	54.0948275862069	54.0948275862069
Blood_CD8_T_cells	84.8060344827586	84.8060344827586
Blood_CD4_T_cells_CD44lo_CD62Lhi	2.26293103448277	2.26293103448277
Blood_CD4_T_cells_CD44hi_CD62Lhi	90.301724137931	90.301724137931
Blood_CD4_T_cells_CD44hi_CD62Llo	18.8577586206897	18.8577586206897
Blood_CD4_T_cells_CD44lo_CD62Llo	14.7629310344828	14.7629310344828
Blood_CD8_T_cells_CD44lo_CD62Lhi	77.9094827586207	77.9094827586207
Blood_CD8_T_cells_CD44hi_CD62Lhi	92.2413793103448	92.2413793103448
Blood_CD8_T_cells_CD44hi_CD62Llo	49.2456896551724	49.2456896551724
Blood_CD8_T_cells_CD44lo_CD62Llo	0	0
Blood_Total_myeloid_CD11b_CD11c	56.1422413793103	56.1422413793103
Blood_CD4_T_cells_CD25+	67.0258620689655	67.0258620689655
Blood_Total_immune_cells_CD45+	43.9655172413793	43.9655172413793
MLN_Total_T_cells	100	100
MLN_Total_B_cells	89.6551724137931	89.6551724137931
MLN_CD4_T_cells	100	100
MLN_CD8_T_cells	100	100
MLN_CD4_T_cells_CD44lo_CD62Lhi	70.0431034482759	70.0431034482759
MLN_CD4_T_cells_CD44hi_CD62Lhi	18.8577586206897	18.8577586206897
MLN_CD4_T_cells_CD44hi_CD62Llo	78.8793103448276	78.8793103448276
MLN_CD4_T_cells_CD44lo_CD62Llo	56.25	56.25
MLN_CD8_T_cells_CD44lo_CD62Lhi	58.1896551724138	58.1896551724138
MLN_CD8_T_cells_CD44hi_CD62Lhi	29.3103448275862	29.3103448275862
MLN_CD8_T_cells_CD44hi_CD62Llo	58.2974137931035	58.2974137931035
MLN_CD8_T_cells_CD44lo_CD62Llo	50.323275862069	50.323275862069
MLN_Total_myeloid_CD11b_CD11c	60.4525862068966	60.4525862068966
MLN_CD4_T_cells_CD25+	99.5689655172414	99.5689655172414
MLN_Total_immune_cells_CD45+	70.2586206896552	70.2586206896552
MLN_Eosinphils	47.7370689655172	47.7370689655172
MLN_Neutrophils	58.1896551724138	58.1896551724138
MLN_Ly6C_Monocyte	77.9094827586207	77.9094827586207
MLN_CD11c_MHCII	76.0775862068965	76.0775862068965
MLN_CD103_CD11c_MHCII_DC	27.2629310344828	27.2629310344828
MLN_CD103neg_CD11c_MHCII_DC	74.7844827586207	74.7844827586207
