num	Feature
1	Ctrb1
2	Amy2a5
3	Cela2a
4	Cela1
5	2210010C04Rik
6	Cpa1
7	Pnlip
8	Cpb1
9	Amy2b
10	Try4
11	Clps
12	Actb
13	Cel
14	Rn4.5s
15	Prss2
16	Cela3b
17	Ctrl
18	Malat1
19	Try5
20	Beta-s
21	Rn45s
22	Rpl4
23	Rnase1
24	Gm13011
25	Rplp1
26	Zg16
27	Rps15
28	Cd74
29	Rps20
30	Pnliprp1
31	Jund
32	Reg1
33	Tpt1
34	Rps24
35	Tmsb4x
36	Nfkbia
37	Rps9
38	Rps5
39	Jun
40	Klf2
41	Fau
42	Cpa2
43	Hspa1b
44	Fos
45	Rpl32
46	Rpl23
47	Rplp2
48	Rpl13a
49	Rps14
50	H2-Ab1
51	Ubc
52	Rpl8
53	B2m
54	Hsp90aa1
55	Rpl35
56	Rps26
57	Lrrc58
58	Rpl13
59	H2-Aa
60	Rps21
61	Xist
62	Hsp90ab1
63	H2-K1
64	Chd3
65	Tnnt2
66	Ly6e
67	Rpl18a
68	Rpl41
69	H2-Eb1
70	H3f3b
71	Hspa1a
72	Naa15
73	Eef2
74	Sycn
75	Junb
76	Prss3
77	Rps16
78	Pla2g1b
79	Rpl14
80	Rps19
81	Eef1b2
82	Rps3
83	Try10
84	Mb
85	Cfl1
86	Cd79a
87	Rps3a1
88	Rps7
89	Rps23
90	Rps13
91	Rps18
92	Rps29
93	Eef1a1
94	Rps4x
95	Rpl38
96	Myl6
97	Gm6654
98	Gm10334
99	Fosb
100	Atf4
101	Cd52
102	Apoe
103	Fth1
104	Pnliprp2
105	Actc1
106	Rps8
107	Egr1
108	Gp2
109	Cd69
110	Hspa8
111	Gm5771
112	Rpsa
113	Gm5409
114	Rpl22
115	Chchd2
116	Eif1
117	Hspe1
118	Rps15a
119	Dmbt1
120	Rpl17
121	Ptprc
122	Rps28
123	H2-D1
124	Zfp36
125	Dnajb1
126	Uba52
127	Gnb2l1
128	Serinc3
129	Clu
130	Rps11
131	Cd79b
132	Ppp1r15a
133	Klf6
134	Gm13826
135	Tmsb10
136	Ucp2
137	Rpl19
138	Nppa
139	Pabpn1
140	Rpl39
141	Shisa5
142	Rps25
143	Gm1821
144	Rplp0
145	Rpl37
146	Klk1
147	Rpl27a
148	Ptma
149	Rpl12
150	Gnai2
151	Gnas
152	Lars2
153	Rpl24
154	Rpl23a
155	Lcp1
156	Laptm5
157	Hspa5
158	Arpc2
159	Spink3
160	Luc7l3
161	Rpl10
162	Rps10
163	Rpl28
164	Cox6c
165	Ddx5
166	Coro1a
167	Cd53
168	Rpl31
169	Sepw1
170	Ptprcap
171	Myh6
172	Tpm1
173	Purb
174	Rpl10a
175	Srgn
176	Npm1
177	Rac2
178	Cnn2
179	Rpl18
180	Btg2
181	Cox6a2
182	Erdr1
183	Atp5e
184	Baz1a
185	Myl2
186	Sell
187	Cotl1
188	Rps27a
189	Hmha1
190	Satb1
191	Gimap6
192	Serbp1
193	Dusp1
194	C3
195	Dgka
196	Tnni3
197	Rpl5
198	Rpl36a
199	Eef1g
200	Mt1
