Features	lab	wild
Ctrb1	36.5010799136069	36.5010799136069
Amy2a5	30.8855291576674	30.8855291576674
Cela2a	22.8941684665227	22.8941684665227
Cela1	37.1490280777538	37.1490280777538
2210010C04Rik	40.3887688984881	40.3887688984881
Cpa1	46.4362850971922	46.4362850971922
Pnlip	25.7019438444924	25.7019438444924
Cpb1	36.5010799136069	36.5010799136069
Amy2b	33.6933045356371	33.6933045356371
Try4	27.2138228941685	27.2138228941685
Clps	41.036717062635	41.036717062635
Actb	12.7429805615551	12.7429805615551
Cel	19.0064794816415	19.0064794816415
Rn4.5s	89.6328293736501	89.6328293736501
Prss2	22.8941684665227	22.8941684665227
Cela3b	17.4946004319654	17.4946004319654
Ctrl	20.194384449244	20.194384449244
Malat1	36.5010799136069	36.5010799136069
Try5	26.3498920086393	26.3498920086393
Beta-s	14.0388768898488	14.0388768898488
Rn45s	36.9330453563715	36.9330453563715
Rpl4	4.75161987041037	4.75161987041037
Rnase1	19.7624190064795	19.7624190064795
Gm13011	14.6868250539957	14.6868250539957
Rplp1	55.0755939524838	55.0755939524838
Zg16	21.5982721382289	21.5982721382289
Rps15	57.451403887689	57.451403887689
Cd74	62.8509719222462	62.8509719222462
Rps20	12.0950323974082	12.0950323974082
Pnliprp1	19.2224622030238	19.2224622030238
Jund	94.6004319654428	94.6004319654428
Reg1	10.9071274298056	10.9071274298056
Tpt1	27.2138228941685	27.2138228941685
Rps24	56.8034557235421	56.8034557235421
Tmsb4x	50.1079913606911	50.1079913606911
Nfkbia	99.7840172786177	99.7840172786177
Rps9	28.7257019438445	28.7257019438445
Rps5	15.9827213822894	15.9827213822894
Jun	99.7840172786177	99.7840172786177
Klf2	94.1684665226782	94.1684665226782
Fau	47.0842332613391	47.0842332613391
Cpa2	36.7170626349892	36.7170626349892
Hspa1b	73.4341252699784	73.4341252699784
Fos	92.6565874730022	92.6565874730022
Rpl32	66.0907127429806	66.0907127429806
Rpl23	39.3088552915767	39.3088552915767
Rplp2	60.475161987041	60.475161987041
Rpl13a	9.07127429805616	9.07127429805616
Rps14	59.8272138228942	59.8272138228942
H2-Ab1	27.8617710583153	27.8617710583153
Ubc	94.3844492440605	94.3844492440605
Rpl8	17.0626349892008	17.0626349892008
B2m	2.37580993520519	2.37580993520519
Hsp90aa1	84.8812095032397	84.8812095032397
Rpl35	82.07343412527	82.07343412527
Rps26	64.14686825054	64.14686825054
Lrrc58	6.47948164146868	6.47948164146868
Rpl13	7.77537796976242	7.77537796976242
H2-Aa	82.07343412527	82.07343412527
Rps21	74.2980561555076	74.2980561555076
Xist	75.0539956803456	75.0539956803456
Hsp90ab1	60.2591792656587	60.2591792656587
H2-K1	42.3326133909287	42.3326133909287
Chd3	34.341252699784	34.341252699784
Tnnt2	58.5313174946004	58.5313174946004
Ly6e	62.8509719222462	62.8509719222462
Rpl18a	2.80777537796975	2.80777537796975
Rpl41	72.1382289416847	72.1382289416847
H2-Eb1	72.3542116630669	72.3542116630669
