Features	Overall
Ctrb1	3.37051795041598
Amy2a5	2.59587576601453
Cela2a	1.91734376164535
Cela1	3.80994719576179
2210010C04Rik	1.77854483403433
Cpa1	3.1181493381863
Pnlip	4.54261593236401
Cpb1	4.61412841567203
Amy2b	3.12854702875016
Try4	4.1774982484096
Clps	3.22743617602725
Actb	7.57882808419941
Cel	1.93364444144429
Rn4.5s	17.8389410743666
Prss2	2.52070228070973
Cela3b	23.0329047633723
Ctrl	5.70718003095663
Malat1	8.63056685121928
Try5	3.86400704400158
Beta-s	10.7011287035423
Rn45s	14.4869914906599
Rpl4	12.8368232768827
Rnase1	2.58935155456696
Gm13011	1.8273575775829
Rplp1	27.9918613194459
Zg16	0.727223190092656
Rps15	4.50775661656108
Cd74	1.79715845824452
Rps20	10.3916632322738
Pnliprp1	12.9819629733576
Jund	6.47079763805292
Reg1	0.695182471946195
Tpt1	32.9726981621212
Rps24	37.6224833635214
Tmsb4x	13.9515999513166
Nfkbia	1.94765409029391
Rps9	16.9846840378105
Rps5	15.4949729964957
Jun	23.498084394713
Klf2	9.3078847045416
Fau	5.68607142593789
Cpa2	17.5758323951825
Hspa1b	27.056901973805
Fos	21.7775164200864
Rpl32	11.5666878791283
Rpl23	48.5477433971757
Rplp2	13.9436111968362
Rpl13a	3.60229842693056
Rps14	6.44269850014046
H2-Ab1	11.4747869389237
Ubc	22.4839318169464
Rpl8	3.81086971601115
B2m	39.880846937276
Hsp90aa1	2.96834013813282
Rpl35	3.87316342283628
Rps26	5.42922395054198
Lrrc58	1.94625741182446
Rpl13	15.4679990315851
H2-Aa	8.50560541894228
Rps21	9.53672428028233
Xist	15.4166094572565
Hsp90ab1	11.6997993903334
H2-K1	20.7827346404976
Chd3	24.9842936703396
Tnnt2	4.89634096352312
Ly6e	5.03457082419143
Rpl18a	13.8676625081589
Rpl41	15.3267245967053
H2-Eb1	35.5673529647165
H3f3b	8.78457139536318
Hspa1a	9.05559941287035
Naa15	4.11639519317701
Eef2	15.5101202775957
Sycn	2.09334931270936
Junb	6.84447612562437
Prss3	5.17552545650468
Rps16	9.66776208202742
Pla2g1b	2.27704947537565
Rpl14	7.46175781607278
Rps19	7.05963360442792
Eef1b2	5.75820546632837
Rps3	6.50115132574362
Try10	0.732786243169535
Mb	5.92959575857189
Cfl1	26.2007399274166
Cd79a	16.1298789727868
Rps3a1	11.2117916116104
Rps7	23.2325744757195
Rps23	5.04714501684883
Rps13	2.94754966016364
Rps18	6.37560512517802
Rps29	7.61229479894734
Eef1a1	8.75624177951177
Rps4x	5.35567319376941
Rpl38	4.72939667691747
Myl6	7.47928023214596
Gm6654	3.34540859640281
Gm10334	1.45157635886782
Fosb	9.21812593392702
Atf4	5.29277650788954
Cd52	3.42495662372354
Apoe	4.05834305186919
Fth1	17.6400432647702
Pnliprp2	0.633599049081507
Actc1	5.39339982389769
Rps8	21.0988172041104
Egr1	6.39034553558075
Gp2	25.4102970689998
Cd69	33.2260013239203
Hspa8	20.334295606295
Gm5771	0.975404848571269
Rpsa	40.9983338716318
Gm5409	0.0849614360060436
Rpl22	10.5162597807544
Chchd2	18.4847697118787
Eif1	12.8667275610228
Hspe1	6.60117489643011
Rps15a	7.10805839042119
Dmbt1	0.493773851767917
Rpl17	3.97043079759908
Ptprc	8.25580057029437
Rps28	5.6595095650827
H2-D1	22.4275949672623
Zfp36	8.431952225393
Dnajb1	13.9609770606653
Uba52	10.1654058815554
Gnb2l1	4.57378544087836
Serinc3	32.9174050675879
Clu	4.71350554601796
Rps11	15.4946590016869
Cd79b	12.2989348529561
Ppp1r15a	20.8575342364885
Klf6	11.8059168127809
Gm13826	11.3582671853803
Tmsb10	6.23780625820544
Ucp2	12.1951344865075
Rpl19	16.4354113820851
Nppa	13.5728842947018
Pabpn1	11.2904472484326
Rpl39	3.02581469475618
Shisa5	40.6036461523365
Rps25	8.83364983181412
Gm1821	12.3236183420581
Rplp0	7.41577230789147
Rpl37	7.33077003774334
Klk1	2.00038236772448
Rpl27a	3.113147087907
Ptma	2.48133785166418
Rpl12	6.61004315087455
Gnai2	5.32161604220527
Gnas	10.687612579192
Lars2	17.5597315581668
Rpl24	14.467010234284
Rpl23a	11.0160803311102
Lcp1	12.1649059630385
Laptm5	4.76183335366734
Hspa5	16.8583335949005
Arpc2	9.47232803476088
Spink3	0
Luc7l3	22.9018386894048
Rpl10	6.89660242121326
Rps10	3.59150909782539
Rpl28	5.14274682627987
Cox6c	9.62591989048814
Ddx5	10.9478232579988
Coro1a	3.91379606225511
Cd53	14.8495144671973
Rpl31	9.99375103020027
Sepw1	8.68276140778258
Ptprcap	7.50636182993848
Myh6	15.2554643277519
Tpm1	4.90986005934667
Purb	11.45106990623
Rpl10a	5.81648838804406
Srgn	7.70108541077336
Npm1	11.7613331926047
Rac2	8.47048113172713
Cnn2	18.6503651592668
Rpl18	2.70986889166788
Btg2	21.3974659584375
Cox6a2	13.8626376454371
Erdr1	100
Atp5e	9.44340080647938
Baz1a	5.16311723951491
Myl2	7.54228157983372
Sell	70.0713020575296
Cotl1	27.3386629313095
Rps27a	7.13623027589955
Hmha1	88.0497506101098
Satb1	8.49798029330359
Gimap6	20.0893419502207
Serbp1	7.34566374645291
Dusp1	4.13925103564804
C3	12.8348325881503
Dgka	4.06194878794741
Tnni3	9.28273941795748
Rpl5	16.6181493566289
Rpl36a	5.60473165344997
Eef1g	30.9686458375604
Mt1	5.30374838866052
