Features	Overall
OTU_1	4.22362160052722
OTU_2	0
OTU_3	0.503172269782274
OTU_4	0
OTU_5	0.0411218008047396
OTU_6	2.11274467450754
OTU_7	0
OTU_8	1.93969191885006
OTU_9	0
OTU_10	0.0565424761065171
OTU_11	0
OTU_12	0
OTU_13	3.39215849036708
OTU_14	0.443616391898619
OTU_15	0
OTU_16	0.31671639741331
OTU_17	0
OTU_18	0.6023183973025
OTU_19	1.0292557237159
OTU_20	1.65630002714007
OTU_21	0
OTU_22	8.62632649379517
OTU_23	0.784902516368301
OTU_24	5.20392389969464
OTU_25	1.03767791834563
OTU_26	0
OTU_27	0
OTU_28	0.703486927921879
OTU_29	0.702441989979139
OTU_30	0.0803498344671559
OTU_31	0.261745998980539
OTU_32	0.365015803727287
OTU_33	0.411504439088945
OTU_34	5.80350851310199
OTU_35	2.45901794705368
OTU_36	0.143828182756171
OTU_37	0
OTU_38	0
OTU_39	100
OTU_40	1.04555935429174
OTU_41	0
OTU_42	1.63047092532368
OTU_43	0.0800883786565881
OTU_44	0.120779091675581
OTU_45	0.118638231116353
OTU_46	3.32995431727727
OTU_47	0
OTU_48	0.190532610831681
OTU_49	0
OTU_50	2.74191022222588
OTU_51	13.1919507038378
OTU_52	0
OTU_53	0.0789907390010607
OTU_54	0
OTU_55	0.0384739630765111
OTU_56	0
OTU_57	0
OTU_58	0.106739457298333
OTU_59	0
OTU_60	0.505644062400235
OTU_61	0
OTU_62	0.270935757668192
OTU_63	0.0353390475665732
OTU_64	0.0318051428099159
OTU_65	0.216421227249668
OTU_66	0.284954990700601
OTU_67	3.98453154011653
OTU_68	0
OTU_69	0
OTU_70	0.521222081130208
OTU_71	0.215349365664618
OTU_72	5.28513739353256
OTU_73	4.53789092128058
OTU_74	0
OTU_75	0.0407105827966923
OTU_76	0.148772510966486
OTU_77	0.955561554940083
OTU_78	0.396042105369457
OTU_79	4.98957251620074
OTU_80	0.215650800916642
OTU_81	0
OTU_82	0.632054489911426
OTU_83	1.74346704232609
OTU_84	0.169627428319551
OTU_85	0.416060357809485
OTU_86	0
OTU_87	0
OTU_88	0
OTU_89	0.825069660392065
OTU_90	1.29686078219943
OTU_91	0.27489900890535
OTU_92	0.256896542492718
OTU_93	3.1620633864026
OTU_94	0.594427143720296
OTU_95	0
OTU_96	0
OTU_97	1.1192700735782
OTU_98	1.07654995028306
OTU_99	1.56090282654924
OTU_100	1.21991827485813
OTU_101	2.32737642600976
OTU_102	2.34972937378401
OTU_103	0.0782895823013313
OTU_104	0.56709129845802
OTU_105	0.319191867440814
OTU_106	0.149536939920165
OTU_107	0.427587331986083
OTU_108	3.01041281851768
OTU_109	0.227405334544249
OTU_110	0
OTU_111	0
OTU_112	0.0402865142258934
OTU_113	0.63463584592336
OTU_114	0
OTU_115	0
OTU_116	0.0411218008047396
OTU_117	0
OTU_118	1.24675431131481
OTU_119	0.634834590303343
OTU_120	0.654445494783945
OTU_121	6.12450512414581
OTU_122	0
OTU_123	0
OTU_124	0
OTU_125	3.87210450966423
OTU_126	0.499351238010391
OTU_127	0.579837887663151
OTU_128	0
OTU_129	0.143926302816589
OTU_130	0
OTU_131	1.55517384098177
OTU_132	0.152110504968938
OTU_133	1.51869090347675
OTU_134	0.492453172683327
OTU_135	0
OTU_136	1.13158023296111
OTU_137	0.723043238466189
OTU_138	0.0404792726671656
OTU_139	0.933793671417184
OTU_140	1.05724026494301
OTU_141	0
OTU_142	0
OTU_143	0.960952510277439
OTU_144	1.28207504596101
OTU_145	0.909658898931508
OTU_146	0.0412288888276687
OTU_147	0
OTU_148	0
OTU_149	1.13241723549821
OTU_150	0
OTU_151	0.103543409370059
OTU_152	0
OTU_153	0.162613679794364
OTU_154	0.917771393215495
OTU_155	0.0678509713278205
OTU_156	0.353628415053821
OTU_157	0
OTU_158	0.0788214408767479
OTU_159	4.68754696648195
OTU_160	0
OTU_161	0
OTU_162	0.0364912786973152
OTU_163	0.227401574172138
OTU_164	0.374604887592643
OTU_165	0
OTU_166	0.274759509158557
OTU_167	0.55968657880358
OTU_168	0.673261363277054
OTU_169	0.36249749299604
OTU_170	0.14779575004509
OTU_171	0.335409457247329
OTU_172	0.211406460157986
OTU_173	0.0407758241152767
OTU_174	1.11566562596503
OTU_175	0.108687204071416
OTU_176	0.0339254856639102
OTU_177	0.402363594215759
OTU_178	0.939403945745883
OTU_179	0.390769541780556
OTU_180	0.0339254856639102
OTU_181	0.0282712380532585
OTU_182	0.724447060301413
OTU_183	0.112681077383702
OTU_184	0.552571837427783
OTU_185	0
OTU_186	0
OTU_187	0.308993469906344
OTU_188	0
OTU_189	0.586381938654192
OTU_190	0
OTU_191	0.135123667331824
OTU_192	0.285455444265777
OTU_193	0.301366808161039
OTU_194	0
OTU_195	0.0636102856198317
OTU_196	0.158428784683059
OTU_197	0
OTU_198	0.326737442504859
OTU_199	0
OTU_200	36.8773146378699
OTU_201	0.632902580751494
OTU_202	2.1657696203524
OTU_203	0
OTU_204	0.0726413755535115
OTU_205	5.21658465947962
OTU_206	0
OTU_207	0
OTU_208	0
OTU_209	0.39921593136623
OTU_210	0.192456075089829
OTU_211	0
OTU_212	0.113701431912599
OTU_213	0
OTU_214	0.347243300685672
OTU_215	0.301973259161547
OTU_216	0
OTU_217	0
OTU_218	3.11642090406828
OTU_219	0
OTU_220	2.09311399667893
OTU_221	0.789331774723806
OTU_222	0.270596135652617
OTU_223	3.16834586333513
OTU_224	0
OTU_225	0.275501451581031
OTU_226	0
OTU_227	0.513023907296822
OTU_228	0
OTU_229	3.61591821262422
OTU_230	0.677028434258604
OTU_231	0.181816808890754
OTU_232	0.560264478912393
OTU_233	0.0411595965775381
OTU_234	0
OTU_235	0
OTU_236	1.22331035403622
