num	Feature
1	1.1.1.1.1.1.1.1
2	1.1.1.1.1.1.1.2
3	1.1.1.1.1.1.2.1
4	1.1.1.1.1.1.2.2
5	1.1.1.1.1.1.2.3
6	1.1.1.1.1.1.2.4
7	1.1.1.1.1.1.2.5
8	1.1.1.1.1.2.1.1
9	1.1.1.1.1.2.1.2
10	1.1.1.1.1.2.1.3
11	1.1.1.1.1.2.2
12	1.1.1.1.1.3
13	1.1.1.1.2.1.1.1
14	1.1.1.1.2.1.1.2
15	1.1.1.1.2.1.1.3
16	1.1.1.1.2.1.2
17	1.1.1.1.2.2
18	1.1.1.2.1.1
19	1.1.1.2.1.2
20	1.1.1.2.2.1
21	1.1.1.2.2.2.1
22	1.1.1.2.2.2.2.1
23	1.1.1.2.2.2.2.2
24	1.1.2.1.1.1
25	1.1.2.1.1.2
26	1.1.2.1.1.3
27	1.1.2.1.2
28	1.1.2.1.3
29	1.1.2.2
30	1.2
31	10.1.1
32	10.1.2
33	10.2
34	10.3
35	11.1.1.1
36	11.1.1.2
37	11.1.2
38	11.2
39	12.1.1.1.1
40	12.1.1.1.10
41	12.1.1.1.2
42	12.1.1.1.3
43	12.1.1.1.4
44	12.1.1.1.5
45	12.1.1.1.6
46	12.1.1.1.7
47	12.1.1.1.8
48	12.1.1.1.9
49	12.1.1.2
50	12.1.2
51	12.2
52	13.1.1.1.1
53	13.1.1.1.2
54	13.1.1.1.3
55	13.1.1.2
56	13.1.2
57	13.2
58	14.1
59	14.2.1
60	14.2.2
61	15.1.1
62	15.1.2
63	15.2
64	16.1.1
65	16.1.2
66	16.2
67	17.1
68	17.2
69	18.1
70	18.2
71	19.1
72	19.2
73	2.1.1.1.1.1.1.1
74	2.1.1.1.1.1.1.2
75	2.1.1.1.1.1.2
76	2.1.1.1.1.2
77	2.1.1.1.2
78	2.1.1.2.1.1.1
79	2.1.1.2.1.1.2
80	2.1.1.2.1.2
81	2.1.1.2.2
82	2.1.2.1.1
83	2.1.2.1.2
84	2.1.2.2.1.1
85	2.1.2.2.1.2
86	2.1.2.2.2
87	2.2.1.1
88	2.2.1.2.1
89	2.2.1.2.2
90	2.2.1.2.3
91	2.2.2
92	20
93	21
94	22
95	23
96	24
97	25
98	26
99	27
100	28
101	29
102	3.1.1.1.1.1
103	3.1.1.1.1.2
104	3.1.1.1.1.3
105	3.1.1.1.1.4
106	3.1.1.1.1.5
107	3.1.1.1.2
108	3.1.1.2.1
109	3.1.1.2.2
110	3.1.1.2.3
111	3.1.1.2.4
112	3.1.2.1.1.1.1
113	3.1.2.1.1.1.2
114	3.1.2.1.1.1.3
115	3.1.2.1.1.1.4
116	3.1.2.1.1.1.5
117	3.1.2.1.1.1.6
118	3.1.2.1.1.2
119	3.1.2.1.2
120	3.1.2.2.1
121	3.1.2.2.2
122	3.1.2.2.3
123	3.2.1.1
124	3.2.1.2.1
125	3.2.1.2.2
126	3.2.2
127	3.3
128	30
129	31
130	32
131	33
132	34
133	35
134	36
135	37
136	38
137	39
138	4.1.1.1.1
139	4.1.1.1.2
140	4.1.1.1.3
141	4.1.1.2
142	4.1.2
143	4.2.1.1.1.1
144	4.2.1.1.1.10
145	4.2.1.1.1.2
146	4.2.1.1.1.3
147	4.2.1.1.1.4
148	4.2.1.1.1.5
149	4.2.1.1.1.6
150	4.2.1.1.1.7
151	4.2.1.1.1.8
152	4.2.1.1.1.9
153	4.2.1.1.2
154	4.2.1.2.1
155	4.2.1.2.2
156	4.2.2.1.1.1
157	4.2.2.1.1.2
158	4.2.2.1.1.3
159	4.2.2.1.2
160	4.2.2.1.3
161	4.2.2.2.1.1
162	4.2.2.2.1.2
163	4.2.2.2.1.3
164	4.2.2.2.2
165	40
166	41
167	42
168	43
169	5.1.1.1.1
170	5.1.1.1.2.1
171	5.1.1.1.2.2
172	5.1.1.2.1
173	5.1.1.2.2
174	5.1.1.2.3
175	5.1.2.1.1
176	5.1.2.1.2
177	5.1.2.1.3
