Features	Overall
Ctrb1	14.3389782716578
Amy2a5	14.4572525590293
Cela2a	6.74306569798344
Cela1	17.4255999935551
2210010C04Rik	11.1990095846416
Cpa1	8.91349577636489
Pnlip	15.3488157692117
Cpb1	10.1855731691769
Amy2b	15.1868899979993
Try4	15.9957503477338
Clps	21.6552653902284
Actb	11.2585393751489
Cel	6.70745804090865
Rn4.5s	28.5386480973975
Prss2	2.1029974032923
Cela3b	14.3171236325874
Ctrl	2.76072641329134
Malat1	100
Try5	12.4997864050211
Beta-s	19.9928392936313
Rn45s	15.396774462299
Rpl4	65.9756325738028
Rnase1	3.17546698963788
Gm13011	9.57191326831533
Rplp1	59.5557102207565
Zg16	6.55575377252741
Rps15	18.0761335490782
Cd74	47.9931743673516
Rps20	28.109584853583
Pnliprp1	4.81160609423125
Jund	23.9130442061368
Reg1	4.62047764508624
Tpt1	25.0085339346591
Rps24	16.0458973547559
Tmsb4x	14.7026199602464
Nfkbia	22.902889671776
Rps9	17.5334329641858
Rps5	9.03227160199805
Jun	12.0741388476724
Klf2	14.66216301435
Fau	9.26159112526164
Cpa2	5.20991963443992
Hspa1b	19.3090433969493
Fos	16.0663302872151
Rpl32	12.4134603831157
Rpl23	4.4603096291683
Rplp2	15.6595789460826
Rpl13a	22.3074250617142
Rps14	14.2090359549913
H2-Ab1	10.1180237994282
Ubc	28.6932007190075
Rpl8	27.8732034074604
B2m	28.4157012943132
Hsp90aa1	24.0838725684038
Rpl35	8.32834600629964
Rps26	28.0044554674679
Lrrc58	23.0623674152644
Rpl13	12.4649068253905
H2-Aa	11.4935450237924
Rps21	4.50580513188594
Xist	36.3827163349964
Hsp90ab1	9.87168309531458
H2-K1	19.9172009624422
Chd3	6.13615323076071
Tnnt2	11.5112861997068
Ly6e	11.9872413854479
Rpl18a	18.1455397595379
Rpl41	11.5615824966815
H2-Eb1	8.5828495546973
H3f3b	22.6666933946006
Hspa1a	11.4978570569231
Naa15	2.15514220192575
Eef2	17.1445432473728
Sycn	1.7412157510068
Junb	11.5949023733283
Prss3	3.86662070760087
Rps16	6.95290156731258
Pla2g1b	6.16874364965339
Rpl14	8.75360787119041
Rps19	30.4132793694732
Eef1b2	16.8849563167851
Rps3	6.16783864480943
Try10	1.8507122824514
Mb	13.4660431848047
Cfl1	12.7410352544058
Cd79a	17.1796803438533
Rps3a1	16.0146166020032
Rps7	34.7904830324457
Rps23	20.7620163382067
Rps13	12.9748184566325
Rps18	6.15999778035588
Rps29	34.3325115228528
Eef1a1	5.90105003231301
Rps4x	9.68878145171395
Rpl38	16.7728423086652
Myl6	20.5940834012372
Gm6654	13.1592557926837
Gm10334	2.88543342784264
Fosb	5.51602422724365
Atf4	5.56362878659129
Cd52	18.6169705172888
Apoe	3.86997550125824
Fth1	4.48179982371036
Pnliprp2	0.661790348757238
Actc1	13.9543459627434
Rps8	13.5823835667316
Egr1	4.55768535917622
Gp2	5.89955193231495
Cd69	18.6963708587072
Hspa8	12.986522442428
Gm5771	4.07592898573003
