Features	Overall
Ctrb1	2.91248414377825
Amy2a5	0.726125043008461
Cela2a	4.28640932139784
Cela1	0.651376876816414
2210010C04Rik	1.95666594836687
Cpa1	8.43222605603842
Pnlip	2.96747730666005
Cpb1	1.98711474188002
Amy2b	2.71345716772278
Try4	2.9814855170222
Clps	5.09648174850818
Actb	4.62269338667121
Cel	3.08048492083147
Rn4.5s	8.96227664308563
Prss2	4.40753516556416
Cela3b	1.96804479125555
Ctrl	3.73073611101418
Malat1	9.57628997038085
Try5	2.17152321379111
Beta-s	2.72016645902631
Rn45s	7.49370451533495
Rpl4	22.6120648728109
Rnase1	2.07321493837332
Gm13011	1.5501184101069
Rplp1	8.23762818906764
Zg16	5.05255502819626
Rps15	2.1952932385019
Cd74	6.34669786065944
Rps20	2.9387351322566
Pnliprp1	4.91945172300544
Jund	5.4722445473781
Reg1	1.24911976795441
Tpt1	14.0659916768903
Rps24	4.95763159619887
Tmsb4x	6.87899040829971
Nfkbia	3.01248223467318
Rps9	6.82112708883152
Rps5	10.8211826062948
Jun	27.1554474274505
Klf2	7.8649675272158
Fau	7.51169356849897
Cpa2	6.42772903985902
Hspa1b	5.43511735183779
Fos	44.2853452620625
Rpl32	11.2134030619806
Rpl23	5.78624622049052
Rplp2	8.16636238510449
Rpl13a	5.94720517940687
Rps14	5.63270160850538
H2-Ab1	9.74256575651398
Ubc	3.1753459583922
Rpl8	8.72452981871926
B2m	6.68202002910495
Hsp90aa1	2.19455164749197
Rpl35	8.61334427701041
Rps26	6.49300150471998
Lrrc58	3.18675601797169
Rpl13	8.1207366596219
H2-Aa	9.88004731201045
Rps21	9.0593202937019
Xist	3.78969703097552
Hsp90ab1	2.80608524285793
H2-K1	45.7542950207684
Chd3	12.1965036192647
Tnnt2	7.92966577832086
Ly6e	6.61040887191938
Rpl18a	5.3212086610501
Rpl41	7.60250876315283
H2-Eb1	16.260531872848
H3f3b	21.5078523480873
Hspa1a	5.4974793277851
Naa15	4.6408288839454
Eef2	10.2197740652383
Sycn	0.622901384933729
Junb	7.96339518933197
Prss3	0.199328443178793
Rps16	2.26047634164108
Pla2g1b	1.83828715210832
Rpl14	9.6411590366339
Rps19	6.82236585845253
Eef1b2	3.2946597761936
Rps3	3.59111944595444
Try10	2.54912651777888
Mb	4.25748686075311
Cfl1	9.13920268260937
Cd79a	6.64931016618365
Rps3a1	5.20356002568951
Rps7	4.89252056826418
Rps23	5.0464379062461
Rps13	2.01606482529408
Rps18	4.59445858750885
Rps29	5.64043343091605
Eef1a1	2.44410253846649
Rps4x	1.77066342279424
Rpl38	0.583747583595038
Myl6	3.43217990600363
Gm6654	2.55149480342249
Gm10334	3.32905601782877
Fosb	7.39539952710708
Atf4	9.73647397151013
Cd52	1.95628786468278
Apoe	4.26265545930452
Fth1	5.08968310978761
Pnliprp2	6.89352666777834
Actc1	5.56372284873804
Rps8	17.1607164851577
Egr1	4.39875504941514
Gp2	6.27772836519346
Cd69	26.14933976486
Hspa8	6.17089920364402
Gm5771	0.676292932213763
Rpsa	9.44729690721462
Gm5409	1.32190999362663
Rpl22	8.95981137641582
Chchd2	3.0590719438112
Eif1	12.5794152247696
Hspe1	9.84728981601623
Rps15a	6.11320059816949
Dmbt1	0.199328443178793
Rpl17	6.06702226167994
Ptprc	4.3838956253777
Rps28	3.72012146668303
H2-D1	15.3851055474009
Zfp36	20.4964958248602
Dnajb1	5.49541352074566
Uba52	3.4283294514496
Gnb2l1	2.00373291282752
Serinc3	9.19246317723066
Clu	4.33244291787845
Rps11	6.69986155985463
Cd79b	5.02898430291372
Ppp1r15a	6.78569327413952
Klf6	6.57554102696057
Gm13826	14.5053940003001
Tmsb10	4.73295844826163
Ucp2	16.2954030652003
Rpl19	23.0349008571647
Nppa	4.56658522671739
Pabpn1	9.03951133106951
Rpl39	10.6628870082445
Shisa5	29.1210705197225
Rps25	2.75441575883913
Gm1821	5.41759069295277
Rplp0	1.37750191982488
Rpl37	1.75409029997338
Klk1	4.51628032619089
Rpl27a	1.56962340296846
Ptma	0.929222301289375
Rpl12	5.42576911367941
Gnai2	7.80739052631976
Gnas	5.02872389478927
Lars2	14.1765815798918
Rpl24	6.95370256258504
Rpl23a	0.8919947832251
Lcp1	12.9354414036555
Laptm5	5.6531655026823
Hspa5	7.12041853514759
Arpc2	3.52256381850968
Spink3	0.847145883509872
Luc7l3	32.6183325584492
Rpl10	0.967573484597059
Rps10	1.17105460367541
Rpl28	4.1600290942991
Cox6c	3.83243397539951
Ddx5	6.16453153609123
Coro1a	6.00403981454224
Cd53	4.71182408640294
Rpl31	4.01757647271667
Sepw1	1.94688771651014
Ptprcap	3.38563093692332
Myh6	6.60560689698395
Tpm1	9.78228842348159
Purb	2.66100045448142
Rpl10a	4.01810651772902
Srgn	9.78644637235237
Npm1	7.10860240323092
Rac2	9.10403964807639
Cnn2	49.8675376653467
Rpl18	2.19306669728029
Btg2	14.99588916664
Cox6a2	12.8382370543359
Erdr1	95.7554655099863
Atp5e	10.2586107955623
Baz1a	7.38919483354239
Myl2	24.2930316366456
Sell	37.3228508170397
Cotl1	6.62515412319011
Rps27a	4.98484500124406
Hmha1	35.0539576430204
Satb1	0.779041998757117
Gimap6	8.11211483723235
Serbp1	9.915405124993
Dusp1	9.13894870226129
C3	4.57223381496873
Dgka	1.15739184362785
Tnni3	16.183066888574
Rpl5	6.10546222789501
Rpl36a	5.20240597368254
Eef1g	11.8471806888984
Mt1	1.98727293905714
OTU_201	7.46125047469887
OTU_202	0
OTU_203	0.750803802640121
OTU_204	0
OTU_205	0.239194131814552
OTU_206	2.06188813146099
OTU_207	0
OTU_208	1.93268115667239
OTU_209	0
OTU_210	0.281404860958296
OTU_211	0
OTU_212	0
OTU_213	8.07271171094985
OTU_214	0
OTU_215	0
OTU_216	9.99869471641497
OTU_217	0
OTU_218	7.17360852637768
OTU_219	1.97657601816853
OTU_220	17.0745758919911
OTU_221	0
OTU_222	5.39064707945244
OTU_223	3.98151263841465
OTU_224	6.14431531822754
OTU_225	8.42605747956592
OTU_226	0
OTU_227	0
OTU_228	14.2812009919272
OTU_229	3.74175283050032
OTU_230	0.28404303152978
OTU_231	8.03642777709735
OTU_232	4.63560905046842
OTU_233	6.34511411870522
OTU_234	7.57319066969834
OTU_235	6.3542736551076
OTU_236	0
OTU_237	0
OTU_238	0
OTU_239	2.15773039741044
OTU_240	3.44819648644989
OTU_241	1.05928829803587
OTU_242	8.47471205410246
OTU_243	0
OTU_244	0
OTU_245	0
OTU_246	18.3754457629603
OTU_247	0
OTU_248	0
OTU_249	0.475321672195584
OTU_250	1.23085313662905
OTU_251	7.65165256573719
OTU_252	0
OTU_253	0.539847866942565
OTU_254	0
OTU_255	0.271811513425627
OTU_256	0
OTU_257	0
