Features	Overall
CCL2_BacillusS	100
CCL2_BacteroidesV	41.8440104315618
CCL2_CandidaA	51.910036294293
CCL2_CD3.CD28	19.0681284508497
CCL2_ClostridiumP	65.4407679072218
CCL2_PBS	12.1559500788951
CCL2_PseudomonasA	84.5324231453331
CCL2_StaphA	28.094552347162
IL.1a_BacillusS	12.1297014730359
IL.1a_BacteroidesV	35.6247587136961
IL.1a_CandidaA	10.3266336591865
IL.1a_CD3.CD28	8.17115397022579
IL.1a_ClostridiumP	12.4323761080842
IL.1a_PBS	10.1043121844655
IL.1a_PseudomonasA	18.9219986544358
IL.1a_StaphA	8.65669690888443
IL.5_BacillusS	22.0181043338799
IL.5_BacteroidesV	49.7360739964531
IL.5_CandidaA	77.3825687290333
IL.5_CD3.CD28	8.65767663438985
IL.5_ClostridiumP	18.1197801394311
IL.5_PBS	10.5583689214285
IL.5_PseudomonasA	72.3415238388236
IL.5_StaphA	46.9833544350302
IFN.y_BacillusS	1.58173969857063
IFN.y_BacteroidesV	0.643644033648352
IFN.y_CandidaA	27.0851473967239
IFN.y_CD3.CD28	0
IFN.y_ClostridiumP	12.6677479277813
IFN.y_PBS	89.2217044596928
IFN.y_PseudomonasA	0.270835703965637
IFN.y_StaphA	3.01096566581323
TNF.a_BacillusS	16.6121806825821
TNF.a_BacteroidesV	26.9501420553534
TNF.a_CandidaA	20.4928940528518
TNF.a_CD3.CD28	7.48549886522922
TNF.a_ClostridiumP	34.8767822128612
TNF.a_PBS	9.21000829684492
TNF.a_PseudomonasA	33.923163907858
TNF.a_StaphA	42.1910804704108
CXCL1_BacillusS	26.8760322612246
CXCL1_BacteroidesV	21.7454241695862
CXCL1_CandidaA	27.9685658905123
CXCL1_CD3.CD28	15.0340254490774
CXCL1_ClostridiumP	28.5235948628204
CXCL1_PBS	49.4612154657588
CXCL1_PseudomonasA	2.70208341788298
CXCL1_StaphA	11.9064770545639
IL.1b_BacillusS	99.8473535734443
IL.1b_BacteroidesV	20.6913933037947
IL.1b_CandidaA	24.524025266847
IL.1b_CD3.CD28	38.3838479144837
IL.1b_ClostridiumP	14.9965238192182
IL.1b_PBS	48.3592852124869
IL.1b_PseudomonasA	67.1104121656546
IL.1b_StaphA	46.0491892410231
IL.10_BacillusS	7.20818478607147
IL.10_BacteroidesV	13.6830653803025
IL.10_CandidaA	14.9828772851269
IL.10_CD3.CD28	10.0795107441838
IL.10_ClostridiumP	9.70739230040954
IL.10_PBS	7.28061153245511
IL.10_PseudomonasA	7.78503556501029
IL.10_StaphA	7.63122663586541
CCL3_BacillusS	12.3140715265928
CCL3_BacteroidesV	9.71242199515013
CCL3_CandidaA	40.8247916858588
CCL3_CD3.CD28	14.3585986312582
CCL3_ClostridiumP	10.8862132464693
CCL3_PBS	19.361589693836
CCL3_PseudomonasA	7.80810761819407
CCL3_StaphA	1.2078225315513
CCL4_BacillusS	20.7140398407397
CCL4_BacteroidesV	29.6912566054371
CCL4_CandidaA	31.5092222691621
CCL4_CD3.CD28	6.46686688695413
CCL4_ClostridiumP	12.4661475869142
CCL4_PBS	50.023721870638
CCL4_PseudomonasA	34.399835619827
CCL4_StaphA	21.116159859316
IL.17_BacillusS	77.0463265254933
IL.17_BacteroidesV	14.2944352053214
IL.17_CandidaA	45.8536830076985
IL.17_CD3.CD28	2.72744682629884
IL.17_ClostridiumP	65.3132267289938
IL.17_PBS	60.1355439759167
IL.17_PseudomonasA	88.3593295700007
IL.17_StaphA	40.4299589217369
IL.6_BacillusS	17.9453156413101
IL.6_BacteroidesV	3.12936379227086
IL.6_CandidaA	31.3118876436958
IL.6_CD3.CD28	12.8767697165324
IL.6_ClostridiumP	18.5695899148552
IL.6_PBS	33.6673374406132
IL.6_PseudomonasA	16.9935156707625
IL.6_StaphA	12.0919844256459
IL.13_BacillusS	52.5836640752418
IL.13_BacteroidesV	15.4131204473439
IL.13_CandidaA	32.7231821466754
IL.13_CD3.CD28	7.69742365153684
IL.13_ClostridiumP	56.6526614631527
IL.13_PBS	15.8811652663269
IL.13_PseudomonasA	36.6663720327186
IL.13_StaphA	75.5498991374621
