Features	Overall
CCL2_BacillusS	28.6426568641037
CCL2_BacteroidesV	16.4517059933765
CCL2_CandidaA	14.271942229881
CCL2_CD3.CD28	30.1639842333094
CCL2_ClostridiumP	20.5228338348934
CCL2_PBS	7.93174692345114
CCL2_PseudomonasA	56.8454962336191
CCL2_StaphA	24.0447182815828
IL.1a_BacillusS	36.2240025393577
IL.1a_BacteroidesV	30.1863156839345
IL.1a_CandidaA	19.9748407351145
IL.1a_CD3.CD28	31.5451278367424
IL.1a_ClostridiumP	21.5229460562035
IL.1a_PBS	45.6270487364401
IL.1a_PseudomonasA	12.0898405570445
IL.1a_StaphA	38.813873405752
IL.5_BacillusS	23.8060368809031
IL.5_BacteroidesV	28.9737929356623
IL.5_CandidaA	18.5458355269535
IL.5_CD3.CD28	36.8385464337023
IL.5_ClostridiumP	40.1069198026668
IL.5_PBS	72.5374433981631
IL.5_PseudomonasA	30.5041821979769
IL.5_StaphA	35.0039306475547
IFN.y_BacillusS	21.9877337874767
IFN.y_BacteroidesV	27.5329349253513
IFN.y_CandidaA	5.91491456603716
IFN.y_CD3.CD28	42.8339976929212
IFN.y_ClostridiumP	43.4396884100116
IFN.y_PBS	41.2807095068542
IFN.y_PseudomonasA	65.4558014743321
IFN.y_StaphA	32.9342379791648
TNF.a_BacillusS	33.8219545048197
TNF.a_BacteroidesV	34.4122686010139
TNF.a_CandidaA	23.5515033955316
TNF.a_CD3.CD28	35.3534111338278
TNF.a_ClostridiumP	14.408130183849
TNF.a_PBS	37.3271459305738
TNF.a_PseudomonasA	15.5178480992713
TNF.a_StaphA	15.4619242098896
CXCL1_BacillusS	23.5472621599374
CXCL1_BacteroidesV	26.5105771207487
CXCL1_CandidaA	5.61877030539027
CXCL1_CD3.CD28	6.64708475395486
CXCL1_ClostridiumP	31.6517643580684
CXCL1_PBS	19.1288319788007
CXCL1_PseudomonasA	13.8070397817812
CXCL1_StaphA	11.1789932151551
IL.1b_BacillusS	17.2578762499816
IL.1b_BacteroidesV	19.2062865017219
IL.1b_CandidaA	35.1990811217439
IL.1b_CD3.CD28	38.4697030958842
IL.1b_ClostridiumP	47.4227439935222
IL.1b_PBS	38.0880484589336
IL.1b_PseudomonasA	18.4061088222516
IL.1b_StaphA	40.9518817307688
IL.10_BacillusS	28.4607814047283
IL.10_BacteroidesV	1.91622719104168
IL.10_CandidaA	18.5544047163935
IL.10_CD3.CD28	50.3093077412339
IL.10_ClostridiumP	47.6956227530284
IL.10_PBS	31.8215431129276
IL.10_PseudomonasA	34.3937310378416
IL.10_StaphA	11.0891296014978
CCL3_BacillusS	12.7456391819909
CCL3_BacteroidesV	28.0207308920121
CCL3_CandidaA	27.2383622162484
CCL3_CD3.CD28	20.7064830988616
CCL3_ClostridiumP	17.1532072966257
CCL3_PBS	14.536313478075
CCL3_PseudomonasA	52.9581550726691
CCL3_StaphA	16.3325905832044
CCL4_BacillusS	16.6247079710664
CCL4_BacteroidesV	37.2812715035424
CCL4_CandidaA	17.528045224342
CCL4_CD3.CD28	17.0924181594328
CCL4_ClostridiumP	22.5034084143451
CCL4_PBS	30.492045256096
CCL4_PseudomonasA	23.9455276966141
CCL4_StaphA	10.0578332321003
IL.17_BacillusS	0
IL.17_BacteroidesV	6.84640906803197
IL.17_CandidaA	21.2700748007709
IL.17_CD3.CD28	29.2781781489454
IL.17_ClostridiumP	38.7702447749217
IL.17_PBS	64.2423036139116
IL.17_PseudomonasA	31.2340055817162
IL.17_StaphA	17.4362541718228
IL.6_BacillusS	22.5966561424655
IL.6_BacteroidesV	35.2969833920003
IL.6_CandidaA	23.2623844543264
IL.6_CD3.CD28	37.5091384575816
IL.6_ClostridiumP	13.7871358359015
IL.6_PBS	34.2372121084559
IL.6_PseudomonasA	100
IL.6_StaphA	40.1636848106153
IL.13_BacillusS	42.2400033886576
IL.13_BacteroidesV	1.84991388706963
IL.13_CandidaA	23.2636320714025
IL.13_CD3.CD28	22.0523599527562
IL.13_ClostridiumP	13.9377553582925
IL.13_PBS	57.8083108959555
IL.13_PseudomonasA	57.2344993984762
IL.13_StaphA	24.078872297916
