Features	Overall
Ctrb1	3.63126829389964
Amy2a5	14.023676184921
Cela2a	17.1282389462735
Cela1	17.5013675593772
2210010C04Rik	11.5369219269082
Cpa1	31.3087136862862
Pnlip	24.0449314339699
Cpb1	15.4822758749118
Amy2b	16.2649315957384
Try4	31.4844305648218
Clps	18.2292621957083
Actb	33.8351222322717
Cel	8.66102901842945
Rn4.5s	11.2122740682881
Prss2	2.26939557952957
Cela3b	17.0650934720927
Ctrl	15.7529421703534
Malat1	19.1309093484154
Try5	33.7425249131921
Beta-s	5.7754383571751
Rn45s	20.7841977207551
Rpl4	16.9688156786325
Rnase1	14.823735667644
Gm13011	11.1455445487214
Rplp1	62.2176717295974
Zg16	5.04861237766696
Rps15	35.6968578831785
Cd74	34.3028217429595
Rps20	52.192348403592
Pnliprp1	2.6816614042769
Jund	38.0364301679277
Reg1	6.23612135086184
Tpt1	17.3019847318495
Rps24	47.8307360080797
Tmsb4x	44.1896849655797
Nfkbia	33.4838150914759
Rps9	64.6238816119134
Rps5	21.1537525638837
Jun	20.462197718005
Klf2	21.6565592369651
Fau	30.1691582763675
Cpa2	7.80251282646646
Hspa1b	20.2344357317372
Fos	26.4253399223883
Rpl32	12.3139147558428
Rpl23	49.8400902226276
Rplp2	88.5351100232493
Rpl13a	100
Rps14	94.6646744092065
H2-Ab1	31.0784908974255
Ubc	27.0785930657341
Rpl8	21.8465301949005
B2m	10.2357333531137
Hsp90aa1	19.1842845970658
Rpl35	42.2311767974668
Rps26	18.6466288077563
Lrrc58	25.6918563644783
Rpl13	25.4464593325623
H2-Aa	31.0845316273522
Rps21	32.9035078445836
Xist	27.9452993907701
Hsp90ab1	34.2555133878473
H2-K1	7.34194806197058
Chd3	31.3448081676024
Tnnt2	25.3956094153992
Ly6e	39.3008413538758
Rpl18a	22.8711206151068
Rpl41	22.0308255285635
H2-Eb1	33.9413473382277
H3f3b	15.2831292022066
Hspa1a	25.9805501953597
Naa15	7.35603089483643
Eef2	9.29936208420036
Sycn	1.88856120785068
Junb	41.6855387791034
Prss3	8.21528037089685
Rps16	19.0465801824272
Pla2g1b	0.691552995212693
Rpl14	60.2034834223774
Rps19	73.1990524349636
Eef1b2	31.9377183288636
Rps3	29.4280079238817
Try10	3.64061414756627
Mb	42.9776770213483
Cfl1	51.771430944019
Cd79a	63.0216010515521
Rps3a1	55.4549705312975
Rps7	38.5019431823809
Rps23	38.0362016041802
Rps13	45.2881270224061
Rps18	34.3391331586999
Rps29	42.0771700891777
Eef1a1	52.3443435906725
Rps4x	3.93687363281292
Rpl38	6.07760159300745
Myl6	8.66501985065819
Gm6654	38.8923318445215
Gm10334	7.32993908253754
Fosb	59.0783516337186
Atf4	21.6529617198769
Cd52	43.5319538669545
Apoe	8.64627419424961
Fth1	35.2875023497148
Pnliprp2	2.3455562024897
Actc1	23.0409849220923
Rps8	62.4812904907794
Egr1	39.6826292276323
Gp2	10.7850654404443
Cd69	25.0938769419041
Hspa8	23.2118634787164
Gm5771	8.26963924855419
Rpsa	22.7476412968833
Gm5409	3.11833274625771
Rpl22	10.4458073423105
Chchd2	21.1725017678549
Eif1	14.5367423201517
Hspe1	37.1872835218687
Rps15a	66.9668524103274
Dmbt1	4.48711017431646
Rpl17	53.6955443763766
Ptprc	10.3497352454183
Rps28	62.8209453605559
H2-D1	48.1709565491803
Zfp36	23.6924909367147
Dnajb1	24.5951350859819
Uba52	60.4384788818887
Gnb2l1	45.6978912071033
Serinc3	40.6232405320423
Clu	17.8310700571987
Rps11	72.2079700427135
Cd79b	49.1500137956929
Ppp1r15a	52.5635054227184
Klf6	55.6223637483833
Gm13826	41.1353429129544
Tmsb10	22.5825113024147
Ucp2	29.6994783081309
Rpl19	11.1417107705957
Nppa	22.33042502588
Pabpn1	22.412915075033
Rpl39	27.2358631912525
Shisa5	16.0973449856779
Rps25	41.7976629656478
Gm1821	11.7556338400565
Rplp0	32.0206748668855
Rpl37	14.1092509408451
Klk1	4.30954288295519
Rpl27a	26.1279122762878
Ptma	14.1962596041472
Rpl12	19.7530645595905
Gnai2	22.5560061165439
Gnas	71.0447126208944
Lars2	37.7469190585027
Rpl24	50.8809375731604
Rpl23a	19.4295218832904
Lcp1	79.9077724246197
Laptm5	52.6979219993229
Hspa5	16.4503160260728
Arpc2	60.0574501752739
Spink3	0
Luc7l3	5.61066678128756
Rpl10	54.7594915101343
Rps10	37.5873378947425
Rpl28	44.5135093357168
Cox6c	21.5909571014741
Ddx5	13.883419564029
Coro1a	40.6393260532991
Cd53	29.9392258550718
Rpl31	18.9193392368048
Sepw1	16.8951730349975
Ptprcap	8.25937983459632
Myh6	6.79707456336551
Tpm1	4.80917527521075
Purb	22.2485082702562
Rpl10a	10.1119989733823
Srgn	41.8609116333029
Npm1	15.3085722875041
Rac2	25.4282709673101
Cnn2	25.2481245752495
Rpl18	46.824682885324
Btg2	35.4788063560904
Cox6a2	6.89074331504508
Erdr1	45.9215332317373
Atp5e	18.0925436965224
Baz1a	35.9939238403981
Myl2	27.0277322262591
Sell	97.0843761751932
Cotl1	22.1274155900044
Rps27a	30.297515945991
Hmha1	23.0982133659171
Satb1	44.0058304467549
Gimap6	17.5598329052111
Serbp1	17.1145010695566
Dusp1	43.1659727921383
C3	25.1432986024646
Dgka	19.2650466165292
Tnni3	32.7122687129047
Rpl5	32.0392595832687
Rpl36a	13.8316869799198
Eef1g	31.8555684006833
Mt1	10.6836981256455
