Features	Overall
Ctrb1	7.95857071592279
Amy2a5	5.38693990397286
Cela2a	9.87636606820508
Cela1	8.66595722836073
2210010C04Rik	3.84704696864542
Cpa1	11.8596713586483
Pnlip	9.57656574667876
Cpb1	3.76860484609642
Amy2b	2.83423540211449
Try4	12.328531002048
Clps	11.3614350854436
Actb	10.5257318504512
Cel	8.91922687022128
Rn4.5s	17.1981884305555
Prss2	10.1516547113685
Cela3b	8.28607898729955
Ctrl	9.16725194948703
Malat1	5.28207735765175
Try5	6.57902901288639
Beta-s	9.44533842279913
Rn45s	10.6150218215724
Rpl4	27.6536719626878
Rnase1	2.85324524205244
Gm13011	2.38747814859249
Rplp1	17.7493200736253
Zg16	2.31087450105361
Rps15	7.29705741746018
Cd74	15.2976896055072
Rps20	12.1412512592349
Pnliprp1	12.9277672140817
Jund	8.99627414973794
Reg1	7.76965993413525
Tpt1	24.5830525507059
Rps24	10.4471889139151
Tmsb4x	24.1762156660329
Nfkbia	2.82562548423875
Rps9	8.52697081050436
Rps5	14.5215096795045
Jun	42.6261047225773
Klf2	20.8773757157121
Fau	12.0570387622779
Cpa2	12.9588281130807
Hspa1b	18.4651176076579
Fos	50.0119676332071
Rpl32	26.4776910704851
Rpl23	23.1398816289582
Rplp2	14.7195530650338
Rpl13a	7.8042100375786
Rps14	13.9790084152206
H2-Ab1	14.6240692562188
Ubc	13.422346505222
Rpl8	13.8238706537689
B2m	33.5094343476199
Hsp90aa1	5.90446703130471
Rpl35	21.4779503293964
Rps26	15.1361574006213
Lrrc58	5.55526199834349
Rpl13	8.00725880410418
H2-Aa	22.9402473072412
Rps21	16.1692188915193
Xist	13.7403096377545
Hsp90ab1	12.937677313681
H2-K1	49.604825509607
Chd3	22.6479454234176
Tnnt2	12.351375931673
Ly6e	11.0055615754311
Rpl18a	9.15262216615606
Rpl41	7.01977514502257
H2-Eb1	31.232269916262
H3f3b	34.4205923576969
Hspa1a	10.9585702912027
Naa15	12.5977030097456
Eef2	31.7606253606653
Sycn	4.69711741657943
Junb	25.3768259719717
Prss3	0
Rps16	4.27943564023771
Pla2g1b	4.26571579992201
Rpl14	17.4695113437954
Rps19	14.1546100720457
Eef1b2	11.9921188135032
Rps3	8.97699288372383
Try10	1.17412242880052
Mb	19.9445979743694
Cfl1	30.3010734801659
Cd79a	10.7206668395895
Rps3a1	17.708221236778
Rps7	18.6948108626113
Rps23	12.1490949607736
Rps13	3.41001435978939
Rps18	18.0084595491537
Rps29	12.6300949086801
Eef1a1	12.7519981703353
Rps4x	6.74899265147212
Rpl38	6.31465407634257
Myl6	7.60665792881758
Gm6654	14.2157850565935
Gm10334	4.64996533623029
Fosb	11.4171539044565
Atf4	12.3799814972275
Cd52	5.8589072725335
Apoe	15.4163191408614
Fth1	6.63645645733837
Pnliprp2	0.901702141098317
Actc1	21.8961412807327
Rps8	49.3740972386298
Egr1	8.50204166035129
Gp2	9.55180356531599
Cd69	30.4896947922848
Hspa8	9.66020436961217
Gm5771	2.29198305410397
Rpsa	21.1820156770941
Gm5409	1.69288050568863
Rpl22	13.0086038090659
Chchd2	16.6167787844168
Eif1	27.7872730305766
Hspe1	18.4124264017201
Rps15a	6.45974524033095
Dmbt1	0.949256514448714
Rpl17	20.3617572327081
Ptprc	8.37910510392651
Rps28	6.33784293529693
H2-D1	26.0517063016603
Zfp36	25.0741082420562
Dnajb1	18.8968889715413
Uba52	9.62734292963764
Gnb2l1	8.09056516260224
Serinc3	29.5248250170368
Clu	11.6911005147771
Rps11	10.6643686637415
Cd79b	9.61460572528278
Ppp1r15a	15.1289949713673
Klf6	15.9529428839367
Gm13826	16.3969750598867
Tmsb10	5.80496675797627
Ucp2	25.643497911656
Rpl19	42.3135429349379
Nppa	11.2049220299212
Pabpn1	16.7289357515279
Rpl39	13.8501426352951
Shisa5	37.6415919888563
Rps25	10.2667560212472
Gm1821	10.8230934715467
Rplp0	12.9912678446831
Rpl37	16.3995535133373
Klk1	4.24680767287363
Rpl27a	3.78377256845824
Ptma	5.80874028120127
Rpl12	13.3016358666377
Gnai2	11.0221408957754
Gnas	13.1313263246456
Lars2	20.4172199110817
Rpl24	21.377170860916
Rpl23a	6.33535846771394
Lcp1	23.6261264925339
Laptm5	7.2354794521431
Hspa5	20.4599716774192
Arpc2	7.45580878352879
Spink3	2.64135743853596
Luc7l3	49.2340656897025
Rpl10	6.67630163950515
Rps10	11.2114562094392
Rpl28	6.17665355686321
Cox6c	16.2377638938393
Ddx5	13.3102365694768
Coro1a	7.67191515042812
Cd53	11.6621310484315
Rpl31	9.58310210578469
Sepw1	14.0284421057502
Ptprcap	7.12350320345768
Myh6	15.2967349658848
Tpm1	20.2776729706842
Purb	4.11693013144014
Rpl10a	8.47985577411109
Srgn	13.2115962187818
Npm1	12.6585146730956
Rac2	23.4077797239224
Cnn2	50.5957786869716
Rpl18	7.26029312560728
Btg2	24.695413127949
Cox6a2	27.6202481909249
Erdr1	100
Atp5e	12.912572595818
Baz1a	13.2163836218152
Myl2	26.5202539725456
Sell	69.0850836304409
Cotl1	11.6889236475636
Rps27a	11.710090358191
Hmha1	44.6689795749016
Satb1	11.1456993570334
Gimap6	36.3381402293032
Serbp1	20.1319283869015
Dusp1	10.9275361045976
C3	10.6533993764846
Dgka	7.49542674516524
Tnni3	32.4441216854724
Rpl5	7.79312101763498
Rpl36a	13.7903574925652
Eef1g	23.6669720305979
Mt1	11.1843414812949
