Features	Overall
OTU_1	46.0642955077991
OTU_2	0
OTU_3	16.7165073847808
OTU_4	0
OTU_5	12.8453002142436
OTU_6	43.5041999385473
OTU_7	0
OTU_8	35.80989356551
OTU_9	3.50771057481477
OTU_10	6.67176379720438
OTU_11	0
OTU_12	0
OTU_13	62.8580971002418
OTU_14	9.00300694464155
OTU_15	0
OTU_16	64.4872887915442
OTU_17	0
OTU_18	53.5242331957907
OTU_19	63.8234151279675
OTU_20	75.2505178302368
OTU_21	0
OTU_22	63.9909783127255
OTU_23	72.6127553373864
OTU_24	70.1610886047498
OTU_25	54.7147565818221
OTU_26	0
OTU_27	0
OTU_28	65.4184271319995
OTU_29	81.1750117643884
OTU_30	3.31365153270363
OTU_31	72.8530289019954
OTU_32	57.8876666555515
OTU_33	85.4784728947303
OTU_34	62.3419892829802
OTU_35	57.1873087741609
OTU_36	14.5221279218698
OTU_37	4.23308491396443
OTU_38	0
OTU_39	50.7465855018108
OTU_40	36.2224017653788
OTU_41	2.93949836347497
OTU_42	85.0436900111587
OTU_43	19.3873818303372
OTU_44	4.20846280401948
OTU_45	12.7554325538513
OTU_46	71.9352489469881
OTU_47	0
OTU_48	18.1632926028777
OTU_49	4.551760602492
OTU_50	32.4538225779879
OTU_51	58.514993798648
OTU_52	5.26885127920009
OTU_53	26.3146450017487
OTU_54	2.65261509599712
OTU_55	20.0683900236876
OTU_56	0
OTU_57	0
OTU_58	31.5687990855636
OTU_59	11.8989940924882
OTU_60	62.1144381905319
OTU_61	0
OTU_62	43.0950560581053
OTU_63	1.5233775037203
OTU_64	28.1362330494247
OTU_65	31.3568500896267
OTU_66	29.4327763523829
OTU_67	58.5991774764542
OTU_68	8.62986124578159
OTU_69	0
OTU_70	25.2569950831903
OTU_71	1.96919206567277
OTU_72	22.2707352877153
OTU_73	54.9591819437331
OTU_74	0
OTU_75	2.6516822298802
OTU_76	14.7416682184633
OTU_77	16.6975534287646
OTU_78	46.9226134017365
OTU_79	74.6945461593136
OTU_80	28.2424466352095
OTU_81	2.71041675442676
OTU_82	48.685492621231
