num	Feature
1	Amy2b
2	Cela2a
3	Amy2a5
4	Try4
5	Prss2
6	Cpb1
7	Pnlip
8	Cela3b
9	Try5
10	Clps
11	Gm13011
12	Zg16
13	Rnase1
14	Cel
15	Ctrb1
16	Cpa1
17	Ctrl
18	Cela1
19	2210010C04Rik
20	Pnliprp1
21	Reg1
22	Xist
23	Cpa2
24	Sycn
25	Try10
26	Pnliprp2
27	Dmbt1
28	Pla2g1b
29	Prss3
30	Gp2
31	Gm5409
32	Spink3
33	Gm10334
34	Gm5771
35	Klk1
36	Tff2
37	Reg2
38	S100a9
39	Prss1
40	Cfd
41	Alas2
42	Glycam1
43	Fosb
44	Eif2s3y
45	S100a8
46	Ddx3y
47	Amy1
48	Cuzd1
49	Beta-s
50	Klk1b5
51	Reg3b
52	Pdia2
53	Nupr1
54	Nr4a1
55	Klf4
56	Atf3
57	Ngp
58	5730408K05Rik
59	Zcchc3
60	Car3
61	Retnlg
62	Cxcl10
63	Maff
64	Nfkbiz
65	Pln
66	Pam
67	Reg3d
68	Ccl4
69	Gm20594
70	Thrsp
71	Uty
72	Hspb1
73	Fabp3
74	Csrp3
75	Slc15a2
76	Lcn2
77	Ankrd1
78	Bgn
79	Ckmt2
80	Sln
81	Dusp1
82	Cryab
83	Nppa
84	Myh7
85	Sparc
86	Mt2
87	Kcnk3
88	Phlda1
89	Camp
90	Nexn
91	Smpx
92	Serpina3n
93	Ctla4
94	Rhob
95	Nr4a2
96	Fos
97	Plvap
98	Fabp4
99	Lpl
100	Ccl19
101	Serpini2
102	Ppp1r15a
103	Tcap
104	Clp1
105	Map3k8
106	Cox8b
107	Me1
108	Slc28a2
109	Gm20199
110	Ifit1
111	Usmg5
112	Dnajb4
113	6330407A03Rik
114	Isg15
115	Igfbp7
116	Eef1a2
117	Timp3
118	Gm5176
119	Dpt
120	Ldb3
121	Cygb
122	Saa3
123	Trim59
124	B4galt5
125	Myh6
126	Lrg1
127	Hspb7
128	Mt1
129	Dcn
130	Lars2
131	Des
132	Gsdma
133	Fkrp
134	Gem
135	Ttn
136	Odc1
137	Serping1
138	Adipoq
139	Opa3
140	Ank1
141	Mat2b
142	Sik1
143	Adprhl1
144	Popdc2
145	Ubxn11
146	Casq2
147	Lmna
148	Rnf114
149	Gstm1
150	Tgfbi
151	Dgat2
152	Igf1
153	Col3a1
154	Hexim1
155	Col1a2
156	Pag1
157	Trp53inp2
158	Tsix
159	Pim1
160	Myl4
161	Ins1
162	Srl
163	Retnla
164	Siah2
165	Sdpr
166	Rictor
167	Gas6
168	Cav1
169	Hist1h2bc
170	Epm2aip1
171	Esyt2
172	Gstm2
173	Myl1
174	Fhl2
175	Tor1a
176	Cxcl13
177	Igfbp6
178	Col4a2
179	Mgp
180	Pim3
181	Crebbp
182	Gla
183	Ccdc71
184	Cmya5
185	Tnfaip3
186	Rest
187	Gm8369
188	Sep15
189	Jph2
190	Lats2
191	Slirp
192	Rcan2
193	Ccng2
194	Gbp6
195	Tead1
196	Ilvbl
197	Prelp
198	Cpne1
199	Lum
200	Serpinh1
201	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Bifidobacteriales; D_4__Bifidobacteriaceae; D_5__Bifidobacterium
202	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Corynebacteriales; D_4__Corynebacteriaceae; D_5__Corynebacterium
203	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Atopobiaceae; D_5__Coriobacteriaceae UCG-002
204	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Atopobiaceae; D_5__Coriobacteriaceae UCG-002; D_6__uncultured bacterium
205	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae
206	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__Enterorhabdus; Ambiguous_taxa
207	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__Enterorhabdus; D_6__mouse gut metagenome
208	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__Enterorhabdus; D_6__uncultured bacterium
209	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__Paraeggerthella
210	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__uncultured; D_6__uncultured bacterium
211	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__uncultured; D_6__uncultured Coriobacteriales bacterium
212	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales
213	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides
214	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__Bacteroides thetaiotaomicron
215	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Dysgonomonadaceae; D_5__Proteiniphilum; D_6__Inostemma sp. AD-2014
216	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Marinifilaceae; D_5__Odoribacter
217	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Marinifilaceae; D_5__Odoribacter; Ambiguous_taxa
218	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Marinifilaceae; D_5__Odoribacter; D_6__uncultured bacterium
219	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae
220	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; Ambiguous_taxa; Ambiguous_taxa
221	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__Muribaculum; D_6__Parabacteroides sp. YL27
222	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__Muribaculum; D_6__uncultured bacterium
223	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured bacterium; D_6__uncultured bacterium
224	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured Bacteroidales bacterium; D_6__uncultured Bacteroidales bacterium
225	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured organism; D_6__uncultured organism
226	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prevotellaceae
227	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prevotellaceae; D_5__Paraprevotella; D_6__uncultured bacterium
