	02-3_AtgE_NYU	02-4_AtgE_NYU	02-7_AtgE_NYU	02-8_AtgE_NYU	02-9_AtgE_NYU	30-10_AtgH_NYU	30-21_AtgH_NYU	30-33_AtgH_NYU	30-36_AtgH_NYU	30-9_AtgH_NYU	31-27_AtgW_NYU	31-29_AtgW_NYU	31-31_AtgW_NYU	31-80_AtgW_NYU	31-90_AtgW_NYU	32-1_AtgW_NYU	32-2_AtgW_NYU	32-5_AtgW_NYU	32-8_AtgW_NYU	50_48_48_NOD2_SF	50_48_49_B6_SF	50_48_51_NOD2_SF	50_48_52_AtgE_SF	50_48_53_AtgH_SF	50_48_57_NOD2_SF	50_49_48_AtgH_SF	50_49_49_AtgW_SF	50_49_50_AtgE_SF	50_49_51_AtgH_SF	50_49_54_AtgW_SF	50_50_48_AtgW_SF	50_50_49_AtgW_SF	50_50_50_NOD2_SF	50_50_54_AtgE_SF	50_50_55_AtgH_SF	50_50_57_NOD2_SF	50_51_48_B6_SF	50_51_49_AtgH_SF	50_51_50_B6_SF	50_51_52_AtgH_SF	50_51_53_NOD2_SF	50_51_54_NOD2_SF	50_51_55_NOD2_SF	50_52_48_NOD2_SF	50_52_52_AtgE_SF	50_52_53_AtgE_SF	50_53_49_AtgE_SF	50_53_50_AtgE_SF	50_53_52_NOD2_SF	50_53_55_AtgH_SF	50_53_56_AtgE_SF	50_53_57_AtgE_SF	50_54_49_AtgE_SF	50_54_52_AtgW_SF	50_54_53_AtgW_SF	50_54_54_AtgE_SF	50_55_48_AtgH_SF	50_55_50_AtgE_SF	50_55_51_B6_SF	50_55_53_AtgH_SF	50_55_54_AtgH_SF	50_55_56_AtgE_SF	50_55_57_AtgE_SF	50_56_48_AtgH_SF	50_56_50_AtgW_SF	50_56_51_AtgE_SF	50_56_52_AtgW_SF	50_56_54_AtgW_SF	50_56_56_AtgH_SF	50_57_48_AtgE_SF	50_57_49_AtgW_SF	50_57_50_NOD2_SF	50_57_51_AtgH_SF	50_57_52_NOD2_SF	50_57_56_AtgH_SF	51_48_49_AtgW_SF	51_48_51_NOD2_SF	51_48_55_NOD2_SF	51_48_56_AtgE_SF	51_48_57_AtgW_SF	51_49_49_NOD2_SF	51_49_51_AtgH_SF	51_49_57_AtgH_SF	51_50_48_NOD2_SF	51_50_50_NOD2_SF	51_50_54_AtgH_SF	51_50_55_NOD2_SF	51_50_56_AtgH_SF	51_50_57_AtgE_SF	51_51_49_AtgH_SF	51_51_50_AtgE_SF	51_51_52_NOD2_SF	51_51_55_AtgH_SF	51_51_57_AtgW_SF	51_52_49_NOD2_SF	51_52_50_NOD2_SF	51_52_51_NOD2_SF	51_52_53_NOD2_SF	51_52_54_AtgE_SF	51_52_55_B6_SF	51_52_56_AtgE_SF	51_53_50_AtgH_SF	51_53_53_AtgW_SF	51_53_56_NOD2_SF	51_53_57_AtgE_SF	51_54_50_NOD2_SF	51_54_53_NOD2_SF	51_54_55_AtgW_SF	51_55_50_AtgE_SF	51_55_53_B6_SF	51_55_55_NOD2_SF	51_56_49_AtgE_SF	51_56_51_AtgW_SF	51_56_52_AtgH_SF	51_56_53_AtgE_SF	51_56_54_B6_SF	51_56_56_AtgH_SF	51_57_48_AtgW_SF	51_57_49_AtgE_SF	51_57_50_AtgW_SF	51_57_53_NOD2_SF	51_57_56_AtgE_SF	51_57_57_AtgH_SF	57-1_B6_NYU	57-2_B6_NYU	57-3_B6_NYU	57-4_B6_NYU	57-5_B6_NYU	59-1_B6_NYU	59-2_B6_NYU	59-3_B6_NYU	59-4_B6_NYU	59-5_B6_NYU	61-1_NOD2_NYU	61-2_NOD2_NYU	61-3_NOD2_NYU	61-4_NOD2_NYU	64-1_NOD2_NYU	64-2_NOD2_NYU	64-3_NOD2_NYU	64-4_NOD2_NYU	64-5_NOD2_NYU	65-1_NOD2_NYU	65-2_NOD2_NYU	65-3_NOD2_NYU	65-4_NOD2_NYU	65-5_NOD2_NYU	66-1_NOD2_NYU	66-2_NOD2_NYU	66-3_NOD2_NYU	66-4_NOD2_NYU	66-5_NOD2_NYU	70-1_AtgE_NYU	70-2_AtgE_NYU	70-3_AtgE_NYU	70-7_AtgE_NYU	70-9_AtgE_NYU	71-3_AtgE_NYU	71-6_AtgE_NYU	71-7_AtgE_NYU	71-8_AtgE_NYU	71-9_AtgE_NYU	76-1_AtgE_NYU	76-2_AtgE_NYU	76-3_AtgE_NYU	76-4_AtgE_NYU	76-5_AtgE_NYU	77-76_AtgH_NYU	77-77_AtgH_NYU	77-78_AtgH_NYU	77-79_AtgH_NYU	77-80_AtgH_NYU	78-84_AtgH_NYU	78-85_AtgH_NYU	82-5_AtgH_NYU	82-7_AtgH_NYU	82-8_AtgH_NYU	82-92_AtgH_NYU	82-94_AtgH_NYU	86-3_AtgH_NYU	86-6_AtgH_NYU	86-7_AtgH_NYU	86-8_AtgH_NYU	86-9_AtgH_NYU
02-3_AtgE_NYU	0	0.300112365	0.477014021	0.766964678	0.739068836	0.703551712	0.610679564	0.581122673	0.656065269	0.402071425	0.487664273	0.555034442	0.217206507	0.328301334	0.516146368	0.638770824	0.732375788	0.666617812	0.698910548	0.743661146	0.739313108	0.685915287	0.628364844	0.769211979	0.345058381	0.754262543	0.730861302	0.707313498	0.657726318	0.640529581	0.745713029	0.720895012	0.685964141	0.764326543	0.702770043	0.665054473	0.669646783	0.775514192	0.558649665	0.633152572	0.665201036	0.651424105	0.815428209	0.817968635	0.736968098	0.755923592	0.712687479	0.760369339	0.678977967	0.642483756	0.765401339	0.741755826	0.658556842	0.676486394	0.743172602	0.738140603	0.714885925	0.650105037	0.7313987	0.720455323	0.763105183	0.665787288	0.688797694	0.750989301	0.793883433	0.78264693	0.740045923	0.674239093	0.708730275	0.69524647	0.686012995	0.881674728	0.777468367	0.718403439	0.662514046	0.694025111	0.754409106	0.771752406	0.808539743	0.579705897	0.756021301	0.626215252	0.77492794	0.39361962	0.497435146	0.747276369	0.698666276	0.807660364	0.765841028	0.681371831	0.707753188	0.640383018	0.648395134	0.641653232	0.686208413	0.492207729	0.547706288	0.735600176	0.71371342	0.77180126	0.715179051	0.752015243	0.719771362	0.594704187	0.675167326	0.589183644	0.667350628	0.770579901	0.75646099	0.411060628	0.754213689	0.772094387	0.820069373	0.649030241	0.757780058	0.818652597	0.589085935	0.663588842	0.612096341	0.685671015	0.663198007	0.696174703	0.657677463	0.662611754	0.603839953	0.743123748	0.763251747	0.610484147	0.576970052	0.569983878	0.520005863	0.372758806	0.820167082	0.652108066	0.674776491	0.650593581	0.624945039	0.692803752	0.705896722	0.579510479	0.4778934	0.552640578	0.493868777	0.36665201	0.508867067	0.717133226	0.761102154	0.670428453	0.620792418	0.68337486	0.760857883	0.656358396	0.789584249	0.697835752	0.627827446	0.499242757	0.589085935	0.467536274	0.525135571	0.267966193	0.584053935	0.504079339	0.716107284	0.749572524	0.768137183	0.707118081	0.689921344	0.677756608	0.737310079	0.67868484	0.730128487	0.760613611	0.741316137	0.670428453	0.475010992	0.454687576	0.280863745	0.577312033	0.587473741	0.51941961	0.476916312	0.452586839	0.537593434	0.30934584
02-4_AtgE_NYU	0.300112365	0	0.459670722	0.723875128	0.786897259	0.730714739	0.591870634	0.575260149	0.700815868	0.287801065	0.432165714	0.462260003	0.292344521	0.143778397	0.51863794	0.694073966	0.741511554	0.64062729	0.714006546	0.730079633	0.675948996	0.699936489	0.682837462	0.799159705	0.223020177	0.768137183	0.739948214	0.711368411	0.638135717	0.630074747	0.738971127	0.713078314	0.690996141	0.796619278	0.687820607	0.675948996	0.666959793	0.812692364	0.510821242	0.654013386	0.632175485	0.63447164	0.832429528	0.792320094	0.722360643	0.760222776	0.690214471	0.747080952	0.67140554	0.671747521	0.807220675	0.770970736	0.638966242	0.655869852	0.74952367	0.745615321	0.750109922	0.623821388	0.771556989	0.754848796	0.748986272	0.681225267	0.693390004	0.741364991	0.745371049	0.779911085	0.70833944	0.70296546	0.729835361	0.684938199	0.685573306	0.848062924	0.769651668	0.654892765	0.629488495	0.698324295	0.770531047	0.737603205	0.804533685	0.66793688	0.740045923	0.602276613	0.78880258	0.395622649	0.485612389	0.73989936	0.702232644	0.797156676	0.796716987	0.704724217	0.692754898	0.650837852	0.626606087	0.658605696	0.757975475	0.557477161	0.488152816	0.795349064	0.725585031	0.767160096	0.718891983	0.763056329	0.742635204	0.618545117	0.658214861	0.544091065	0.624456495	0.758268601	0.71527676	0.305779471	0.788607162	0.790219356	0.83223411	0.673848258	0.756754116	0.832966926	0.631247252	0.684254238	0.622453466	0.761102154	0.61253603	0.747813767	0.684645073	0.718843129	0.608871953	0.715130197	0.780741609	0.559871024	0.527285163	0.55288485	0.422004006	0.398407348	0.775367629	0.725975866	0.711417265	0.634276223	0.633738825	0.711172993	0.679515365	0.492061166	0.424984122	0.505838097	0.44633348	0.284234696	0.436025209	0.717719478	0.766818115	0.650886707	0.682251209	0.708534858	0.792662074	0.672040647	0.802432947	0.728907128	0.656944648	0.464556158	0.51751429	0.457960819	0.475597245	0.3077825	0.548243686	0.489911574	0.689188529	0.725438468	0.782891201	0.740339049	0.710782158	0.717475206	0.70296546	0.675704724	0.690116762	0.752015243	0.674141385	0.717230935	0.485563535	0.434266452	0.255117495	0.506277786	0.613903952	0.425130685	0.380819776	0.369827544	0.481801749	0.294152132
02-7_AtgE_NYU	0.477014021	0.459670722	0	0.733890273	0.713176022	0.653085153	0.473301089	0.669695637	0.752650349	0.39283795	0.535834677	0.580682984	0.47017441	0.416776589	0.472177439	0.607210904	0.760467048	0.723288876	0.666666667	0.705847868	0.730323904	0.647418047	0.727978895	0.784747667	0.491035224	0.720357614	0.626312961	0.683326005	0.627876301	0.625775563	0.737652059	0.737261224	0.670770433	0.608578827	0.690849577	0.750207631	0.751038155	0.756607553	0.586545508	0.723288876	0.676681812	0.674776491	0.848942303	0.818310616	0.750256485	0.785285065	0.743807709	0.752308369	0.708632566	0.728614002	0.759001417	0.709316527	0.677610044	0.656504959	0.706482974	0.727001808	0.714788216	0.610826127	0.702428062	0.755581611	0.667790317	0.66099956	0.702134936	0.757096097	0.805803899	0.764815086	0.738140603	0.640871562	0.699789926	0.705359324	0.729688798	0.894425717	0.772973765	0.705554741	0.691240412	0.693780839	0.770140212	0.762421222	0.811129024	0.648199717	0.754164835	0.622600029	0.64253261	0.543651375	0.449215887	0.752650349	0.731252137	0.780888172	0.739557379	0.720895012	0.743465729	0.665396453	0.677658899	0.672920025	0.748693146	0.258488446	0.515315843	0.747374078	0.6821535	0.752308369	0.748986272	0.749181689	0.72377742	0.692364063	0.670086472	0.641653232	0.688358005	0.775074503	0.631247252	0.425863501	0.68640383	0.795153647	0.834872246	0.643118863	0.785822463	0.826420441	0.633592261	0.705115052	0.587327178	0.688699985	0.675216181	0.711954663	0.676046705	0.768088329	0.690263325	0.622111486	0.700913577	0.662758317	0.462260003	0.591284381	0.574283062	0.460843226	0.805364209	0.686012995	0.698861693	0.71952709	0.709267673	0.67106356	0.692364063	0.630709854	0.548585666	0.574625043	0.527675998	0.261419708	0.557086326	0.730519322	0.767795203	0.727099516	0.653671406	0.74605501	0.717035517	0.733987982	0.730323904	0.724705652	0.756021301	0.561434364	0.56485417	0.557574869	0.5590405	0.495969515	0.552640578	0.219893497	0.683081733	0.781572133	0.759734232	0.74449167	0.710098197	0.669304802	0.745224486	0.745517612	0.748839709	0.728565147	0.713908838	0.693145733	0.518198251	0.554790171	0.459621867	0.648004299	0.689188529	0.566515218	0.478479652	0.525526406	0.560261859	0.297523084
02-8_AtgE_NYU	0.766964678	0.723875128	0.733890273	0	0.5763838	0.58288143	0.624993893	0.510674679	0.656358396	0.670721579	0.609409351	0.573354829	0.726952953	0.718501148	0.75914798	0.544579608	0.385070106	0.598563682	0.676632957	0.449313596	0.677316918	0.550637549	0.576823489	0.600664419	0.695881577	0.557721432	0.515853241	0.557574869	0.517367727	0.546826909	0.475890371	0.564267917	0.60369339	0.628804534	0.468073672	0.587082906	0.611803215	0.649763056	0.618935952	0.643753969	0.674239093	0.446235771	0.622306903	0.458937906	0.511212077	0.546778055	0.413112512	0.445014412	0.493819923	0.57369681	0.600517856	0.662172065	0.58097611	0.594166789	0.552396307	0.450876936	0.559187063	0.586838634	0.685671015	0.459133324	0.578142557	0.653378279	0.769651668	0.500806097	0.537984269	0.41208657	0.498656505	0.63256632	0.476965167	0.48360936	0.582295178	0.652498901	0.409985832	0.566466364	0.449411305	0.450095266	0.437393131	0.451267771	0.525526406	0.591333236	0.65718892	0.579119644	0.699643363	0.632761737	0.603791099	0.417313987	0.490400117	0.537788851	0.516634911	0.524598173	0.453466217	0.473985051	0.47711173	0.6799062	0.588011139	0.79339489	0.570423567	0.486003224	0.647418047	0.530656114	0.496506913	0.428892472	0.492061166	0.569690752	0.507352582	0.606966632	0.474522449	0.547071181	0.612975719	0.718794274	0.644975329	0.304460404	0.52020128	0.405393522	0.450779227	0.558112267	0.564267917	0.41667888	0.685964141	0.592554595	0.471542332	0.714250818	0.454150178	0.689139675	0.591821779	0.688651131	0.758415164	0.616981777	0.597391177	0.650886707	0.607992574	0.71605843	0.62294201	0.489813865	0.52288827	0.606966632	0.597391177	0.715521032	0.695441888	0.593189701	0.609507059	0.578582246	0.566954907	0.728125458	0.688504568	0.481020079	0.504323611	0.568713665	0.660413308	0.884459426	0.722507206	0.842004983	0.687136646	0.693878548	0.884019737	0.609555914	0.624114515	0.615125311	0.590746983	0.704675363	0.588304265	0.743465729	0.639259368	0.73530705	0.666520104	0.701646392	0.841956129	0.578337974	0.450632664	0.632224339	0.712540916	0.696565538	0.697347208	0.771215008	0.632126631	0.625531291	0.680590161	0.661048415	0.826664712	0.594215643	0.61219405	0.584151644	0.605794128	0.733841419
02-9_AtgE_NYU	0.739068836	0.786897259	0.713176022	0.5763838	0	0.486784894	0.539694172	0.361620011	0.597195759	0.748448874	0.504225903	0.48829938	0.73877571	0.782060677	0.767257804	0.520494406	0.526210367	0.561043529	0.612340613	0.459475304	0.68606185	0.636767795	0.549562753	0.377204553	0.767453222	0.606966632	0.553226831	0.59138209	0.517465436	0.683521423	0.64062729	0.53866823	0.63872197	0.622306903	0.418095657	0.647369192	0.525917241	0.633983096	0.628462553	0.691680102	0.684400801	0.434901558	0.432361131	0.599931604	0.454638722	0.386193756	0.598221701	0.387952514	0.462992818	0.639405931	0.554985588	0.625189311	0.560213005	0.688944257	0.686794665	0.442376276	0.428061947	0.69871513	0.664175094	0.468806488	0.516195222	0.667741463	0.782402658	0.530460697	0.420636084	0.584835605	0.702134936	0.536176657	0.387512824	0.420587229	0.59641409	0.574722751	0.518198251	0.599296497	0.597195759	0.401436318	0.430993209	0.670721579	0.717035517	0.394254727	0.69568616	0.623430554	0.639112805	0.624651913	0.563046558	0.641995212	0.572035761	0.401582881	0.635986125	0.588499682	0.616835214	0.384874689	0.375641214	0.687380917	0.347501099	0.770140212	0.49132835	0.497972544	0.581171528	0.600859837	0.360349797	0.452098295	0.523572231	0.556109238	0.631051834	0.512433436	0.622990864	0.731594118	0.749670233	0.774439396	0.680736724	0.640187601	0.629244223	0.516586057	0.539303337	0.433484782	0.418877327	0.38824564	0.684009966	0.577702868	0.590405003	0.730323904	0.40436758	0.679710782	0.592408032	0.725487322	0.765694465	0.663491133	0.484977283	0.473496507	0.524158484	0.742342078	0.478039963	0.448629635	0.345986614	0.624456495	0.590160731	0.74605501	0.624700767	0.634911329	0.51595095	0.442669403	0.626117544	0.759636524	0.762518931	0.389955543	0.403927891	0.5640725	0.640187601	0.914016317	0.739361962	0.804582539	0.68181152	0.70643412	0.857247545	0.481850603	0.496506913	0.601543798	0.58981875	0.74717866	0.54716889	0.725047633	0.642728028	0.665347599	0.621916068	0.733157458	0.80604817	0.627680883	0.553910792	0.631344961	0.675704724	0.693145733	0.700913577	0.767697494	0.546289511	0.602374322	0.731887244	0.718647711	0.772387513	0.654941619	0.623479408	0.63715863	0.586056964	0.746445845
30-10_AtgH_NYU	0.703551712	0.730714739	0.653085153	0.58288143	0.486784894	0	0.492403146	0.500464116	0.613757389	0.71640041	0.481117788	0.482436856	0.707948605	0.734329962	0.753627437	0.433338219	0.50095266	0.532610289	0.526503493	0.431042064	0.643363134	0.511260931	0.525330988	0.517905125	0.709023401	0.482729982	0.465630954	0.462553129	0.456690605	0.638526552	0.564658752	0.478333089	0.559138209	0.496897748	0.431970297	0.652254629	0.565733548	0.57985246	0.559284772	0.65640725	0.667350628	0.440422102	0.553715374	0.512384582	0.501929747	0.506961747	0.540524696	0.488397088	0.511602912	0.565342713	0.493038253	0.455029557	0.498705359	0.571547218	0.602374322	0.47442474	0.494259612	0.598856808	0.540085007	0.390492941	0.455029557	0.596707216	0.747813767	0.470760662	0.498119107	0.548243686	0.623381699	0.520445552	0.431530607	0.467096585	0.501245786	0.639161659	0.537349162	0.509893009	0.569055645	0.47823538	0.46826909	0.576041819	0.598514827	0.449606722	0.595485857	0.593482828	0.610386438	0.596707216	0.480091846	0.609262788	0.591626362	0.469246177	0.557330597	0.541892618	0.542674288	0.464849284	0.486638331	0.668767404	0.45170746	0.729884215	0.456348625	0.414187308	0.478577361	0.577556305	0.47095608	0.45786311	0.388636475	0.530753823	0.547657433	0.48595437	0.573354829	0.633836533	0.612096341	0.793492599	0.589134789	0.633885388	0.536909473	0.509209048	0.477160584	0.568225121	0.431726025	0.437344277	0.600762128	0.505838097	0.568762519	0.626703796	0.451560897	0.690605306	0.573159412	0.621525233	0.680101617	0.553031413	0.449460159	0.478430798	0.564609898	0.607601739	0.595534711	0.495334408	0.444330451	0.607650594	0.574918169	0.659533929	0.565147296	0.551174947	0.493477942	0.445600664	0.557477161	0.667888026	0.782353803	0.498363379	0.443939616	0.571498363	0.568860228	0.853290341	0.633543407	0.789339978	0.569251063	0.650593581	0.841125605	0.518979921	0.486638331	0.563730519	0.522741707	0.68640383	0.451121208	0.645268455	0.58097611	0.716791245	0.550100151	0.681518394	0.780008794	0.517270018	0.513459378	0.631980067	0.62406566	0.584884459	0.687820607	0.705261615	0.485221555	0.571547218	0.701890664	0.61947335	0.769944795	0.586447799	0.587327178	0.589672187	0.555132151	0.68562216
30-21_AtgH_NYU	0.610679564	0.591870634	0.473301089	0.624993893	0.539694172	0.492403146	0	0.462308857	0.540182715	0.571938053	0.328789877	0.360594069	0.606233817	0.566270946	0.66950022	0.563241976	0.608969661	0.479359031	0.500757243	0.477014021	0.62025502	0.5836631	0.543211686	0.575504421	0.618642826	0.593678245	0.575504421	0.564658752	0.449997557	0.664956764	0.640236455	0.53519957	0.573354829	0.555522986	0.501196932	0.588890517	0.487761982	0.656651522	0.403879037	0.607846011	0.609995603	0.504225903	0.63447164	0.593238556	0.513215106	0.570374713	0.626996922	0.51785627	0.497532855	0.58522644	0.558405394	0.604621623	0.449118179	0.652840881	0.716888954	0.502369437	0.518051688	0.609995603	0.581513508	0.540915531	0.45673946	0.624407641	0.707899751	0.560261859	0.571742635	0.622746592	0.6821535	0.443695344	0.494161903	0.508280815	0.517807416	0.655869852	0.571840344	0.507743417	0.649421076	0.4902047	0.540768968	0.635888417	0.687625189	0.451072353	0.67643754	0.556402365	0.643851678	0.441790024	0.352191118	0.677365773	0.661536958	0.563925937	0.665201036	0.560408422	0.619277932	0.460061557	0.483951341	0.610142166	0.524207338	0.52176462	0.291953686	0.576530363	0.522204309	0.682495481	0.524989008	0.517367727	0.538033123	0.56866481	0.603546827	0.382480825	0.639601348	0.713566857	0.675607015	0.627974009	0.689237383	0.72871171	0.63022131	0.536176657	0.571938053	0.607308613	0.430651229	0.505935805	0.55825883	0.596511798	0.626996922	0.70799746	0.488348234	0.631540378	0.495529826	0.594801896	0.689041966	0.551614637	0.238897846	0.34549807	0.380722068	0.57672578	0.585861547	0.573843373	0.519908154	0.538375104	0.501343495	0.630514436	0.554741316	0.48673604	0.329864673	0.342566808	0.399921833	0.514192193	0.701353266	0.502809126	0.564707607	0.499193903	0.539156774	0.831745566	0.634862475	0.728272021	0.604377351	0.641555523	0.764131125	0.36396502	0.299526113	0.394840979	0.387415116	0.632126631	0.296057453	0.475499536	0.534124774	0.688797694	0.601934633	0.679417656	0.733499438	0.641164688	0.562802286	0.562899995	0.619229078	0.611021545	0.670330744	0.70833944	0.335678343	0.399921833	0.627143485	0.566661781	0.695979286	0.455713518	0.396453173	0.499291612	0.352386536	0.509306757
30-33_AtgH_NYU	0.581122673	0.575260149	0.669695637	0.510674679	0.361620011	0.500464116	0.462308857	0	0.464849284	0.573305975	0.353021642	0.34549807	0.536274366	0.58410279	0.695637305	0.523621086	0.521862328	0.470565245	0.554692462	0.449704431	0.573305975	0.627876301	0.483413943	0.427964239	0.552396307	0.611705506	0.594997313	0.582588304	0.422541404	0.619424496	0.631735796	0.534515609	0.589525624	0.689823636	0.404074454	0.558796228	0.419268162	0.675460452	0.538472813	0.585666129	0.649421076	0.380428941	0.453857052	0.578728809	0.429185598	0.388685329	0.56172749	0.420098686	0.419707851	0.545703259	0.585128731	0.668865113	0.443402218	0.623039719	0.693976257	0.406175192	0.462162294	0.614050515	0.591675216	0.471493478	0.50901363	0.599833895	0.743856564	0.492842836	0.417167424	0.578728809	0.652694318	0.472372857	0.40011725	0.368264204	0.53407592	0.548390249	0.501392349	0.503883922	0.53788656	0.37168401	0.411109483	0.615125311	0.670184181	0.29893986	0.6821535	0.536714055	0.732326933	0.480873516	0.497777126	0.626557233	0.528408813	0.450437247	0.696907519	0.537739997	0.542430016	0.397723387	0.243148175	0.622990864	0.363671894	0.6994968	0.378279349	0.511407494	0.560701549	0.609507059	0.316087742	0.44745713	0.504909864	0.490693243	0.619277932	0.41364991	0.525135571	0.722458352	0.743074894	0.620401583	0.759441106	0.624358786	0.608139137	0.529630172	0.514241047	0.461576042	0.284039279	0.341833993	0.682300064	0.570814402	0.528604231	0.749083981	0.362157409	0.597000342	0.477551419	0.63984562	0.724803361	0.551419219	0.409643852	0.362645952	0.413747618	0.597293468	0.490400117	0.471151497	0.35780937	0.52401192	0.477844545	0.645268455	0.509404465	0.491035224	0.3497484	0.334408129	0.495725243	0.614294787	0.674678783	0.376911427	0.383360203	0.455664664	0.536616347	0.769358542	0.693634276	0.771263862	0.659191949	0.611265817	0.752796912	0.304997802	0.409546143	0.438907616	0.453368508	0.551810054	0.444916703	0.672871171	0.602227759	0.611461234	0.599540769	0.644535639	0.773853144	0.60984904	0.486296351	0.520298989	0.577360887	0.652352338	0.603400264	0.670916996	0.398700474	0.481410914	0.54482388	0.602178905	0.685573306	0.485514681	0.475499536	0.488103962	0.462992818	0.605452147
30-36_AtgH_NYU	0.656065269	0.700815868	0.752650349	0.656358396	0.597195759	0.613757389	0.540182715	0.464849284	0	0.698470858	0.496311495	0.500415262	0.670184181	0.687771752	0.794469686	0.591528653	0.564707607	0.287459084	0.560799257	0.577751722	0.555620695	0.66065758	0.483316234	0.613561972	0.70184181	0.638135717	0.642434902	0.638477698	0.553471103	0.759783087	0.698861693	0.646050125	0.648443988	0.732033807	0.584591333	0.393424202	0.20235478	0.715716449	0.556548928	0.415262104	0.662025502	0.559724461	0.636425815	0.650642435	0.57716547	0.591479799	0.63603498	0.628169427	0.485514681	0.588939372	0.634373931	0.672089501	0.532903415	0.673115443	0.751184718	0.61409937	0.600469002	0.66490791	0.564512189	0.560017588	0.62753432	0.689677073	0.644633348	0.59988275	0.620645855	0.656700376	0.735453613	0.489716156	0.574918169	0.55210318	0.579608188	0.70184181	0.633543407	0.594313352	0.609311642	0.554399336	0.586643217	0.66637354	0.722702623	0.496555767	0.696663247	0.609751331	0.740241341	0.49670233	0.508476232	0.72871171	0.634911329	0.619961894	0.730030778	0.560408422	0.569544189	0.527969124	0.536665201	0.537153745	0.53251258	0.757975475	0.529874444	0.623577117	0.610288729	0.659387366	0.527529435	0.625922126	0.615027603	0.509746446	0.705750159	0.458302799	0.623088573	0.710733304	0.776247008	0.704724217	0.820509062	0.695637305	0.695735014	0.603986516	0.597733157	0.650007328	0.48058039	0.551272656	0.74683668	0.5959744	0.645903561	0.760418193	0.519957008	0.383018223	0.260638038	0.634862475	0.741120719	0.562997704	0.569935024	0.520250134	0.494845864	0.711417265	0.655820998	0.510479261	0.579168499	0.327373101	0.211783673	0.613561972	0.565098442	0.432409986	0.490937515	0.517953979	0.53251258	0.70799746	0.776735551	0.504030485	0.587327178	0.311300015	0.533831648	0.737603205	0.661732376	0.620841272	0.658849968	0.509990718	0.618642826	0.469099614	0.496897748	0.436318335	0.529190483	0.696321266	0.526943182	0.748497728	0.405246959	0.540280424	0.556744345	0.543651375	0.674971909	0.662856026	0.590502711	0.20816845	0.577751722	0.658898823	0.564609898	0.627143485	0.454541013	0.453466217	0.706287557	0.599540769	0.53632322	0.505642679	0.572328888	0.576041819	0.431970297	0.698177732
30-9_AtgH_NYU	0.402071425	0.287801065	0.39283795	0.670721579	0.748448874	0.71640041	0.571938053	0.573305975	0.698470858	0	0.436660316	0.464849284	0.353363623	0.252186233	0.520152426	0.650886707	0.701548683	0.641066979	0.713322585	0.700913577	0.711270702	0.643607406	0.688064879	0.775465338	0.33284479	0.750012214	0.67140554	0.663979677	0.59831941	0.578533392	0.71068445	0.745224486	0.67756119	0.709658508	0.667692608	0.701011285	0.673262006	0.761102154	0.522839416	0.673506278	0.614148224	0.607748302	0.817528946	0.776735551	0.68484049	0.742732913	0.674141385	0.733450584	0.670184181	0.684889345	0.75914798	0.763984562	0.64175094	0.593189701	0.720211051	0.69177781	0.720113342	0.571693781	0.727099516	0.720797303	0.71102643	0.65372026	0.684645073	0.727294934	0.763984562	0.729395672	0.694562509	0.670819288	0.689286238	0.67140554	0.690947286	0.863110069	0.7190874	0.630465582	0.6183497	0.676290977	0.748204602	0.709756217	0.789584249	0.637207484	0.718989692	0.579168499	0.753041184	0.421320045	0.45673946	0.69334115	0.674239093	0.772876056	0.751868679	0.706580683	0.669744492	0.628169427	0.605891836	0.639210513	0.715863012	0.484928428	0.48170404	0.752943475	0.710537887	0.733987982	0.706092139	0.710733304	0.703454004	0.607406322	0.641555523	0.575944111	0.613757389	0.738726855	0.68259319	0.300552054	0.733548293	0.734623089	0.816600713	0.619913039	0.72143241	0.817333529	0.601201817	0.660559871	0.605354438	0.746494699	0.570374713	0.708192877	0.631980067	0.727001808	0.585031023	0.72758806	0.758512873	0.553471103	0.519761591	0.55522986	0.47554839	0.423762763	0.801260443	0.680736724	0.679857345	0.635644145	0.621232107	0.71371342	0.701255557	0.523621086	0.453515072	0.488592506	0.404172163	0.312570228	0.456006644	0.683277151	0.73911769	0.656798085	0.678489423	0.757144951	0.778152328	0.675265035	0.779959939	0.73105672	0.663784259	0.467292003	0.516976892	0.474327031	0.463090527	0.392593678	0.546631492	0.40514925	0.671796375	0.746738971	0.747080952	0.716253847	0.694073966	0.664761346	0.704724217	0.664614783	0.714446236	0.756851825	0.714397381	0.731545264	0.465386682	0.460012702	0.356783429	0.540085007	0.631638087	0.425814647	0.380282378	0.359763545	0.500708388	0.327324246
