Site	Genetics	Location	PCoA_1	PCoA_2	PCoA_3	PCoA_4	PCoA_5	PCoA_6	PCoA_7	PCoA_8	PCoA_9	PCoA_10	PCoA_11	PCoA_12	PCoA_13	PCoA_14	PCoA_15	PCoA_16	PCoA_17	PCoA_18	PCoA_19	PCoA_20	PCoA_21	PCoA_22	PCoA_23	PCoA_24	PCoA_25	PCoA_26	PCoA_27	PCoA_28	PCoA_29	PCoA_30	PCoA_31	PCoA_32	PCoA_33	PCoA_34	PCoA_35	PCoA_36	PCoA_37	PCoA_38	PCoA_39	PCoA_40	PCoA_41	PCoA_42	PCoA_43	PCoA_44	PCoA_45	PCoA_46	PCoA_47	PCoA_48	PCoA_49	PCoA_50	PCoA_51	PCoA_52	PCoA_53	PCoA_54	PCoA_55	PCoA_56	PCoA_57	PCoA_58	PCoA_59	PCoA_60	PCoA_61	PCoA_62	PCoA_63	PCoA_64	PCoA_65	PCoA_66	PCoA_67	PCoA_68	PCoA_69	PCoA_70	PCoA_71	PCoA_72	PCoA_73	PCoA_74	PCoA_75	PCoA_76	PCoA_77	PCoA_78	PCoA_79	PCoA_80	PCoA_81	PCoA_82	PCoA_83	PCoA_84	PCoA_85	PCoA_86
02-3_AtgE_NYU	AtgE	NYU	-0.160909254	-0.012297896	0.081110054	0.03960288	0.006687615	-0.060171056	-0.000853621	-0.017292729	0.003481207	0.041674714	-0.019040019	-0.021504594	0.032283045	-0.034061674	0.005225067	-0.004014468	0.017444533	0.002700081	-0.014967774	0.00679508	0.006404053	0.020162655	0.021664425	0.032428884	-0.009207475	0.029441698	0.026176737	0.009501914	0.00150576	0.006961687	0.013747127	-0.006092669	-0.010743035	0.001995299	0.00213911	-0.002747049	-0.008092845	0.00349395	-0.014244349	0.013176579	0.007160508	-0.003905576	-0.000224751	-0.000839251	-0.001847944	-0.00804916	-0.004025611	0.010825215	0.003971678	0.002286941	0.007293067	0.001120787	0.004899174	0.003273843	-0.004174331	0.003201094	0.00287117	-0.00151456	-0.006649366	-0.005342752	-0.007738366	0.004438445	0.000846714	-0.011746503	-0.000736158	0.00408828	0.003998052	-0.003405932	-0.001995694	0.005118338	-0.005146382	-0.002741181	-0.000407065	-0.001276284	0.000604512	0.000850092	0.001864183	-0.002022003	0.004129762	-0.000340704	-0.000501553	-0.000161427	-0.000644873	-0.000407428	0.000295622	5.10E-05
02-4_AtgE_NYU	AtgE	NYU	-0.20939466	0.029311335	0.055957065	0.011944433	-0.097231389	-0.001222561	-0.028089865	-0.021735241	0.041194017	-0.011882773	-0.015146159	0.030739097	-0.002213221	-0.038912977	-0.009026783	-0.003510353	-0.015742004	-0.002075704	0.011895043	-0.002953606	-0.022872087	0.003891081	0.004326096	-0.004671069	-0.012097536	-0.013294899	0.00238395	0.00773649	0.005623677	-0.010959859	-0.008187919	-0.001985078	-0.008901816	0.005757622	-0.00589717	-0.00273013	0.012647166	-0.002201197	0.009685884	0.006117403	-0.007122468	-0.008162543	-0.015901145	0.000127254	-0.014872146	-0.003534666	0.006533937	-0.003764261	0.002958639	0.006164031	0.002264967	-0.00819324	-0.003158004	-0.001786029	-0.001297968	0.006126352	0.008951951	-0.001439295	0.003122088	0.000962246	0.005081282	-0.001584094	-0.005540366	-0.00398476	0.001894869	0.005684495	0.002500517	0.003378454	0.00085121	-0.002263904	0.002781153	0.005772987	-0.00071839	-0.001503916	-0.001248202	-0.001618509	0.003588599	0.002295018	-0.000494466	-0.00029612	0.000594652	0.003427995	-0.000121087	-0.001708734	-0.001233293	0.00012179
02-7_AtgE_NYU	AtgE	NYU	-0.06631505	-0.134237585	0.025602147	0.088050855	-0.033205162	0.004013873	0.020210944	0.034814827	-0.032569557	0.010752292	0.015569722	-0.00204694	-0.005550545	-0.005051752	0.028991616	0.002177009	0.009595073	0.01981447	0.015440022	-0.024153536	0.007044726	-0.023310442	0.015570673	-0.012633105	0.002799552	0.00134329	-0.009776163	-0.015642673	0.017863804	0.010087758	0.00207603	-0.013190642	0.01207755	-0.011990331	0.000708305	-0.002553604	-0.006918836	-0.0056483	0.005388291	-0.001879124	0.015937414	-0.020815876	-0.001290912	0.000690795	0.003609402	-0.000998773	-0.006757594	-0.012690772	-0.009617901	0.005499222	0.006135532	0.00866478	-2.89E-05	0.002655569	0.005233437	-0.001740276	-0.002029508	0.000307851	-0.00374512	-0.009257287	-0.000294439	-0.006410962	-0.003540209	0.002625227	0.002445884	0.002183269	-0.007896531	-0.002788436	0.003186841	0.001507879	-0.001751817	-0.000593883	0.001853026	0.001101331	-0.00363069	0.004499292	0.000338959	-0.003294974	-0.000380834	0.000259417	-0.00132037	-6.66E-05	0.002226024	0.000707858	-0.000786792	0.00044925
02-8_AtgE_NYU	AtgE	NYU	-0.102727022	0.089785402	-0.10204835	0.006148255	0.05197461	-0.024661884	-0.048782893	-0.055065134	-0.011584348	-0.055806801	0.040569459	0.000446554	-0.019812758	-0.021221635	0.037386247	-0.001556579	-0.026827685	-0.011592545	0.00759335	-0.00177774	0.005639011	-0.022583607	0.001728171	0.004896236	0.022922043	0.003194637	-0.004037808	-0.008554682	0.011868512	-0.009800645	-0.031385324	-0.012795415	-0.024877516	-0.007174929	0.019260247	0.006125907	0.014557933	0.002725441	0.015541422	-0.010636686	-0.00824954	-0.007167813	0.000252287	0.002931782	0.0033836	0.010484035	-0.002236601	0.000136478	-0.006178151	0.002088928	-0.001943878	-0.010242997	-0.010947005	-0.002142149	0.004990524	-0.003206652	-5.75E-05	-0.005653767	0.000732665	0.002992604	0.010114142	-0.001632757	-0.001750658	-0.002097726	-0.001379651	0.000586385	-0.005076036	0.000849591	-0.003057461	-0.001340857	0.002352238	0.000499979	0.000875952	-0.004050892	-0.002904765	-0.002577792	-0.00080798	-0.001582426	0.001273238	0.0011801	-0.001558221	-0.000314027	-0.000235227	0.000314613	0.000968596	-0.000349157
02-9_AtgE_NYU	AtgE	NYU	0.189702159	0.046791349	0.004732623	0.089266754	0.024960112	-0.034210318	0.03199811	-0.017569202	0.016391507	0.051809992	0.041369728	0.010228579	0.061276873	-0.002012294	0.024867082	0.007764544	-0.018969807	-0.038771729	-0.051062133	-0.001453956	-0.021592386	0.011467251	0.008458933	-0.019554707	-0.002885049	0.011780408	-0.005510813	-0.005697875	0.001315363	-0.026611094	0.004266185	0.001971017	0.002878763	-0.009581412	-0.002021013	0.001468464	-0.001893792	-0.006953128	-0.00029202	0.006743261	-0.007495375	-0.010762283	0.000606751	0.001575025	0.000864305	-0.00056114	0.007554949	-0.002487014	-0.002688224	0.003963777	-0.007622073	0.004345149	-0.003098321	-0.003288886	0.001747223	0.003960964	-0.010799781	0.004019809	0.004118988	-0.005709162	0.000974244	0.004428095	-0.002158406	0.00120599	-0.000826123	0.002266866	0.001595248	0.000331145	-0.00114806	-0.001765302	0.003456461	0.002144065	-0.002639931	-0.000716289	0.000734615	0.002003799	0.00292418	0.002010208	2.37E-05	4.32E-06	0.000603688	-0.001031952	-0.000516045	-0.00115968	0.001020099	-0.000229514
30-10_AtgH_NYU	AtgH	NYU	0.132734769	-0.082784305	-0.044395235	0.010477373	-0.010108495	0.016265089	-0.05329868	0.020126334	0.012040882	0.020356348	0.005522634	0.018009716	0.030856481	-0.022501622	-0.02326646	0.014634552	0.010939913	0.020266448	0.011561717	0.000501795	-0.032087296	-0.007197214	-0.007470345	-0.017609034	0.005768142	0.00474084	-0.009079316	-0.018625721	-0.016523052	0.010205371	0.003908887	-0.003145105	0.015581558	-0.006183479	0.003178583	-0.015960029	-0.010273778	0.011140454	0.003851577	-0.005841963	-0.007894428	-0.006694517	-0.005584607	0.000360747	-0.013061493	-0.013204315	-0.007139649	-0.009050983	0.00414271	0.00444069	-0.000638702	0.000475089	0.006770808	0.003713592	0.005340536	0.010103257	0.006147266	-0.010048002	0.007826735	-0.010165845	-0.001052455	0.003466822	-0.008456771	-0.002054833	0.003612307	-0.006657021	-0.001850259	-0.000221125	0.002838501	-0.006575573	-0.00076291	0.002398887	0.001427488	-0.003924952	-0.001378028	0.004640743	-0.002961273	0.003246572	0.001604062	-0.001491397	-0.000583642	0.001217561	0.000677449	-0.000430769	0.000475546	-0.000243047
30-21_AtgH_NYU	AtgH	NYU	0.127688287	-0.046967093	0.030801543	0.052630852	-0.004174798	0.011163006	-0.051227569	0.033919745	-9.41E-07	0.005490237	0.000243006	0.006403573	-0.003142355	0.002753212	0.024210862	-0.010992528	-0.002622678	0.00234399	0.026611846	0.022935349	-0.006428294	-0.005420753	0.020212963	-0.007588484	0.006550473	-0.01043188	0.013103678	-0.005516732	0.013696853	0.021965103	0.002750613	-0.004290682	0.001636322	-0.003819942	0.004938914	0.009795235	0.012861008	0.008113988	-0.02276431	-0.003740279	-0.006554646	0.003306175	-0.009281341	0.007724718	0.012292255	-0.005654756	-0.000303064	-0.006213819	0.007440824	-0.015766323	0.003752959	-0.000516621	-0.008562131	0.00949258	-0.002559486	0.007913661	-0.009517248	-0.000140691	-0.006543638	0.005989553	0.003191782	0.003462404	-0.010574378	0.001367423	-0.001256485	-0.006770331	0.004153854	-0.00301701	0.005745977	0.006387262	-0.005582745	0.005525558	-0.001308744	-0.001399993	-0.005000359	-0.001081986	-0.000176829	0.002395401	-0.002406969	-0.001596311	0.001362968	-0.000345178	-0.000682712	-0.002144938	-4.49E-05	0.000141244
30-33_AtgH_NYU	AtgH	NYU	0.063033803	0.136127807	0.052663926	0.033610778	-0.025266547	-0.033407198	0.052870867	-0.012109693	-0.009832953	-0.004685602	0.033422216	0.019839959	0.003430365	0.013572409	0.03048176	0.023291377	0.006645508	-0.021405494	-0.016352127	0.004164447	-0.015102871	-0.032142348	0.003905318	-0.017091487	-0.004210411	-0.003270815	-0.004814059	-0.010286704	0.005813502	-0.001555509	-0.000187456	-0.008257569	0.001432261	-0.008240155	0.000597096	-0.002151146	0.016254336	-0.005717169	0.008841835	-0.007837297	-0.00562558	-0.0040312	0.012619386	-0.005184827	-0.009582312	0.006911144	-0.006225954	-0.0079943	0.008222453	-0.015184817	0.010715153	0.004710608	-0.001776964	-0.006736585	-0.004300461	0.00048836	-0.0029781	0.005197685	0.004742826	0.00269768	0.008473158	-0.001903339	-0.00361147	-0.007587908	-0.004251035	-0.002214638	-0.001941755	0.0091899	-0.000274785	-0.004232221	-0.005234657	-0.002699168	0.000562124	-0.000260298	-0.002780689	-0.001885295	0.001578193	-0.002174695	0.00287494	0.002886524	0.004294666	-0.00106924	-0.000249281	0.000920616	-0.000205288	-6.21E-05
30-36_AtgH_NYU	AtgH	NYU	0.062166786	0.062131375	0.131986421	-0.001831738	0.061334297	-0.037000779	0.004477614	0.051859033	-0.001425738	-0.013875914	0.018162503	0.034558201	-0.016997734	0.0126211	0.003043316	0.00012365	0.036884457	-0.059081438	0.009134149	-0.023341302	0.019783141	0.00179119	-0.0033206	0.013951527	-0.011352608	-0.026888545	0.035322864	-0.005871721	-0.021705699	0.019095454	-0.026220593	-0.015966821	0.021041265	-0.000985951	0.002687337	0.002415948	-0.008669181	-0.014287657	0.006092495	-0.001487889	0.000882956	0.001770841	0.003117111	-0.002403101	-0.007650885	0.002039295	-0.000142646	-0.002388133	0.017244072	0.002631944	-0.00485148	0.00072394	0.008061783	-0.00505663	0.002184894	0.001396705	0.011303328	0.002804109	-0.009107303	-9.21E-05	-0.005047151	-0.007765753	-0.001982344	0.007691744	-0.003142619	-0.008423321	0.001369968	-0.003978667	-0.001194281	0.003480861	0.006585659	0.002506395	0.003518072	-0.001110359	0.000201894	0.001206001	-8.84E-05	0.000475263	0.000442225	-0.000440599	0.00094577	0.001497083	-0.00106977	-0.00029887	0.000508415	0.000223858
30-9_AtgH_NYU	AtgH	NYU	-0.182164557	-0.001037197	0.030344666	0.051197761	-0.053844178	-0.011004524	-0.012027521	-0.004099036	0.011559636	-0.002447335	-0.003762092	-0.019101062	-0.017477475	-0.011534366	0.011293138	0.020775556	-0.00295025	-0.001052324	-0.020739955	0.014783653	0.003139398	0.013381935	0.015093649	-0.009288918	0.012304025	-0.011323064	-0.001448626	0.015073455	-0.022904639	-0.007051361	-0.000804352	-0.004569971	0.015377105	-0.005074827	0.027856132	-0.008059052	7.13E-05	0.014326522	0.005658548	-0.014880377	0.002935207	-0.013171439	0.000635205	0.007889522	0.018463084	-0.005751326	-0.002261706	0.013317985	0.009142333	-0.003278839	-0.010462803	0.003590374	-0.008421546	0.006340523	0.00586239	-0.000578875	-0.009377653	0.010552207	0.005371042	0.001523651	-0.00293794	0.003963492	0.008486367	-4.94E-05	-0.00412154	7.88E-05	0.00071612	0.000413639	-0.000821301	0.001256361	-0.003935745	0.000816759	0.001389605	0.003498421	0.000124547	-0.002028515	0.000411548	0.004459949	-0.005503021	-0.000980109	-0.000976268	-0.000611957	-0.001052945	0.000622324	-0.001176663	0.00046866
