Accession	Title	Data Archive	Links	Status	Release Date	Created	Updated	Submission	SRA.filename
SAMN12511757	50_49_49_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.953Z	2019-08-07T03:01:56.023Z	SUB6137647	
SAMN12511756	50_50_48_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.936Z	2019-08-07T03:01:55.820Z	SUB6137647	
SAMN12511755	50_56_50_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.920Z	2019-08-07T03:01:55.633Z	SUB6137647	
SAMN12511754	50_50_49_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.903Z	2019-08-07T03:01:55.446Z	SUB6137647	
SAMN12511753	50_56_54_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.883Z	2019-08-07T03:01:55.243Z	SUB6137647	
SAMN12511752	50_56_52_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.870Z	2019-08-07T03:01:55.056Z	SUB6137647	
SAMN12511751	51_48_49_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.850Z	2019-08-07T03:01:54.696Z	SUB6137647	
SAMN12511750	51_48_57_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.830Z	2019-08-07T03:01:54.273Z	SUB6137647	
SAMN12511749	51_54_55_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.816Z	2019-08-07T03:01:54.010Z	SUB6137647	
SAMN12511748	51_57_48_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.800Z	2019-08-07T03:01:53.790Z	SUB6137647	
SAMN12511747	51_56_51_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.783Z	2019-08-07T03:01:53.586Z	SUB6137647	
SAMN12511746	50_57_49_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.766Z	2019-08-07T03:01:53.210Z	SUB6137647	
SAMN12511745	50_54_52_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.750Z	2019-08-07T03:01:52.773Z	SUB6137647	
SAMN12511744	51_57_50_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.733Z	2019-08-07T03:01:52.586Z	SUB6137647	
SAMN12511743	50_49_54_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.710Z	2019-08-07T03:01:52.383Z	SUB6137647	
SAMN12511742	51_53_53_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.696Z	2019-08-07T03:01:52.180Z	SUB6137647	
SAMN12511741	51_51_57_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.680Z	2019-08-07T03:01:51.960Z	SUB6137647	
SAMN12511740	50_54_53_AtgW_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.663Z	2019-08-07T03:01:51.760Z	SUB6137647	
SAMN12511739	50_52_52_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.646Z	2019-08-07T03:01:51.556Z	SUB6137647	
SAMN12511738	50_53_56_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.630Z	2019-08-07T03:01:51.353Z	SUB6137647	
SAMN12511737	50_54_54_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.613Z	2019-08-07T03:01:51.163Z	SUB6137647	
