Accession	Title	id	ITS_ids
SAMN12511575	57-2_B6_NYU	57-2	B6 57-2
SAMN12511576	57-3_B6_NYU	57-3	B6 57-3
SAMN12511578	57-5_B6_NYU	57-5	B6 57-5
SAMN12511579	59-1_B6_NYU	59-1	B6 59-1
SAMN12511582	59-4_B6_NYU	59-4	B6 59-4
SAMN12511586	61-3_NOD2_NYU	61-3	NOD2 61-3
SAMN12511587	61-4_NOD2_NYU	61-4	NOD2 61-4
SAMN12511588	64-1_NOD2_NYU	64-1	NOD2 64-1
SAMN12511595	65-3_NOD2_NYU	65-3	NOD2 65-3
SAMN12511598	66-1_NOD2_NYU	66-1	NOD2 66-1
SAMN12511604	31-29_AtgW_NYU	31-29	Atg (W) 31-29
SAMN12511605	31-31_AtgW_NYU	31-31	Atg (W) 31-31
SAMN12511606	31-80_AtgW_NYU	31-80	Atg (W) 31-80
SAMN12511609	32-2_AtgW_NYU	32-2	Atg (W) 32-2
SAMN12511634	77-78_AtgH_NYU	77-78	Atg (H) 77-78
SAMN12511635	77-79_AtgH_NYU	77-79	Atg (H) 77-79
SAMN12511637	82-92_AtgH_NYU	82-92	Atg (H) 82-92
SAMN12511640	82-7_AtgH_NYU	82-7	Atg (H) 82-7
SAMN12511641	82-8_AtgH_NYU	82-8	Atg (H) 82-8
SAMN12511644	30-10_AtgH_NYU	30-10	Atg (H) 30-10
SAMN12511645	30-33_AtgH_NYU	30-33	Atg (H) 30-33
SAMN12511647	78-84_AtgH_NYU	78-84	Atg (H) 78-84
SAMN12511651	86-7_AtgH_NYU	86-7	Atg (H) 86-7
SAMN12511652	86-8_AtgH_NYU	86-8	Atg (H) 86-8
SAMN12511654	50_51_50_B6_SF	505150	50 51 50
SAMN12511656	51_56_54_B6_SF	515654	51 56 54
SAMN12511657	51_52_55_B6_SF	515255	51 52 55
SAMN12511658	50_51_48_B6_SF	505148	50 51 48
SAMN12511660	50_55_51_B6_SF	505551	50 55 51
SAMN12511661	51_54_50_NOD2_SF	515450	51 54 50
SAMN12511664	51_50_48_NOD2_SF	515048	51 50 48
SAMN12511674	50_57_52_NOD2_SF	505752	50 57 52
SAMN12511684	51_53_56_NOD2_SF	515356	51 53 56
SAMN12511688	50_53_52_NOD2_SF	505352	50 53 52
SAMN12511742	51_53_53_AtgW_SF	515353	51 53 53
SAMN12511744	51_57_50_AtgW_SF	515750	51 57 50
SAMN12511749	51_54_55_AtgW_SF	515455	51 54 55
SAMN12511753	50_56_54_AtgW_SF	505654	50 56 54
SAMN12511755	50_56_50_AtgW_SF	505650	50 56 50
SAMN12511691	51_56_56_AtgH_SF	515656	51 56 56
SAMN12511692	51_50_56_AtgH_SF	515056	51 50 56
SAMN12511693	50_51_52_AtgH_SF	505152	50 51 52
SAMN12511694	50_57_51_AtgH_SF	505751	50 57 51
SAMN12511697	50_57_56_AtgH_SF	505756	50 57 56
SAMN12511698	50_50_55_AtgH_SF	505055	50 50 55
SAMN12511699	50_55_48_AtgH_SF	505548	50 55 48
SAMN12511701	51_50_54_AtgH_SF	515054	51 50 54
SAMN12511703	50_49_51_AtgH_SF	504951	50 49 51
SAMN12511704	50_53_55_AtgH_SF	505355	50 53 55
