sample-id	OrigName	Genotype	SampleGroup
#q2:types	categorical	categorical	categorical
15549X1	NYU.1	B6	NYU
15549X2	NYU.2	B6	NYU
15549X3	NYU.3	B6	NYU
15549X4	NYU.4	B6	NYU
15549X5	NYU.5	B6	NYU
15549X6	NYU.6	NOD2KO.Jax	NYU
15549X7	NYU.7	NOD2KO.Jax	NYU
15549X8	NYU.8	NOD2KO.Jax	NYU
15549X9	NYU.9	NOD2KO.Jax	NYU
15549X10	NYU.10	NOD2KO.Jax	NYU
15549X11	NYU.11	Atg16L1.T316A.WT.WT	NYU
15549X12	NYU.12	Atg16L1.T316A.WT.WT	NYU
15549X13	NYU.13	Atg16L1.T316A.WT.WT	NYU
15549X14	NYU.14	Atg16L1.T316A.WT.WT	NYU
15549X15	NYU.16	Atg16L1.T316A.T316A	NYU
15549X16	NYU.17	Atg16L1.T316A.T316A	NYU
15549X17	NYU.18	Atg16L1.T316A.T316A	NYU
15549X18	NYU.19	Atg16L1.T316A.T316A	NYU
15549X19	NYU.20	Atg16L1.T316A.T316A	NYU
15549X20	NYU.21	Atg16L1.T316A.T316A	NYU
15549X21	NYU.22	Atg16L1.T316A.T316A	NYU
15549X22	NYU.23	Atg16L1.T316A.T316A	NYU
15549X23	NYU.24	Atg16L1.T316A.T316A	NYU
15549X24	NYU.25	Atg16L1.T316A.T316A	NYU
15549X25	SF.1	B6	SF
15549X26	SF.2	B6	SF
15549X27	SF.3	B6	SF
15549X28	SF.4	B6	SF
15549X29	SF.5	B6	SF
15549X30	SF.6	NOD2KO.Jax	SF
15549X31	SF.7	NOD2KO.Jax	SF
15549X32	SF.8	NOD2KO.Jax	SF
15549X33	SF.9	NOD2KO.Jax	SF
15549X34	SF.10	NOD2KO.Jax	SF
15549X35	SF.11	Atg16L1.T316A.WT.WT	SF
15549X36	SF.12	Atg16L1.T316A.WT.WT	SF
15549X37	SF.13	Atg16L1.T316A.WT.WT	SF
15549X38	SF.14	Atg16L1.T316A.WT.WT	SF
15549X39	SF.15	Atg16L1.T316A.WT.WT	SF
15549X40	SF.16	Atg16L1.T316A.T316A	SF
15549X41	SF.17	Atg16L1.T316A.T316A	SF
15549X42	SF.18	Atg16L1.T316A.T316A	SF
15549X43	SF.19	Atg16L1.T316A.T316A	SF
15549X44	SF.20	Atg16L1.T316A.T316A	SF
15549X45	SF.21	Atg16L1.T316A.T316A	SF
15549X46	SF.22	Atg16L1.T316A.T316A	SF
15549X47	SF.23	Atg16L1.T316A.T316A	SF
15549X48	SF.24	Atg16L1.T316A.T316A	SF
15549X49	SF.25	Atg16L1.T316A.T316A	SF
15549X50	B6.1	B6	Other
15549X51	B6.2	B6	Other
15549X52	B6.3	B6	Other
15549X53	B6.4	B6	Other
15549X54	B6.5	B6	Other
15549X55	T316A.1	Atg16L1.T316A.T316A	Other
15549X56	T316A.2	Atg16L1.T316A.T316A	Other
15549X57	T316A.3	Atg16L1.T316A.T316A	Other
15549X58	flox.flox.1	Atg16L1.flox.flox	Other
15549X59	flox.flox.2	Atg16L1.flox.flox	Other
15549X60	flox.flox.3	Atg16L1.flox.flox	Other
15549X61	villin.cre.1	Atg16L1_villin-cre	Other
15549X62	villin.cre.2	Atg16L1_villin-cre	Other
15549X150	ZymoPos	NA	NA
15549X151	NTC.1	NA	NA
15549X152	NTC.2	NA	NA
15549X153	NTC.3	NA	NA
