category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0061061	3.15940258256535e-15	1	26	520	muscle structure development	BP	6.55102125494926e-11
GO:0009888	9.32546997686213e-15	1	37	1260	tissue development	BP	7.68549815441661e-11
GO:0030018	1.47861476297616e-14	1	14	98	Z disc	CC	7.68549815441661e-11
GO:0060537	1.48261358175387e-14	1	21	343	muscle tissue development	BP	7.68549815441661e-11
GO:0042221	4.19741223041721e-14	1	53	2502	response to chemical	BP	1.74066685195402e-10
GO:0031674	8.05516345531717e-14	1	14	110	I band	CC	2.51975353780054e-10
GO:0014706	8.50652267403124e-14	1	20	328	striated muscle tissue development	BP	2.51975353780054e-10
GO:0030017	1.76854983046525e-13	1	16	155	sarcomere	CC	4.58386009183711e-10
GO:0044449	6.00470652035598e-13	1	16	169	contractile fiber part	CC	1.38341766332868e-09
GO:0030016	1.10686783813933e-12	1	16	175	myofibril	CC	2.2950904623819e-09
GO:0050896	1.7760131445162e-12	1	76	5291	response to stimulus	BP	3.34778477741305e-09
GO:0043292	3.76409021580452e-12	1	16	188	contractile fiber	CC	6.50403421872556e-09
GO:0070887	1.05332799748802e-11	1	42	1875	cellular response to chemical stimulus	BP	1.6800581559934e-08
GO:0072359	3.27985462897194e-11	1	26	811	circulatory system development	BP	4.85769898083809e-08
GO:0032501	3.23603896034486e-10	0.999999999926856	65	4460	multicellular organismal process	BP	4.47328452285004e-07
GO:0007517	4.39466951625589e-10	0.999999999958036	16	300	muscle organ development	BP	5.69521702622286e-07
GO:0048738	1.00943279577427e-09	0.999999999923801	13	196	cardiac muscle tissue development	BP	1.23121111884585e-06
GO:0051146	1.19747272282316e-09	0.999999999889716	14	236	striated muscle cell differentiation	BP	1.3794220504299e-06
GO:0044057	1.81616949782368e-09	0.999999999774545	17	357	regulation of system process	BP	1.98201444933547e-06
GO:0006950	5.34981633007088e-09	0.999999998461693	46	2549	response to stress	BP	5.54642208020099e-06
GO:0003012	5.81954414735308e-09	0.999999999330913	15	289	muscle system process	BP	5.74610704263648e-06
GO:0048731	9.29679723971214e-09	0.999999997181892	49	3093	system development	BP	8.76223139842869e-06
GO:0051716	9.79697258314166e-09	0.999999996887346	61	4395	cellular response to stimulus	BP	8.83218376136706e-06
